,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
137,notifiers,liiight/notifiers,logging,The easy way to send notifications.,,https://github.com/liiight/notifiers,https://github.com/liiight/notifiers,MIT,2017-06-01 10:20:18.000,2023-09-18 20:37:58.000,2022-07-14 07:40:12,517.0,,99.0,31.0,361.0,43.0,67.0,2517.0,2022-02-10 14:51:38.000,1.3.3,31.0,19.0,27,False,,notifiers,conda-forge/notifiers,,1105.0,1081.0,https://pypi.org/project/notifiers,2022-02-10 14:51:38.000,24.0,396024.0,397072.0,https://anaconda.org/conda-forge/notifiers,2023-06-16 19:23:52.875,34591.0,3.0,,,,,,,,,,,,,,,,,,,
138,pytest-testinfra,pytest-dev/pytest-testinfra,testing,Testinfra test your infrastructures.,,https://github.com/pytest-dev/pytest-testinfra,https://github.com/pytest-dev/pytest-testinfra,Apache-2.0,2015-03-15 20:49:52.000,2023-09-21 10:57:02.000,2023-08-28 11:47:24,763.0,23.0,327.0,82.0,403.0,121.0,213.0,2245.0,2023-08-24 21:56:12.000,9.0.0,13.0,133.0,27,True,,pytest-testinfra,conda-forge/pytest-testinfra,['pytest'],,,https://pypi.org/project/pytest-testinfra,,,373984.0,374400.0,https://anaconda.org/conda-forge/pytest-testinfra,2023-08-25 02:18:30.063,13318.0,3.0,,,,,,,,,,,,,,,,,,,
139,Diamond,python-diamond/Diamond,profiling,Diamond is a python daemon that collects system metrics and publishes them to Graphite (and others). It is capable of..,,https://github.com/python-diamond/Diamond,https://github.com/python-diamond/Diamond,MIT,2013-10-11 23:32:13.000,2023-09-05 19:07:20.000,2023-01-29 19:46:36,3335.0,,566.0,92.0,534.0,66.0,170.0,1718.0,,,,386.0,27,True,,diamond,,,149.0,149.0,https://pypi.org/project/diamond,,,9784.0,9784.0,,,,3.0,,,,,,,,,,,,,,,,,,,
140,cx_Freeze,marcelotduarte/cx_Freeze,packaging,"Create standalone executables from Python scripts, with the same performance and is cross-platform.",,https://github.com/marcelotduarte/cx_Freeze,https://github.com/marcelotduarte/cx_Freeze,,2017-01-22 04:25:52.000,2023-09-21 14:17:45.000,2023-09-21 14:01:06,1719.0,116.0,196.0,28.0,1066.0,47.0,825.0,1138.0,2023-09-08 00:52:43.000,6.15.7,62.0,105.0,27,True,,cx_freeze,conda-forge/cx_freeze,,,,https://pypi.org/project/cx_freeze,,,113399.0,120042.0,https://anaconda.org/conda-forge/cx_freeze,2023-09-08 04:04:09.776,265725.0,2.0,,,,,,,,,,,,,,,,,,,
141,breathe,michaeljones/breathe,documentation,ReStructuredText and Sphinx bridge to Doxygen.,,https://github.com/breathe-doc/breathe,https://github.com/breathe-doc/breathe,,2009-02-03 18:52:25.000,2023-09-12 22:35:25.000,2023-08-22 12:33:10,1760.0,1.0,182.0,19.0,360.0,170.0,399.0,696.0,2023-03-31 19:07:42.000,4.35.0,42.0,107.0,27,False,breathe-doc/breathe,breathe,conda-forge/breathe,,10883.0,10883.0,https://pypi.org/project/breathe,,,292592.0,305623.0,https://anaconda.org/conda-forge/breathe,2023-07-04 04:52:22.769,507514.0,3.0,548.0,,,,,,,,,,,,,,,,,,
142,pytest-randomly,pytest-dev/pytest-randomly,testing,Pytest plugin to randomly order tests and control random.seed.,,https://github.com/pytest-dev/pytest-randomly,https://github.com/pytest-dev/pytest-randomly,MIT,2016-04-08 15:48:10.000,2023-09-19 09:07:58.000,2023-09-19 09:07:57,586.0,24.0,29.0,5.0,516.0,9.0,53.0,536.0,2023-08-15 18:04:57.000,3.15.0,33.0,20.0,27,True,,pytest-randomly,conda-forge/pytest-randomly,,273.0,,https://pypi.org/project/pytest-randomly,2023-08-15 18:04:57.000,273.0,1140352.0,1147045.0,https://anaconda.org/conda-forge/pytest-randomly,2023-08-15 20:36:31.270,153948.0,3.0,,,,,,,,,,,,,,,,,,,
143,pep8-naming,PyCQA/pep8-naming,linters,Naming Convention checker for Python.,,https://github.com/PyCQA/pep8-naming,https://github.com/PyCQA/pep8-naming,Saxpath,2013-02-09 18:32:52.000,2023-06-16 13:15:30.349,2023-05-06 20:04:56,258.0,,138.0,16.0,123.0,18.0,78.0,466.0,2022-12-19 20:46:55.580,0.13.3,27.0,35.0,27,False,,pep8-naming,conda-forge/pep8-naming,,51389.0,49519.0,https://pypi.org/project/pep8-naming,2022-12-19 20:46:55.580,1870.0,1780038.0,1783740.0,https://anaconda.org/conda-forge/pep8-naming,2023-06-16 13:15:30.349,336954.0,2.0,,,,,,,,,,,,,,,,,,,
144,ddt,datadriventests/ddt,testing,Data-Driven Tests for Python Unittest.,,https://github.com/datadriventests/ddt,https://github.com/datadriventests/ddt,MIT,2012-02-11 22:57:10.000,2023-06-16 13:23:45.665,2022-08-10 16:41:28,230.0,,110.0,21.0,61.0,12.0,42.0,429.0,2022-08-10 16:45:07.000,1.6.0,22.0,37.0,27,False,,ddt,conda-forge/ddt,,5255.0,5255.0,https://pypi.org/project/ddt,,,380782.0,381908.0,https://anaconda.org/conda-forge/ddt,2023-06-16 13:23:45.665,87903.0,3.0,,,,,,,,,,,,,,,,,,,
145,flake8-eradicate,wemake-services/flake8-eradicate,linters,Flake8 plugin to find commented out or dead code.,,https://github.com/wemake-services/flake8-eradicate,https://github.com/wemake-services/flake8-eradicate,MIT,2018-09-21 06:58:51.000,2023-06-01 15:43:14.086,2023-05-31 09:56:43,371.0,,14.0,6.0,256.0,19.0,30.0,302.0,2023-05-31 09:59:03.360,1.5.0,16.0,16.0,27,True,,flake8-eradicate,conda-forge/flake8-eradicate,['flake8'],17281.0,17168.0,https://pypi.org/project/flake8-eradicate,2022-08-11 07:18:01.020,113.0,587414.0,587816.0,https://anaconda.org/conda-forge/flake8-eradicate,2023-06-01 15:43:14.086,11675.0,2.0,,,,,,,,,,,,,,,,,,,
146,flake8-quotes,zheller/flake8-quotes,linters,Flake8 extension for checking quotes in python.,,https://github.com/zheller/flake8-quotes,https://github.com/zheller/flake8-quotes,MIT,2014-03-10 00:05:08.000,2023-06-16 13:20:50.267,2022-12-19 16:44:44,108.0,,37.0,4.0,65.0,6.0,44.0,168.0,2022-12-19 16:50:01.696,3.3.2,41.0,32.0,27,True,,flake8-quotes,conda-forge/flake8-quotes,['flake8'],20456.0,19546.0,https://pypi.org/project/flake8-quotes,2022-12-19 16:50:01.696,910.0,724806.0,732946.0,https://anaconda.org/conda-forge/flake8-quotes,2023-06-16 13:20:50.267,683798.0,2.0,,,,,,,,,,,,,,,,,,,
