,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-01-25 18:36:46.000,2024-01-25 18:36:45,303.0,24.0,159.0,52.0,180.0,3.0,2119.0,2024-01-25 18:36:51.000,2024.01.25,100.0,14.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2024-01-25 21:28:12.000,2024-01-25 21:28:11,252.0,32.0,37.0,13.0,168.0,13.0,665.0,2023-06-29 18:48:34.000,2023.06.29,68.0,24.0,0,True,mkdocs/catalog,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2024-02-01 13:34:27.000,2024-01-31 12:53:21,15607.0,222.0,2479.0,191.0,5502.0,4762.0,11043.0,2024-01-27 21:58:13.000,8.0.0,169.0,940.0,48,True,,860.0,pytest,conda-forge/pytest,['pytest'],1161275.0,1139137.0,https://pypi.org/project/pytest,2024-01-27 21:47:54.000,22138.0,91862949.0,92464589.0,https://anaconda.org/conda-forge/pytest,2024-01-28 13:22:11.555,24065619.0,1.0,,,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2024-02-01 12:59:15.000,2024-01-31 08:34:18,14267.0,68.0,3078.0,316.0,5376.0,6105.0,9130.0,2023-12-17 13:05:02.000,23.3.2,137.0,762.0,47,True,,1102.0,pip,conda-forge/pip,,181117.0,169857.0,https://pypi.org/project/pip,2023-12-17 13:05:02.000,11260.0,274314699.0,276547211.0,https://anaconda.org/conda-forge/pip,2023-12-17 14:07:53.848,100463083.0,1.0,,,,,,,,,,,,,,,,,,,
6,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2024-01-31 17:23:49.000,2024-01-31 06:22:38,1804.0,88.0,2376.0,230.0,1663.0,2153.0,36076.0,2024-01-28 05:28:45.000,24.1.1,57.0,433.0,46,True,,373.0,black,conda-forge/black,,474030.0,459754.0,https://pypi.org/project/black,2024-01-28 05:28:45.000,14276.0,30840153.0,31054435.0,https://anaconda.org/conda-forge/black,2024-01-29 06:52:12.735,9174843.0,1.0,53942.0,,,,,,,,,,,,,,,,,,
7,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2024-01-30 06:46:16.000,2024-01-24 17:22:28,14401.0,216.0,1044.0,93.0,1492.0,1835.0,2243.0,2023-12-23 15:09:27.000,69.0.3,556.0,588.0,46,True,,576.0,setuptools,conda-forge/setuptools,,496449.0,456663.0,https://pypi.org/project/setuptools,2023-12-23 15:09:09.000,39786.0,326617191.0,328855493.0,https://anaconda.org/conda-forge/setuptools,2024-01-02 19:48:28.599,100723630.0,1.0,,,,,,,,,,,,,,,,,,,
8,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2024-02-01 09:35:39.000,2024-02-01 09:35:38,8719.0,48.0,1940.0,358.0,1854.0,3923.0,24417.0,2024-01-22 03:05:06.000,2023.11.17,384.0,498.0,45,True,,210.0,pipenv,conda-forge/pipenv,,129287.0,128024.0,https://pypi.org/project/pipenv,2024-01-22 03:05:06.000,1263.0,11322784.0,11325922.0,https://anaconda.org/conda-forge/pipenv,2024-01-22 05:08:29.539,141224.0,1.0,,,,,,,,,,,,,,,,,,,
9,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2024-02-01 10:52:08.000,2024-01-31 22:21:57,11704.0,106.0,2765.0,234.0,6810.0,7497.0,17096.0,2023-12-21 16:28:31.000,1.8.0,113.0,693.0,45,True,,2659.0,mypy,conda-forge/mypy,,234100.0,223873.0,https://pypi.org/project/mypy,2023-12-21 16:28:31.000,10227.0,20920936.0,21004695.0,https://anaconda.org/conda-forge/mypy,2023-12-21 19:13:37.556,3685401.0,1.0,,,,,,,,,,,,,,,,,,,
