,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge,new_addition
20,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/PyCQA/pylint,https://github.com/PyCQA/pylint,GPL-2.0,2015-12-09 05:40:02.000,2022-04-29 17:14:51.000,2022-04-28 21:22:09,6977.0,651.0,843.0,72.0,2358.0,3384.0,3944.0,2022-04-20 11:38:26.000,2.13.7,140.0,447.0,758.0,40,True,pylint,conda-forge/pylint,,21119.0,,https://pypi.org/project/pylint,2022-04-20 11:38:26.000,21119.0,10681333.0,10721222.0,https://anaconda.org/conda-forge/pylint,2022-04-27 16:37:02.408,2712491.0,1.0,,,,,,,,,,,,,,,,,,,,
21,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2022-04-28 15:55:25.000,2022-04-20 09:08:35,2075.0,13.0,412.0,41.0,1007.0,1284.0,2739.0,2022-04-11 09:52:56.000,3.25.0,129.0,258.0,48.0,40,True,tox,conda-forge/tox,['pytest'],78040.0,57415.0,https://pypi.org/project/tox,2022-04-11 09:52:56.000,20625.0,4806870.0,4814789.0,https://anaconda.org/conda-forge/tox,2022-04-11 14:06:18.755,435596.0,1.0,,,,,,,,,,,,,,,,,,,,
22,poetry,python-poetry/poetry,dependency-managers,Python dependency management and packaging made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2022-04-29 14:37:59.000,2022-04-28 23:00:37,2131.0,101.0,1572.0,178.0,1568.0,2590.0,19486.0,2022-02-10 21:34:42.000,1.1.13,144.0,340.0,1302.0,39,True,poetry,conda-forge/poetry,,130.0,,https://pypi.org/project/poetry,2022-03-17 10:49:30.000,130.0,6220468.0,6468020.0,https://anaconda.org/conda-forge/poetry,2022-04-23 22:29:58.092,398469.0,2.0,11653896.0,,,,,,,,,,,,,,,,,,,
23,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2022-04-25 00:03:36.000,2022-04-25 00:03:35,2215.0,59.0,596.0,78.0,898.0,1420.0,7995.0,2022-04-03 01:35:33.000,2.18.1,167.0,136.0,18.0,39,True,pre-commit,conda-forge/pre-commit,,50904.0,47755.0,https://pypi.org/project/pre-commit,2022-04-03 01:33:19.000,3149.0,5064376.0,5103392.0,https://anaconda.org/conda-forge/pre-commit,2022-04-08 14:26:51.952,1217160.0,1.0,53901.0,,,,,,,,,,,,,,,,,,,
24,hypothesis,HypothesisWorks/hypothesis,testing,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000,2022-04-28 16:25:07.000,2022-04-27 16:56:07,11596.0,264.0,490.0,65.0,2066.0,1194.0,5844.0,2022-04-27 16:56:29.000,hypothesis-python-6.45.1,949.0,264.0,51.0,39,True,hypothesis,conda-forge/hypothesis,,14355.0,12417.0,https://pypi.org/project/hypothesis,2022-04-27 16:56:13.000,1938.0,2577584.0,2656805.0,https://anaconda.org/conda-forge/hypothesis,2022-04-27 22:07:52.929,5466253.0,1.0,,,,,,,,,,,,,,,,,,,,
25,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000,2022-04-25 17:02:45.000,2022-04-25 17:02:44,2214.0,35.0,196.0,29.0,214.0,1343.0,1983.0,2021-10-11 12:42:47.000,4.0.1,81.0,161.0,39.0,39,True,flake8,conda-forge/flake8,,291404.0,250886.0,https://pypi.org/project/flake8,2021-10-11 12:42:47.000,40518.0,16005967.0,16063382.0,https://anaconda.org/conda-forge/flake8,2022-03-08 23:13:25.220,4019078.0,1.0,,,,,,,,,,,,,,,,,,,,
26,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2022-04-29 16:32:58.000,2022-04-29 16:32:58,8351.0,82.0,1788.0,233.0,1927.0,4202.0,9101.0,2022-04-25 18:27:42.000,5.0.1,37.0,427.0,307.0,38,True,pyinstaller,conda-forge/pyinstaller,,156.0,,https://pypi.org/project/pyinstaller,2022-04-25 18:27:42.000,156.0,805091.0,816542.0,https://anaconda.org/conda-forge/pyinstaller,2022-04-27 11:53:30.485,303448.0,1.0,726656.0,,,,,,,,,,,,,,,,,,,
27,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2022-04-13 10:58:09.000,2022-01-07 06:54:33,3876.0,,444.0,38.0,842.0,1009.0,4798.0,2021-11-09 05:43:22.000,5.10.1,132.0,254.0,69.0,38,True,isort,conda-forge/isort,,253409.0,239103.0,https://pypi.org/project/isort,2021-11-09 05:42:44.000,14306.0,21167371.0,21211018.0,https://anaconda.org/conda-forge/isort,2021-11-09 08:52:00.919,3011696.0,2.0,,,,,,,,,,,,,,,,,,,,
28,sentry-sdk,getsentry/sentry-python,logging,The official Python SDK for Sentry.io.,,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,BSD-2-Clause,2018-06-18 22:51:10.000,2022-04-28 12:35:16.000,2022-04-27 12:17:46,1395.0,49.0,280.0,45.0,780.0,516.0,1209.0,2022-04-15 06:34:05.000,1.5.10,146.0,128.0,138.0,38,True,sentry-sdk,conda-forge/sentry-sdk,,21218.0,20240.0,https://pypi.org/project/sentry-sdk,2022-04-15 06:33:51.000,978.0,16218484.0,16222363.0,https://anaconda.org/conda-forge/sentry-sdk,2022-04-15 10:43:43.827,154261.0,1.0,4704.0,,,,,,,,,,,,,,,,,,,
29,Glances,nicolargo/glances,profiling,"Glances an Eye on your system. A top/htop alternative for GNU/Linux, BSD, Mac OS and Windows operating systems.",,https://github.com/nicolargo/glances,https://github.com/nicolargo/glances,LGPL-3.0,2011-12-04 08:49:15.000,2022-04-29 15:46:12.000,2022-04-21 08:46:07,4271.0,43.0,1289.0,496.0,527.0,1259.0,20355.0,2022-04-16 07:01:10.000,3.2.5,79.0,154.0,216.0,37,True,glances,conda-forge/glances,,487.0,437.0,https://pypi.org/project/glances,2022-04-10 14:16:00.000,50.0,192565.0,194670.0,https://anaconda.org/conda-forge/glances,2022-04-13 05:53:17.874,153080.0,1.0,757.0,,,,,,,,,,,,,,,,,,,
30,yapf,google/yapf,formatters,A formatter for Python files.,,https://github.com/google/yapf,https://github.com/google/yapf,Apache-2.0,2015-03-18 18:22:31.000,2022-04-21 19:11:05.000,2022-03-01 23:11:32,1205.0,20.0,852.0,213.0,258.0,395.0,12502.0,2020-04-23 19:07:36.000,0.30.0,68.0,136.0,346.0,37,True,yapf,conda-forge/yapf,,33564.0,31475.0,https://pypi.org/project/yapf,2021-12-26 07:48:00.000,2089.0,1827732.0,1841845.0,https://anaconda.org/conda-forge/yapf,2022-01-06 16:55:17.692,987926.0,2.0,,,,,,,,,,,,,,,,,,,,
31,loguru,Delgan/loguru,logging,Python logging made (stupidly) simple.,,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32.000,2022-04-29 10:37:09.000,2022-04-29 10:37:00,598.0,15.0,515.0,114.0,64.0,489.0,11604.0,2022-01-29 13:50:01.000,0.6.0,18.0,36.0,121.0,37,True,loguru,conda-forge/loguru,,18744.0,17267.0,https://pypi.org/project/loguru,2020-09-20 07:54:28.000,1477.0,3764262.0,3776026.0,https://anaconda.org/conda-forge/loguru,2022-04-08 18:48:43.959,447067.0,2.0,,,,,,,,,,,,,,,,,,,,
32,pycodestyle,PyCQA/pycodestyle,linters,Simple Python style checker in one Python file.,,https://github.com/PyCQA/pycodestyle,https://github.com/PyCQA/pycodestyle,Saxpath,2009-10-02 00:43:37.000,2022-04-17 15:20:14.000,2022-04-17 15:20:13,1283.0,10.0,614.0,121.0,408.0,561.0,4560.0,2021-10-11 00:56:25.000,2.8.0,13.0,131.0,113.0,37,True,pycodestyle,conda-forge/pycodestyle,,222681.0,211443.0,https://pypi.org/project/pycodestyle,2021-10-11 00:56:25.000,11238.0,24202658.0,24262288.0,https://anaconda.org/conda-forge/pycodestyle,2021-10-11 20:03:59.620,4174126.0,1.0,,,,,,,,,,,,,,,,,,,,
33,bandit,PyCQA/bandit,security,Bandit is a tool designed to find common security issues in Python code.,,https://github.com/PyCQA/bandit,https://github.com/PyCQA/bandit,Apache-2.0,2018-04-26 09:08:12.000,2022-04-28 04:47:30.000,2022-04-28 04:47:29,1254.0,58.0,413.0,61.0,307.0,416.0,4089.0,2022-03-04 07:43:44.000,1.7.4,35.0,149.0,178.0,37,True,bandit,conda-forge/bandit,,14137.0,12653.0,https://pypi.org/project/bandit,2022-03-04 07:43:44.000,1484.0,2515164.0,2518763.0,https://anaconda.org/conda-forge/bandit,2022-04-16 19:08:19.798,125759.0,1.0,273.0,,,,,,,,,,,,,,,,,,,
34,packaging,pypa/packaging,packaging,Core utilities for Python packages.,,https://github.com/pypa/packaging,https://github.com/pypa/packaging,BSD-2-Clause,2014-05-15 22:49:43.000,2022-04-26 15:01:50.000,2022-04-11 21:58:16,544.0,13.0,175.0,27.0,300.0,183.0,386.0,2021-11-18 00:41:06.000,21.3,39.0,78.0,66.0,37,True,packaging,conda-forge/packaging,,375823.0,358978.0,https://pypi.org/project/packaging,2021-11-18 00:39:10.000,16845.0,102688154.0,102894544.0,https://anaconda.org/conda-forge/packaging,2021-11-18 12:50:05.153,14446631.0,1.0,315.0,,,,,,,,,,,,,,,,,,,
35,pip-tools,jazzband/pip-tools,dependency-managers,A set of tools to keep your pinned Python dependencies fresh.,,https://github.com/jazzband/pip-tools,https://github.com/jazzband/pip-tools,BSD-3-Clause,2012-09-10 08:50:26.000,2022-04-28 21:55:42.000,2022-04-06 06:45:03,1701.0,31.0,492.0,101.0,764.0,692.0,5844.0,2022-04-06 07:32:00.000,6.6.0,100.0,164.0,142.0,36,True,pip-tools,conda-forge/pip-tools,,1816.0,,https://pypi.org/project/pip-tools,2022-04-06 07:42:48.000,1816.0,5528448.0,5529679.0,https://anaconda.org/conda-forge/pip-tools,2022-04-06 11:12:40.631,29562.0,2.0,,,,,,,,,,,,,,,,,,,,
36,buildbot,buildbot/buildbot,build-tools,Python-based continuous integration testing framework; your pull requests are more than welcome!.,,https://github.com/buildbot/buildbot,https://github.com/buildbot/buildbot,GPL-2.0,2010-07-06 17:56:53.000,2022-04-29 13:12:49.000,2022-04-25 17:18:03,22692.0,275.0,1567.0,204.0,5049.0,765.0,4811.0,2022-03-06 14:20:53.000,3.5.0,118.0,812.0,640.0,36,True,buildbot,conda-forge/buildbot,,732.0,275.0,https://pypi.org/project/buildbot,2022-03-06 14:20:53.000,457.0,57174.0,59286.0,https://anaconda.org/conda-forge/buildbot,2022-03-07 17:00:43.605,52254.0,1.0,24516.0,,,,,,,,,,,,,,,,,,,
37,rope,python-rope/rope,refactoring,a python refactoring library.,,https://github.com/python-rope/rope,https://github.com/python-rope/rope,LGPL-3.0,2013-11-30 15:30:20.000,2022-04-28 05:59:17.000,2022-04-28 05:04:35,2377.0,92.0,152.0,25.0,210.0,163.0,1314.0,2022-04-07 16:35:13.000,1.0.0,71.0,69.0,74.0,36,True,rope,conda-forge/rope,,38030.0,36432.0,https://pypi.org/project/rope,2022-04-07 16:35:13.000,1598.0,642203.0,653492.0,https://anaconda.org/conda-forge/rope,2022-04-07 20:07:50.613,677399.0,1.0,,,,,,,,,,,,,,,,,,,,
38,numpydoc,numpy/numpydoc,documentation,Numpys Sphinx extensions.,,https://github.com/numpy/numpydoc,https://github.com/numpy/numpydoc,BSD-3-Clause,2013-07-24 16:23:39.000,2022-04-25 21:16:24.000,2022-04-25 21:16:17,488.0,18.0,6777.0,34.0,217.0,111.0,20111.0,2022-03-29 22:58:07.000,1.2.1,17.0,70.0,61.0,35,True,numpydoc,conda-forge/numpydoc,['sphinx'],35926.0,31576.0,https://pypi.org/project/numpydoc,2022-04-25 21:15:47.000,4350.0,328451.0,344857.0,https://anaconda.org/conda-forge/numpydoc,2022-03-31 18:52:21.214,1033638.0,2.0,,,,,,,,,,,,,,,,,,,,
39,pyright,Microsoft/pyright,linters,Static type checker for Python.,,https://github.com/microsoft/pyright,https://github.com/microsoft/pyright,MIT,2019-03-12 03:38:46.000,2022-04-29 16:09:57.000,2022-04-29 16:09:57,4919.0,392.0,446.0,79.0,385.0,2736.0,7892.0,2022-04-27 21:34:38.000,1.1.241,320.0,76.0,16.0,35,True,,,,250.0,247.0,,,,,254480.0,,,,1.0,,,,,,,,pyright,https://www.npmjs.com/package/pyright,2022-04-27 21:26:21.483,3.0,254480.0,,,,,,,,
40,autopep8,hhatto/autopep8,formatters,A tool that automatically formats Python code to conform to the PEP 8 style guide.,,https://github.com/hhatto/autopep8,https://github.com/hhatto/autopep8,MIT,2010-12-29 20:08:51.000,2022-04-20 13:28:05.000,2022-04-05 11:58:31,2743.0,8.0,266.0,66.0,197.0,341.0,4052.0,2021-10-24 07:01:21.000,1.6.0,68.0,53.0,93.0,35,True,autopep8,conda-forge/autopep8,,120953.0,115346.0,https://pypi.org/project/autopep8,2021-10-24 06:47:35.000,5607.0,2912515.0,2922073.0,https://anaconda.org/conda-forge/autopep8,2021-10-26 17:07:50.178,669099.0,3.0,,,,,,,,,,,,,,,,,,,,
41,invoke,pyinvoke/invoke,build-tools,Pythonic task management & command execution.,,https://github.com/pyinvoke/invoke,https://github.com/pyinvoke/invoke,BSD-2-Clause,2012-02-29 23:59:23.000,2022-04-24 18:43:37.000,2022-03-25 23:08:27,3554.0,29.0,310.0,96.0,214.0,371.0,3574.0,2022-03-19 00:18:35.000,1.7.0,55.0,57.0,339.0,35,True,invoke,conda-forge/invoke,,14155.0,11551.0,https://pypi.org/project/invoke,2022-03-19 00:18:35.000,2604.0,2792933.0,2800732.0,https://anaconda.org/conda-forge/invoke,2022-03-19 12:11:58.249,561574.0,2.0,,,,,,,,,,,,,,,,,,,,
42,wemake-python-styleguide,wemake-services/wemake-python-styleguide,linters,The strictest and most opinionated python linter ever!.,,https://github.com/wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide,MIT,2018-03-09 21:04:25.000,2022-04-29 14:27:58.000,2022-04-28 09:51:22,2048.0,53.0,326.0,24.0,1401.0,921.0,1855.0,2022-03-11 19:01:02.000,0.16.1,54.0,165.0,85.0,35,True,wemake-python-styleguide,,,1303.0,1278.0,https://pypi.org/project/wemake-python-styleguide,2022-03-11 18:59:38.000,25.0,122377.0,122377.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
43,twine,pypa/twine,build-tools,Utilities for interacting with PyPI.,,https://github.com/pypa/twine,https://github.com/pypa/twine,Apache-2.0,2013-08-13 15:39:39.000,2022-04-21 23:59:46.000,2022-04-21 23:59:46,1038.0,17.0,261.0,29.0,482.0,369.0,1259.0,2022-04-02 09:26:32.000,4.0.0,49.0,105.0,36.0,35,True,twine,conda-forge/twine,,74459.0,62143.0,https://pypi.org/project/twine,2022-03-31 12:51:28.000,12316.0,3038393.0,3044883.0,https://anaconda.org/conda-forge/twine,2022-03-31 17:08:56.609,441360.0,2.0,,,,,,,,,,,,,,,,,,,,
44,pyflakes,PyCQA/pyflakes,linters,A simple program which checks Python source files for errors.,,https://github.com/PyCQA/pyflakes,https://github.com/PyCQA/pyflakes,MIT,2014-04-07 06:19:46.000,2022-03-25 15:05:49.000,2022-03-25 15:05:29,521.0,3.0,158.0,27.0,254.0,375.0,1128.0,2021-10-06 20:39:49.000,2.4.0,33.0,80.0,84.0,35,True,pyflakes,conda-forge/pyflakes,,143258.0,129672.0,https://pypi.org/project/pyflakes,2021-10-06 20:39:49.000,13586.0,16313716.0,16370914.0,https://anaconda.org/conda-forge/pyflakes,2021-10-07 19:30:05.408,4003923.0,1.0,,,,,,,,,,,,,,,,,,,,
