,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge,new_addition
45,sphinx_rtd_theme,readthedocs/sphinx_rtd_theme,documentation,Sphinx theme for readthedocs.org.,,https://github.com/readthedocs/sphinx_rtd_theme,https://github.com/readthedocs/sphinx_rtd_theme,MIT,2013-10-17 17:10:49.000,2022-04-28 17:39:04.000,2022-04-28 17:39:04,1348.0,1.0,1668.0,154.0,589.0,543.0,4058.0,2018-10-05 13:20:49.000,0.4.2,23.0,109.0,214.0,34,True,sphinx_rtd_theme,conda-forge/sphinx_rtd_theme,['sphinx'],11947.0,16.0,https://pypi.org/project/sphinx_rtd_theme,2018-10-05 13:20:49.000,11931.0,2259141.0,2292938.0,https://anaconda.org/conda-forge/sphinx_rtd_theme,2021-09-17 07:30:33.268,2298240.0,2.0,,,,,,,-1.0,,,,,,,,,,,,,
46,freezegun,spulec/freezegun,testing,Let your Python tests travel through time.,,https://github.com/spulec/freezegun,https://github.com/spulec/freezegun,Apache-2.0,2012-12-11 05:11:00.000,2022-03-18 11:36:36.297,2022-03-18 09:05:17,550.0,8.0,223.0,32.0,197.0,170.0,3249.0,2022-03-18 09:06:37.000,1.2.1,58.0,100.0,102.0,34,True,freezegun,conda-forge/freezegun,,4447.0,,https://pypi.org/project/freezegun,2022-03-18 09:06:37.000,4447.0,4995473.0,5000323.0,https://anaconda.org/conda-forge/freezegun,2022-03-18 11:36:36.297,354070.0,1.0,,,,,,,,,,,,,,,,,,,,
47,structlog,hynek/structlog,logging,Structured Logging for Python.,,https://github.com/hynek/structlog,https://github.com/hynek/structlog,Apache-2.0,2013-08-13 15:55:58.000,2022-04-26 07:54:01.000,2022-04-26 07:53:55,1027.0,22.0,155.0,32.0,195.0,191.0,1982.0,2021-12-16 12:54:47.000,21.5.0,27.0,89.0,27.0,34,True,structlog,conda-forge/structlog,,899.0,,https://pypi.org/project/structlog,2021-12-16 12:48:09.000,899.0,3793337.0,3796003.0,https://anaconda.org/conda-forge/structlog,2022-01-06 16:55:04.638,183958.0,2.0,,,,,,,,,,,,,,,,,,,,
48,pytest-mock,pytest-dev/pytest-mock,testing,Thin-wrapper around the mock package for easier use with pytest.,,https://github.com/pytest-dev/pytest-mock,https://github.com/pytest-dev/pytest-mock,MIT,2014-07-17 00:40:32.000,2022-04-22 14:49:44.000,2022-04-22 14:49:44,477.0,19.0,101.0,35.0,173.0,102.0,1344.0,2022-01-28 11:41:08.000,3.7.0,53.0,55.0,14.0,34,True,pytest-mock,conda-forge/pytest-mock,['pytest'],30131.0,25959.0,https://pypi.org/project/pytest-mock,2022-01-28 11:25:58.000,4172.0,5986783.0,6007865.0,https://anaconda.org/conda-forge/pytest-mock,2022-04-22 11:27:41.799,1454715.0,1.0,,,,,,,,,,,,,,,,,,,,
49,python-json-logger,madzak/python-json-logger,logging,Json Formatter for the standard python logger.,,https://github.com/madzak/python-json-logger,https://github.com/madzak/python-json-logger,BSD-2-Clause,2011-12-27 05:12:26.000,2022-04-01 09:27:58.000,2022-02-06 17:21:56,216.0,17.0,175.0,23.0,63.0,47.0,1247.0,2021-07-27 23:09:33.000,2.0.2,22.0,50.0,30.0,34,True,python-json-logger,conda-forge/python-json-logger,,25757.0,25068.0,https://pypi.org/project/python-json-logger,2021-07-27 23:09:33.000,689.0,6017465.0,6036561.0,https://anaconda.org/conda-forge/python-json-logger,2020-10-12 23:31:31.855,1145802.0,2.0,,,,,,,,,,,,,,,,,,,,
50,pytest-cov,pytest-dev/pytest-cov,testing,Coverage plugin for pytest.,,https://github.com/pytest-dev/pytest-cov,https://github.com/pytest-dev/pytest-cov,MIT,2014-04-17 20:01:12.000,2022-04-11 21:28:51.000,2022-02-02 17:53:26,870.0,1.0,168.0,34.0,211.0,211.0,1232.0,2021-10-04 01:48:57.000,3.0.0,43.0,74.0,111.0,34,True,pytest-cov,conda-forge/pytest-cov,['pytest'],153707.0,125293.0,https://pypi.org/project/pytest-cov,2021-10-04 01:48:57.000,28414.0,13963011.0,14032435.0,https://anaconda.org/conda-forge/pytest-cov,2021-10-04 14:17:04.977,5068010.0,1.0,,,,,,,,,,,,,,,,,,,,
51,pytest-xdist,pytest-dev/pytest-xdist,testing,pytest plugin for distributed testing and loop-on-failures testing modes.,,https://github.com/pytest-dev/pytest-xdist,https://github.com/pytest-dev/pytest-xdist,MIT,2015-09-01 18:51:45.000,2022-04-21 18:44:20.000,2022-04-20 21:00:28,990.0,24.0,158.0,47.0,303.0,260.0,875.0,2021-12-10 11:41:55.000,2.5.0,58.0,81.0,209.0,34,True,pytest-xdist,conda-forge/pytest-xdist,['pytest'],4513.0,,https://pypi.org/project/pytest-xdist,2021-12-10 11:41:55.000,4513.0,5978427.0,6016673.0,https://anaconda.org/conda-forge/pytest-xdist,2021-12-10 14:46:36.827,2638991.0,1.0,,,,,,,,,,,,,,,,,,,,
52,wheel,pypa/wheel,build-tools,The official binary distribution format for Python.,,https://github.com/pypa/wheel,https://github.com/pypa/wheel,MIT,2016-07-16 23:19:28.580,2022-04-11 19:27:45.000,2022-04-11 19:27:44,785.0,4.0,103.0,24.0,115.0,303.0,318.0,2021-12-22 12:22:00.000,0.37.1,66.0,64.0,35.0,34,True,wheel,conda-forge/wheel,,34659.0,,https://pypi.org/project/wheel,2021-12-22 12:22:00.000,34659.0,109785535.0,110223236.0,https://anaconda.org/conda-forge/wheel,2021-12-22 18:22:48.622,30201428.0,2.0,,,,,,,,,,,,,,,,,,,,
53,pyautogui,asweigart/pyautogui,testing,A cross-platform GUI automation Python module for human beings. Used to programmatically control the mouse & keyboard.,,https://github.com/asweigart/pyautogui,https://github.com/asweigart/pyautogui,BSD-3-Clause,2014-07-17 23:30:38.000,2022-04-23 08:38:53.000,2021-09-14 17:41:07,402.0,,865.0,171.0,135.0,205.0,6533.0,2021-07-07 17:05:04.000,0.9.53,50.0,51.0,373.0,33,True,pyautogui,conda-forge/pyautogui,,14913.0,14345.0,https://pypi.org/project/pyautogui,2021-07-07 17:05:04.000,568.0,454186.0,456941.0,https://anaconda.org/conda-forge/pyautogui,2021-11-11 10:15:02.687,146049.0,2.0,,,,,,,,,,,,,,,,,,,,
54,pyre-check,facebook/pyre-check,linters,Performant type-checking for python.,,https://github.com/facebook/pyre-check,https://github.com/facebook/pyre-check,MIT,2017-11-10 17:31:36.000,2022-04-29 13:30:08.000,2022-04-29 13:28:45,11392.0,534.0,380.0,100.0,279.0,220.0,5874.0,2022-04-23 04:20:22.000,0.9.13,71.0,195.0,95.0,33,True,pyre-check,,,32.0,,https://pypi.org/project/pyre-check,2022-04-23 04:20:22.000,32.0,38464.0,38464.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
55,pytype,google/pytype,linters,A static type analyzer for Python code.,,https://github.com/google/pytype,https://github.com/google/pytype,Apache-2.0,2015-03-18 20:52:08.000,2022-04-27 07:10:14.481,2022-04-26 21:08:59,5254.0,224.0,240.0,58.0,676.0,421.0,3712.0,2022-04-26 21:18:13.000,2022.4.26,135.0,73.0,99.0,33,True,pytype,conda-forge/pytype,,95.0,,https://pypi.org/project/pytype,2022-04-26 21:18:13.000,95.0,135734.0,138818.0,https://anaconda.org/conda-forge/pytype,2022-04-27 07:10:14.481,70944.0,2.0,,,,,,,,,,,,,,,,,,,,
56,doit,pydoit/doit,build-tools,task management & automation tool.,,https://github.com/pydoit/doit,https://github.com/pydoit/doit,MIT,2014-02-14 22:21:23.000,2022-04-23 14:52:12.000,2022-04-22 15:30:33,1453.0,33.0,150.0,50.0,155.0,208.0,1356.0,2022-04-22 15:33:23.000,0.36.0,48.0,63.0,64.0,33,True,doit,conda-forge/doit,,1209.0,928.0,https://pypi.org/project/doit,2022-04-22 15:33:23.000,281.0,307468.0,309168.0,https://anaconda.org/conda-forge/doit,2022-04-22 16:36:58.774,88438.0,2.0,,,,,,,,,,,,,,,,,,,,
57,nose,nose-devs/nose,testing,nose is nicer testing for python.,,https://github.com/nose-devs/nose,https://github.com/nose-devs/nose,LGPL-2.1+,2011-12-13 19:36:32.000,2021-10-25 05:23:45.000,2016-03-04 01:16:26,1004.0,,366.0,47.0,261.0,462.0,1348.0,2015-06-02 09:12:36.000,1.3.7,14.0,95.0,447.0,33,False,nose,conda-forge/nose,,169077.0,124518.0,https://pypi.org/project/nose,2015-06-02 09:12:36.000,44559.0,5516862.0,5547102.0,https://anaconda.org/conda-forge/nose,2020-10-11 16:52:20.277,2147082.0,2.0,,,,,,,,,,,,,,,,,,,,
58,tabulate,astanin/python-tabulate,logging,"Pretty-print tabular data in Python, a library and a command-line utility. Repository migrated from..",,https://github.com/astanin/python-tabulate,https://github.com/astanin/python-tabulate,MIT,2016-05-01 20:47:06.376,2022-04-14 21:10:25.000,2022-01-07 13:26:45,504.0,,102.0,17.0,58.0,59.0,1211.0,2021-02-22 07:34:12.000,0.8.9,25.0,68.0,61.0,33,True,tabulate,conda-forge/tabulate,,78875.0,72552.0,https://pypi.org/project/tabulate,2021-02-22 07:34:12.000,6323.0,34145859.0,34176332.0,https://anaconda.org/conda-forge/tabulate,2021-02-22 13:39:52.132,2163629.0,2.0,,,,,,,,,,,,,,,,,,,,
59,progressbar2,WoLpH/python-progressbar,logging,Progressbar 2 - A progress bar for Python 2 and Python 3 - pip install progressbar2.,,https://github.com/WoLpH/python-progressbar,https://github.com/WoLpH/python-progressbar,BSD-3-Clause,2012-02-20 06:19:21.000,2022-02-01 19:09:44.843,2022-01-05 13:41:29,905.0,,100.0,21.0,63.0,189.0,762.0,2022-01-05 13:43:27.000,4.0.0,99.0,40.0,14.0,33,True,progressbar2,conda-forge/progressbar2,,18085.0,16599.0,https://pypi.org/project/progressbar2,2022-01-05 13:41:41.000,1486.0,8290412.0,8297117.0,https://anaconda.org/conda-forge/progressbar2,2022-02-01 19:09:44.843,440677.0,2.0,1672.0,,,,,,,,,,,,,,,,,,,
60,breathe,michaeljones/breathe,documentation,ReStructuredText and Sphinx bridge to Doxygen.,,https://github.com/michaeljones/breathe,https://github.com/michaeljones/breathe,BSD-3-Clause,2009-02-03 18:52:25.000,2022-04-25 06:56:18.000,2022-03-03 16:12:27,1695.0,78.0,157.0,17.0,325.0,379.0,594.0,2022-02-14 17:11:39.000,4.33.1,63.0,101.0,125.0,33,True,breathe,conda-forge/breathe,,7484.0,6456.0,https://pypi.org/project/breathe,2022-02-14 17:11:07.000,1028.0,240797.0,245323.0,https://anaconda.org/conda-forge/breathe,2022-02-14 04:05:23.893,297154.0,2.0,289.0,,,,,,,,,,,,,,,,,,,
61,setuptools_scm,pypa/setuptools_scm,build-tools,the blessed package to manage your versions by scm tags.,,https://github.com/pypa/setuptools_scm,https://github.com/pypa/setuptools_scm,MIT,2015-07-01 17:57:56.000,2022-04-26 08:19:15.000,2022-04-15 15:24:02,1279.0,32.0,156.0,23.0,314.0,312.0,566.0,2022-01-19 10:32:28.000,6.4.2,47.0,102.0,82.0,33,True,setuptools_scm,conda-forge/setuptools_scm,,380.0,,https://pypi.org/project/setuptools_scm,2018-08-09 06:35:57.000,380.0,14313749.0,14326884.0,https://anaconda.org/conda-forge/setuptools_scm,2022-01-19 14:29:46.963,958921.0,2.0,,,,,,,,,,,,,,,,,,,,
62,Nuitka,Nuitka/Nuitka,packaging,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.3, 3.4, 3.5, 3.6, 3.7,..",,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,Apache-2.0,2013-04-23 15:40:33.000,2022-04-29 16:25:37.000,2022-04-28 08:13:46,9127.0,309.0,375.0,118.0,222.0,1087.0,6665.0,2022-04-03 07:36:55.000,0.7.7,188.0,113.0,219.0,32,True,nuitka,conda-forge/nuitka,,36.0,,https://pypi.org/project/nuitka,2022-04-03 07:36:55.000,36.0,28279.0,32932.0,https://anaconda.org/conda-forge/nuitka,2022-04-03 11:53:07.524,335020.0,2.0,,,,,,,,,,,,,,,,,,,,
63,playwright-python,microsoft/playwright-python,testing,Python version of the Playwright testing and automation library.,,https://github.com/microsoft/playwright-python,https://github.com/microsoft/playwright-python,Apache-2.0,2020-07-01 15:28:13.000,2022-04-27 17:43:46.000,2022-04-27 17:43:46,503.0,33.0,561.0,106.0,549.0,610.0,6192.0,2022-04-13 20:13:33.000,1.21.0,75.0,24.0,31.0,32,True,playwright,,,1140.0,1082.0,https://pypi.org/project/playwright,2022-04-13 20:13:33.000,58.0,279023.0,279023.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
64,pudb,inducer/pudb,debugging,Full-screen console debugger for Python.,,https://github.com/inducer/pudb,https://github.com/inducer/pudb,MIT,2011-05-13 23:44:30.000,2022-04-28 16:09:35.000,2022-04-13 05:48:29,1159.0,5.0,196.0,46.0,227.0,152.0,2381.0,2022-03-12 19:52:37.000,2022.1.1,74.0,83.0,142.0,32,True,pudb,conda-forge/pudb,,3790.0,3055.0,https://pypi.org/project/pudb,2022-03-12 19:52:37.000,735.0,181801.0,183559.0,https://anaconda.org/conda-forge/pudb,2022-01-11 21:31:34.620,121306.0,1.0,,,,,,,,,,,,,,,,,,,,
65,pex,pantsbuild/pex,packaging,A library and tool for generating .pex (Python EXecutable) files.,,https://github.com/pantsbuild/pex,https://github.com/pantsbuild/pex,Apache-2.0,2014-07-21 17:06:12.000,2022-04-29 14:48:47.000,2022-04-29 14:29:29,1124.0,83.0,220.0,55.0,887.0,703.0,2072.0,2022-04-29 14:48:47.000,2.1.83,171.0,103.0,150.0,32,True,pex,,,132.0,,https://pypi.org/project/pex,2022-04-29 14:48:47.000,132.0,307867.0,327853.0,,,,2.0,779467.0,,,,,,,,,,,,,,,,,,,
66,scons,SCons/scons,build-tools,SCons - a software construction tool.,,https://github.com/SCons/scons,https://github.com/SCons/scons,MIT,2017-03-23 22:12:34.579,2022-04-26 16:56:02.000,2022-04-19 13:30:51,7819.0,111.0,255.0,57.0,829.0,2681.0,1402.0,2022-02-15 17:54:05.000,4.3.0,14.0,141.0,655.0,32,True,scons,conda-forge/scons,,37.0,,https://pypi.org/project/scons,2019-12-17 02:49:51.000,37.0,208933.0,213511.0,https://anaconda.org/conda-forge/scons,2021-11-17 22:33:26.201,278621.0,3.0,427.0,,,,,,,,,,,,,,,,,,,
67,pytest-asyncio,pytest-dev/pytest-asyncio,testing,Pytest support for asyncio.,,https://github.com/pytest-dev/pytest-asyncio,https://github.com/pytest-dev/pytest-asyncio,Apache-2.0,2015-04-11 00:18:05.000,2022-04-25 18:26:32.000,2022-04-22 14:01:04,268.0,34.0,100.0,38.0,144.0,174.0,931.0,2022-03-25 09:44:00.000,0.18.3,31.0,37.0,31.0,32,True,pytest-asyncio,conda-forge/pytest-asyncio,['pytest'],1904.0,,https://pypi.org/project/pytest-asyncio,2022-03-25 09:43:57.000,1904.0,3799504.0,3815330.0,https://anaconda.org/conda-forge/pytest-asyncio,2022-03-25 14:39:13.787,933287.0,2.0,26.0,,,,,,,,,,,,,,,,,,,
68,pydocstyle,PyCQA/pydocstyle,linters,docstring style checker.,,https://github.com/PyCQA/pydocstyle,https://github.com/PyCQA/pydocstyle,MIT,2012-01-31 17:18:23.000,2022-04-14 20:38:25.000,2022-04-05 09:33:19,724.0,5.0,162.0,22.0,299.0,207.0,880.0,2021-05-17 20:37:45.000,6.1.1,17.0,81.0,83.0,32,True,pydocstyle,conda-forge/pydocstyle,,28091.0,25696.0,https://pypi.org/project/pydocstyle,2021-05-17 20:37:45.000,2395.0,2145325.0,2154375.0,https://anaconda.org/conda-forge/pydocstyle,2021-05-18 22:35:13.379,624490.0,2.0,56.0,,,,,,,,,,,,,,,,,,,
69,nose2,nose-devs/nose2,testing,"The successor to nose, based on unittest2.",,https://github.com/nose-devs/nose2,https://github.com/nose-devs/nose2,BSD-3-Clause,2011-12-14 15:33:15.000,2022-04-26 15:22:13.000,2022-04-18 15:55:29,1042.0,30.0,136.0,24.0,263.0,205.0,707.0,2022-02-13 00:26:17.000,0.11.0,27.0,73.0,49.0,32,True,nose2,conda-forge/nose2,,5822.0,4745.0,https://pypi.org/project/nose2,2022-02-13 00:26:17.000,1077.0,461498.0,462554.0,https://anaconda.org/conda-forge/nose2,2020-02-02 06:02:02.004,49638.0,2.0,,,,,,,,,,,,,,,,,,,,
70,parso,davidhalter/parso,linters,A Python Parser.,,https://github.com/davidhalter/parso,https://github.com/davidhalter/parso,MIT,2017-05-08 20:14:30.000,2022-02-14 23:25:40.000,2022-02-14 23:25:40,1098.0,2.0,83.0,19.0,100.0,97.0,491.0,2021-11-30 21:05:47.000,0.8.3,26.0,44.0,7.0,32,True,parso,conda-forge/parso,,199321.0,193418.0,https://pypi.org/project/parso,2021-11-30 21:05:47.000,5903.0,14390741.0,14530116.0,https://anaconda.org/conda-forge/parso,2021-12-01 05:04:36.494,7247530.0,2.0,,,,,,,,,,,,,,,,,,,,
71,pyenv,pyenv/pyenv,virtual-envs,Simple Python version management.,,https://github.com/pyenv/pyenv,https://github.com/pyenv/pyenv,MIT,2012-08-31 06:57:52.000,2022-04-29 16:21:52.000,2022-04-29 05:54:22,2822.0,26.0,2423.0,380.0,803.0,1409.0,26985.0,2022-03-18 05:10:17.000,2.2.5,55.0,364.0,50.0,31,True,pyenv,,,1.0,,https://pypi.org/project/pyenv,2019-01-12 14:49:22.000,1.0,7605.0,7605.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
72,sqlmap,sqlmapproject/sqlmap,security,Automatic SQL injection and database takeover tool.,,https://github.com/sqlmapproject/sqlmap,https://github.com/sqlmapproject/sqlmap,GPL-3.0,2012-06-26 09:52:15.000,2022-04-29 15:32:19.000,2022-04-29 15:32:16,9938.0,41.0,4617.0,1054.0,316.0,4618.0,23304.0,2022-03-02 12:28:14.000,1.6.3,78.0,115.0,51.0,31,True,sqlmap,,,6.0,,https://pypi.org/project/sqlmap,2022-04-04 22:12:22.000,6.0,6213.0,6213.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
73,PySnooper,cool-RR/PySnooper,debugging,Never use print for debugging again.,,https://github.com/cool-RR/PySnooper,https://github.com/cool-RR/PySnooper,MIT,2019-04-18 13:55:43.000,2022-04-04 02:05:04.609,2022-04-02 15:07:32,305.0,3.0,918.0,233.0,111.0,96.0,15000.0,2022-04-02 15:00:56.000,1.1.1,57.0,27.0,19.0,31,True,pysnooper,conda-forge/pysnooper,,691.0,643.0,https://pypi.org/project/pysnooper,2022-04-02 15:00:56.000,48.0,165707.0,166980.0,https://anaconda.org/conda-forge/pysnooper,2022-04-04 02:05:04.609,44580.0,1.0,,,,,,,,,,,,,,,,,,,,
74,Scalene,plasma-umass/scalene,profiling,"Scalene: a high-performance, high-precision CPU, GPU, and memory profiler for Python.",,https://github.com/plasma-umass/scalene,https://github.com/plasma-umass/scalene,Apache-2.0,2019-12-17 20:56:28.000,2022-04-28 17:03:29.000,2022-04-28 17:01:17,2423.0,198.0,201.0,62.0,166.0,152.0,5596.0,2022-04-24 18:24:46.000,1.5.7,126.0,30.0,54.0,31,True,scalene,,,100.0,97.0,https://pypi.org/project/scalene,2022-04-24 18:24:46.000,3.0,6597.0,6597.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
75,pipreqs,bndr/pipreqs,dependency-managers,pipreqs - Generate pip requirements.txt file based on imports of any project. Looking for maintainers to move this..,,https://github.com/bndr/pipreqs,https://github.com/bndr/pipreqs,Apache-2.0,2015-04-22 16:38:14.000,2022-04-10 09:49:37.000,2021-10-23 09:17:21,311.0,,288.0,60.0,120.0,93.0,4203.0,2021-12-15 16:10:13.225,0.1.0,40.0,51.0,111.0,31,True,pipreqs,conda-forge/pipreqs,,10553.0,10225.0,https://pypi.org/project/pipreqs,2021-10-23 09:15:35.000,328.0,256779.0,257144.0,https://anaconda.org/conda-forge/pipreqs,2022-04-08 21:43:21.706,24463.0,2.0,,,,,,,,,,,,,,,,,,,,
76,mimesis,lk-geimfari/mimesis,testing,"Mimesis is a high-performance fake data generator for Python, which provides data for a variety of purposes in a..",,https://github.com/lk-geimfari/mimesis,https://github.com/lk-geimfari/mimesis,MIT,2016-09-09 21:41:22.000,2022-04-28 20:50:11.000,2022-04-28 20:48:57,2201.0,37.0,283.0,66.0,879.0,299.0,3585.0,2022-01-25 20:45:06.000,5.3.0,34.0,111.0,5.0,31,True,mimesis,conda-forge/mimesis,,58.0,,https://pypi.org/project/mimesis,2022-01-25 20:45:06.000,58.0,142789.0,143307.0,https://anaconda.org/conda-forge/mimesis,2020-07-15 18:05:16.129,10807.0,2.0,290.0,,,,,,,,,,,,,,,,,,,
77,prospector,PyCQA/prospector,code-metrics,"Inspects Python source files and provides information about type and location of classes, methods etc.",,https://github.com/PyCQA/prospector,https://github.com/PyCQA/prospector,GPL-2.0,2013-08-05 07:26:30.000,2022-04-11 22:57:47.000,2022-03-28 22:12:42,1231.0,78.0,148.0,33.0,197.0,274.0,1627.0,2022-03-09 20:13:02.000,1.7.7,114.0,78.0,36.0,31,True,prospector,conda-forge/prospector,,668.0,,https://pypi.org/project/prospector,2022-03-18 13:16:26.000,668.0,212450.0,212865.0,https://anaconda.org/conda-forge/prospector,2022-03-10 06:36:03.674,28275.0,1.0,,,,,,,,,,,,,,,,,,,,
78,ipdb,gotcha/ipdb,debugging,Integration of IPython pdb.,,https://github.com/gotcha/ipdb,https://github.com/gotcha/ipdb,BSD-3-Clause,2011-01-15 17:51:47.000,2022-03-30 15:57:10.000,2021-12-30 16:31:44,354.0,,133.0,27.0,74.0,115.0,1538.0,2021-06-02 11:43:46.000,0.13.9,41.0,49.0,60.0,31,True,ipdb,conda-forge/ipdb,,40754.0,32029.0,https://pypi.org/project/ipdb,2021-06-02 11:43:46.000,8725.0,2952995.0,2956595.0,https://anaconda.org/conda-forge/ipdb,2021-06-24 04:21:01.798,248415.0,1.0,,,,,,,,,,,,,,,,,,,,
79,logbook,getlogbook/logbook,logging,A cool logging replacement for Python.,,https://github.com/getlogbook/logbook,https://github.com/getlogbook/logbook,BSD-3-Clause,2010-07-22 10:13:12.000,2021-12-31 17:49:47.000,2019-10-16 17:48:40,1195.0,,157.0,36.0,148.0,125.0,1418.0,2019-10-16 18:14:55.000,1.5.3,41.0,76.0,56.0,31,False,logbook,conda-forge/logbook,,4317.0,3134.0,https://pypi.org/project/logbook,2019-10-16 18:14:55.000,1183.0,1920134.0,1921817.0,https://anaconda.org/conda-forge/logbook,2021-11-19 00:37:39.705,62190.0,2.0,280.0,,,,,,,,,,,,,,,,,,,
80,pdoc,mitmproxy/pdoc,documentation,API Documentation for Python Projects.,,https://github.com/mitmproxy/pdoc,https://github.com/mitmproxy/pdoc,Unlicense,2013-08-04 21:12:50.000,2022-04-24 16:54:32.000,2022-04-24 16:45:40,751.0,76.0,137.0,24.0,143.0,237.0,1213.0,2022-04-24 16:54:32.000,11.1.0,84.0,36.0,8.0,31,True,pdoc,,,829.0,634.0,https://pypi.org/project/pdoc,2022-04-24 16:54:32.000,195.0,104751.0,104751.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
81,colorlog,borntyping/python-colorlog,logging,A colored formatter for the python logging module.,,https://github.com/borntyping/python-colorlog,https://github.com/borntyping/python-colorlog,MIT,2012-09-05 17:57:21.000,2022-04-07 22:13:23.414,2021-11-08 16:54:56,224.0,,76.0,10.0,43.0,71.0,747.0,2021-11-08 16:58:17.000,6.6.0,63.0,30.0,,31,True,colorlog,conda-forge/colorlog,,17500.0,15133.0,https://pypi.org/project/colorlog,2021-11-08 16:56:43.000,2367.0,7238472.0,7249650.0,https://anaconda.org/conda-forge/colorlog,2022-04-07 22:13:23.414,804865.0,2.0,,,,,,,,,,,,,,,,,,,,
82,buildout,buildout/buildout,build-tools,Buildout is a deployment automation tool written in and extended with Python.,,https://github.com/buildout/buildout,https://github.com/buildout/buildout,ZPL-2.1,2012-03-25 21:47:18.000,2022-04-07 19:19:38.000,2022-04-07 19:13:16,1669.0,19.0,172.0,54.0,264.0,221.0,534.0,2021-11-25 21:08:56.000,2.13.6,119.0,90.0,134.0,31,False,zc.buildout,conda-forge/zc.buildout,,1067.0,,https://pypi.org/project/zc.buildout,2022-04-07 19:12:49.000,1067.0,93125.0,93856.0,https://anaconda.org/conda-forge/zc.buildout,2022-03-31 09:12:41.632,5123.0,3.0,,,,,,,,,,,,,,,,,,,,
83,pylint-django,PyCQA/pylint-django,linters,Pylint plugin for improving code analysis for when using Django.,,https://github.com/PyCQA/pylint-django,https://github.com/PyCQA/pylint-django,GPL-2.0,2013-10-01 06:35:15.000,2022-04-12 08:30:32.000,2022-04-12 08:30:29,619.0,20.0,108.0,17.0,167.0,159.0,509.0,2022-03-26 22:16:11.000,2.5.3,53.0,64.0,38.0,31,True,pylint-django,conda-forge/pylint-django,['pylint'],18590.0,17425.0,https://pypi.org/project/pylint-django,2022-03-25 16:09:23.000,1165.0,745813.0,747155.0,https://anaconda.org/conda-forge/pylint-django,2022-04-07 12:02:14.331,90802.0,2.0,212.0,,,,,,,,,,,,,,,,,,,
84,pytest-html,pytest-dev/pytest-html,testing,Plugin for generating HTML reports for pytest results.,,https://github.com/pytest-dev/pytest-html,https://github.com/pytest-dev/pytest-html,MPL-2.0,2015-04-14 19:22:42.000,2022-04-29 01:22:16.000,2022-04-21 23:06:03,384.0,3.0,181.0,20.0,231.0,185.0,484.0,2020-12-13 15:24:58.000,3.1.1,44.0,43.0,103.0,31,True,pytest-html,conda-forge/pytest-html,['pytest'],20912.0,20241.0,https://pypi.org/project/pytest-html,2020-12-13 15:24:58.000,671.0,2014123.0,2017922.0,https://anaconda.org/conda-forge/pytest-html,2020-12-13 19:43:13.698,224160.0,2.0,,,,,,,,,,,,,,,,,,,,
85,coveralls-python,TheKevJames/coveralls-python,testing,Show coverage stats online via coveralls.io.,,https://github.com/TheKevJames/coveralls-python,https://github.com/TheKevJames/coveralls-python,MIT,2013-02-06 20:48:39.000,2022-03-15 15:18:24.000,2022-03-15 15:18:23,447.0,3.0,185.0,6.0,194.0,144.0,468.0,2021-11-11 21:00:03.000,3.3.1,42.0,63.0,6.0,31,True,coveralls,conda-forge/coveralls,['pytest'],30640.0,21488.0,https://pypi.org/project/coveralls,2021-11-11 21:00:03.000,9152.0,579379.0,589793.0,https://anaconda.org/conda-forge/coveralls,2021-11-12 20:59:06.844,656106.0,2.0,,,,,,,,,,,,,,,,,,,,
86,py-spy,benfred/py-spy,profiling,Sampling profiler for Python programs.,,https://github.com/benfred/py-spy,https://github.com/benfred/py-spy,MIT,2018-08-01 02:22:15.000,2022-04-28 01:42:09.000,2022-01-17 15:26:15,435.0,,284.0,105.0,243.0,167.0,8395.0,2021-11-13 01:56:30.544,0.3.11,34.0,29.0,75.0,30,True,py-spy,conda-forge/py-spy,,35.0,,https://pypi.org/project/py-spy,2021-11-13 01:54:19.000,35.0,760984.0,772143.6666666666,https://anaconda.org/conda-forge/py-spy,2021-12-18 07:06:29.610,303950.0,2.0,8450.0,,,,,,,,,,,,py-spy,https://crates.io/crates/py-spy,2021-11-13 01:56:30.544,772.6666666666666,397811.0,,,
