,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2025-12-31 15:26:58.000,2025-12-31 15:26:56,391.0,20.0,194.0,56.0,228.0,4.0,2662.0,2025-12-31 15:27:01.000,2025.12.25,100.0,16.0,3.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2025-12-25 18:34:30.000,2025-11-06 18:40:58,419.0,5.0,111.0,16.0,339.0,37.0,1638.0,2023-06-29 18:48:34.000,2023.06.29,68.0,63.0,,0,True,mkdocs/catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2025-12-29 13:23:50.000,2025-12-29 11:16:10,17104.0,283.0,2985.0,194.0,6743.0,5362.0,13411.0,2025-12-06 21:31:16.000,9.0.2,189.0,1076.0,966.0,50,True,,pytest,conda-forge/pytest,['pytest'],27704.0,382217037.0,1798412.0,1697207.0,https://pypi.org/project/pytest,2025-12-06 21:30:49.000,101205.0,381532010.0,https://anaconda.org/conda-forge/pytest,2025-12-06 23:00:53.196,43134128.0,1.0,,,,,,,,,,,,,,,,,,
5,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2026-01-01 00:08:35.000,2025-12-30 01:22:01,13112.0,205.0,3062.0,232.0,8662.0,9033.0,20103.0,2025-12-15 05:02:33.000,1.19.1,133.0,825.0,3109.0,49,True,,mypy,conda-forge/mypy,,,77999479.0,376270.0,337173.0,https://pypi.org/project/mypy,2025-12-15 05:02:33.000,39097.0,77902647.0,https://anaconda.org/conda-forge/mypy,2025-12-15 11:15:52.923,6487754.0,1.0,,,,,,,,,,,,,,,,,,
6,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2025-12-30 14:53:19.000,2025-12-30 14:53:19,6449.0,124.0,1457.0,227.0,829.0,1542.0,11003.0,2025-12-29 08:26:04.000,7.2.1,103.0,228.0,354.0,47,True,,psutil,conda-forge/psutil,,,230147866.0,781962.0,763048.0,https://pypi.org/project/psutil,2025-12-29 08:26:04.000,18914.0,229314393.0,https://anaconda.org/conda-forge/psutil,2025-12-29 12:53:20.911,55009276.0,1.0,,,,,,,,,,,,,,,,,,
7,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2025-12-22 15:26:57.000,2025-12-22 15:26:57,4295.0,11.0,1969.0,532.0,1331.0,1234.0,54970.0,2025-10-09 14:18:08.000,14.2.0,201.0,277.0,313.0,46,True,,rich,conda-forge/rich,,,253103285.0,514139.0,488516.0,https://pypi.org/project/rich,2025-10-09 14:16:51.000,25623.0,252848636.0,https://anaconda.org/conda-forge/rich,2025-10-09 16:10:55.602,16806844.0,1.0,,,,,,,,,,,,,,,,,,
8,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2025-12-26 06:02:10.000,2025-12-12 22:22:42,2105.0,72.0,2695.0,231.0,2093.0,2457.0,41259.0,2025-12-08 01:40:50.000,25.12.0,69.0,493.0,340.0,46,True,,black,conda-forge/black,,136995.0,82413618.0,705013.0,657308.0,https://pypi.org/project/black,2025-12-08 01:46:39.000,47705.0,82145721.0,https://anaconda.org/conda-forge/black,2025-12-08 19:49:12.580,17571047.0,1.0,,,,,,,,,,,,,,,,,,
9,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2025-12-31 18:51:46.000,2025-12-31 18:51:46,15666.0,168.0,3170.0,318.0,5990.0,6717.0,10054.0,2025-05-02 15:13:59.000,25.1.1,153.0,864.0,1033.0,46,True,,pip,conda-forge/pip,,,414033623.0,251267.0,245801.0,https://pypi.org/project/pip,2025-10-25 00:55:39.000,5466.0,411240323.0,https://anaconda.org/conda-forge/pip,2025-11-10 12:14:15.799,189944401.0,1.0,,,,,,,,,,,,,,,,,,
