,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,trending,conda_forge
74,vulture,jendrikseipp/vulture,refactoring,Find dead Python code.,,https://github.com/jendrikseipp/vulture,https://github.com/jendrikseipp/vulture,MIT,2016-08-11 15:39:58.647,2023-05-07 04:19:19.000,2023-02-27 07:59:09,717.0,,120.0,22.0,136.0,15.0,162.0,2553.0,2023-01-08 21:24:44.000,2.7,12.0,35.0,31,True,,vulture,conda-forge/vulture,,3833.0,3833.0,https://pypi.org/project/vulture,,,493778.0,494635.0,https://anaconda.org/conda-forge/vulture,2023-01-09 08:50:44.861,70353.0,2.0,,,,,,,,,,,,,,,,,
75,doit,pydoit/doit,build-tools,task management & automation tool.,,https://github.com/pydoit/doit,https://github.com/pydoit/doit,MIT,2014-02-14 22:21:23.000,2023-05-10 13:59:56.000,2023-01-16 03:40:03,1483.0,,165.0,52.0,162.0,80.0,217.0,1613.0,2022-04-22 15:33:23.000,0.36.0,48.0,65.0,31,True,,doit,conda-forge/doit,,1824.0,1538.0,https://pypi.org/project/doit,2022-04-22 15:33:23.000,286.0,402523.0,405612.0,https://anaconda.org/conda-forge/doit,2022-04-22 16:36:58.774,203922.0,3.0,,,,,,,,,,,,,,,,,
76,radon,rubik/radon,code-metrics,Various code metrics for Python code.,,https://github.com/rubik/radon,https://github.com/rubik/radon,MIT,2012-09-20 18:58:58.000,2023-05-09 07:41:22.000,2023-03-26 13:44:46,538.0,11.0,106.0,32.0,81.0,21.0,145.0,1455.0,2023-03-26 06:25:00.948,6.0.1,56.0,56.0,31,True,,radon,conda-forge/radon,,4690.0,4070.0,https://pypi.org/project/radon,2020-01-28 10:49:55.000,620.0,425412.0,426290.0,https://anaconda.org/conda-forge/radon,2021-09-07 09:02:03.415,59725.0,2.0,,,,,,,,,,,,,,,,,
77,mkdocstrings,mkdocstrings/mkdocstrings,documentation,"Automatic documentation from sources, for MkDocs.",,https://github.com/mkdocstrings/mkdocstrings,https://github.com/mkdocstrings/mkdocstrings,ISC,2019-12-09 18:09:09.000,2023-06-08 22:18:31.000,2023-06-08 22:18:25,576.0,26.0,94.0,12.0,159.0,46.0,295.0,1251.0,2023-05-26 10:45:43.395,0.22.0,50.0,36.0,31,True,,mkdocstrings,conda-forge/mkdocstrings,['mkdocs'],8453.0,8071.0,https://pypi.org/project/mkdocstrings,2021-12-27 17:59:42.000,382.0,415561.0,417708.0,https://anaconda.org/conda-forge/mkdocstrings,2023-05-27 03:00:50.425,68716.0,2.0,,,,,,,,,,,,,,,,,
78,nox,theacodes/nox,testing,Flexible test automation for Python.,,https://github.com/wntrblm/nox,https://github.com/wntrblm/nox,Apache-2.0,2016-02-24 04:02:58.000,2023-06-10 11:40:50.000,2023-06-02 18:19:17,526.0,11.0,131.0,24.0,398.0,51.0,267.0,1071.0,2023-04-23 01:43:49.000,2023.04.22,25.0,86.0,31,True,wntrblm/nox,nox,conda-forge/nox,['pytest'],4144.0,4144.0,https://pypi.org/project/nox,,,1044170.0,1047462.0,https://anaconda.org/conda-forge/nox,2023-04-29 21:25:10.082,184378.0,2.0,,,,,,,,,,,,,,,,,
79,pydocstyle,PyCQA/pydocstyle,linters,docstring style checker.,,https://github.com/PyCQA/pydocstyle,https://github.com/PyCQA/pydocstyle,MIT,2012-01-31 17:18:23.000,2023-02-10 09:37:04.000,2023-01-17 20:27:44,742.0,,185.0,20.0,313.0,118.0,222.0,1056.0,2023-01-17 20:31:11.783,6.3.0,22.0,89.0,31,True,,pydocstyle,conda-forge/pydocstyle,,58631.0,55984.0,https://pypi.org/project/pydocstyle,2021-05-17 20:37:45.000,2647.0,3023931.0,3041107.0,https://anaconda.org/conda-forge/pydocstyle,2023-01-17 23:20:42.339,1425682.0,2.0,63.0,,,,,,,,,,,,,,,,
80,flake8-bugbear,PyCQA/flake8-bugbear,linters,A plugin for Flake8 finding likely bugs and design problems in your program. Contains warnings that dont belong in..,,https://github.com/PyCQA/flake8-bugbear,https://github.com/PyCQA/flake8-bugbear,MIT,2016-03-15 20:54:43.000,2023-06-07 20:13:22.085,2023-06-05 16:18:52,314.0,12.0,94.0,9.0,197.0,49.0,145.0,947.0,2023-06-05 16:20:30.000,23.6.5,39.0,75.0,31,True,,flake8-bugbear,conda-forge/flake8-bugbear,['flake8'],32582.0,32582.0,https://pypi.org/project/flake8-bugbear,,,1937172.0,1952558.0,https://anaconda.org/conda-forge/flake8-bugbear,2023-06-07 20:13:22.085,707796.0,2.0,,,,,,,,,,,,,,,,,
81,progressbar2,WoLpH/python-progressbar,logging,Progressbar 2 - A progress bar for Python 2 and Python 3 - pip install progressbar2.,,https://github.com/wolph/python-progressbar,https://github.com/wolph/python-progressbar,BSD-3-Clause,2012-02-20 06:19:21.000,2023-05-18 08:05:18.000,2023-03-18 11:25:49,975.0,1.0,97.0,21.0,67.0,11.0,200.0,815.0,2022-10-26 13:49:10.642,4.2.0,103.0,42.0,31,True,,progressbar2,conda-forge/progressbar2,,30698.0,29154.0,https://pypi.org/project/progressbar2,2022-01-05 13:41:41.000,1544.0,16799471.0,16811323.0,https://anaconda.org/conda-forge/progressbar2,2022-10-27 07:36:32.452,945959.0,2.0,1978.0,,,,,,,,,,,,,,,,
82,asv,airspeed-velocity/asv,testing,Airspeed Velocity: A simple Python benchmarking tool with web-based reporting.,,https://github.com/airspeed-velocity/asv,https://github.com/airspeed-velocity/asv,BSD-3-Clause,2013-11-07 20:43:31.000,2023-06-11 15:32:35.000,2023-06-10 23:09:40,2169.0,82.0,158.0,21.0,765.0,138.0,394.0,774.0,2022-02-06 14:17:08.000,0.5.1,13.0,75.0,31,True,,asv,conda-forge/asv,,941.0,941.0,https://pypi.org/project/asv,,,30803.0,40123.0,https://anaconda.org/conda-forge/asv,2022-11-04 11:34:14.554,717677.0,2.0,,,,,,,,,,,,,,,,,
83,breathe,michaeljones/breathe,documentation,ReStructuredText and Sphinx bridge to Doxygen.,,https://github.com/breathe-doc/breathe,https://github.com/breathe-doc/breathe,BSD-3-Clause,2009-02-03 18:52:25.000,2023-05-26 07:12:51.000,2023-02-28 20:05:14,1758.0,,183.0,20.0,353.0,163.0,395.0,680.0,2023-03-31 19:07:42.000,4.35.0,65.0,107.0,31,True,breathe-doc/breathe,breathe,conda-forge/breathe,,11024.0,9986.0,https://pypi.org/project/breathe,2022-06-20 18:52:31.000,1038.0,346024.0,352048.0,https://anaconda.org/conda-forge/breathe,2023-03-01 13:19:31.767,480406.0,2.0,517.0,,,,,,,,,,,,,,,,
84,sphinx-autodoc-typehints,tox-dev/sphinx-autodoc-typehints,documentation,Type hints support for the Sphinx autodoc extension.,,https://github.com/tox-dev/sphinx-autodoc-typehints,https://github.com/tox-dev/sphinx-autodoc-typehints,MIT,2015-09-21 20:41:41.000,2023-06-12 17:41:58.000,2023-05-03 22:39:02,305.0,10.0,97.0,11.0,190.0,29.0,139.0,485.0,2023-04-13 18:36:10.773,1.23.0,65.0,52.0,31,True,,sphinx-autodoc-typehints,conda-forge/sphinx-autodoc-typehints,['sphinx'],39693.0,38093.0,https://pypi.org/project/sphinx-autodoc-typehints,2022-06-10 08:42:20.000,1600.0,1127534.0,1135279.0,https://anaconda.org/conda-forge/sphinx-autodoc-typehints,2023-01-25 17:54:59.740,518943.0,2.0,,,,,,,,,,,,,,,,,
85,Scalene,plasma-umass/scalene,profiling,"Scalene: a high-performance, high-precision CPU, GPU, and memory profiler for Python with AI-powered optimization..",,https://github.com/plasma-umass/scalene,https://github.com/plasma-umass/scalene,Apache-2.0,2019-12-17 20:56:28.000,2023-06-14 20:46:24.000,2023-06-14 20:46:22,2967.0,24.0,255.0,70.0,220.0,141.0,227.0,7778.0,2023-06-07 19:15:37.000,1.5.21.4,144.0,40.0,30,True,,scalene,,,463.0,459.0,https://pypi.org/project/scalene,2023-01-06 20:40:06.239,4.0,18562.0,18562.0,,,,2.0,,,,,,,,,,,,,,,,,
86,pdoc,mitmproxy/pdoc,documentation,API Documentation for Python Projects.,,https://github.com/mitmproxy/pdoc,https://github.com/mitmproxy/pdoc,Unlicense,2013-08-04 21:12:50.000,2023-06-13 13:05:20.000,2023-06-13 13:05:19,934.0,44.0,168.0,28.0,246.0,15.0,307.0,1552.0,,,,44.0,30,True,,pdoc,,,1868.0,1868.0,https://pypi.org/project/pdoc,,,95630.0,95630.0,,,,2.0,,,,,,,,,,,,,,,,,
