,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
238,pycycle,bndr/pycycle,linters,Tool for pinpointing circular imports in Python. Find cyclic imports in any project.,,https://github.com/bndr/pycycle,https://github.com/bndr/pycycle,MIT,2017-01-28 17:22:00.000,2022-01-15 20:44:01.000,2017-02-13 18:07:04,26.0,,16.0,5.0,6.0,1.0,299.0,2017-02-13 18:07:58.000,0.0.8,8.0,2.0,15.0,16,False,pycycle,,,59.0,52.0,https://pypi.org/project/pycycle,2017-02-13 18:07:58.000,7.0,1748.0,1748.0,,,,3.0,,,,,,,,,,,,,,,,,,,
239,bellybutton,hchasestevens/bellybutton,linters,Custom Python linting through AST expressions.,,https://github.com/hchasestevens/bellybutton,https://github.com/hchasestevens/bellybutton,MIT,2018-02-17 06:31:44.000,2021-07-15 00:42:03.000,2021-07-15 00:42:02,33.0,,11.0,4.0,18.0,6.0,229.0,2020-11-27 21:20:22.000,0.3.1,11.0,5.0,8.0,16,True,bellybutton,,,18.0,17.0,https://pypi.org/project/bellybutton,2020-11-27 21:20:22.000,1.0,6205.0,6205.0,,,,3.0,,,,,,,,,,,,,,,,,,,
240,retype,ambv/retype,refactoring,Re-apply type annotations from .pyi stubs to your codebase.,,https://github.com/ambv/retype,https://github.com/ambv/retype,MIT,2017-03-11 07:54:58.000,2021-12-29 14:35:22.999,2021-12-29 00:19:13,101.0,1.0,17.0,4.0,23.0,8.0,123.0,2021-12-29 00:30:49.000,21.12.0,11.0,8.0,7.0,16,True,retype,conda-forge/retype,,18.0,,https://pypi.org/project/retype,2021-12-29 00:30:49.000,18.0,1212.0,1531.0,https://anaconda.org/conda-forge/retype,2021-12-29 14:35:22.999,15663.0,3.0,,,,,,,,,,,,,,,,,,,
241,pep8ify,spulec/pep8ify,refactoring,A library that modifies python source code to conform to pep8.,,https://github.com/spulec/pep8ify,https://github.com/spulec/pep8ify,Apache-2.0,2012-06-03 03:31:33.000,2019-03-08 03:06:14.000,2014-10-24 20:36:38,154.0,,12.0,5.0,7.0,12.0,116.0,2014-10-24 20:36:57.000,0.0.13,13.0,6.0,6.0,16,False,pep8ify,,,55.0,36.0,https://pypi.org/project/pep8ify,2014-10-24 20:36:57.000,19.0,237.0,237.0,,,,3.0,,,,,,,,,,,,,,,,,,,
242,pytest-play,pytest-dev/pytest-play,testing,pytest plugin that let you automate actions and assertions with test metrics reporting executing plain YAML files.,,https://github.com/pytest-dev/pytest-play,https://github.com/pytest-dev/pytest-play,Apache-2.0,2017-12-14 09:08:26.000,2019-08-20 15:57:27.000,2019-06-12 11:57:28,382.0,,3.0,8.0,62.0,24.0,65.0,2019-06-12 11:59:29.000,2.3.1,23.0,3.0,5.0,16,False,pytest-play,,['pytest'],31.0,21.0,https://pypi.org/project/pytest-play,2019-06-12 11:59:29.000,10.0,420.0,420.0,,,,3.0,,,,,,,,,,,,,,,,,,,
243,mkdocs-versioning,zayd62/mkdocs-versioning,documentation,A tool that allows for versioning sites built with mkdocs.,,https://github.com/zayd62/mkdocs-versioning,https://github.com/zayd62/mkdocs-versioning,MIT,2019-07-20 18:09:56.000,2021-08-01 15:51:53.000,2021-08-01 15:51:53,133.0,,7.0,4.0,39.0,22.0,39.0,2021-02-11 10:24:35.000,0.4.0,6.0,5.0,3.0,16,False,mkdocs-versioning,,['mkdocs'],31.0,31.0,https://pypi.org/project/mkdocs-versioning,2021-02-11 10:24:35.000,,6266.0,6266.0,,,,3.0,,,,,,,,,,,,,,,,,,,
244,yala,cemsbr/yala,linters,Yet Another Linter Aggregator.,,https://github.com/cemsbr/yala,https://github.com/cemsbr/yala,MIT,2017-06-02 22:45:50.000,2021-11-15 05:53:09.000,2021-11-15 05:05:03,193.0,,5.0,2.0,132.0,11.0,13.0,2021-11-15 05:07:43.000,3.1.0,28.0,4.0,1.0,16,False,yala,,"['flake8', 'pylint']",53.0,43.0,https://pypi.org/project/yala,2021-11-15 05:05:38.000,10.0,1207.0,1207.0,,,,3.0,,,,,,,,,,,,,,,,,,,
245,tbvaccine,skorokithakis/tbvaccine,logging,A small utility to pretty-print Python tracebacks.,,https://github.com/skorokithakis/tbvaccine,https://github.com/skorokithakis/tbvaccine,MIT,2016-08-27 17:31:59.000,2020-03-01 19:24:46.000,2020-03-01 19:24:44,80.0,,12.0,4.0,18.0,13.0,365.0,2018-12-14 18:07:29.000,0.3.1,12.0,12.0,7.0,15,False,tbvaccine,,,9.0,9.0,https://pypi.org/project/tbvaccine,2018-12-14 18:07:29.000,,3232.0,3232.0,,,,3.0,,,,,,,,,,,,,,,,,,,
246,massedit,elmotec/massedit,refactoring,Programmatically edit text files with Python. Useful for source to source transformations.,,https://github.com/elmotec/massedit,https://github.com/elmotec/massedit,MIT,2012-03-11 16:18:30.000,2020-12-23 02:17:37.000,2020-12-23 02:11:17,178.0,,14.0,6.0,7.0,5.0,96.0,2020-12-23 02:19:02.000,0.69.1,15.0,6.0,3.0,15,False,massedit,,,6.0,,https://pypi.org/project/massedit,2020-12-23 02:12:33.000,6.0,1327.0,1327.0,,,,3.0,,17.0,,,,,,,,,,,,,,,,,
247,universal-build,ml-tooling/universal-build,build-tools,Universal build utilities for containerized build pipelines.,,https://github.com/ml-tooling/universal-build,https://github.com/ml-tooling/universal-build,MIT,2020-10-19 14:57:21.000,2021-11-17 17:00:05.000,2021-11-17 17:00:05,394.0,,6.0,4.0,32.0,3.0,16.0,2021-11-17 16:59:34.000,0.6.18,40.0,4.0,,15,True,universal-build,,,12.0,7.0,https://pypi.org/project/universal-build,2020-12-12 13:21:08.000,5.0,908.0,909.0,,,,3.0,,16.0,,,,,,,,,,,,,,,,,
248,subpar,google/subpar,packaging,Subpar is a utility for creating self-contained python executables. It is designed to work well with Bazel.,,https://github.com/google/subpar,https://github.com/google/subpar,Apache-2.0,2016-08-03 20:11:35.000,2021-11-29 00:52:40.000,2019-08-15 01:37:08,93.0,,62.0,21.0,72.0,30.0,512.0,2019-05-14 20:14:05.000,2.0.0,5.0,14.0,33.0,14,False,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
249,com2ann,ilevkivskyi/com2ann,refactoring,Tool for translation type comments to type annotations in Python.,,https://github.com/ilevkivskyi/com2ann,https://github.com/ilevkivskyi/com2ann,MIT,2016-09-09 07:17:02.000,2021-08-21 14:47:42.000,2021-08-21 14:47:42,31.0,,7.0,7.0,21.0,15.0,106.0,2021-08-21 09:01:26.000,0.3.0,3.0,4.0,5.0,14,True,com2ann,,,9.0,8.0,https://pypi.org/project/com2ann,2021-08-21 09:01:26.000,1.0,4717.0,4717.0,,,,3.0,,,,,,,,,,,,,,,,,,,
250,linty_fresh,lyft/linty_fresh,linters,Surface lint errors during code review.,,https://github.com/lyft/linty_fresh,https://github.com/lyft/linty_fresh,Apache-2.0,2015-12-19 02:37:26.000,2021-09-14 16:38:07.000,2020-11-30 22:18:53,53.0,,21.0,21.0,61.0,1.0,184.0,2018-12-12 19:47:05.000,0.7.0,10.0,17.0,8.0,13,False,linty-fresh,,"['flake8', 'mypy']",,,https://pypi.org/project/linty-fresh,2018-12-12 19:47:05.000,,101.0,101.0,,,,3.0,,,,,,,,,,,,,,,,,,,
251,pipenv-pipes,gtalarico/pipenv-pipes,virtual-envs,A PipEnv Environment Switcher.,,https://github.com/gtalarico/pipenv-pipes,https://github.com/gtalarico/pipenv-pipes,MIT,2018-05-02 03:56:41.000,2021-06-01 22:15:42.000,2019-06-27 03:42:48,285.0,,11.0,4.0,19.0,10.0,130.0,2018-11-08 03:05:43.000,0.7.1,25.0,5.0,7.0,13,False,pipenv-pipes,,,,,https://pypi.org/project/pipenv-pipes,2018-11-08 03:05:43.000,,460.0,460.0,,,,3.0,,,,,,,,,,,,,,,,,,,
252,livepython,agermanidis/livepython,profiling,Visually trace Python code in real-time.,,https://github.com/agermanidis/livepython,https://github.com/agermanidis/livepython,MIT,2017-10-03 00:19:59.000,2019-01-22 17:39:55.000,2017-11-14 21:27:52,20.0,,165.0,77.0,4.0,15.0,2455.0,,,,3.0,10.0,12,False,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
253,cohesion,mschwager/cohesion,code-metrics,A tool for measuring Python class cohesion.,,https://github.com/mschwager/cohesion,https://github.com/mschwager/cohesion,GPL-3.0,2016-08-11 21:09:32.000,2021-11-09 19:51:22.570,2019-08-05 17:14:01,78.0,,2.0,8.0,1.0,11.0,149.0,2019-07-10 16:08:05.000,1.0.0,9.0,2.0,3.0,12,False,cohesion,conda-forge/cohesion,,7.0,,https://pypi.org/project/cohesion,2019-07-10 16:08:05.000,7.0,3181.0,3226.0,https://anaconda.org/conda-forge/cohesion,2021-11-09 19:51:22.570,136.0,3.0,,,,,,,,,,,,,,,,,,,
254,pyship,jamesabel/pyship,packaging,pyship - ship Python desktop apps to end users.,,https://github.com/jamesabel/pyship,https://github.com/jamesabel/pyship,MIT,2020-04-23 04:45:03.000,2021-06-09 04:34:00.000,2021-06-09 04:33:22,279.0,,1.0,2.0,3.0,,15.0,2021-06-09 04:34:00.000,0.1.5,17.0,,4.0,10,False,pyship,,,,,https://pypi.org/project/pyship,2021-06-09 04:34:00.000,,263.0,263.0,,,,3.0,,,,,,,,,,,,,,,,,,,
