,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,updated_github_id,pypi_id,conda_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,labels,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
175,typed_ast,python/typed_ast,ast,Modified fork of CPythons ast module that parses `# type:` comments.,,https://github.com/python/typed_ast,https://github.com/python/typed_ast,Apache-2.0,2016-02-16 22:40:09.000,2025-04-22 14:56:42.129000,2023-07-03 22:55:34,205.0,,55.0,17.0,109.0,86.0,233.0,2023-07-04 18:38:08.820,1.5.5,35.0,26.0,1.0,26,False,,typed_ast,conda-forge/typed-ast,645.0,,https://pypi.org/project/typed_ast,2023-07-04 18:38:08.820,645.0,3501660.0,3609677.0,https://anaconda.org/conda-forge/typed-ast,2025-04-22 14:56:42.129,6913125.0,3.0,,,,,,,,,,,,,,,,,,,,
176,flake8-black,peterjc/flake8-black,linters,flake8 plugin to run black for checking Python coding style.,,https://github.com/peterjc/flake8-black,https://github.com/peterjc/flake8-black,MIT,2019-01-10 14:40:26.000,2026-02-02 17:24:36.000000,2026-02-02 17:24:33,211.0,4.0,11.0,1.0,75.0,27.0,165.0,2025-09-21 18:56:36.000,0.4.0,22.0,11.0,4.0,26,True,,flake8-black,conda-forge/flake8-black,9275.0,8733.0,https://pypi.org/project/flake8-black,2025-09-21 18:56:36.000,542.0,607784.0,614881.0,https://anaconda.org/conda-forge/flake8-black,2025-09-22 00:17:36.193,489695.0,3.0,['flake8'],,,,,,,,,,,,,,,,,,,
177,sphinx-markdown-builder,clayrisser/sphinx-markdown-builder,documentation,DISCONTINUED: sphinx builder that outputs markdown files. The active version of this project is now being maintained..,,https://github.com/clayrisser/sphinx-markdown-builder,https://github.com/clayrisser/sphinx-markdown-builder,MIT,2018-11-11 00:07:58.000,2025-12-07 14:36:12.000000,2023-06-24 21:25:38,106.0,,60.0,6.0,27.0,39.0,162.0,2025-12-07 14:36:12.000,0.6.9,33.0,19.0,,26,False,,sphinx-markdown-builder,,1462.0,1256.0,https://pypi.org/project/sphinx-markdown-builder,2025-12-07 14:36:12.000,206.0,593834.0,593834.0,,,,3.0,['sphinx'],,,,,,,,,,,,,,,,,,,
178,flake8-commas,PyCQA/flake8-commas,linters,Flake8 extension for enforcing trailing commas in python.,,https://github.com/PyCQA/flake8-commas,https://github.com/PyCQA/flake8-commas,MIT,2015-12-16 09:25:13.000,2026-01-05 17:48:01.000000,2026-01-05 17:47:43,223.0,5.0,30.0,3.0,40.0,28.0,134.0,2024-05-16 20:07:44.000,4.0.0,22.0,15.0,3.0,26,True,,flake8-commas,,19289.0,19073.0,https://pypi.org/project/flake8-commas,2024-05-16 20:07:44.000,216.0,269023.0,269023.0,,,,3.0,['flake8'],,,,,,,,,,,,,,,,,,,
179,flake8-builtins,gforcada/flake8-builtins,linters,Check for python builtins being used as variables or parameters.,,https://github.com/gforcada/flake8-builtins,https://github.com/gforcada/flake8-builtins,GPL-2.0,2016-03-02 00:26:51.000,2025-10-27 19:47:11.685000,2025-10-25 13:46:02,372.0,,25.0,3.0,81.0,49.0,118.0,2025-10-25 13:45:56.000,3.1.0,33.0,21.0,3.0,26,True,,flake8-builtins,conda-forge/flake8-builtins,12200.0,11614.0,https://pypi.org/project/flake8-builtins,2025-10-25 13:45:56.000,586.0,874161.0,885727.0,https://anaconda.org/conda-forge/flake8-builtins,2025-10-27 19:47:11.685,462667.0,3.0,['flake8'],,,,,,,,,,,,,,,,,,,
180,rebound,shobrook/rebound,logging,Instant Stack Overflow results whenever an exception is thrown.,,https://github.com/shobrook/rebound,https://github.com/shobrook/rebound,GPL-2.0+,2018-02-28 04:47:03.000,2026-02-11 17:56:18.000000,2022-02-16 05:16:40,168.0,,380.0,75.0,41.0,38.0,4131.0,2026-02-11 17:56:18.000,4.6.0,232.0,16.0,24.0,25,False,,rebound,conda-forge/rebound,53.0,,https://pypi.org/project/rebound,2026-02-11 17:56:18.000,53.0,22838.0,38964.0,https://anaconda.org/conda-forge/rebound,2026-01-04 16:08:23.664,1112585.0,3.0,,277.0,,,,,,,,,,,,,,,,,,
181,stackprinter,cknd/stackprinter,logging,Debugging-friendly exceptions for Python.,,https://github.com/cknd/stackprinter,https://github.com/cknd/stackprinter,MIT,2018-09-05 10:58:47.000,2026-01-08 14:21:03.315000,2025-10-30 16:16:04,218.0,,41.0,8.0,40.0,25.0,1300.0,2024-03-13 19:36:07.000,0.2.12,21.0,8.0,11.0,25,True,,stackprinter,conda-forge/stackprinter,492.0,444.0,https://pypi.org/project/stackprinter,2024-03-13 19:36:07.000,48.0,374537.0,374791.0,https://anaconda.org/conda-forge/stackprinter,2026-01-08 14:21:03.315,16278.0,3.0,,,,,,,,,,,,,,,,,,,,
182,blacken-docs,asottile/blacken-docs,documentation,Run `black` on python code blocks in documentation files.,,https://github.com/adamchainz/blacken-docs,https://github.com/adamchainz/blacken-docs,MIT,2018-06-03 02:48:01.000,2026-02-14 23:34:41.000000,2026-02-14 23:34:40,514.0,8.0,45.0,8.0,336.0,72.0,675.0,2025-09-08 15:33:17.000,1.20.0,31.0,26.0,9.0,25,True,adamchainz/blacken-docs,blacken-docs,conda-forge/blacken-docs,119.0,,https://pypi.org/project/blacken-docs,2025-09-08 15:33:17.000,119.0,272742.0,273611.0,https://anaconda.org/conda-forge/blacken-docs,2025-09-08 21:36:16.747,58252.0,3.0,,,,,,,,-3.0,,,,,,,,,,,,
183,Mamba Test Runner,nestorsalceda/mamba,testing,The definitive testing tool for Python. Born under the banner of Behavior Driven Development (BDD).,,https://github.com/nestorsalceda/mamba,https://github.com/nestorsalceda/mamba,MIT,2013-03-12 18:53:42.000,2023-11-09 15:34:22.000000,2023-11-09 15:30:55,473.0,,65.0,22.0,88.0,52.0,538.0,2023-11-09 15:34:22.000,0.11.3,22.0,23.0,53.0,25,False,,mamba,,1403.0,1374.0,https://pypi.org/project/mamba,2023-11-09 15:34:22.000,29.0,12738.0,12738.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
184,flake8-eradicate,wemake-services/flake8-eradicate,linters,Flake8 plugin to find commented out or dead code.,,https://github.com/wemake-services/flake8-eradicate,https://github.com/wemake-services/flake8-eradicate,MIT,2018-09-21 06:58:51.000,2025-04-22 14:57:50.454000,2024-12-31 07:51:55,440.0,,13.0,2.0,332.0,32.0,316.0,2023-05-31 09:59:03.360,1.5.0,16.0,17.0,8.0,25,False,,flake8-eradicate,conda-forge/flake8-eradicate,20409.0,20236.0,https://pypi.org/project/flake8-eradicate,2023-05-31 09:59:03.360,173.0,673377.0,673846.0,https://anaconda.org/conda-forge/flake8-eradicate,2025-04-22 14:57:50.454,27205.0,3.0,['flake8'],,,,,,,,,,,,,,,,,,,
