,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-10-13 13:37:54.000,2023-10-13 13:37:52,273.0,22.0,151.0,52.0,163.0,1.0,2.0,2036.0,2023-10-05 17:09:45.000,2023.10.05,100.0,12.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2023-10-18 14:58:52.000,2023-10-18 14:58:52,216.0,30.0,29.0,11.0,130.0,4.0,11.0,474.0,2023-06-29 18:48:34.000,2023.06.29,68.0,18.0,0,True,mkdocs/catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2023-10-17 12:24:50.000,2023-10-16 11:08:50,15361.0,155.0,2394.0,192.0,5285.0,832.0,4655.0,10687.0,2023-09-07 18:56:03.000,7.4.2,164.0,915.0,47,True,,pytest,conda-forge/pytest,['pytest'],1067418.0,1050344.0,https://pypi.org/project/pytest,2023-09-07 18:45:52.000,17074.0,92076607.0,92718632.0,https://anaconda.org/conda-forge/pytest,2023-09-07 23:17:51.935,23112903.0,1.0,,,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2023-10-18 23:51:12.000,2023-10-18 22:14:22,14189.0,205.0,3040.0,312.0,5326.0,1076.0,6037.0,8985.0,2023-07-22 09:17:31.000,23.2.1,135.0,753.0,47,True,,pip,conda-forge/pip,,166810.0,155684.0,https://pypi.org/project/pip,2023-10-15 16:24:10.000,11126.0,175123496.0,177400872.0,https://anaconda.org/conda-forge/pip,2023-10-15 18:28:21.520,93372443.0,1.0,,,,,,,,,,,,,,,,,,,
6,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2023-10-19 12:48:51.000,2023-10-17 14:22:24,1687.0,81.0,2137.0,227.0,1528.0,372.0,2039.0,33977.0,2023-10-17 16:14:25.000,23.10.0,50.0,407.0,46,True,,black,conda-forge/black,,438222.0,425261.0,https://pypi.org/project/black,2023-10-17 16:14:25.000,12961.0,29318879.0,29539253.0,https://anaconda.org/conda-forge/black,2023-10-18 18:05:13.915,8559120.0,1.0,50061.0,,,,,,,,,,,,,,,,,,
7,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2023-10-19 12:52:14.000,2023-10-19 12:50:27,8617.0,198.0,1890.0,361.0,1823.0,190.0,3896.0,24204.0,2023-10-03 13:24:03.000,2023.10.3,379.0,487.0,46,True,,pipenv,conda-forge/pipenv,,116294.0,115037.0,https://pypi.org/project/pipenv,2023-10-03 13:24:03.000,1257.0,11329024.0,11332231.0,https://anaconda.org/conda-forge/pipenv,2023-10-03 17:41:12.347,131510.0,1.0,,,,,,,,,,,,,,,,,,,
8,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2023-10-19 12:20:40.000,2023-10-16 11:18:01,14175.0,210.0,1044.0,90.0,1449.0,570.0,1807.0,2159.0,2023-09-12 17:22:21.000,68.2.2,552.0,583.0,46,True,,setuptools,conda-forge/setuptools,,444763.0,406015.0,https://pypi.org/project/setuptools,2023-09-12 17:22:04.000,38748.0,341184009.0,343501972.0,https://anaconda.org/conda-forge/setuptools,2023-09-12 19:55:09.802,95036508.0,1.0,,,,,,,,,,,,,,,,,,,
9,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2023-10-18 23:00:39.000,2023-10-18 08:33:10,11555.0,169.0,2703.0,235.0,6622.0,2466.0,7294.0,16617.0,2023-10-18 05:24:50.000,1.6.1,110.0,672.0,45,True,,mypy,conda-forge/mypy,,218413.0,209057.0,https://pypi.org/project/mypy,2023-10-18 05:24:50.000,9356.0,20038063.0,20125835.0,https://anaconda.org/conda-forge/mypy,2023-10-18 13:50:24.302,3510904.0,1.0,,,,,,,,,,,,,,,,,,,
