,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-10-27 18:00:24.000,2022-10-27 18:00:23,174.0,25.0,130.0,49.0,110.0,2.0,1712.0,2022-10-27 18:00:29.000,2022.10.27,62.0,9.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2022-10-27 22:32:07.000,2022-10-27 22:32:07,126.0,22.0,3.0,5.0,47.0,2.0,69.0,2022-10-28 08:46:57.000,2022.10.27,32.0,4.0,0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2022-11-03 11:57:42.000,2022-11-01 00:37:05,14775.0,176.0,2190.0,195.0,4821.0,4320.0,9440.0,2022-10-25 08:00:15.131,7.2.0,156.0,833.0,47,True,786.0,pytest,conda-forge/pytest,['pytest'],692652.0,609061.0,https://pypi.org/project/pytest,2022-10-25 08:00:15.131,83591.0,49110739.0,49327466.0,https://anaconda.org/conda-forge/pytest,2022-10-31 11:43:04.693,16471278.0,1.0,,,,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2022-11-03 13:16:45.000,2022-11-03 11:50:58,13389.0,133.0,2740.0,307.0,5024.0,5613.0,8336.0,2022-07-27 17:30:11.390,22.2.1,125.0,694.0,46,True,982.0,pip,conda-forge/pip,,113340.0,102658.0,https://pypi.org/project/pip,2022-05-31 11:19:58.000,10682.0,122222344.0,122958491.0,https://anaconda.org/conda-forge/pip,2022-10-15 15:49:41.650,55947247.0,1.0,,,,,,,,,,,,,,,,,,,,
6,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2022-10-26 08:33:31.905,2022-10-21 18:34:55,5843.0,47.0,1270.0,237.0,588.0,1363.0,8819.0,2022-10-18 20:14:40.197,5.9.3,87.0,190.0,45,True,234.0,psutil,conda-forge/psutil,,233720.0,217763.0,https://pypi.org/project/psutil,2022-09-04 20:17:41.866,15957.0,67414722.0,67622106.0,https://anaconda.org/conda-forge/psutil,2022-10-26 08:33:31.905,16383396.0,1.0,,,,,,,,,,,,,,,,,,,,
7,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2022-10-31 13:40:27.000,2022-10-29 14:48:21,13321.0,385.0,956.0,86.0,1294.0,1662.0,1833.0,2022-10-14 12:36:38.682,65.5.0,519.0,542.0,45,True,536.0,setuptools,conda-forge/setuptools,,255385.0,218815.0,https://pypi.org/project/setuptools,2022-07-04 02:25:55.000,36570.0,215662876.0,216439973.0,https://anaconda.org/conda-forge/setuptools,2022-10-25 19:10:05.161,59059391.0,1.0,,,,,,,,,,,,,,,,,,,,
8,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2022-11-03 13:13:59.000,2022-10-26 02:20:35,7984.0,418.0,1786.0,367.0,1594.0,3553.0,23404.0,2022-10-26 03:12:05.680,2022.10.25,338.0,444.0,44,True,263.0,pipenv,conda-forge/pipenv,,44738.0,43496.0,https://pypi.org/project/pipenv,2022-09-08 15:02:03.491,1242.0,6571715.0,6573737.0,https://anaconda.org/conda-forge/pipenv,2022-10-26 04:44:48.448,74827.0,1.0,,,,,,,,,,,,,,,,,,,,
9,mypy,python/mypy,linters,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2022-11-03 12:55:16.000,2022-11-03 12:55:16,10729.0,293.0,2333.0,222.0,5651.0,6128.0,14061.0,,,96.0,611.0,44,True,2268.0,mypy,conda-forge/mypy,,107070.0,100785.0,https://pypi.org/project/mypy,2022-10-03 14:22:39.864,6285.0,13535200.0,13574186.0,https://anaconda.org/conda-forge/mypy,2022-10-05 00:25:54.532,2339195.0,1.0,,,,,,,,,,,,,,,,,,,,
10,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2022-10-28 22:19:56.000,2022-10-20 13:42:55,3519.0,154.0,1371.0,542.0,840.0,882.0,40554.0,2022-10-02 16:29:13.235,12.6.0,170.0,199.0,42,True,64.0,rich,conda-forge/rich,,38798.0,36673.0,https://pypi.org/project/rich,2022-05-24 06:40:55.000,2125.0,13928523.0,14007502.0,https://anaconda.org/conda-forge/rich,2022-10-02 23:18:27.050,2211429.0,1.0,,,,,,,,,,,,,,,,,,,,
11,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2022-11-03 12:09:42.000,2022-11-01 18:42:48,1450.0,67.0,1918.0,223.0,1255.0,1760.0,30052.0,2022-10-06 22:46:02.996,22.10.0,42.0,347.0,42,True,354.0,black,conda-forge/black,,7852.0,,https://pypi.org/project/black,2022-06-28 00:39:54.000,7852.0,16232554.0,16331597.0,https://anaconda.org/conda-forge/black,2022-10-27 20:13:05.568,5317308.0,1.0,25308.0,,,,,,,,,,,,,,,,,,,
12,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2022-11-01 09:59:03.000,2022-09-03 10:56:22,1928.0,4.0,1168.0,206.0,492.0,559.0,23247.0,2022-09-03 18:04:55.000,4.64.1,130.0,112.0,42,True,376.0,tqdm,conda-forge/tqdm,,363637.0,341208.0,https://pypi.org/project/tqdm,2022-04-04 01:48:46.000,22429.0,46251182.0,46445356.0,https://anaconda.org/conda-forge/tqdm,2022-09-03 14:17:41.115,14937547.0,1.0,10275.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2022-10-29 01:47:53.996497,2.0,4052.0,,,,,,,,,,,,,,
13,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2022-11-02 23:03:40.000,2022-11-01 18:23:29,1820.0,165.0,2107.0,233.0,1091.0,1628.0,15222.0,2022-11-01 18:34:14.000,1.4.2,55.0,223.0,42,True,116.0,mkdocs,conda-forge/mkdocs,['mkdocs'],30573.0,26823.0,https://pypi.org/project/mkdocs,2022-03-26 19:53:18.000,3750.0,1182953.0,1185598.0,https://anaconda.org/conda-forge/mkdocs,2022-03-31 16:37:37.228,209026.0,1.0,,,,,,,,,,,,,,,,,,,,
14,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2022-11-03 14:43:25.000,2022-11-03 14:42:40,4613.0,192.0,2554.0,108.0,2070.0,1582.0,11551.0,2022-11-03 14:43:25.000,8.5.8,281.0,167.0,42,True,17.0,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],19470.0,18205.0,https://pypi.org/project/mkdocs-material,2022-07-04 11:30:27.000,1265.0,1667616.0,1671681.0,https://anaconda.org/conda-forge/mkdocs-material,2022-09-18 18:35:12.577,170732.0,1.0,,,,,,,1.0,,,,,,,,,,,,,
15,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2022-11-03 13:44:39.000,2022-11-01 20:32:30,8538.0,91.0,1842.0,233.0,2050.0,4417.0,9728.0,2022-10-31 17:46:11.000,5.6.2,46.0,441.0,42,True,280.0,pyinstaller,conda-forge/pyinstaller,,31799.0,31610.0,https://pypi.org/project/pyinstaller,2022-05-17 18:32:22.000,189.0,808017.0,819485.0,https://anaconda.org/conda-forge/pyinstaller,2022-11-02 14:31:26.178,365495.0,1.0,732532.0,,,,,,,,,,,,,,,,,,,
16,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2022-11-02 14:34:27.000,2022-10-30 16:09:30,19744.0,157.0,1777.0,142.0,4714.0,5199.0,4969.0,2022-10-17 21:45:48.000,6.0.0b2,175.0,757.0,42,True,1073.0,sphinx,conda-forge/sphinx,['sphinx'],288904.0,228943.0,https://pypi.org/project/sphinx,2022-06-02 18:12:32.000,59961.0,8874103.0,8958979.0,https://anaconda.org/conda-forge/sphinx,2022-10-16 10:22:22.751,6365756.0,1.0,,,,,,,,,,,,,,,,,,,,
17,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000,2022-11-03 10:03:40.000,2022-11-01 02:33:30,2316.0,50.0,242.0,31.0,275.0,1426.0,2394.0,2022-08-03 23:23:36.795,5.0.4,86.0,170.0,42,True,31.0,flake8,conda-forge/flake8,,346575.0,304676.0,https://pypi.org/project/flake8,2021-10-11 12:42:47.000,41899.0,18797031.0,18862446.0,https://anaconda.org/conda-forge/flake8,2022-08-04 20:32:50.634,5037006.0,1.0,,,,,,,1.0,,,,,,,,,,,,,
18,poetry,python-poetry/poetry,dependency-managers,Python packaging and dependency management made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2022-11-03 08:53:10.000,2022-11-03 05:38:09,2649.0,218.0,1805.0,181.0,2121.0,3847.0,22491.0,2022-10-10 19:45:14.090,1.2.2,154.0,411.0,40,True,650.0,poetry,conda-forge/poetry,,155.0,,https://pypi.org/project/poetry,2022-08-31 03:48:14.633,155.0,9795085.0,10071002.0,https://anaconda.org/conda-forge/poetry,2022-10-31 19:50:24.779,674677.0,1.0,14402438.0,,,,,,,,,,,,,,,,,,,
19,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2022-11-02 12:11:46.000,2022-10-31 14:23:54,13765.0,156.0,2033.0,482.0,603.0,3720.0,7501.0,2022-10-19 10:31:50.000,6.0,95.0,172.0,40,True,242.0,robotframework,conda-forge/robotframework,,7099.0,6051.0,https://pypi.org/project/robotframework,2022-05-16 07:56:15.000,1048.0,1468538.0,1470243.0,https://anaconda.org/conda-forge/robotframework,2022-10-19 12:29:04.598,98608.0,1.0,539.0,,,,,,,,,,,,,,,,,,,
20,hypothesis,HypothesisWorks/hypothesis,testing,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000,2022-11-02 04:18:05.000,2022-10-28 07:40:40,12505.0,136.0,532.0,68.0,2168.0,1287.0,6309.0,2022-10-28 07:42:19.253,6.56.4,998.0,297.0,40,True,44.0,hypothesis,conda-forge/hypothesis,,16604.0,14630.0,https://pypi.org/project/hypothesis,2022-07-05 05:13:25.000,1974.0,3413202.0,3497437.0,https://anaconda.org/conda-forge/hypothesis,2022-10-31 15:05:50.213,6401885.0,1.0,,,,,,,,,,,,,,,,,,,,
