,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,labels,conda_id,pypi_id,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge,updated_github_id
0,Python.org Packaging,https://packaging.python.org/overview/,True,An Overview of Packaging for Python.,packaging,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Testing,https://github.com/ml-tooling/best-of-web-python,True,Testing libraries & tools for python web frameworks.,testing,0,True,ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-09-09 14:18:36.000000,2021-09-01 14:02:18.000000,86.0,2.0,1317.0,2021-09-01 14:02:45.000000,2021.08.26,22.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,https://docs.python.org/3/library/unittest.html,True,Unittest is a test framework included in the Python standard library.,testing,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sphinx,https://github.com/sphinx-doc/sphinx,,Main repository for the Sphinx documentation builder.,documentation,38,True,sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000000,2021-09-08 00:33:18.000000,2021-09-05 08:02:26.000000,1549.0,4740.0,4118.0,2021-07-26 17:14:02.000000,4.1.2,155.0,672.0,849.0,['sphinx'],conda-forge/sphinx,sphinx,18115.0,261424.0,156888.0,https://pypi.org/project/sphinx,2021-07-26 17:14:02.000000,104536.0,3798855.0,3862107.0,https://anaconda.org/conda-forge/sphinx,2021-07-26 20:39:24.675000,3858376.0,1.0,,,,,,,,,,,,,,,
4,pipenv,https://github.com/pypa/pipenv,,Python Development Workflow for Humans.,virtual-envs,37,True,pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000000,2021-08-31 00:56:37.000000,2021-08-31 00:56:36.000000,1645.0,2899.0,22249.0,2021-05-29 03:10:16.000000,2021.5.29,298.0,387.0,560.0,,conda-forge/pipenv,pipenv,7109.0,23605.0,21331.0,https://pypi.org/project/pipenv,2021-05-29 03:10:16.000000,2274.0,3376493.0,3378353.0,https://anaconda.org/conda-forge/pipenv,2020-11-15 06:15:51.831000,42789.0,1.0,,,,,,,,,,,,,,,
5,tqdm,https://github.com/tqdm/tqdm,,"A Fast, Extensible Progress Bar for Python and CLI.",logging,37,True,tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000000,2021-09-09 00:08:03.837713,2021-08-22 21:32:48.000000,1009.0,529.0,19372.0,2021-08-23 15:04:14.000000,4.62.2,123.0,107.0,306.0,,conda-forge/tqdm,tqdm,1872.0,230118.0,203880.0,https://pypi.org/project/tqdm,2021-08-23 12:32:48.000000,26238.0,28838909.0,28958495.0,https://anaconda.org/conda-forge/tqdm,2021-08-23 18:18:14.554000,7523063.0,1.0,tqdm/tqdm,7817.0,https://hub.docker.com/r/tqdm/tqdm,2021-09-09 00:08:03.837713,1.0,3836.0,,,,,,,,,
6,psutil,https://github.com/giampaolo/psutil,,Cross-platform lib for process and system monitoring in Python.,profiling,37,True,giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000000,2021-09-05 07:55:10.000000,2021-08-20 07:55:56.000000,1144.0,1292.0,7637.0,2020-12-19 01:19:27.000000,5.8.0,83.0,163.0,201.0,,conda-forge/psutil,psutil,5691.0,130443.0,105777.0,https://pypi.org/project/psutil,2020-12-19 01:19:27.000000,24666.0,30198387.0,30319849.0,https://anaconda.org/conda-forge/psutil,2021-06-29 02:45:06.508000,7895079.0,1.0,,,,,,,,,,,,,,,
7,mypy,https://github.com/python/mypy,,Optional static typing for Python 3 and 2 (PEP 484).,linters,36,True,python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000000,2021-09-09 09:32:28.000000,2021-09-08 05:01:03.000000,1867.0,4794.0,11249.0,,,83.0,487.0,1895.0,,conda-forge/mypy,mypy,9711.0,49656.0,43572.0,https://pypi.org/project/mypy,2021-06-22 18:39:23.000000,6084.0,6759601.0,6785793.0,https://anaconda.org/conda-forge/mypy,2021-06-23 17:56:50.288000,1204867.0,1.0,,,,,,,,,,,,,,,
8,tox,https://github.com/tox-dev/tox,,Command line driven CI frontend and development task automation tool.,testing,36,True,tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000000,2021-09-09 13:40:16.000000,2021-08-31 14:16:18.000000,382.0,1108.0,2403.0,2021-08-21 15:06:30.000000,3.24.3,122.0,250.0,134.0,['pytest'],conda-forge/tox,tox,2041.0,84381.0,47981.0,https://pypi.org/project/tox,2021-08-21 15:06:30.000000,36400.0,3930666.0,3937886.0,https://anaconda.org/conda-forge/tox,2021-08-24 16:28:03.475000,346603.0,1.0,,,,,,,,,,,,,,,
9,pip,https://github.com/pypa/pip,,The Python package installer.,dependency-managers,35,True,pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000000,2021-09-09 08:11:08.000000,2021-09-05 09:54:41.000000,2394.0,4965.0,7394.0,2021-08-12 14:54:57.000000,21.2.4,111.0,630.0,985.0,,conda-forge/pip,pip,,77384.0,58718.0,https://pypi.org/project/pip,2021-08-12 14:54:57.000000,18666.0,101750018.0,102138646.0,https://anaconda.org/conda-forge/pip,2021-08-12 18:29:31.614000,24094944.0,1.0,,,,,,,1.0,,,,,,,,
