,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,conda_id,labels,pypi_id,open_issue_count,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,updated_github_id,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge
147,redbaron,https://github.com/PyCQA/redbaron,,Bottom-up approach to refactoring in python.,refactoring,23,False,pycqa/redbaron,https://github.com/PyCQA/redbaron,LGPL-3.0+,2014-03-23 05:34:39.000,2020-12-13 18:51:56.000,2019-08-11 17:42:44.000,65.0,46.0,566.0,2019-03-17 19:03:54.000,0.9.2,15.0,34.0,,,redbaron,59.0,1669.0,370.0,242.0,https://pypi.org/project/redbaron,2019-03-17 18:59:01.000,128.0,5776.0,5776.0,,,,2.0,,,,,,,,,,
148,docformatter,https://github.com/myint/docformatter,,Formats docstrings to follow PEP 257.,formatters,23,True,myint/docformatter,https://github.com/myint/docformatter,MIT,2012-05-26 21:40:48.000,2021-02-09 03:12:56.000,2020-12-27 18:10:35.000,27.0,22.0,199.0,2019-11-10 16:23:03.000,1.3.1,48.0,15.0,,,docformatter,18.0,441.0,603.0,493.0,https://pypi.org/project/docformatter,2020-12-27 18:11:12.000,110.0,20268.0,20268.0,,,,3.0,,,,,,,,,,
149,data-science-types,https://github.com/predictive-analytics-lab/data-science-types,,"Mypy stubs, i.e., type information, for numpy, pandas and matplotlib.",linters,23,True,predictive-analytics-lab/data-science-types,https://github.com/predictive-analytics-lab/data-science-types,Apache-2.0,2019-09-20 11:45:49.000,2021-01-29 20:11:31.000,2021-01-29 20:11:30.000,57.0,23.0,177.0,2020-12-15 14:14:56.000,0.2.22,25.0,44.0,,,data-science-types,34.0,442.0,52.0,52.0,https://pypi.org/project/data-science-types,2020-12-15 12:21:44.000,0.0,7081.0,7081.0,,,,3.0,,,,,,,,,,
150,flake8-commas,https://github.com/PyCQA/flake8-commas,,Flake8 extension for enforcing trailing commas in python.,linters,23,False,PyCQA/flake8-commas,https://github.com/PyCQA/flake8-commas,MIT,2015-12-16 09:25:13.000,2020-12-09 08:41:47.000,2019-06-17 12:14:38.000,18.0,25.0,120.0,2018-03-19 16:49:31.000,2.0.0,19.0,9.0,,['flake8'],flake8-commas,5.0,165.0,1400.0,1253.0,https://pypi.org/project/flake8-commas,2018-03-19 16:49:31.000,147.0,120729.0,120729.0,,,,3.0,,,,,,,,,,
151,asteval,https://github.com/newville/asteval,,minimalistic evaluator of python expression using ast module.,ast,23,True,newville/asteval,https://github.com/newville/asteval,MIT,2012-03-31 22:10:33.000,2021-02-11 03:06:31.602,2021-02-01 04:00:45.000,26.0,41.0,115.0,2020-11-15 20:07:00.000,0.9.21,21.0,16.0,conda-forge/asteval,,asteval,3.0,371.0,728.0,490.0,https://pypi.org/project/asteval,2020-11-15 20:07:00.000,238.0,37659.0,39795.0,https://anaconda.org/conda-forge/asteval,2021-02-11 03:06:31.602,111101.0,3.0,,,,,,,,,,
152,py2app,https://github.com/ronaldoussoren/py2app,,py2app is a Python setuptools command which will allow you to make standalone Mac OS X application bundles and plugins..,packaging,23,True,ronaldoussoren/py2app,https://github.com/ronaldoussoren/py2app,MIT,2020-01-14 11:27:41.000,2021-01-23 10:48:57.000,2021-01-23 10:47:31.000,6.0,193.0,104.0,2020-09-16 09:18:09.000,0.22,38.0,24.0,,,py2app,134.0,595.0,5149.0,3507.0,https://pypi.org/project/py2app,2021-01-02 09:31:59.000,1642.0,5261.0,5261.0,,,,2.0,,,,,,,,,,
153,Bpytop,https://github.com/aristocratos/bpytop,,Linux/OSX/FreeBSD resource monitor.,profiling,22,True,aristocratos/bpytop,https://github.com/aristocratos/bpytop,Apache-2.0,2020-07-01 17:41:25.000,2021-02-08 21:38:40.000,2021-01-25 16:52:46.000,196.0,170.0,5460.0,2021-01-25 16:52:51.000,1.0.61,46.0,26.0,,,bpytop,28.0,359.0,,,https://pypi.org/project/bpytop,2021-01-25 16:52:51.000,,5016.0,5016.0,,,,3.0,,,,,,,,,,
154,vprof,https://github.com/nvdv/vprof,,Visual profiler for Python.,profiling,22,True,nvdv/vprof,https://github.com/nvdv/vprof,BSD-2-Clause,2015-06-29 03:59:39.000,2020-11-08 14:27:24.000,2020-11-08 14:27:12.000,165.0,56.0,3716.0,2018-06-24 14:16:36.000,0.37.6,24.0,17.0,,,vprof,22.0,618.0,79.0,70.0,https://pypi.org/project/vprof,2020-02-29 13:31:59.000,9.0,1445.0,1445.0,,,,3.0,,,,,,,,,,
155,icecream,https://github.com/gruns/icecream,,Never use print() to debug again.,debugging,22,True,gruns/icecream,https://github.com/gruns/icecream,MIT,2018-02-13 18:56:12.000,2021-01-29 20:28:19.000,2021-01-29 20:28:18.000,51.0,30.0,2217.0,2021-01-27 01:30:01.000,2.1.0,14.0,10.0,,,icecream,11.0,182.0,6.0,,https://pypi.org/project/icecream,2021-01-27 01:30:01.000,6.0,8492.0,8492.0,,,,3.0,,,,,,,,,,
156,pyt,https://github.com/python-security/pyt,,A Static Analysis Tool for Detecting Security Vulnerabilities in Python Web Applications.,security,22,True,python-security/pyt,https://github.com/python-security/pyt,GPL-2.0,2016-10-26 15:34:48.000,2020-12-25 03:47:37.000,2020-03-08 21:43:06.000,224.0,75.0,2015.0,2018-11-01 16:02:57.000,0.42,15.0,22.0,,,python-taint,19.0,1576.0,48.0,37.0,https://pypi.org/project/python-taint,2018-11-01 16:02:04.000,11.0,951.0,953.0,,,,3.0,58.0,,,,,,,,,
