,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-03-03 16:36:35.000,2022-02-19 17:48:44,116.0,26.0,99.0,48.0,74.0,2.0,1453.0,2022-02-19 17:48:53.000,2022.02.17,34.0,8.0,4.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2022-03-09 19:46:02.000,2022-03-07 13:50:25,14367.0,225.0,1958.0,194.0,4498.0,4137.0,8487.0,2022-02-11 18:49:52.000,7.0.1,151.0,771.0,743.0,48,True,pytest,conda-forge/pytest,['pytest'],540229.0,459107.0,https://pypi.org/project/pytest,2022-02-11 18:47:56.000,81122.0,38452196.0,38624832.0,https://anaconda.org/conda-forge/pytest,2022-02-11 22:07:39.180,11739287.0,1.0,,,,,,,,,,,,,,,,,,,
4,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2022-03-10 12:42:26.000,2022-03-10 08:28:02,12772.0,162.0,2552.0,299.0,4773.0,5249.0,7813.0,2022-03-07 07:42:43.000,22.0.4,118.0,662.0,978.0,45,True,pip,conda-forge/pip,,85445.0,74908.0,https://pypi.org/project/pip,2022-03-07 07:42:43.000,10537.0,103772193.0,104243606.0,https://anaconda.org/conda-forge/pip,2022-03-07 10:47:21.063,32056103.0,1.0,-1.0,,,,,,,,,,,,,,,,,,
5,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2022-03-10 07:37:04.000,2022-03-07 14:21:55,11840.0,484.0,825.0,80.0,1081.0,1502.0,1576.0,2022-02-18 02:10:21.000,60.9.3,479.0,487.0,479.0,45,True,setuptools,conda-forge/setuptools,,185544.0,149714.0,https://pypi.org/project/setuptools,2022-02-18 02:10:09.000,35830.0,211538087.0,212044635.0,https://anaconda.org/conda-forge/setuptools,2022-02-18 10:36:57.120,34445224.0,1.0,,117.0,,,,,,,,,,,,,,,,,
6,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2022-03-08 18:50:08.000,2022-03-08 16:47:51,1285.0,108.0,1629.0,209.0,1042.0,1557.0,25973.0,2022-01-29 20:39:31.000,22.1.0,38.0,311.0,321.0,44,True,black,conda-forge/black,,134564.0,127650.0,https://pypi.org/project/black,2022-01-29 20:39:31.000,6914.0,14115865.0,14189187.0,https://anaconda.org/conda-forge/black,2022-01-31 13:41:24.552,3346356.0,1.0,,20760.0,,,,,,,,,,,,,,,,,
7,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2022-02-25 07:41:36.000,2022-02-25 07:41:36,5759.0,30.0,1188.0,232.0,554.0,1326.0,8184.0,2021-12-29 21:26:19.000,5.9.0,84.0,174.0,210.0,44,True,psutil,conda-forge/psutil,,158205.0,142806.0,https://pypi.org/project/psutil,2021-12-29 21:26:19.000,15399.0,39182179.0,39326448.0,https://anaconda.org/conda-forge/psutil,2021-12-30 18:15:13.024,10243100.0,1.0,,,,,,,,,,,,,,,,,,,
8,sphinx,sphinx-doc/sphinx,documentation,Main repository for the Sphinx documentation builder.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2022-03-08 01:52:31.000,2022-03-06 09:43:17,18766.0,275.0,1626.0,133.0,4374.0,4939.0,4474.0,2022-01-16 15:20:56.000,4.4.0,162.0,712.0,960.0,44,True,sphinx,conda-forge/sphinx,['sphinx'],245848.0,187023.0,https://pypi.org/project/sphinx,2022-01-16 15:18:30.000,58825.0,5138580.0,5210567.0,https://anaconda.org/conda-forge/sphinx,2022-01-20 19:43:31.997,4823141.0,1.0,,,,,,,,,,,,,,,,,,,
9,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2022-03-10 02:16:37.000,2022-03-09 10:12:35,7305.0,75.0,1700.0,367.0,1368.0,3083.0,22752.0,2022-01-08 15:34:11.000,2022.1.8,304.0,412.0,559.0,43,True,pipenv,conda-forge/pipenv,,26614.0,25377.0,https://pypi.org/project/pipenv,2022-01-08 15:34:11.000,1237.0,4505345.0,4506970.0,https://anaconda.org/conda-forge/pipenv,2022-01-08 20:44:18.377,47141.0,1.0,,,,,,,,,,,,,,,,,,,
