,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_dependent_project_count,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-11-24 17:27:17.000,2022-11-24 17:27:16,182.0,25.0,132.0,53.0,113.0,2.0,1743.0,2022-11-24 17:27:22.000,2022.11.24,66.0,9.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2022-11-24 18:22:41.000,2022-11-24 18:22:41,130.0,18.0,3.0,4.0,51.0,2.0,94.0,2022-11-24 18:22:59.000,2022.11.24,36.0,4.0,0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2022-12-01 13:33:55.000,2022-11-29 09:14:38,14808.0,173.0,2201.0,194.0,4854.0,4345.0,9548.0,2022-10-25 07:58:53.000,7.2.0,156.0,838.0,47,True,797.0,pytest,conda-forge/pytest,['pytest'],631735.0,631735.0,https://pypi.org/project/pytest,2022-10-25 07:58:10.000,48692833.0,48913946.0,https://anaconda.org/conda-forge/pytest,2022-10-31 11:43:04.693,17025741.0,1.0,,,,,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2022-12-01 09:21:00.000,2022-11-25 12:20:15,13437.0,145.0,2751.0,307.0,5043.0,5654.0,8385.0,2022-11-05 15:58:21.647,22.3.1,126.0,702.0,46,True,990.0,pip,conda-forge/pip,,116680.0,105998.0,https://pypi.org/project/pip,2022-05-31 11:19:58.000,134973781.0,135739479.0,https://anaconda.org/conda-forge/pip,2022-11-05 19:03:00.168,58958774.0,1.0,10682.0,,,,,,,,,,,,,,,,,,,,
6,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2022-11-30 21:47:14.687,2022-11-30 16:07:38,8123.0,432.0,1793.0,364.0,1613.0,3620.0,23480.0,2022-11-30 16:06:36.000,2022.11.30,346.0,449.0,45,True,235.0,pipenv,conda-forge/pipenv,,49969.0,48728.0,https://pypi.org/project/pipenv,2022-09-08 15:02:03.491,6551156.0,6553251.0,https://anaconda.org/conda-forge/pipenv,2022-11-30 21:47:14.687,79634.0,1.0,1241.0,1.0,,,,,,,,,,,,,,,,,,,
7,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2022-11-28 21:49:37.000,2022-11-14 11:18:35,5859.0,58.0,1276.0,238.0,592.0,1370.0,8896.0,2022-11-07 18:47:02.742,5.9.4,88.0,190.0,45,True,234.0,psutil,conda-forge/psutil,,243833.0,227876.0,https://pypi.org/project/psutil,2022-09-04 20:17:41.866,70944227.0,71159131.0,https://anaconda.org/conda-forge/psutil,2022-11-08 06:03:33.939,17192335.0,1.0,15957.0,,,,,,,,,,,,,,,,,,,,
8,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2022-11-29 00:27:15.000,2022-11-24 04:57:16,13445.0,227.0,962.0,88.0,1320.0,1676.0,1872.0,2022-11-24 06:09:37.000,65.6.3,524.0,549.0,45,True,540.0,setuptools,conda-forge/setuptools,,268644.0,232085.0,https://pypi.org/project/setuptools,2022-07-04 02:25:55.000,215335098.0,216138187.0,https://anaconda.org/conda-forge/setuptools,2022-11-22 16:31:54.783,61837853.0,1.0,36559.0,,,,,,,,,,,,,,,,,,,,
9,mypy,python/mypy,linters,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2022-12-01 13:13:52.000,2022-12-01 10:14:28,10808.0,238.0,2351.0,223.0,5747.0,6239.0,14245.0,,,98.0,617.0,44,True,2312.0,mypy,conda-forge/mypy,,111890.0,105612.0,https://pypi.org/project/mypy,2022-10-03 14:22:39.864,12206920.0,12246920.0,https://anaconda.org/conda-forge/mypy,2022-11-15 04:12:17.621,2440036.0,1.0,6278.0,,,,,,,,,,,,,,,,,,,,
10,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2022-11-30 14:41:32.000,2022-11-30 14:41:30,3541.0,146.0,1387.0,542.0,855.0,900.0,40896.0,2022-10-02 16:29:13.235,12.6.0,170.0,201.0,42,True,70.0,rich,conda-forge/rich,,43039.0,40914.0,https://pypi.org/project/rich,2022-05-24 06:40:55.000,15995313.0,16079309.0,https://anaconda.org/conda-forge/rich,2022-10-02 23:18:27.050,2435888.0,1.0,2125.0,,,,,,,,,,,,,,,,,,,,
