,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,labels,conda_id,pypi_id,open_issue_count,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,github_release_downloads,updated_github_id,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge
0,Python.org Packaging,https://packaging.python.org/overview/,True,An Overview of Packaging for Python.,packaging,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Testing,https://github.com/ml-tooling/best-of-web-python,True,Testing libraries & tools for python web frameworks.,testing,0,True,ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2021-04-15 14:06:20.000,2021-04-08 16:14:07.000,74.0,2.0,1160.0,2021-04-08 16:14:36.000,2021.04.08,13.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,https://docs.python.org/3/library/unittest.html,True,Unittest is a test framework included in the Python standard library.,testing,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sphinx,https://github.com/sphinx-doc/sphinx,,Main repository for the Sphinx documentation builder.,documentation,38,True,sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2021-04-15 10:15:16.000,2021-04-15 00:08:32.000,1442.0,4555.0,3879.0,2021-04-11 11:27:38.000,3.5.4,146.0,633.0,['sphinx'],conda-forge/sphinx,sphinx,775.0,17333.0,240880.0,136344.0,https://pypi.org/project/sphinx,2021-04-11 11:27:38.000,104536.0,4320925.0,4375551.0,https://anaconda.org/conda-forge/sphinx,2021-04-11 13:57:22.448,3059093.0,1.0,,,,,,,,,,
4,pipenv,https://github.com/pypa/pipenv,,Python Development Workflow for Humans.,virtual-envs,37,True,pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2021-04-15 05:01:28.000,2021-04-07 00:35:06.000,1601.0,2874.0,21756.0,2020-11-15 04:19:27.000,2020.11.15,297.0,379.0,,conda-forge/pipenv,pipenv,506.0,7043.0,20128.0,17854.0,https://pypi.org/project/pipenv,2020-11-15 04:19:27.000,2274.0,3530441.0,3532568.0,https://anaconda.org/conda-forge/pipenv,2020-11-15 06:15:51.831,38300.0,1.0,1.0,,,,,,,,,
5,tqdm,https://github.com/tqdm/tqdm,,"A Fast, Extensible Progress Bar for Python and CLI.",logging,36,True,tqdm/tqdm,https://github.com/tqdm/tqdm,MIT,2015-06-03 13:13:14.000,2021-04-11 02:29:44.000,2021-04-06 00:21:40.000,925.0,507.0,18038.0,2021-04-06 01:40:26.000,4.60.0,117.0,98.0,,conda-forge/tqdm,tqdm,279.0,1818.0,189707.0,163469.0,https://pypi.org/project/tqdm,2021-04-06 01:23:21.000,26238.0,23313427.0,23414379.0,https://anaconda.org/conda-forge/tqdm,2021-04-06 03:39:45.818,5848171.0,1.0,,7747.0,,,,,,,,
6,mypy,https://github.com/python/mypy,,Optional static typing for Python 3 and 2 (PEP 484).,linters,36,True,python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2021-04-15 13:42:24.000,2021-04-13 16:22:50.000,1667.0,4570.0,10494.0,,,79.0,455.0,,conda-forge/mypy,mypy,1638.0,9451.0,37922.0,31838.0,https://pypi.org/project/mypy,2021-02-19 17:28:31.000,6084.0,6018240.0,6038750.0,https://anaconda.org/conda-forge/mypy,2021-04-02 00:00:44.993,840935.0,1.0,,,,,,,,,,
7,psutil,https://github.com/giampaolo/psutil,,Cross-platform lib for process and system monitoring in Python.,profiling,36,True,giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2021-04-08 09:30:33.000,2021-04-08 09:30:33.000,1094.0,1281.0,7234.0,2020-12-19 01:19:27.000,5.8.0,83.0,158.0,,conda-forge/psutil,psutil,176.0,5679.0,105644.0,80978.0,https://pypi.org/project/psutil,2020-12-19 01:19:27.000,24666.0,22330941.0,22436941.0,https://anaconda.org/conda-forge/psutil,2021-01-12 14:13:09.300,6360025.0,1.0,,,,,,,,,,
8,pytest,https://github.com/pytest-dev/pytest,,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",testing,36,True,pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2021-04-15 11:55:42.000,2021-04-15 11:55:42.000,1669.0,3830.0,7207.0,2021-04-03 22:06:49.000,6.2.3,146.0,704.0,['pytest'],conda-forge/pytest,pytest,637.0,,435739.0,305155.0,https://pypi.org/project/pytest,2021-04-03 22:06:07.000,130584.0,26568058.0,26696898.0,https://anaconda.org/conda-forge/pytest,2021-04-05 18:12:40.275,7343883.0,1.0,1.0,,,,,,,,,
9,jedi,https://github.com/davidhalter/jedi,,"Awesome autocompletion, static analysis and refactoring library for python.",refactoring,36,True,davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2021-02-26 22:09:30.000,2021-02-26 22:09:22.000,441.0,1207.0,4819.0,2020-12-25 10:34:25.000,0.18.0,30.0,142.0,,conda-forge/jedi,jedi,22.0,8201.0,140385.0,124479.0,https://pypi.org/project/jedi,2020-12-25 10:34:25.000,15906.0,13726782.0,13811887.0,https://anaconda.org/conda-forge/jedi,2021-01-14 15:48:43.942,4595672.0,1.0,,,,,,,,,,
