,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2025-12-04 17:55:06.000,2025-12-04 17:55:05,387.0,22.0,193.0,56.0,226.0,4.0,2655.0,2025-12-04 17:55:11.000,2025.12.04,100.0,16.0,3.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2025-12-04 18:41:25.000,2025-11-06 18:40:58,419.0,8.0,111.0,16.0,334.0,37.0,1613.0,2023-06-29 18:48:34.000,2023.06.29,68.0,63.0,,0,True,mkdocs/catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2025-12-09 19:33:57.000,2025-12-09 19:15:46,17086.0,310.0,2961.0,191.0,6714.0,5355.0,13366.0,2025-12-06 21:31:16.000,9.0.2,189.0,1074.0,960.0,50,True,,pytest,conda-forge/pytest,['pytest'],27592.0,329155447.0,1791956.0,1690751.0,https://pypi.org/project/pytest,2025-12-06 21:30:49.000,101205.0,328467367.0,https://anaconda.org/conda-forge/pytest,2025-12-06 23:00:53.196,42638468.0,1.0,,,,,,,,,,,,,,,,,,
5,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2025-12-11 10:41:03.000,2025-12-11 10:41:03,13078.0,209.0,3059.0,232.0,8611.0,8965.0,20061.0,2025-11-28 15:44:47.000,1.19.0,132.0,824.0,3118.0,49,True,,mypy,conda-forge/mypy,,,87062560.0,371927.0,334601.0,https://pypi.org/project/mypy,2025-11-28 15:44:47.000,37326.0,86965684.0,https://anaconda.org/conda-forge/mypy,2025-11-29 15:04:03.713,6393864.0,1.0,,,,,,,,,,,,,,,,,,
6,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2025-11-27 12:34:03.000,2025-11-27 12:33:57,6437.0,122.0,1445.0,226.0,825.0,1542.0,10971.0,2025-11-02 12:25:54.000,7.1.3,101.0,226.0,350.0,47,True,,psutil,conda-forge/psutil,,,246378682.0,779022.0,761296.0,https://pypi.org/project/psutil,2025-11-02 12:25:54.000,17726.0,245543262.0,https://anaconda.org/conda-forge/psutil,2025-11-02 14:20:35.921,54302341.0,1.0,,,,,,,,,,,,,,,,,,
7,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2025-12-02 10:18:01.000,2025-12-02 10:18:00,4294.0,10.0,1948.0,532.0,1322.0,1232.0,54722.0,2025-10-09 14:18:08.000,14.2.0,201.0,277.0,313.0,46,True,,rich,conda-forge/rich,,,287728003.0,511581.0,485958.0,https://pypi.org/project/rich,2025-10-09 14:16:51.000,25623.0,287473766.0,https://anaconda.org/conda-forge/rich,2025-10-09 16:10:55.602,16525408.0,1.0,,,,,,,,,,,,,,,,,,
8,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2025-12-11 12:55:33.000,2025-12-11 12:55:31,2102.0,81.0,2688.0,231.0,2073.0,2456.0,41219.0,2025-12-08 01:40:50.000,25.12.0,69.0,492.0,327.0,46,True,,black,conda-forge/black,,135848.0,93238041.0,702523.0,654818.0,https://pypi.org/project/black,2025-12-08 01:46:39.000,47705.0,92967922.0,https://anaconda.org/conda-forge/black,2025-12-08 19:49:12.580,17448766.0,1.0,,,,,,,,,,,,,,,,,,
9,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2025-12-08 16:06:55.000,2025-12-06 01:28:39,15633.0,175.0,3170.0,317.0,5968.0,6710.0,10031.0,2025-05-02 15:13:59.000,25.1.1,153.0,860.0,1033.0,46,True,,pip,conda-forge/pip,,,477276909.0,250904.0,245438.0,https://pypi.org/project/pip,2025-10-25 00:55:39.000,5466.0,474484572.0,https://anaconda.org/conda-forge/pip,2025-11-10 12:14:15.799,187086632.0,1.0,,,,,,,,,,,,,,,,,,
10,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2025-12-09 09:38:40.000,2025-12-09 09:38:39,9884.0,52.0,2011.0,222.0,2641.0,5309.0,12764.0,2025-11-24 19:44:38.000,6.17.0,77.0,486.0,287.0,44,True,,pyinstaller,conda-forge/pyinstaller,,752285.0,5487147.0,86914.0,85483.0,https://pypi.org/project/pyinstaller,2025-11-24 19:42:30.000,1431.0,5456859.0,https://anaconda.org/conda-forge/pyinstaller,2025-11-24 23:02:49.924,1485098.0,1.0,,,,,,,,,,,,,,,,,,
