,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_dependent_project_count,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-12-17 03:23:37.000,2022-12-17 03:23:36,188.0,25.0,131.0,52.0,116.0,2.0,1754.0,2022-12-17 03:23:42.000,2022.12.15,69.0,9.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2022-12-15 18:27:37.000,2022-12-15 18:27:37,133.0,13.0,4.0,4.0,54.0,2.0,104.0,2022-12-15 18:27:43.000,2022.12.15,39.0,4.0,0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2022-12-21 17:07:45.000,2022-12-17 13:24:46,14825.0,164.0,2217.0,195.0,4868.0,4357.0,9613.0,2022-10-25 07:58:53.000,7.2.0,156.0,842.0,47,True,810.0,pytest,conda-forge/pytest,['pytest'],650137.0,650137.0,https://pypi.org/project/pytest,2022-10-25 07:58:10.000,48955484.0,49181794.0,https://anaconda.org/conda-forge/pytest,2022-10-31 11:43:04.693,17425899.0,1.0,,,,,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2022-12-22 10:27:06.000,2022-12-20 13:29:00,13443.0,137.0,2779.0,307.0,5055.0,5699.0,8426.0,2022-11-05 15:58:21.647,22.3.1,126.0,704.0,46,True,996.0,pip,conda-forge/pip,,119596.0,108918.0,https://pypi.org/project/pip,2022-05-31 11:19:58.000,123708167.0,124501516.0,https://anaconda.org/conda-forge/pip,2022-11-05 19:03:00.168,61087902.0,1.0,10678.0,,,,,,,,,,,,,,,,,,,,
6,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2022-12-21 12:53:51.000,2022-12-20 09:32:16,8187.0,334.0,1807.0,364.0,1632.0,3645.0,23507.0,2022-12-19 10:24:49.000,2022.12.19,348.0,454.0,45,True,230.0,pipenv,conda-forge/pipenv,,53658.0,52417.0,https://pypi.org/project/pipenv,2022-09-08 15:02:03.491,6359797.0,6361978.0,https://anaconda.org/conda-forge/pipenv,2022-12-19 20:02:53.055,82909.0,1.0,1241.0,,,,,,,,,,,,,,,,,,,,
7,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2022-12-20 12:02:58.000,2022-12-20 12:02:53,13461.0,239.0,962.0,88.0,1323.0,1683.0,1889.0,2022-11-24 06:09:37.000,65.6.3,524.0,550.0,45,True,540.0,setuptools,conda-forge/setuptools,,278527.0,241968.0,https://pypi.org/project/setuptools,2022-07-04 02:25:55.000,216753702.0,217582534.0,https://anaconda.org/conda-forge/setuptools,2022-12-18 20:05:41.662,63820094.0,1.0,36559.0,,,,,,,,,,,,,,,,,,,,
8,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2022-12-22 01:20:14.000,2022-12-21 03:18:15,1484.0,70.0,1949.0,228.0,1296.0,1812.0,30540.0,2022-12-09 15:59:15.665,22.12.0,44.0,351.0,44,True,371.0,black,conda-forge/black,,227658.0,219813.0,https://pypi.org/project/black,2022-06-28 00:39:54.000,16933287.0,17038680.0,https://anaconda.org/conda-forge/black,2022-10-27 20:13:05.568,5765019.0,1.0,7845.0,25893.0,,,,,,,,,,,,,,,,,,,
9,mypy,python/mypy,linters,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2022-12-22 13:22:22.000,2022-12-21 14:55:34,10849.0,233.0,2380.0,223.0,5793.0,6262.0,14375.0,,,98.0,619.0,44,True,2339.0,mypy,conda-forge/mypy,,115820.0,109542.0,https://pypi.org/project/mypy,2022-10-03 14:22:39.864,12186756.0,12227766.0,https://anaconda.org/conda-forge/mypy,2022-11-15 04:12:17.621,2501640.0,1.0,6278.0,,,,,,,,,,,,,,,,,,,,
