,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-02-08 17:09:28.000,2024-02-08 17:09:27,308.0,24.0,160.0,54.0,181.0,3.0,2125.0,2024-02-08 17:09:33.000,2024.02.08,100.0,14.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2024-02-08 18:51:33.000,2024-02-08 18:51:33,254.0,24.0,37.0,13.0,171.0,13.0,692.0,2023-06-29 18:48:34.000,2023.06.29,68.0,24.0,0,True,mkdocs/catalog,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2024-02-15 01:50:37.000,2024-02-14 19:11:30,15681.0,279.0,2494.0,191.0,5545.0,4777.0,11118.0,2024-01-27 21:58:13.000,8.0.0,169.0,942.0,48,True,,881.0,pytest,conda-forge/pytest,['pytest'],1172784.0,1150646.0,https://pypi.org/project/pytest,2024-01-27 21:47:54.000,22138.0,99456184.0,100060823.0,https://anaconda.org/conda-forge/pytest,2024-01-28 13:22:11.555,24185577.0,1.0,,,,,,,,,,,,,,,,,
5,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2024-02-12 20:46:17.000,2024-02-12 20:46:16,1819.0,88.0,2178.0,231.0,1679.0,2169.0,36314.0,2024-02-12 20:20:40.000,24.2.0,39.0,436.0,46,True,,343.0,black,conda-forge/black,,464133.0,464133.0,https://pypi.org/project/black,,,33268255.0,33484253.0,https://anaconda.org/conda-forge/black,2024-01-29 06:52:12.735,9247787.0,1.0,55140.0,,,,,,,,,,,,,,,,
6,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2024-02-09 20:23:53.000,2024-02-09 14:23:11,6029.0,46.0,1413.0,237.0,670.0,1420.0,9807.0,2024-01-19 20:47:14.000,5.9.8,93.0,203.0,46,True,,309.0,psutil,conda-forge/psutil,,454791.0,436725.0,https://pypi.org/project/psutil,2024-01-19 20:47:14.000,18066.0,90399328.0,91058826.0,https://anaconda.org/conda-forge/psutil,2024-02-08 19:11:03.012,28358424.0,1.0,,,,,,,,,,,,,,,,,
7,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2024-02-14 18:54:52.000,2024-02-12 10:49:58,14476.0,218.0,1001.0,93.0,1504.0,1841.0,2251.0,2024-02-12 01:15:30.000,69.1.0,200.0,591.0,46,True,,577.0,setuptools,conda-forge/setuptools,,463328.0,463328.0,https://pypi.org/project/setuptools,,,332529334.0,334782786.0,https://anaconda.org/conda-forge/setuptools,2024-01-02 19:48:28.599,101405352.0,1.0,,,,,,,,,,,,,,,,,
8,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2024-02-05 11:48:26.000,2024-02-05 11:48:25,8727.0,43.0,1799.0,358.0,1856.0,3925.0,24449.0,2024-02-05 01:03:12.000,2023.12.1,100.0,499.0,45,True,,224.0,pipenv,conda-forge/pipenv,,129434.0,129434.0,https://pypi.org/project/pipenv,,,11165304.0,11168466.0,https://anaconda.org/conda-forge/pipenv,2024-02-05 03:05:28.328,142316.0,1.0,,,,,,,,,,,,,,,,,
9,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2024-02-13 13:54:01.000,2024-02-05 19:17:04,14283.0,80.0,2851.0,316.0,5385.0,6112.0,9157.0,,,69.0,763.0,45,True,,960.0,pip,conda-forge/pip,,171454.0,171454.0,https://pypi.org/project/pip,,,318939327.0,321190655.0,https://anaconda.org/conda-forge/pip,2024-02-03 11:45:13.925,101309772.0,1.0,,,,,,,,,,,,,,,,,
10,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2024-02-11 22:49:59.000,2024-02-10 18:11:50,1979.0,15.0,1291.0,209.0,542.0,578.0,27006.0,2024-02-10 19:02:52.000,4.66.2,109.0,115.0,43,True,,381.0,tqdm,conda-forge/tqdm,,648549.0,648549.0,https://pypi.org/project/tqdm,,,89652772.0,90214425.0,https://anaconda.org/conda-forge/tqdm,2024-02-10 20:59:56.053,24704831.0,1.0,11922.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2024-02-10 18:22:38.271150,2.0,4200.0,,,,,,,,,,,
