,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
11,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2024-02-15 05:07:53.000,2024-02-15 05:07:47,6073.0,226.0,3121.0,124.0,2771.0,2188.0,17350.0,2024-02-10 06:17:53.000,9.5.9,196.0,252.0,43,True,,33.0,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],43377.0,43377.0,https://pypi.org/project/mkdocs-material,,,4111417.0,4119241.0,https://anaconda.org/conda-forge/mkdocs-material,2024-02-10 14:09:54.687,352116.0,1.0,,,,,,,,,,,,,,,,,
12,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,,2015-01-02 10:53:28.000,2024-02-15 09:52:07.000,2024-02-14 13:45:30,20618.0,168.0,1923.0,150.0,5174.0,5656.0,5928.0,2023-09-13 23:13:00.000,7.2.6,108.0,807.0,43,False,,1096.0,sphinx,conda-forge/sphinx,['sphinx'],358859.0,358859.0,https://pypi.org/project/sphinx,,,12086178.0,12279900.0,https://anaconda.org/conda-forge/sphinx,2023-09-13 23:26:46.261,8717493.0,1.0,,,,,,,,,,,,,,,,,
13,ruff,charliermarsh/ruff,linters,"An extremely fast Python linter and code formatter, written in Rust.",,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44.000,2024-02-15 11:41:15.000,2024-02-14 17:54:55,6317.0,638.0,750.0,69.0,5959.0,3182.0,23117.0,2024-02-05 22:46:26.000,0.2.1,284.0,361.0,42,True,astral-sh/ruff,646.0,ruff,conda-forge/ruff,,35266.0,33101.0,https://pypi.org/project/ruff,2024-02-05 22:28:13.000,2165.0,11521558.0,11571153.0,https://anaconda.org/conda-forge/ruff,2024-02-06 00:19:28.630,528374.0,1.0,186835.0,,,,,,,,,,,,,,,,
14,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2024-02-12 23:36:29.000,2024-02-08 18:17:16,2047.0,45.0,2285.0,235.0,1253.0,1795.0,17913.0,2023-09-18 21:27:59.000,1.5.3,29.0,246.0,42,True,,118.0,mkdocs,conda-forge/mkdocs,['mkdocs'],56692.0,56692.0,https://pypi.org/project/mkdocs,,,2975885.0,2985801.0,https://anaconda.org/conda-forge/mkdocs,2023-09-19 01:25:40.888,317330.0,1.0,,,,,,,,,,,,,,,,,
15,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2024-02-11 15:24:28.000,2024-02-11 15:24:27,9141.0,85.0,1805.0,234.0,2329.0,4916.0,11060.0,2024-02-10 13:49:52.000,6.4.0,61.0,464.0,42,True,,275.0,pyinstaller,conda-forge/pyinstaller,,54441.0,54441.0,https://pypi.org/project/pyinstaller,,,2083971.0,2104164.0,https://anaconda.org/conda-forge/pyinstaller,2024-02-10 19:45:53.984,526961.0,1.0,743987.0,,,,,,,,,,,,,,,,
16,hypothesis,HypothesisWorks/hypothesis,testing,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000,2024-02-15 12:06:52.205,2024-02-15 09:26:23,14010.0,597.0,591.0,73.0,2390.0,1450.0,7142.0,2024-02-15 09:26:26.000,6.98.6,1137.0,324.0,42,True,,43.0,hypothesis,conda-forge/hypothesis,,27368.0,24957.0,https://pypi.org/project/hypothesis,2024-02-15 09:26:26.000,2411.0,6043282.0,6230080.0,https://anaconda.org/conda-forge/hypothesis,2024-02-15 12:06:52.205,8405928.0,1.0,,,,,,,,,,,,,,,,,
17,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/pylint-dev/pylint,https://github.com/pylint-dev/pylint,GPL-2.0,2015-12-09 05:40:02.000,2024-02-15 01:29:48.000,2024-02-12 14:31:04,9067.0,66.0,1030.0,77.0,4096.0,4456.0,5032.0,2023-12-11 13:19:48.000,3.0.3,83.0,555.0,42,True,pylint-dev/pylint,877.0,pylint,conda-forge/pylint,,407081.0,407081.0,https://pypi.org/project/pylint,,,18949335.0,19057987.0,https://anaconda.org/conda-forge/pylint,2023-12-11 15:36:48.979,4780719.0,1.0,,,,,,,,,,,,,,,,,
18,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2024-02-12 21:48:14.000,2024-01-16 16:26:23,759.0,13.0,1086.0,169.0,1342.0,1289.0,4642.0,2023-12-01 16:24:36.000,20.25.0,214.0,267.0,42,True,,23.0,virtualenv,conda-forge/virtualenv,,378146.0,360090.0,https://pypi.org/project/virtualenv,2023-12-01 16:24:36.000,18056.0,113467767.0,113619072.0,https://anaconda.org/conda-forge/virtualenv,2023-12-01 19:29:52.700,6052227.0,2.0,,,,,,,,,,,,,,,,,
19,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000,2024-02-13 16:34:59.000,2024-01-08 22:40:02,2446.0,16.0,301.0,37.0,359.0,1533.0,3179.0,2024-01-05 00:41:49.000,7.0.0,89.0,174.0,42,True,,22.0,flake8,conda-forge/flake8,,573662.0,527196.0,https://pypi.org/project/flake8,2024-01-05 00:41:49.000,46466.0,27188278.0,27345327.0,https://anaconda.org/conda-forge/flake8,2024-01-05 19:47:00.587,7067213.0,1.0,,,,,,,,,,,,,,,,,
20,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2024-02-13 00:52:53.000,2024-01-31 13:05:27,3871.0,1.0,1714.0,542.0,1068.0,1065.0,46383.0,2023-11-15 16:33:44.000,13.7.0,190.0,235.0,41,True,,242.0,rich,conda-forge/rich,,174295.0,167986.0,https://pypi.org/project/rich,2023-11-15 16:32:11.000,6309.0,43210632.0,43353019.0,https://anaconda.org/conda-forge/rich,2023-11-16 18:47:06.251,6122671.0,1.0,,,,,,,,,,,,,,,,,
21,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,,2012-12-07 13:30:23.000,2024-02-15 06:09:42.000,2024-02-15 06:09:41,11731.0,101.0,2617.0,233.0,6842.0,7513.0,17161.0,,,58.0,694.0,41,False,,2470.0,mypy,conda-forge/mypy,,225902.0,225902.0,https://pypi.org/project/mypy,,,22354983.0,22439226.0,https://anaconda.org/conda-forge/mypy,2023-12-21 19:13:37.556,3706711.0,1.0,,,,,,,,,,,,,,,,,
22,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2024-02-10 21:02:42.230,2024-02-10 19:45:43,2632.0,19.0,705.0,87.0,1159.0,1914.0,11626.0,2024-02-10 19:47:57.000,3.6.1,100.0,156.0,41,True,,19.0,pre-commit,conda-forge/pre-commit,,173850.0,173850.0,https://pypi.org/project/pre-commit,,,17645507.0,17766052.0,https://anaconda.org/conda-forge/pre-commit,2024-02-10 21:02:42.230,4100708.0,1.0,972715.0,,,,,,,,,,,,,,,,
23,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2024-02-07 09:35:40.000,2024-02-07 09:35:39,14538.0,180.0,2222.0,476.0,707.0,4102.0,8780.0,2024-01-11 16:01:12.000,7.0,127.0,196.0,41,True,,274.0,robotframework,conda-forge/robotframework,,11005.0,9864.0,https://pypi.org/project/robotframework,2024-01-11 16:17:42.000,1141.0,2234846.0,2239713.0,https://anaconda.org/conda-forge/robotframework,2024-01-11 22:50:41.389,170232.0,1.0,554.0,,,,,,,,,,,,,,,,
24,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2024-01-27 18:27:44.000,2024-01-15 05:16:11,4162.0,39.0,543.0,48.0,971.0,1075.0,6229.0,2023-12-13 20:37:31.000,5.13.2,100.0,294.0,41,True,,173.0,isort,conda-forge/isort,,447615.0,447615.0,https://pypi.org/project/isort,,,33407731.0,33538650.0,https://anaconda.org/conda-forge/isort,2023-12-14 01:51:17.173,5629531.0,2.0,,,,,,,,,,,,,,,,,
25,conda,conda/conda,dependency-managers,"A system-level, binary package and environment manager running on all major operating systems and platforms.",,https://github.com/conda/conda,https://github.com/conda/conda,,2012-10-15 22:08:03.000,2024-02-15 11:02:36.000,2024-02-13 19:43:41,16725.0,118.0,1420.0,199.0,4083.0,8757.0,5980.0,2024-02-13 15:00:46.000,24.1.1,100.0,449.0,41,False,,678.0,conda,conda-forge/conda,,45613.0,45613.0,https://pypi.org/project/conda,,,129775.0,1220750.0,https://anaconda.org/conda-forge/conda,2024-02-13 19:19:18.126,49093875.0,1.0,,,,,,,,,,,,,,,,,
26,Nuitka,Nuitka/Nuitka,packaging,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4, 3.5, 3.6, 3.7, 3.8,..",,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,Apache-2.0,2013-04-23 15:40:33.000,2024-02-15 10:50:18.000,2024-02-11 10:32:55,11980.0,732.0,566.0,133.0,364.0,1997.0,10453.0,2024-02-09 13:19:43.000,2.0.2,287.0,166.0,39,True,,151.0,nuitka,conda-forge/nuitka,,1866.0,1799.0,https://pypi.org/project/nuitka,2024-02-09 13:19:43.000,67.0,112807.0,126650.0,https://anaconda.org/conda-forge/nuitka,2024-02-03 07:59:34.741,622974.0,1.0,,,,,,,,,,,,,,,,,
27,twine,pypa/twine,build-tools,Utilities for interacting with PyPI.,,https://github.com/pypa/twine,https://github.com/pypa/twine,Apache-2.0,2013-08-13 15:39:39.000,2024-02-14 01:44:51.000,2024-02-14 01:44:50,1130.0,47.0,292.0,39.0,561.0,429.0,1505.0,2024-02-11 13:47:42.000,5.0.0,26.0,118.0,39,True,,52.0,twine,conda-forge/twine,,100415.0,100415.0,https://pypi.org/project/twine,,,4368263.0,4389086.0,https://anaconda.org/conda-forge/twine,2024-02-11 22:36:42.897,916243.0,1.0,1.0,,,,,,,,,,,,,,,,
28,yapf,google/yapf,formatters,A formatter for Python files.,,https://github.com/google/yapf,https://github.com/google/yapf,Apache-2.0,2015-03-18 18:22:31.000,2024-02-12 20:28:25.000,2024-02-12 20:28:18,1339.0,3.0,868.0,213.0,363.0,462.0,13579.0,,,26.0,152.0,38,True,,365.0,yapf,conda-forge/yapf,,89866.0,89866.0,https://pypi.org/project/yapf,,,5235753.0,5286212.0,https://anaconda.org/conda-forge/yapf,2023-07-26 16:15:22.726,1715606.0,2.0,,,,,,,,,,,,,,,,,
29,pyright,Microsoft/pyright,type-checkers,Static Type Checker for Python.,,https://github.com/microsoft/pyright,https://github.com/microsoft/pyright,MIT,2019-03-12 03:38:46.000,2024-02-15 03:42:39.000,2024-02-15 03:42:36,7145.0,306.0,1199.0,115.0,1207.0,5199.0,11636.0,2024-02-05 16:49:18.000,1.1.350,100.0,107.0,38,True,,29.0,,,,743.0,743.0,,,,,1045279.0,,,,2.0,1628.0,,,,,,pyright,https://www.npmjs.com/package/pyright,1045198.0,,,,,,,,
30,bandit,PyCQA/bandit,security,Bandit is a tool designed to find common security issues in Python code.,,https://github.com/PyCQA/bandit,https://github.com/PyCQA/bandit,Apache-2.0,2018-04-26 09:08:12.000,2024-02-10 15:25:27.000,2024-02-10 15:25:26,1347.0,22.0,554.0,65.0,427.0,476.0,5795.0,2024-01-23 21:10:23.000,1.7.7,14.0,175.0,38,True,,159.0,bandit,conda-forge/bandit,,47065.0,47065.0,https://pypi.org/project/bandit,,,4191359.0,4198526.0,https://anaconda.org/conda-forge/bandit,2024-01-26 11:30:27.704,286269.0,1.0,761.0,,,,,,,,,,,,,,,,
31,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,,2012-02-19 23:12:30.000,2024-02-07 22:05:41.000,2024-01-26 16:15:37,8411.0,9.0,491.0,114.0,594.0,1326.0,5606.0,,,23.0,167.0,38,False,,57.0,jedi,conda-forge/jedi,,395255.0,395255.0,https://pypi.org/project/jedi,,,34637619.0,35105222.0,https://anaconda.org/conda-forge/jedi,2023-10-03 09:44:27.309,20574560.0,1.0,,,,,,,,,,,,,,,,,
32,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2024-02-13 16:54:13.000,2024-02-13 16:54:12,703.0,33.0,481.0,42.0,1400.0,1595.0,3450.0,2024-01-17 04:16:15.000,4.12.1,92.0,71.0,38,True,,89.0,tox,conda-forge/tox,['pytest'],110750.0,110750.0,https://pypi.org/project/tox,,,13282760.0,13301966.0,https://anaconda.org/conda-forge/tox,2024-01-17 13:37:29.011,864311.0,1.0,,,,,,,,,,,,,,,,,
33,pytest-xdist,pytest-dev/pytest-xdist,testing,pytest plugin for distributed testing and loop-on-failures testing modes.,,https://github.com/pytest-dev/pytest-xdist,https://github.com/pytest-dev/pytest-xdist,MIT,2015-09-01 18:51:45.000,2024-02-14 19:14:20.000,2024-02-13 16:28:30,1150.0,20.0,201.0,47.0,404.0,351.0,1309.0,2023-11-21 15:21:18.000,3.5.0,50.0,98.0,38,True,,235.0,pytest-xdist,conda-forge/pytest-xdist,['pytest'],93342.0,93342.0,https://pypi.org/project/pytest-xdist,,,16826359.0,16957401.0,https://anaconda.org/conda-forge/pytest-xdist,2023-11-21 18:58:37.015,5634610.0,1.0,16.0,,,,,,,,,8.0,,,,,,,
34,poetry,python-poetry/poetry,dependency-managers,Python packaging and dependency management made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2024-02-14 21:06:20.000,2024-02-13 16:56:27,3090.0,82.0,2102.0,189.0,2654.0,4907.0,28437.0,2023-11-16 19:09:01.000,1.7.1,100.0,538.0,37,True,,606.0,poetry,conda-forge/poetry,,,,https://pypi.org/project/poetry,,,29318378.0,29573516.0,https://anaconda.org/conda-forge/poetry,2023-11-17 02:06:37.060,1118645.0,2.0,15390966.0,,,,,,,,,,,,,,,,
35,loguru,Delgan/loguru,logging,Python logging made (stupidly) simple.,,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32.000,2024-02-12 00:50:57.000,2024-02-03 13:51:39,802.0,26.0,653.0,138.0,165.0,774.0,17408.0,2023-09-11 15:25:24.000,0.7.2,21.0,52.0,37,True,,141.0,loguru,conda-forge/loguru,,75088.0,75088.0,https://pypi.org/project/loguru,,,14457515.0,14501391.0,https://anaconda.org/conda-forge/loguru,2023-09-24 09:55:27.841,1974430.0,1.0,,,,,,,,,,,,,,,,,
36,pip-tools,jazzband/pip-tools,dependency-managers,A set of tools to keep your pinned Python dependencies fresh.,,https://github.com/jazzband/pip-tools,https://github.com/jazzband/pip-tools,BSD-3-Clause,2012-09-10 08:50:26.000,2024-02-14 15:58:15.000,2024-01-29 19:01:38,2097.0,37.0,530.0,103.0,990.0,883.0,7345.0,2023-08-08 23:35:03.000,7.3.0,67.0,204.0,37,True,,146.0,pip-tools,conda-forge/pip-tools,,25754.0,25754.0,https://pypi.org/project/pip-tools,,,12027557.0,12030604.0,https://anaconda.org/conda-forge/pip-tools,2023-08-09 01:51:06.267,137118.0,2.0,,,,,,,,,,,,,,,,,
37,structlog,hynek/structlog,logging,"Simple, powerful, and fast logging for Python.",,https://github.com/hynek/structlog,https://github.com/hynek/structlog,Apache-2.0,2013-08-13 15:55:58.000,2024-02-12 21:46:31.000,2024-02-07 10:08:38,1535.0,63.0,200.0,33.0,288.0,284.0,2985.0,2024-01-08 09:52:50.000,24.1.0,34.0,111.0,37,True,,25.0,structlog,conda-forge/structlog,,11959.0,10797.0,https://pypi.org/project/structlog,2024-01-08 09:52:50.000,1162.0,10594187.0,10603947.0,https://anaconda.org/conda-forge/structlog,2024-02-12 20:32:00.254,361134.0,1.0,,,,,,,,,,,,,,,,,
38,pyflakes,PyCQA/pyflakes,linters,A simple program which checks Python source files for errors.,,https://github.com/PyCQA/pyflakes,https://github.com/PyCQA/pyflakes,MIT,2014-04-07 06:19:46.000,2024-02-14 09:13:04.000,2024-02-14 09:13:04,565.0,3.0,183.0,29.0,298.0,465.0,1325.0,2024-01-05 00:28:45.000,3.2.0,38.0,85.0,37,True,,56.0,pyflakes,conda-forge/pyflakes,,280964.0,267120.0,https://pypi.org/project/pyflakes,2024-01-05 00:28:45.000,13844.0,28920254.0,29122379.0,https://anaconda.org/conda-forge/pyflakes,2024-01-05 03:19:34.488,7074391.0,1.0,,,,,,,,,,,,,,,,,
39,wheel,pypa/wheel,build-tools,The official binary distribution format for Python.,,https://github.com/pypa/wheel,https://github.com/pypa/wheel,MIT,2017-07-25 20:24:25.000,2024-02-12 21:47:19.000,2024-02-05 20:15:32,924.0,14.0,134.0,34.0,220.0,343.0,469.0,2023-11-26 14:37:13.000,0.42.0,34.0,79.0,37,True,,40.0,wheel,conda-forge/wheel,,252618.0,252618.0,https://pypi.org/project/wheel,,,343958154.0,345983722.0,https://anaconda.org/conda-forge/wheel,2023-11-26 15:42:45.198,85073875.0,2.0,,,,,,,,,,,,,,,,,
40,Glances,nicolargo/glances,profiling,"Glances an Eye on your system. A top/htop alternative for GNU/Linux, BSD, Mac OS and Windows operating systems.",,https://github.com/nicolargo/glances,https://github.com/nicolargo/glances,LGPL-3.0,2011-12-04 08:49:15.000,2024-02-13 10:20:56.000,2024-02-03 08:59:31,5314.0,77.0,1451.0,502.0,786.0,1528.0,24414.0,2023-05-18 15:52:21.000,3.4.0.2,97.0,180.0,36,True,,233.0,glances,conda-forge/glances,,860.0,808.0,https://pypi.org/project/glances,2023-05-20 14:52:01.505,52.0,204853.0,207100.0,https://anaconda.org/conda-forge/glances,2023-06-05 20:53:05.651,212097.0,1.0,1572.0,,,,,,,,,,,,,,,,
41,playwright-python,microsoft/playwright-python,testing,Python version of the Playwright testing and automation library.,,https://github.com/microsoft/playwright-python,https://github.com/microsoft/playwright-python,Apache-2.0,2020-07-01 15:28:13.000,2024-02-15 08:38:48.000,2024-02-15 08:38:47,720.0,34.0,777.0,127.0,817.0,1189.0,10127.0,2024-02-06 20:43:35.000,1.41.2,83.0,36.0,36,True,,34.0,playwright,,,13117.0,13117.0,https://pypi.org/project/playwright,,,2505166.0,2505166.0,,,,2.0,,,,,,,,,,,,,,,,,
42,pipx,pypa/pipx,dependency-managers,Install and Run Python Applications in Isolated Environments.,,https://github.com/pypa/pipx,https://github.com/pypa/pipx,MIT,2018-10-06 18:47:46.000,2024-02-14 17:33:02.000,2024-02-13 15:42:53,691.0,100.0,343.0,75.0,574.0,596.0,8116.0,2024-01-16 16:21:09.000,1.4.3,33.0,131.0,36,True,,55.0,pipx,conda-forge/pipx,,1846.0,1846.0,https://pypi.org/project/pipx,,,4126628.0,4128999.0,https://anaconda.org/conda-forge/pipx,2024-01-17 09:19:13.109,43418.0,2.0,37960.0,,,,,,,,,,,,,,,,
