,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,conda_id,pypi_id,open_issue_count,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,labels,github_release_downloads,trending,updated_github_id,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge
72,prettytable,https://github.com/jazzband/prettytable,,Display tabular data in a visually appealing ASCII table format.,logging,28,False,jazzband/prettytable,https://github.com/jazzband/prettytable,BSD-1-Clause,2016-01-15 02:39:17.000,2021-03-02 22:49:12.885,2021-03-02 19:25:20.000,60.0,27.0,397.0,2021-03-02 19:34:23.000,2.1.0,14.0,27.0,conda-forge/prettytable,prettytable,14.0,306.0,14877.0,14877.0,https://pypi.org/project/prettytable,2021-03-02 19:34:23.000,0.0,1299360.0,1303663.0,https://anaconda.org/conda-forge/prettytable,2021-03-02 22:49:12.885,245297.0,3.0,,,,,,,,,,,
73,hacking,https://github.com/openstack/hacking,,OpenStack Hacking Style Checks. Mirror of code maintained at opendev.org.,linters,28,True,openstack/hacking,https://github.com/openstack/hacking,Apache-2.0,2013-03-26 21:09:28.000,2021-03-09 14:54:06.000,2021-02-25 17:38:54.000,68.0,,212.0,2020-11-12 11:18:09.000,4.0.0,36.0,176.0,,hacking,,1043.0,8690.0,,https://pypi.org/project/hacking,2020-11-12 11:18:09.000,8690.0,46856.0,46856.0,,,,2.0,['flake8'],,,,,,,,,,
74,PySnooper,https://github.com/cool-RR/PySnooper,,Never use print for debugging again.,debugging,27,True,cool-RR/PySnooper,https://github.com/cool-RR/PySnooper,MIT,2019-04-18 13:55:43.000,2021-02-27 21:29:24.034,2021-02-27 09:14:08.000,876.0,90.0,14243.0,2020-09-14 09:47:00.000,0.4.2,53.0,25.0,conda-forge/pysnooper,pysnooper,17.0,291.0,405.0,359.0,https://pypi.org/project/pysnooper,2020-09-14 09:47:00.000,46.0,18776.0,20239.0,https://anaconda.org/conda-forge/pysnooper,2021-02-27 21:29:24.034,32206.0,1.0,,,,,,,,,,,
75,pyright,https://github.com/microsoft/pyright,,Static type checker for Python.,linters,27,True,Microsoft/pyright,https://github.com/microsoft/pyright,MIT,2019-03-12 03:38:46.000,2021-03-11 05:51:48.000,2021-03-11 05:51:43.000,295.0,1361.0,6420.0,2021-03-10 06:21:45.000,1.1.120,203.0,52.0,,,6.0,3147.0,54.0,50.0,,,,,48124.0,,,,2.0,,,,,,pyright,https://www.npmjs.com/package/pyright,2021-03-09 06:20:29.679,4.0,48124.0,
76,pyre-check,https://github.com/facebook/pyre-check,,Performant type-checking for python.,linters,27,True,facebook/pyre-check,https://github.com/facebook/pyre-check,MIT,2017-11-10 17:31:36.000,2021-03-11 06:25:28.000,2021-03-10 21:39:30.000,304.0,178.0,5211.0,2021-03-04 22:42:39.000,0.0.62,58.0,147.0,,pyre-check,65.0,8678.0,46.0,,https://pypi.org/project/pyre-check,2021-03-05 20:22:41.000,46.0,7783.0,7783.0,,,,2.0,,,,,,,,,,,
77,Nuitka,https://github.com/Nuitka/Nuitka,,"Nuitka is a Python compiler written in Python. It's fully compatible with Python 2.6, 2.7, 3.3, 3.4, 3.5, 3.6, 3.7,..",packaging,27,True,Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,Apache-2.0,2013-04-23 15:40:33.000,2021-03-11 13:59:48.000,2021-03-06 08:00:00.000,263.0,657.0,3936.0,2021-02-09 11:28:53.000,0.6.12,137.0,90.0,conda-forge/nuitka,nuitka,178.0,7412.0,54.0,,https://pypi.org/project/nuitka,2021-02-21 20:21:53.000,54.0,7608.0,11903.0,https://anaconda.org/conda-forge/nuitka,2021-02-22 14:11:13.518,253409.0,2.0,,,,,,,,,,,
78,mimesis,https://github.com/lk-geimfari/mimesis,,"Mimesis is a high-performance fake data generator for Python, which provides data for a variety of purposes in a..",testing,27,True,lk-geimfari/mimesis,https://github.com/lk-geimfari/mimesis,MIT,2016-09-09 21:41:22.000,2021-03-08 20:23:45.000,2021-03-08 20:22:08.000,268.0,275.0,3240.0,2020-12-21 11:12:37.000,4.1.3,30.0,106.0,,mimesis,12.0,1942.0,84.0,,https://pypi.org/project/mimesis,2020-12-21 11:12:37.000,84.0,44056.0,44058.0,,,,2.0,,154.0,,,,,,,,,
79,pytype,https://github.com/google/pytype,,A static type analyzer for Python code.,linters,27,True,google/pytype,https://github.com/google/pytype,Apache-2.0,2015-03-18 20:52:08.000,2021-03-10 22:25:00.000,2021-03-10 21:49:38.000,183.0,303.0,3166.0,2021-02-23 23:42:51.000,2021.2.23,90.0,58.0,conda-forge/pytype,pytype,94.0,4108.0,88.0,,https://pypi.org/project/pytype,2021-03-04 10:08:05.000,88.0,46941.0,50335.0,https://anaconda.org/conda-forge/pytype,2020-10-13 18:48:00.617,33941.0,2.0,,,,,,,,,,,
80,coala,https://github.com/coala/coala,,"coala provides a unified command-line interface for linting and fixing all your code, regardless of the programming..",linters,27,True,coala/coala,https://github.com/coala/coala,AGPL-3.0,2014-05-15 11:35:34.000,2021-01-08 15:51:12.000,2020-05-04 07:15:23.000,1343.0,2353.0,3153.0,2017-05-30 10:07:57.000,0.11.1,730.0,473.0,,coala-bears,850.0,4469.0,218.0,10.0,https://pypi.org/project/coala-bears,2017-11-10 21:04:50.000,208.0,3529.0,3530.0,,,,2.0,,135.0,,,,,,,,,
81,memory-profiler,https://github.com/pythonprofilers/memory_profiler,,Monitor Memory usage of Python code.,profiling,27,True,pythonprofilers/memory_profiler,https://github.com/pythonprofilers/memory_profiler,BSD-3-Clause,2011-10-14 11:56:14.000,2021-03-01 20:56:21.000,2021-03-01 20:56:21.000,292.0,99.0,2777.0,2018-08-16 03:16:49.000,0.54.0,52.0,84.0,,memory_profiler,82.0,622.0,534.0,,https://pypi.org/project/memory_profiler,2018-08-16 03:16:49.000,534.0,105997.0,105997.0,,,,2.0,,,,,,,,,,,
