,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
225,unimport,hakancelik96/unimport,refactoring,"A linter, formatter for finding and removing unused import statements.",,https://github.com/hakancelikdev/unimport,https://github.com/hakancelikdev/unimport,MIT,2019-09-08 09:49:24.000,2023-02-04 07:38:20.000,2023-02-04 07:21:24,468.0,6.0,19.0,4.0,171.0,13.0,90.0,187.0,2023-02-04 07:27:00.327,0.14.1,49.0,14.0,20,True,unimport,,,3.0,,https://pypi.org/project/unimport,2022-01-29 20:05:35.000,3.0,12564.0,12564.0,,,,3.0,,,,,,,,,,,,,hakancelikdev/unimport,,,,,,,
226,dodgy,landscapeio/dodgy,security,Looks at Python code to search for things which look dodgy such as passwords or diffs.,,https://github.com/landscapeio/dodgy,https://github.com/landscapeio/dodgy,MIT,2013-12-25 12:22:20.000,2021-08-29 14:44:21.000,2021-03-21 11:36:52,70.0,,19.0,5.0,14.0,9.0,3.0,112.0,2019-12-31 16:44:58.000,0.2.1,10.0,14.0,20,False,dodgy,conda-forge/dodgy,,2575.0,2285.0,https://pypi.org/project/dodgy,2019-12-31 16:44:58.000,290.0,429732.0,430416.0,https://anaconda.org/conda-forge/dodgy,2020-06-10 17:10:06.579,54101.0,3.0,,,,,,,,,,,,,,,,,,,,
227,flake8-bandit,tylerwince/flake8-bandit,linters,Automated security testing using bandit and flake8.,,https://github.com/tylerwince/flake8-bandit,https://github.com/tylerwince/flake8-bandit,MIT,2017-10-28 23:19:09.000,2022-08-29 14:28:51.025,2022-08-29 13:45:55,70.0,,26.0,5.0,17.0,11.0,16.0,100.0,2022-08-29 14:28:51.025,4.1.1,13.0,12.0,20,True,flake8-bandit,,['flake8'],142.0,,https://pypi.org/project/flake8-bandit,2022-08-29 14:28:51.025,142.0,547808.0,547808.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
228,unify,myint/unify,refactoring,Modifies strings to all use the same quote where possible.,,https://github.com/myint/unify,https://github.com/myint/unify,MIT,2013-03-24 18:02:19.000,2022-07-04 21:06:04.000,2019-08-07 13:44:00,69.0,,14.0,7.0,10.0,10.0,3.0,81.0,2013-06-22 15:34:37.000,0.1.5,10.0,5.0,20,False,unify,conda-forge/unify,,1142.0,1106.0,https://pypi.org/project/unify,2019-08-07 13:46:09.000,36.0,104958.0,105009.0,https://anaconda.org/conda-forge/unify,2021-06-29 19:32:02.475,1088.0,3.0,,,,,,,,,,,,,,,,,,,,
229,pip-run,jaraco/pip-run,dependency-managers,pip-run - dynamic dependency loader for Python.,,https://github.com/jaraco/pip-run,https://github.com/jaraco/pip-run,MIT,2016-01-25 01:59:13.000,2023-02-23 00:11:51.000,2023-02-23 00:11:50,703.0,72.0,13.0,7.0,16.0,3.0,52.0,81.0,2023-01-23 01:18:02.345,10.0.5,44.0,14.0,20,True,pip-run,,,3.0,,https://pypi.org/project/pip-run,2023-01-23 01:18:02.345,3.0,3505.0,3505.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
230,mkdocs-print-site-plugin,timvink/mkdocs-print-site-plugin,documentation,"MkDocs Plugin that adds an additional page that combines all pages, allowing easy exports to PDF and standalone HTML.",,https://github.com/timvink/mkdocs-print-site-plugin,https://github.com/timvink/mkdocs-print-site-plugin,MIT,2020-08-15 12:02:33.000,2022-12-07 11:39:27.000,2022-12-07 11:39:27,220.0,,11.0,3.0,7.0,7.0,67.0,71.0,2022-06-01 11:12:02.000,2.3.4,39.0,4.0,20,True,mkdocs-print-site-plugin,,['mkdocs'],200.0,197.0,https://pypi.org/project/mkdocs-print-site-plugin,2022-06-01 11:12:02.000,3.0,11430.0,11430.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
231,reloadium,reloadware/reloadium,debugging,Advanced Hot Reloading & Profiling for Python.,,https://github.com/reloadware/reloadium,https://github.com/reloadware/reloadium,Apache-2.0,2022-01-15 03:01:41.000,2023-03-07 09:40:02.000,2023-03-07 09:40:02,44.0,6.0,40.0,24.0,20.0,11.0,71.0,2253.0,2023-03-07 13:13:01.204,1.0.0,37.0,2.0,19,True,reloadium,,,,,https://pypi.org/project/reloadium,2023-01-25 23:37:00.472,,2815.0,2815.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
232,assertpy,ActivisionGameScience/assertpy,testing,Simple assertion library for unit testing in python with a fluent API.,,https://github.com/ActivisionGameScience/assertpy,https://github.com/ActivisionGameScience/assertpy,BSD-3-Clause,2017-11-21 01:38:07.332,2020-07-19 15:23:26.710,2019-10-30 17:50:10,279.0,,57.0,1.0,,,,381.0,,,13.0,10.0,19,False,assertpy,conda-forge/assertpy,,99.0,,https://pypi.org/project/assertpy,2020-07-19 14:39:02.000,99.0,432514.0,432811.0,https://anaconda.org/conda-forge/assertpy,2020-07-19 15:23:26.710,19027.0,3.0,,,,,,,,,,,,,,,,,,,,
233,flakehell,life4/flakehell,linters,"Flake8 wrapper to make it nice, legacy-friendly, configurable.",,https://github.com/life4/flakehell,https://github.com/life4/flakehell,MIT,2019-08-06 11:37:21.000,2021-01-11 21:35:41.000,2021-01-11 21:35:40,368.0,,44.0,4.0,68.0,4.0,,233.0,2021-01-11 18:40:32.000,0.9.0,28.0,16.0,19,False,flakehell,,['flake8'],18.0,,https://pypi.org/project/flakehell,2021-01-11 18:40:32.000,18.0,28195.0,28196.0,,,,3.0,61.0,,,,,,,,,,,,,,,,,,,
234,lazydocs,ml-tooling/lazydocs,documentation,Generate markdown API documentation from Google-style Python docstring. The lazy alternative to Sphinx.,,https://github.com/ml-tooling/lazydocs,https://github.com/ml-tooling/lazydocs,MIT,2020-11-10 00:31:46.000,2023-02-08 01:18:01.000,2022-05-19 03:25:57,154.0,,26.0,6.0,26.0,5.0,20.0,133.0,2021-07-27 09:00:22.000,0.4.8,18.0,9.0,19,True,lazydocs,,,153.0,134.0,https://pypi.org/project/lazydocs,2021-07-27 08:05:42.000,19.0,6203.0,6203.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
