,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-05-09 17:47:27.000,2024-05-09 17:47:27,338.0,28.0,162.0,56.0,200.0,3.0,2191.0,2024-05-09 17:47:33.000,2024.05.09,100.0,16.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2024-05-09 18:29:33.000,2024-05-09 18:29:33,283.0,25.0,45.0,15.0,194.0,15.0,844.0,2023-06-29 18:48:34.000,2023.06.29,68.0,31.0,0,True,mkdocs/catalog,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2024-05-16 11:09:54.000,2024-05-16 07:30:34,15923.0,231.0,2525.0,191.0,5735.0,4917.0,11447.0,2024-04-27 23:35:31.000,8.2.0,175.0,963.0,48,True,,874.0,pytest,conda-forge/pytest,['pytest'],444.0,125817539.0,1265176.0,1221840.0,https://pypi.org/project/pytest,2024-04-27 23:34:52.000,43336.0,125221394.0,https://anaconda.org/conda-forge/pytest,2024-04-28 12:48:49.367,25633943.0,1.0,,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2024-05-16 14:10:53.000,2024-05-15 15:21:03,14605.0,268.0,2957.0,321.0,5470.0,6260.0,9298.0,2023-12-17 13:05:02.000,23.3.2,139.0,786.0,48,True,,1055.0,pip,conda-forge/pip,,,388295185.0,188456.0,184408.0,https://pypi.org/project/pip,2024-05-06 20:49:04.000,4048.0,386024068.0,https://anaconda.org/conda-forge/pip,2024-02-03 11:45:13.925,109013640.0,1.0,,,,,,,,,,,,,,,,,,
6,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2024-05-15 16:18:23.000,2024-05-14 14:59:10,14891.0,375.0,1141.0,96.0,1586.0,1871.0,2334.0,2024-04-13 22:28:28.000,69.4.2,566.0,600.0,47,True,,624.0,setuptools,conda-forge/setuptools,,,403631876.0,529446.0,509852.0,https://pypi.org/project/setuptools,2024-04-13 22:28:16.000,19594.0,401380898.0,https://anaconda.org/conda-forge/setuptools,2024-04-14 11:43:37.916,108046970.0,1.0,,,,,,,,,,,,,,,,,,
7,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2024-05-16 03:58:50.000,2024-05-16 00:32:27,1876.0,57.0,2373.0,232.0,1741.0,2229.0,37523.0,2024-04-26 00:32:12.000,24.4.2,62.0,446.0,46,True,,380.0,black,conda-forge/black,,87998.0,38757915.0,511867.0,491495.0,https://pypi.org/project/black,2024-04-26 00:32:12.000,20372.0,38536490.0,https://anaconda.org/conda-forge/black,2024-04-26 08:33:17.672,10120276.0,1.0,,,,,,,,,,,,,,,,,,
8,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2024-05-16 12:17:11.000,2024-05-15 12:14:41,11811.0,79.0,2709.0,235.0,6939.0,7593.0,17614.0,2024-04-24 13:52:35.000,1.10.0,115.0,710.0,46,True,,2821.0,mypy,conda-forge/mypy,,,26116751.0,252949.0,239490.0,https://pypi.org/project/mypy,2024-04-24 13:52:35.000,13459.0,26032799.0,https://anaconda.org/conda-forge/mypy,2024-04-25 00:02:59.037,3945788.0,1.0,,,,,,,,,,,,,,,,,,
9,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2024-05-15 05:18:31.000,2024-05-15 05:18:31,20856.0,238.0,2006.0,150.0,5409.0,5766.0,6087.0,2024-04-19 04:44:43.000,7.3.7,206.0,824.0,46,True,,1223.0,sphinx,conda-forge/sphinx,['sphinx'],,15001753.0,399452.0,377378.0,https://pypi.org/project/sphinx,2024-04-19 04:44:43.000,22074.0,14811680.0,https://anaconda.org/conda-forge/sphinx,2024-04-19 19:30:59.768,9123525.0,1.0,,,,,,,,,,,,,,,,,,
10,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2024-05-15 21:09:55.000,2024-05-15 17:35:05,6061.0,32.0,1357.0,233.0,687.0,1438.0,9970.0,2024-01-19 20:47:14.000,5.9.8,93.0,206.0,45,True,,315.0,psutil,conda-forge/psutil,,,106173068.0,495927.0,486048.0,https://pypi.org/project/psutil,2024-01-19 20:47:14.000,9879.0,105505854.0,https://anaconda.org/conda-forge/psutil,2024-02-08 19:11:03.012,30691866.0,1.0,,,,,,,,,,,,,,,,,,
11,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2024-05-15 23:16:34.000,2024-04-27 02:37:11,8762.0,35.0,1848.0,360.0,1878.0,3937.0,24627.0,2024-02-05 01:04:03.000,2023.12.1,386.0,505.0,44,True,,256.0,pipenv,conda-forge/pipenv,,,11335348.0,135003.0,134789.0,https://pypi.org/project/pipenv,2024-02-05 01:04:03.000,214.0,11332121.0,https://anaconda.org/conda-forge/pipenv,2024-02-05 03:05:28.328,154939.0,1.0,,,,,,,,,,,,,,,,,,
12,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2024-05-14 13:45:25.000,2024-05-01 14:24:50,3887.0,15.0,1673.0,540.0,1096.0,1074.0,47389.0,2024-02-28 14:52:38.000,13.7.1,191.0,238.0,43,True,,276.0,rich,conda-forge/rich,,,61703575.0,217213.0,206017.0,https://pypi.org/project/rich,2024-02-28 14:51:14.000,11196.0,61555205.0,https://anaconda.org/conda-forge/rich,2024-02-28 20:06:23.063,6825030.0,1.0,,,,,,,,,,,,,,,,,,
13,conda,conda/conda,dependency-managers,"A system-level, binary package and environment manager running on all major operating systems and platforms.",,https://github.com/conda/conda,https://github.com/conda/conda,BSD-3-Clause,2012-10-15 22:08:03.000,2024-05-16 00:21:04.000,2024-05-16 00:21:04,16872.0,146.0,1541.0,198.0,4274.0,8961.0,6133.0,2024-05-09 18:34:21.000,24.5.0,100.0,455.0,43,True,,684.0,conda,conda-forge/conda,,1153.0,1200939.0,47132.0,47056.0,https://pypi.org/project/conda,2017-04-22 23:43:59.218,76.0,138723.0,https://anaconda.org/conda-forge/conda,2024-05-13 20:42:07.349,50985721.0,1.0,,,,,,,,,,,,,,,,,,
14,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2024-05-13 21:41:33.000,2024-05-02 22:35:57,1986.0,7.0,1321.0,209.0,550.0,580.0,27561.0,2024-05-02 23:06:28.000,4.66.4,138.0,116.0,42,True,,510.0,tqdm,conda-forge/tqdm,,10782.0,99459324.0,752109.0,723118.0,https://pypi.org/project/tqdm,2024-05-02 22:42:09.000,28991.0,98896281.0,https://anaconda.org/conda-forge/tqdm,2024-05-04 20:37:43.357,26455108.0,1.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2024-05-11 01:35:07.143540,2.0,4493.0,-1.0,,,,,,,,,,,,
15,ruff,charliermarsh/ruff,linters,"An extremely fast Python linter and code formatter, written in Rust.",,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44.000,2024-05-16 11:40:57.000,2024-05-16 11:39:05,6963.0,642.0,865.0,73.0,6810.0,3588.0,27097.0,2024-05-09 17:24:16.000,0.4.4,298.0,421.0,42,True,astral-sh/ruff,795.0,ruff,conda-forge/ruff,,441748.0,17185529.0,50591.0,45638.0,https://pypi.org/project/ruff,2024-05-09 17:12:23.000,4953.0,17116969.0,https://anaconda.org/conda-forge/ruff,2024-05-09 21:50:29.866,737124.0,1.0,,,,,,,,,,,,,,,,,,
