,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,labels,conda_id,pypi_id,open_issue_count,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge,updated_github_id
228,pandas-vet,https://github.com/deppen8/pandas-vet,,A plugin for Flake8 that checks pandas code.,linters,18,True,deppen8/pandas-vet,https://github.com/deppen8/pandas-vet,MIT,2019-02-25 05:19:51.000000,2021-03-03 04:44:57.000000,2021-03-03 04:44:57.000000,14.0,28.0,95.0,2020-02-01 05:12:09.000000,0.2.2,6.0,10.0,['flake8'],conda-forge/pandas-vet,pandas-vet,21.0,179.0,47.0,47.0,https://pypi.org/project/pandas-vet,2020-02-01 05:12:09.000000,0.0,4826.0,5078.0,https://anaconda.org/conda-forge/pandas-vet,2020-02-01 05:31:32.445000,6801.0,3.0,,38.0,,,,,,,,,,,,,
229,pyformat,https://github.com/myint/pyformat,,Formats Python code to follow a consistent style.,formatters,18,False,myint/pyformat,https://github.com/myint/pyformat,Saxpath,2013-03-24 21:45:30.000000,2019-12-07 19:55:59.000000,2019-05-24 17:17:56.000000,5.0,3.0,83.0,2014-09-07 13:57:37.000000,0.5.7,23.0,3.0,,,pyformat,3.0,199.0,106.0,84.0,https://pypi.org/project/pyformat,2017-01-04 02:31:11.000000,22.0,11610.0,11610.0,,,,3.0,,,,,,,,,,,,,,,
230,mkdocs-versioning,https://github.com/zayd62/mkdocs-versioning,,A tool that allows for versioning sites built with mkdocs.,documentation,18,False,zayd62/mkdocs-versioning,https://github.com/zayd62/mkdocs-versioning,MIT,2019-07-20 18:09:56.000000,2021-06-02 01:17:28.000000,2021-02-11 10:22:58.000000,8.0,22.0,40.0,2021-02-11 10:24:35.000000,0.4.0,6.0,5.0,['mkdocs'],,mkdocs-versioning,3.0,132.0,19.0,19.0,https://pypi.org/project/mkdocs-versioning,2021-02-11 10:24:35.000000,,2193.0,2193.0,,,,3.0,,,,,,,,,,,,,,,
231,beartype,https://github.com/beartype/beartype,,Unbearably fast O(1) runtime type-checking in pure Python.,linters,17,True,beartype/beartype,https://github.com/beartype/beartype,MIT,2020-04-03 06:06:22.000000,2021-07-14 07:27:04.000000,2021-07-14 07:15:43.000000,8.0,26.0,315.0,2021-06-30 06:15:57.000000,0.7.1,12.0,6.0,,conda-forge/beartype,beartype,3.0,,0.0,,https://pypi.org/project/beartype,2021-06-30 06:15:57.000000,0.0,8276.0,8659.0,https://anaconda.org/conda-forge/beartype,2021-06-30 08:28:07.135000,4979.0,3.0,,,,,,,,,,,,,,,
232,bellybutton,https://github.com/hchasestevens/bellybutton,,Custom Python linting through AST expressions.,linters,17,True,hchasestevens/bellybutton,https://github.com/hchasestevens/bellybutton,MIT,2018-02-17 06:31:44.000000,2021-07-15 00:42:03.000000,2021-07-15 00:42:02.000000,10.0,6.0,216.0,2020-11-27 21:20:22.000000,0.3.1,11.0,5.0,,,bellybutton,7.0,33.0,5.0,5.0,https://pypi.org/project/bellybutton,2020-11-27 21:20:22.000000,0.0,5198.0,5198.0,,,,3.0,,,,,,,,,,,,,,,
233,retype,https://github.com/ambv/retype,,Re-apply type annotations from .pyi stubs to your codebase.,refactoring,17,True,ambv/retype,https://github.com/ambv/retype,MIT,2017-03-11 07:54:58.000000,2021-05-16 22:51:30.742000,2021-05-15 17:24:28.000000,16.0,6.0,103.0,2021-05-15 15:22:34.000000,21.5.0,9.0,8.0,,conda-forge/retype,retype,9.0,,34.0,,https://pypi.org/project/retype,2021-05-15 15:22:34.000000,34.0,1089.0,1419.0,https://anaconda.org/conda-forge/retype,2021-05-16 22:51:30.742000,13861.0,3.0,,,,,,,,,,,,,,,
234,mkdocs-print-site-plugin,https://github.com/timvink/mkdocs-print-site-plugin,,MkDocs Plugin allowing your visitors to *File Print Save as PDF* the entire site.,documentation,17,False,timvink/mkdocs-print-site-plugin,https://github.com/timvink/mkdocs-print-site-plugin,MIT,2020-08-15 12:02:33.000000,2021-05-19 18:24:00.000000,2021-05-19 18:20:17.000000,4.0,46.0,20.0,2021-05-19 18:24:00.000000,1.2.3,21.0,,['mkdocs'],,mkdocs-print-site-plugin,5.0,141.0,30.0,30.0,https://pypi.org/project/mkdocs-print-site-plugin,2021-05-19 18:24:00.000000,0.0,3593.0,3593.0,,,,3.0,,,,,,,,,,,,,,,
235,yala,https://github.com/cemsbr/yala,,Yet Another Linter Aggregator.,linters,17,False,cemsbr/yala,https://github.com/cemsbr/yala,MIT,2017-06-02 22:45:50.000000,2021-06-01 22:20:31.000000,2021-04-10 04:03:47.000000,4.0,11.0,11.0,2020-10-24 16:03:12.000000,3.0.1,27.0,3.0,"['flake8', 'pylint']",,yala,1.0,165.0,54.0,36.0,https://pypi.org/project/yala,2020-10-24 16:03:12.000000,18.0,731.0,731.0,,,,3.0,,,,,,,,,,,,,,,
236,PyOxidizer,https://github.com/indygreg/PyOxidizer,,A modern Python application packaging and distribution tool.,packaging,16,True,indygreg/PyOxidizer,https://github.com/indygreg/PyOxidizer,MPL-2.0,2018-12-18 23:32:13.000000,2021-06-25 01:54:48.000000,2021-06-06 17:37:28.000000,111.0,144.0,3079.0,2021-05-09 16:48:41.000000,pyoxidizer/0.16.0,8.0,34.0,,,,203.0,,,,,,,,22.0,,,,3.0,,397.0,,,,,,,,,,,,,
237,pep8ify,https://github.com/spulec/pep8ify,,A library that modifies python source code to conform to pep8.,refactoring,16,False,spulec/pep8ify,https://github.com/spulec/pep8ify,Apache-2.0,2012-06-03 03:31:33.000000,2019-03-08 03:06:14.000000,2014-10-24 20:36:38.000000,12.0,12.0,114.0,2014-10-24 20:36:57.000000,0.0.13,13.0,6.0,,,pep8ify,6.0,154.0,53.0,34.0,https://pypi.org/project/pep8ify,2014-10-24 20:36:57.000000,19.0,141.0,141.0,,,,3.0,,,,,,,,,,,,,,,
238,massedit,https://github.com/elmotec/massedit,,Programmatically edit text files with Python. Useful for source to source transformations.,refactoring,16,True,elmotec/massedit,https://github.com/elmotec/massedit,MIT,2012-03-11 16:18:30.000000,2020-12-23 02:17:37.000000,2020-12-23 02:11:17.000000,14.0,5.0,91.0,2020-12-23 02:19:02.000000,0.69.1,15.0,6.0,,,massedit,3.0,178.0,10.0,,https://pypi.org/project/massedit,2020-12-23 02:12:33.000000,10.0,909.0,909.0,,,,3.0,,17.0,,,,,,,,,,,,,
239,pytest-play,https://github.com/pytest-dev/pytest-play,,pytest plugin that let you automate actions and assertions with test metrics reporting executing plain YAML files.,testing,16,False,pytest-dev/pytest-play,https://github.com/pytest-dev/pytest-play,Apache-2.0,2017-12-14 09:08:26.000000,2019-08-20 15:57:27.000000,2019-06-12 11:57:28.000000,3.0,24.0,63.0,2019-06-12 11:59:29.000000,2.3.1,23.0,3.0,['pytest'],,pytest-play,4.0,382.0,25.0,21.0,https://pypi.org/project/pytest-play,2019-06-12 11:59:29.000000,4.0,597.0,597.0,,,,3.0,,,,,,,,,,,,,,,
240,lazydocs,https://github.com/ml-tooling/lazydocs,,Generate markdown API documentation from Google-style Python docstring. The lazy alternative to Sphinx.,documentation,16,True,ml-tooling/lazydocs,https://github.com/ml-tooling/lazydocs,MIT,2020-11-10 00:31:46.000000,2021-06-30 09:39:34.000000,2021-06-30 09:38:50.000000,7.0,2.0,29.0,2021-06-30 09:40:56.000000,0.4.7,17.0,4.0,,,lazydocs,2.0,,30.0,30.0,https://pypi.org/project/lazydocs,2021-06-30 09:33:15.000000,0.0,448.0,448.0,,,,3.0,,,,,,,,,,,,,,,
241,pyenv-installer,https://github.com/pyenv/pyenv-installer,,This tool is used to install `pyenv` and friends.,virtual-envs,15,True,pyenv/pyenv-installer,https://github.com/pyenv/pyenv-installer,MIT,2013-06-01 03:48:07.000000,2021-07-09 03:09:15.000000,2021-06-08 06:37:31.000000,301.0,62.0,2750.0,,,,32.0,,,,5.0,136.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
242,tbvaccine,https://github.com/skorokithakis/tbvaccine,,A small utility to pretty-print Python tracebacks.,logging,15,False,skorokithakis/tbvaccine,https://github.com/skorokithakis/tbvaccine,MIT,2016-08-27 17:31:59.000000,2020-03-01 19:24:46.000000,2020-03-01 19:24:44.000000,12.0,13.0,358.0,2018-12-14 18:07:29.000000,0.3.1,12.0,12.0,,,tbvaccine,7.0,80.0,9.0,9.0,https://pypi.org/project/tbvaccine,2018-12-14 18:07:29.000000,,527.0,527.0,,,,3.0,,,,,,,,,,,,,,,
243,pipenv-pipes,https://github.com/gtalarico/pipenv-pipes,,A PipEnv Environment Switcher.,virtual-envs,15,False,gtalarico/pipenv-pipes,https://github.com/gtalarico/pipenv-pipes,MIT,2018-05-02 03:56:41.000000,2021-06-01 22:15:42.000000,2019-06-27 03:42:48.000000,11.0,10.0,126.0,2018-11-08 03:05:43.000000,0.7.1,25.0,5.0,,,pipenv-pipes,7.0,285.0,,,https://pypi.org/project/pipenv-pipes,2018-11-08 03:05:43.000000,,175.0,175.0,,,,3.0,,,,,,,,,,,,,,,
