,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,labels,conda_id,pypi_id,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge,updated_github_id
0,Python.org Packaging,https://packaging.python.org/overview/,True,An Overview of Packaging for Python.,packaging,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Testing,https://github.com/ml-tooling/best-of-web-python,True,Testing libraries & tools for python web frameworks.,testing,0,True,ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-08-12 14:18:23.000000,2021-07-16 21:43:54.000000,86.0,2.0,1303.0,2021-07-16 21:44:03.000000,2021.07.15,21.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,https://docs.python.org/3/library/unittest.html,True,Unittest is a test framework included in the Python standard library.,testing,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sphinx,https://github.com/sphinx-doc/sphinx,,Main repository for the Sphinx documentation builder.,documentation,38,True,sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000000,2021-08-12 08:06:33.000000,2021-08-10 17:18:23.000000,1525.0,4720.0,4074.0,2021-07-14 17:22:46.000000,4.1.1,155.0,668.0,810.0,['sphinx'],conda-forge/sphinx,sphinx,18047.0,257787.0,153251.0,https://pypi.org/project/sphinx,2021-07-26 17:14:02.000000,104536.0,3890642.0,3952580.0,https://anaconda.org/conda-forge/sphinx,2021-07-26 20:39:24.675000,3716289.0,1.0,,,,,,,,,,,,,,,
4,pipenv,https://github.com/pypa/pipenv,,Python Development Workflow for Humans.,virtual-envs,37,True,pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000000,2021-08-10 01:04:00.000000,2021-08-10 01:04:00.000000,1645.0,2896.0,22168.0,2021-05-29 03:10:16.000000,2021.5.29,298.0,386.0,560.0,,conda-forge/pipenv,pipenv,7105.0,22950.0,20676.0,https://pypi.org/project/pipenv,2021-05-29 03:10:16.000000,2274.0,3291807.0,3293710.0,https://anaconda.org/conda-forge/pipenv,2020-11-15 06:15:51.831000,41886.0,1.0,,,,,,,,,,,,,,,
5,tqdm,https://github.com/tqdm/tqdm,,"A Fast, Extensible Progress Bar for Python and CLI.",logging,37,True,tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000000,2021-08-08 02:26:37.000000,2021-08-01 18:38:09.000000,982.0,526.0,19078.0,2021-07-30 20:56:58.000000,4.62.0,121.0,105.0,299.0,,conda-forge/tqdm,tqdm,1860.0,223012.0,196774.0,https://pypi.org/project/tqdm,2021-07-30 20:54:20.000000,26238.0,28538609.0,28654858.0,https://anaconda.org/conda-forge/tqdm,2021-07-30 23:55:02.899000,7196572.0,1.0,tqdm/tqdm,8055.0,https://hub.docker.com/r/tqdm/tqdm,2021-08-01 18:47:43.398715,1.0,3782.0,,,,,,,,,
6,psutil,https://github.com/giampaolo/psutil,,Cross-platform lib for process and system monitoring in Python.,profiling,37,True,giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000000,2021-08-11 12:49:10.000000,2021-08-05 13:54:39.000000,1127.0,1291.0,7550.0,2020-12-19 01:19:27.000000,5.8.0,83.0,162.0,193.0,,conda-forge/psutil,psutil,5690.0,124289.0,99623.0,https://pypi.org/project/psutil,2020-12-19 01:19:27.000000,24666.0,25205766.0,25324603.0,https://anaconda.org/conda-forge/psutil,2021-06-29 02:45:06.508000,7605607.0,1.0,,,,,,,2.0,,,,,,,,
7,mkdocs,https://github.com/mkdocs/mkdocs,,Project documentation with Markdown.,documentation,36,True,mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000000,2021-08-06 15:20:26.000000,2021-07-28 12:11:46.000000,1786.0,1456.0,12620.0,2021-07-18 19:32:00.000000,1.2.2,47.0,195.0,100.0,['mkdocs'],conda-forge/mkdocs,mkdocs,1566.0,19926.0,13984.0,https://pypi.org/project/mkdocs,2021-07-18 19:20:49.000000,5942.0,638917.0,641184.0,https://anaconda.org/conda-forge/mkdocs,2021-07-18 21:27:59.884000,145115.0,1.0,,,,,,,1.0,,,,,,,,
8,mypy,https://github.com/python/mypy,,Optional static typing for Python 3 and 2 (PEP 484).,linters,36,True,python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000000,2021-08-12 13:46:57.000000,2021-08-12 11:28:31.000000,1822.0,4766.0,11128.0,,,83.0,485.0,1843.0,,conda-forge/mypy,mypy,9691.0,47265.0,41181.0,https://pypi.org/project/mypy,2021-06-22 18:39:23.000000,6084.0,6539546.0,6564632.0,https://anaconda.org/conda-forge/mypy,2021-06-23 17:56:50.288000,1128887.0,1.0,,,,,,,,,,,,,,,
9,pytest,https://github.com/pytest-dev/pytest,,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",testing,36,True,pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000000,2021-08-09 18:53:52.000000,2021-08-09 13:48:47.000000,1761.0,3929.0,7632.0,2021-05-04 16:22:25.000000,6.2.4,147.0,737.0,696.0,['pytest'],conda-forge/pytest,pytest,,486723.0,356139.0,https://pypi.org/project/pytest,2021-05-04 16:21:57.000000,130584.0,29806752.0,29952278.0,https://anaconda.org/conda-forge/pytest,2021-06-29 11:51:51.458000,8877105.0,1.0,,,,,,,,,,,,,,,
10,tox,https://github.com/tox-dev/tox,,Command line driven CI frontend and development task automation tool.,testing,36,True,tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000000,2021-08-12 08:35:26.000000,2021-08-09 16:34:08.000000,381.0,1090.0,2343.0,2021-07-31 13:15:21.000000,3.24.1,119.0,249.0,147.0,['pytest'],conda-forge/tox,tox,2025.0,83486.0,47086.0,https://pypi.org/project/tox,2021-07-31 13:15:21.000000,36400.0,4313981.0,4321031.0,https://anaconda.org/conda-forge/tox,2021-07-31 16:12:09.076000,331350.0,1.0,,,,,,,,,,,,,,,
11,flake8,https://github.com/PyCQA/flake8,,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelder's McCabe script.,linters,36,True,PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000000,2021-08-09 20:21:45.000000,2021-08-09 20:21:45.000000,183.0,1252.0,1414.0,2021-03-14 23:32:11.000000,3.9.0,79.0,156.0,37.0,,conda-forge/flake8,flake8,1985.0,256352.0,185062.0,https://pypi.org/project/flake8,2021-05-08 19:52:32.000000,71290.0,11604870.0,11650018.0,https://anaconda.org/conda-forge/flake8,2021-05-10 17:37:45.968000,2799196.0,1.0,,,,,,,,,,,,,,,
12,jedi,https://github.com/davidhalter/jedi,,"Awesome autocompletion, static analysis and refactoring library for python.",refactoring,35,True,davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000000,2021-08-05 06:31:17.000000,2021-07-25 18:02:38.000000,441.0,1218.0,4939.0,2020-12-25 10:34:25.000000,0.18.0,30.0,144.0,29.0,,conda-forge/jedi,jedi,8222.0,161415.0,145509.0,https://pypi.org/project/jedi,2020-12-25 10:34:25.000000,15906.0,15882496.0,15981020.0,https://anaconda.org/conda-forge/jedi,2021-06-29 02:44:18.629000,5714447.0,1.0,,,,,,,,,,,,,,,
13,black,https://github.com/psf/black,,The uncompromising Python code formatter.,formatters,34,True,psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000000,2021-08-12 13:16:56.000000,2021-08-12 01:50:46.000000,1393.0,1310.0,21964.0,2021-07-16 14:44:04.000000,21.7b0,31.0,263.0,297.0,,conda-forge/black,black,,80388.0,74160.0,https://pypi.org/project/black,2021-07-16 14:44:33.000000,6228.0,7684586.0,7734254.0,https://anaconda.org/conda-forge/black,2021-07-16 20:48:05.128000,1917018.0,1.0,,14916.0,,,,,1.0,,,,,,,,
14,pip,https://github.com/pypa/pip,,The Python package installer.,dependency-managers,34,True,pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000000,2021-08-12 14:36:07.000000,2021-08-12 14:25:15.000000,2390.0,4915.0,7337.0,2021-08-06 10:50:47.000000,21.2.3,110.0,629.0,1033.0,,conda-forge/pip,pip,,74959.0,56293.0,https://pypi.org/project/pip,2021-08-06 10:50:47.000000,18666.0,101370964.0,101747360.0,https://anaconda.org/conda-forge/pip,2021-08-06 12:59:38.256000,22960201.0,1.0,,,,,,,,,,,,,,,
15,pycodestyle,https://github.com/PyCQA/pycodestyle,,Simple Python style checker in one Python file.,linters,34,True,PyCQA/pycodestyle,https://github.com/PyCQA/pycodestyle,Saxpath,2009-10-02 00:43:37.000000,2021-08-04 18:52:30.000000,2021-05-06 22:18:19.000000,599.0,537.0,4363.0,2021-03-14 18:44:02.000000,2.7.0,12.0,125.0,113.0,,conda-forge/pycodestyle,pycodestyle,1222.0,174413.0,153183.0,https://pypi.org/project/pycodestyle,2021-03-14 18:44:02.000000,21230.0,16225417.0,16272970.0,https://anaconda.org/conda-forge/pycodestyle,2021-03-15 18:43:23.361000,2948333.0,1.0,,,,,,,,,,,,,,,
