,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,labels,conda_id,pypi_id,open_issue_count,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,updated_github_id,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge
0,Python.org Packaging,https://packaging.python.org/overview/,True,An Overview of Packaging for Python.,packaging,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Testing,https://github.com/ml-tooling/best-of-web-python,True,Testing libraries & tools for python web frameworks.,testing,0,True,ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2021-06-03 14:40:51.000,2021-05-14 08:30:59.000,81.0,2.0,1235.0,2021-05-14 08:31:08.000,2021.05.13,16.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,https://docs.python.org/3/library/unittest.html,True,Unittest is a test framework included in the Python standard library.,testing,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sphinx,https://github.com/sphinx-doc/sphinx,,Main repository for the Sphinx documentation builder.,documentation,38,True,sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2021-06-03 14:52:46.000,2021-06-03 12:47:58.000,1475.0,4638.0,3956.0,2021-05-20 12:58:02.000,4.0.2,151.0,645.0,['sphinx'],conda-forge/sphinx,sphinx,768.0,17633.0,248149.0,143613.0,https://pypi.org/project/sphinx,2021-05-20 12:58:02.000,104536.0,4455646.0,4512690.0,https://anaconda.org/conda-forge/sphinx,2021-05-25 19:47:42.185,3308568.0,1.0,,,,,,,,,,
4,pipenv,https://github.com/pypa/pipenv,,Python Development Workflow for Humans.,virtual-envs,36,True,pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2021-06-02 01:34:05.000,2021-05-29 03:05:47.000,1623.0,2883.0,21950.0,2021-05-29 03:10:16.000,2021.5.29,298.0,383.0,,conda-forge/pipenv,pipenv,536.0,7058.0,21346.0,19072.0,https://pypi.org/project/pipenv,2021-05-29 03:10:16.000,2274.0,3238449.0,3240429.0,https://anaconda.org/conda-forge/pipenv,2020-11-15 06:15:51.831,39601.0,1.0,,,,,,,,,,
5,tqdm,https://github.com/tqdm/tqdm,,"A Fast, Extensible Progress Bar for Python and CLI.",logging,36,True,tqdm/tqdm,https://github.com/tqdm/tqdm,MIT,2015-06-03 13:13:14.000,2021-05-31 20:50:55.000,2021-05-24 11:33:23.000,947.0,511.0,18484.0,2021-05-24 19:55:34.000,4.61.0,118.0,100.0,,conda-forge/tqdm,tqdm,282.0,1833.0,204393.0,178155.0,https://pypi.org/project/tqdm,2021-05-24 19:47:43.000,26238.0,19672350.0,19778888.0,https://anaconda.org/conda-forge/tqdm,2021-05-24 21:12:31.593,6384922.0,1.0,7905.0,,,,,,,,,
6,mypy,https://github.com/python/mypy,,Optional static typing for Python 3 and 2 (PEP 484).,linters,36,True,python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2021-06-02 15:52:34.000,2021-06-02 00:06:55.000,1755.0,4640.0,10793.0,,,79.0,467.0,,conda-forge/mypy,mypy,1752.0,9533.0,41098.0,35014.0,https://pypi.org/project/mypy,2021-02-19 17:28:31.000,6084.0,6599864.0,6621885.0,https://anaconda.org/conda-forge/mypy,2021-04-02 00:00:44.993,946920.0,1.0,,,,,,,,,,
7,pytest,https://github.com/pytest-dev/pytest,,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",testing,36,True,pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2021-06-03 14:47:13.000,2021-06-01 15:34:29.000,1728.0,3865.0,7383.0,2021-05-04 16:22:25.000,6.2.4,147.0,724.0,['pytest'],conda-forge/pytest,pytest,653.0,,455706.0,325122.0,https://pypi.org/project/pytest,2021-05-04 16:21:57.000,130584.0,27876264.0,28011335.0,https://anaconda.org/conda-forge/pytest,2021-05-27 13:10:24.043,7969240.0,1.0,,,,,,,,,,
8,tox,https://github.com/tox-dev/tox,,Command line driven CI frontend and development task automation tool.,testing,36,True,tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2021-06-01 14:01:18.000,2021-06-01 14:01:18.000,366.0,1059.0,2237.0,2021-05-10 12:09:53.000,3.23.1,116.0,243.0,['pytest'],conda-forge/tox,tox,139.0,1999.0,81040.0,44640.0,https://pypi.org/project/tox,2021-05-05 16:42:34.000,36400.0,4209749.0,4216113.0,https://anaconda.org/conda-forge/tox,2021-05-05 22:48:33.555,286403.0,1.0,,,,,,,,,,
9,flake8,https://github.com/PyCQA/flake8,,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelder's McCabe script.,linters,36,True,PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000,2021-05-31 18:06:12.000,2021-05-31 18:06:11.000,183.0,1240.0,1288.0,2021-03-14 23:32:11.000,3.9.0,79.0,155.0,,conda-forge/flake8,flake8,37.0,1961.0,241306.0,170016.0,https://pypi.org/project/flake8,2021-05-08 19:52:32.000,71290.0,12101419.0,12142809.0,https://anaconda.org/conda-forge/flake8,2021-05-10 17:37:45.968,2483425.0,1.0,,,,,,,,,,
10,mkdocs,https://github.com/mkdocs/mkdocs,,Project documentation with Markdown.,documentation,35,True,mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2021-06-03 00:26:55.000,2021-06-02 17:01:21.000,1750.0,1401.0,12242.0,2020-05-14 15:18:01.000,1.1.2,44.0,192.0,['mkdocs'],conda-forge/mkdocs,mkdocs,132.0,1538.0,18489.0,12547.0,https://pypi.org/project/mkdocs,2020-05-14 15:18:01.000,5942.0,572158.0,574319.0,https://anaconda.org/conda-forge/mkdocs,2020-06-01 13:16:37.068,134000.0,1.0,,,,,,,,,,
