,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-03-24 16:32:26.000,2022-02-19 17:48:44,116.0,20.0,102.0,46.0,77.0,2.0,1471.0,2022-02-19 17:48:53.000,2022.02.17,34.0,8.0,4.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2022-03-29 10:38:36.000,2022-03-27 11:20:10,14405.0,199.0,1983.0,194.0,4538.0,4151.0,8574.0,2022-03-17 21:15:39.000,7.1.1,153.0,777.0,760.0,48,True,pytest,conda-forge/pytest,['pytest'],556532.0,475103.0,https://pypi.org/project/pytest,2022-03-17 21:15:01.000,81429.0,39861832.0,40039322.0,https://anaconda.org/conda-forge/pytest,2022-03-18 14:57:34.106,12069358.0,1.0,,,,,,,,,,,,,,,,,,,
4,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2022-03-31 05:50:54.000,2022-03-28 18:13:03,12807.0,184.0,2552.0,298.0,4788.0,5295.0,7858.0,2022-03-07 07:42:43.000,22.0.4,118.0,665.0,978.0,45,True,pip,conda-forge/pip,,87940.0,77403.0,https://pypi.org/project/pip,2022-03-07 07:42:43.000,10537.0,97851993.0,98348225.0,https://anaconda.org/conda-forge/pip,2022-03-07 10:47:21.063,33743818.0,1.0,-1.0,,,,,,,,,,,,,,,,,,
5,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2022-03-31 06:33:09.000,2022-03-30 21:33:16,1305.0,106.0,1677.0,217.0,1072.0,1586.0,26718.0,2022-03-28 19:10:42.000,22.3.0,39.0,312.0,328.0,44,True,black,conda-forge/black,,143421.0,136292.0,https://pypi.org/project/black,2022-03-28 19:10:42.000,7129.0,13152021.0,13229104.0,https://anaconda.org/conda-forge/black,2022-03-28 20:31:18.022,3518735.0,1.0,,21215.0,,,,,,,,,,,,,,,,,
6,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2022-03-28 21:54:05.000,2022-03-18 15:02:56,5761.0,24.0,1188.0,231.0,557.0,1327.0,8238.0,2021-12-29 21:26:19.000,5.9.0,84.0,176.0,210.0,44,True,psutil,conda-forge/psutil,,165344.0,149945.0,https://pypi.org/project/psutil,2021-12-29 21:26:19.000,15399.0,42081901.0,42231060.0,https://anaconda.org/conda-forge/psutil,2021-12-30 18:15:13.024,10590293.0,1.0,,,,,,,,,,,,,,,,,,,
7,sphinx,sphinx-doc/sphinx,documentation,Main repository for the Sphinx documentation builder.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2022-03-31 12:33:58.000,2022-03-27 15:58:54,18851.0,271.0,1662.0,134.0,4405.0,4959.0,4509.0,2022-03-27 16:00:39.000,4.5.0,163.0,714.0,1017.0,44,True,sphinx,conda-forge/sphinx,['sphinx'],251764.0,192464.0,https://pypi.org/project/sphinx,2022-03-27 15:56:46.000,59300.0,5250112.0,5323691.0,https://anaconda.org/conda-forge/sphinx,2022-03-27 18:17:56.417,4929851.0,1.0,,,,,,,,,,,,,,,,,,,
8,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2022-03-31 02:25:23.132,2022-03-27 19:22:18,12191.0,693.0,842.0,82.0,1111.0,1538.0,1597.0,2022-03-27 21:13:26.000,61.2.0,484.0,490.0,477.0,44,True,setuptools,conda-forge/setuptools,,192425.0,156432.0,https://pypi.org/project/setuptools,2022-03-27 21:13:11.000,35993.0,171131656.0,171661302.0,https://anaconda.org/conda-forge/setuptools,2022-03-31 02:25:23.132,36015926.0,1.0,-1.0,121.0,,,,,,,,,,,,,,,,,
9,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2022-03-31 04:00:22.000,2022-03-30 03:01:50,7375.0,132.0,1728.0,368.0,1394.0,3139.0,22812.0,2022-03-28 03:16:11.000,2022.3.28,308.0,414.0,496.0,43,True,pipenv,conda-forge/pipenv,,27203.0,25964.0,https://pypi.org/project/pipenv,2022-03-28 03:16:11.000,1239.0,4562374.0,4564021.0,https://anaconda.org/conda-forge/pipenv,2022-01-08 20:44:18.377,47765.0,1.0,,,,,,,,,,,,,,,,,,,
