,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,labels,conda_id,pypi_id,open_issue_count,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,github_release_downloads,updated_github_id,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge
0,Python.org Packaging,https://packaging.python.org/overview/,True,An Overview of Packaging for Python.,packaging,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Testing,https://github.com/ml-tooling/best-of-web-python,True,Testing libraries & tools for python web frameworks.,testing,0,True,ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2021-06-24 14:10:33.000,2021-06-05 15:46:18.000,84.0,2.0,1258.0,2021-06-05 15:46:28.000,2021.06.03,17.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,https://docs.python.org/3/library/unittest.html,True,Unittest is a test framework included in the Python standard library.,testing,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sphinx,https://github.com/sphinx-doc/sphinx,,Main repository for the Sphinx documentation builder.,documentation,38,True,sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2021-06-22 13:45:00.000,2021-06-20 18:04:02.000,1485.0,4657.0,4001.0,2021-05-20 12:58:02.000,4.0.2,151.0,649.0,['sphinx'],conda-forge/sphinx,sphinx,786.0,17670.0,251139.0,146603.0,https://pypi.org/project/sphinx,2021-05-20 12:58:02.000,104536.0,4106578.0,4165707.0,https://anaconda.org/conda-forge/sphinx,2021-05-25 19:47:42.185,3429506.0,1.0,,,,,,,,,,
4,pipenv,https://github.com/pypa/pipenv,,Python Development Workflow for Humans.,virtual-envs,37,True,pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2021-06-18 11:44:07.000,2021-05-29 03:05:47.000,1631.0,2885.0,22018.0,2021-05-29 03:10:16.000,2021.5.29,298.0,383.0,,conda-forge/pipenv,pipenv,547.0,7058.0,21874.0,19600.0,https://pypi.org/project/pipenv,2021-05-29 03:10:16.000,2274.0,3523309.0,3525323.0,https://anaconda.org/conda-forge/pipenv,2020-11-15 06:15:51.831,40290.0,1.0,1.0,,,,,,,,,
5,tqdm,https://github.com/tqdm/tqdm,,"A Fast, Extensible Progress Bar for Python and CLI.",logging,37,True,tqdm/tqdm,https://github.com/tqdm/tqdm,MIT,2015-06-03 13:13:14.000,2021-06-21 16:01:16.000,2021-06-12 14:39:04.000,951.0,511.0,18622.0,2021-06-12 16:21:58.000,4.61.1,119.0,102.0,,conda-forge/tqdm,tqdm,286.0,1838.0,210264.0,184026.0,https://pypi.org/project/tqdm,2021-06-12 16:13:59.000,26238.0,25302796.0,25413287.0,https://anaconda.org/conda-forge/tqdm,2021-06-12 17:32:34.551,6621853.0,1.0,1.0,7891.0,,,,,,,,
6,mypy,https://github.com/python/mypy,,Optional static typing for Python 3 and 2 (PEP 484).,linters,36,True,python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2021-06-24 12:22:50.000,2021-06-24 02:43:43.000,1793.0,4674.0,10918.0,,,83.0,474.0,,conda-forge/mypy,mypy,1789.0,9588.0,42596.0,36512.0,https://pypi.org/project/mypy,2021-06-22 18:39:23.000,6084.0,7025476.0,7048745.0,https://anaconda.org/conda-forge/mypy,2021-06-23 17:56:50.288,1000576.0,1.0,,,,,,,,,,
7,pytest,https://github.com/pytest-dev/pytest,,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",testing,36,True,pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2021-06-24 14:15:03.000,2021-06-24 09:45:32.000,1728.0,3877.0,7457.0,2021-05-04 16:22:25.000,6.2.4,147.0,727.0,['pytest'],conda-forge/pytest,pytest,653.0,,463900.0,333316.0,https://pypi.org/project/pytest,2021-05-04 16:21:57.000,130584.0,28615979.0,28755749.0,https://anaconda.org/conda-forge/pytest,2021-05-27 13:10:24.043,8246482.0,1.0,,,,,,,,,,
8,tox,https://github.com/tox-dev/tox,,Command line driven CI frontend and development task automation tool.,testing,36,True,tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2021-06-23 07:58:11.000,2021-06-23 07:58:11.000,366.0,1060.0,2269.0,2021-05-10 12:09:53.000,3.23.1,116.0,243.0,['pytest'],conda-forge/tox,tox,143.0,2005.0,81786.0,45386.0,https://pypi.org/project/tox,2021-05-05 16:42:34.000,36400.0,4201757.0,4208419.0,https://anaconda.org/conda-forge/tox,2021-05-05 22:48:33.555,299795.0,1.0,,,,,,,,,,
9,flake8,https://github.com/PyCQA/flake8,,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelder's McCabe script.,linters,36,True,PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000,2021-06-22 11:49:37.000,2021-06-22 11:49:37.000,183.0,1244.0,1338.0,2021-03-14 23:32:11.000,3.9.0,79.0,155.0,,conda-forge/flake8,flake8,37.0,1968.0,245711.0,174421.0,https://pypi.org/project/flake8,2021-05-08 19:52:32.000,71290.0,12253458.0,12296404.0,https://anaconda.org/conda-forge/flake8,2021-05-10 17:37:45.968,2576782.0,1.0,,,,,,,,,,
