,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,pypi_id,conda_id,labels,open_issue_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-08-18 20:42:52.000,2022-08-18 20:42:51,153.0,23.0,124.0,47.0,98.0,2.0,1639.0,2022-08-18 20:42:57.000,2022.08.18,52.0,8.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2022-08-18 18:11:59.000,2022-08-18 18:11:59,108.0,40.0,,3.0,35.0,,35.0,2022-08-18 18:12:07.000,2022.08.18,22.0,1.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2022-08-23 15:17:00.000,2022-08-22 23:19:44,14626.0,126.0,2129.0,194.0,4725.0,4261.0,9132.0,2022-04-23 14:36:35.000,7.1.2,154.0,814.0,47,True,pytest,conda-forge/pytest,['pytest'],778.0,642976.0,559385.0,https://pypi.org/project/pytest,2022-04-23 14:35:55.000,83591.0,45068295.0,45273145.0,https://anaconda.org/conda-forge/pytest,2022-08-23 15:03:04.154,14954073.0,1.0,,,,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2022-08-22 10:40:19.000,2022-08-21 10:11:20,13275.0,297.0,2683.0,300.0,4962.0,5503.0,8214.0,2022-07-27 17:30:11.390,22.2.1,124.0,687.0,47,True,pip,conda-forge/pip,,1001.0,106238.0,95556.0,https://pypi.org/project/pip,2022-05-31 11:19:58.000,10682.0,130215280.0,130883900.0,https://anaconda.org/conda-forge/pip,2022-08-04 01:13:49.047,48809263.0,1.0,,,,,,,,,,,,,,,,,,,,
6,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2022-08-24 21:19:46.946,2022-08-24 10:25:04,13207.0,801.0,921.0,86.0,1264.0,1638.0,1785.0,2022-08-24 11:09:35.000,65.3.0,516.0,535.0,45,True,setuptools,conda-forge/setuptools,,507.0,227367.0,190796.0,https://pypi.org/project/setuptools,2022-07-04 02:25:55.000,36571.0,257172993.0,257880699.0,https://anaconda.org/conda-forge/setuptools,2022-08-24 21:19:46.946,51662570.0,1.0,,,,,,,,,,,,,,,,,,,,
7,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2022-08-24 22:26:16.000,2022-08-23 03:40:38,1391.0,50.0,1829.0,221.0,1186.0,1691.0,28942.0,2022-06-28 00:39:54.000,22.6.0,40.0,332.0,44,True,black,conda-forge/black,,362.0,186371.0,178519.0,https://pypi.org/project/black,2022-06-28 00:39:54.000,7852.0,14707925.0,14800427.0,https://anaconda.org/conda-forge/black,2022-08-06 13:34:19.041,4687831.0,1.0,23979.0,,,,,,,,,,,,,,,,,,,
8,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2022-08-25 01:10:56.156,2022-08-24 21:11:26,7652.0,213.0,1763.0,364.0,1513.0,3391.0,23210.0,2022-08-24 21:13:02.932,2022.8.24,323.0,426.0,44,True,pipenv,conda-forge/pipenv,,372.0,34071.0,32829.0,https://pypi.org/project/pipenv,2022-07-04 21:30:18.000,1242.0,5895996.0,5897826.0,https://anaconda.org/conda-forge/pipenv,2022-08-25 01:10:56.156,62237.0,1.0,,,,,,,,,,,,,,,,,,,,
9,mypy,python/mypy,linters,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2022-08-25 13:47:52.000,2022-08-25 13:31:30,10535.0,255.0,2273.0,218.0,5429.0,5918.0,13654.0,,,94.0,603.0,44,True,mypy,conda-forge/mypy,,2262.0,94801.0,88516.0,https://pypi.org/project/mypy,2022-06-06 16:09:21.000,6285.0,13212015.0,13248910.0,https://anaconda.org/conda-forge/mypy,2022-07-29 23:31:12.535,2103056.0,1.0,,,,,,,,,,,,,,,,,,,,
10,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2022-08-18 19:19:52.000,2022-08-18 17:16:47,5797.0,16.0,1255.0,233.0,572.0,1337.0,8637.0,2022-05-20 20:09:47.000,5.9.1,85.0,181.0,44,True,psutil,conda-forge/psutil,,257.0,210929.0,194972.0,https://pypi.org/project/psutil,2022-05-20 20:09:47.000,15957.0,57354787.0,57541954.0,https://anaconda.org/conda-forge/psutil,2022-05-20 23:41:36.748,14224729.0,1.0,,,,,,,,,,,,,,,,,,,,
11,sphinx,sphinx-doc/sphinx,documentation,Main repository for the Sphinx documentation builder.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2022-08-23 16:14:57.000,2022-08-23 12:26:16,19560.0,309.0,1737.0,137.0,4632.0,5138.0,4860.0,2022-07-26 21:26:02.000,5.1.1,167.0,748.0,44,True,sphinx,conda-forge/sphinx,['sphinx'],1069.0,276819.0,216858.0,https://pypi.org/project/sphinx,2022-06-02 18:12:32.000,59961.0,7432918.0,7514256.0,https://anaconda.org/conda-forge/sphinx,2022-08-02 16:24:50.107,5856400.0,1.0,,,,,,,,,,,,,,,,,,,,
12,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2022-08-25 05:43:13.000,2022-08-17 20:59:01,3370.0,156.0,1317.0,532.0,787.0,816.0,39264.0,2022-07-11 14:38:05.650,12.5.1,167.0,184.0,42,True,rich,conda-forge/rich,,89.0,29388.0,27263.0,https://pypi.org/project/rich,2022-05-24 06:40:55.000,2125.0,12700798.0,12760844.0,https://anaconda.org/conda-forge/rich,2022-07-11 20:48:09.934,1501170.0,1.0,,,,,,,,,,,,,,,,,,,,
