,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-09-01 16:35:57.000,2022-09-01 16:35:56,157.0,25.0,125.0,47.0,101.0,2.0,1654.0,2022-09-01 16:36:02.000,2022.09.01,54.0,8.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2022-09-08 09:12:00.000,2022-09-08 09:12:00,114.0,42.0,1.0,4.0,38.0,1.0,41.0,2022-09-01 18:40:38.000,2022.09.01,24.0,2.0,0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2022-09-07 13:36:40.000,2022-09-07 13:15:02,14644.0,127.0,2134.0,192.0,4742.0,4265.0,9192.0,2022-09-02 11:15:53.605,7.1.3,155.0,816.0,47,True,782.0,pytest,conda-forge/pytest,['pytest'],652195.0,568604.0,https://pypi.org/project/pytest,2022-04-23 14:35:55.000,83591.0,45121447.0,45327227.0,https://anaconda.org/conda-forge/pytest,2022-09-02 18:18:41.232,15227759.0,1.0,,,,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2022-09-08 03:54:39.000,2022-09-02 20:42:08,13286.0,285.0,2683.0,302.0,4973.0,5524.0,8228.0,2022-07-27 17:30:11.390,22.2.1,124.0,687.0,47,True,1001.0,pip,conda-forge/pip,,108100.0,97418.0,https://pypi.org/project/pip,2022-05-31 11:19:58.000,10682.0,120135245.0,120813864.0,https://anaconda.org/conda-forge/pip,2022-08-04 01:13:49.047,50217862.0,1.0,,,,,,,,,,,,,,,,,,,,
6,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2022-09-06 08:49:41.000,2022-08-26 01:08:55,13211.0,720.0,921.0,86.0,1273.0,1640.0,1793.0,2022-08-24 11:09:35.000,65.3.0,516.0,536.0,45,True,507.0,setuptools,conda-forge/setuptools,,232329.0,195758.0,https://pypi.org/project/setuptools,2022-07-04 02:25:55.000,36571.0,306665018.0,307382992.0,https://anaconda.org/conda-forge/setuptools,2022-08-26 17:49:30.358,53130097.0,1.0,,,,,,,,,,,,,,,,,,,,
7,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2022-09-07 05:06:05.000,2022-09-05 22:27:39,1406.0,63.0,1845.0,221.0,1197.0,1712.0,29065.0,2022-08-31 22:49:55.134,22.8.0,41.0,336.0,44,True,351.0,black,conda-forge/black,,190623.0,182771.0,https://pypi.org/project/black,2022-06-28 00:39:54.000,7852.0,14621353.0,14714202.0,https://anaconda.org/conda-forge/black,2022-08-06 13:34:19.041,4798183.0,1.0,24244.0,,,,,,,,,,,,,,,,,,,
8,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2022-09-08 13:26:39.000,2022-09-08 07:56:13,7734.0,289.0,1765.0,365.0,1547.0,3458.0,23243.0,2022-09-04 13:28:01.267,2022.9.4,327.0,433.0,44,True,338.0,pipenv,conda-forge/pipenv,,35924.0,34682.0,https://pypi.org/project/pipenv,2022-07-04 21:30:18.000,1242.0,6266749.0,6268616.0,https://anaconda.org/conda-forge/pipenv,2022-09-04 16:06:56.917,65378.0,1.0,,,,,,,,,,,,,,,,,,,,
9,mypy,python/mypy,linters,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2022-09-08 13:57:18.000,2022-09-08 13:57:18,10587.0,287.0,2273.0,220.0,5499.0,5976.0,13733.0,,,94.0,605.0,44,True,2262.0,mypy,conda-forge/mypy,,96804.0,90519.0,https://pypi.org/project/mypy,2022-06-06 16:09:21.000,6285.0,12322195.0,12359128.0,https://anaconda.org/conda-forge/mypy,2022-07-29 23:31:12.535,2142125.0,1.0,,,,,,,,,,,,,,,,,,,,
