,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,updated_github_id,pypi_id,conda_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,labels,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2026-02-05 17:31:06.000,2026-01-29 19:32:47,401.0,20.0,193.0,55.0,235.0,4.0,2693.0,2026-02-05 23:28:11.000,2026.02.05,100.0,16.0,3.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2026-02-05 18:56:14.000,2025-11-06 18:40:58,419.0,,113.0,17.0,347.0,37.0,1677.0,2023-06-29 18:48:34.000,2023.06.29,68.0,63.0,,0,True,mkdocs/catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2026-02-12 13:18:36.000,2026-02-12 13:18:30,13278.0,272.0,3092.0,232.0,8862.0,9151.0,20203.0,2025-12-15 05:02:33.000,1.19.1,133.0,836.0,3109.0,49,True,,mypy,conda-forge/mypy,387542.0,348445.0,https://pypi.org/project/mypy,2025-12-15 05:02:33.000,39097.0,97009423.0,97108189.0,https://anaconda.org/conda-forge/mypy,2025-12-15 11:15:52.923,6716090.0,1.0,,,,,,,,,,,,,,,,,,,,
5,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2026-02-11 20:03:47.000,2026-02-11 18:14:51,17159.0,126.0,3012.0,196.0,6819.0,5378.0,13555.0,2025-12-06 21:31:16.000,9.0.2,189.0,1086.0,987.0,49,True,,pytest,conda-forge/pytest,1842524.0,1723291.0,https://pypi.org/project/pytest,2025-12-06 21:30:49.000,119233.0,499434209.0,500128386.0,https://anaconda.org/conda-forge/pytest,2025-12-06 23:00:53.196,44404350.0,1.0,['pytest'],28112.0,-1.0,,,,,,,,,,,,,,,,,
6,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2026-02-11 22:11:28.000,2026-02-11 22:11:26,4396.0,99.0,2010.0,530.0,1365.0,1261.0,55458.0,2026-02-01 16:21:51.000,14.3.2,204.0,285.0,290.0,47,True,,rich,conda-forge/rich,533534.0,500395.0,https://pypi.org/project/rich,2026-02-01 16:20:46.000,33139.0,299083167.0,299345394.0,https://anaconda.org/conda-forge/rich,2026-02-01 18:46:25.026,17569235.0,1.0,,,,,,,,,,,,,,,,,,,,
7,ruff,charliermarsh/ruff,linters,"An extremely fast Python linter and code formatter, written in Rust.",,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44.000,2026-02-12 14:47:21.000,2026-02-12 14:27:53,14085.0,1259.0,1753.0,96.0,14818.0,6091.0,45722.0,2026-02-03 17:55:25.000,0.15.0,393.0,803.0,1645.0,47,True,astral-sh/ruff,ruff,conda-forge/ruff,187277.0,152072.0,https://pypi.org/project/ruff,2026-02-03 17:52:54.000,35205.0,134517505.0,134853469.0,https://anaconda.org/conda-forge/ruff,2026-02-03 21:42:22.481,5782043.0,1.0,,4129557.0,16.0,,,,,,,,,,,,,,,,,
8,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2026-02-12 11:47:34.000,2026-02-12 11:47:32,6482.0,60.0,1462.0,225.0,837.0,1548.0,11078.0,2026-01-28 18:14:57.000,7.2.2,104.0,228.0,360.0,47,True,,psutil,conda-forge/psutil,790296.0,770674.0,https://pypi.org/project/psutil,2026-01-28 18:14:57.000,19622.0,263880109.0,264728280.0,https://anaconda.org/conda-forge/psutil,2026-01-29 09:23:17.173,56827465.0,1.0,,,,,,,,,,,,,,,,,,,,
9,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2026-02-11 01:49:28.000,2026-02-11 01:49:25,15799.0,186.0,3231.0,316.0,6039.0,6747.0,10092.0,2026-02-05 02:20:16.000,26.0.1,155.0,870.0,1035.0,47,True,,pip,conda-forge/pip,253341.0,247616.0,https://pypi.org/project/pip,2026-02-05 02:20:16.000,5725.0,541044344.0,543900208.0,https://anaconda.org/conda-forge/pip,2026-02-05 06:08:27.516,197054647.0,1.0,,,-1.0,,,,,,,,,,,,,,,,,
10,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2026-02-06 15:46:04.000,2026-02-06 15:46:02,2129.0,55.0,2722.0,233.0,2124.0,2475.0,41378.0,2026-01-18 04:50:09.000,26.1.0,70.0,497.0,331.0,46,True,,black,conda-forge/black,717156.0,665354.0,https://pypi.org/project/black,2026-01-18 04:50:09.000,51802.0,92156432.0,92424590.0,https://anaconda.org/conda-forge/black,2026-01-21 12:24:18.322,17852945.0,1.0,,140928.0,,,,,,,,,,,,,,,,,,
