,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,pypi_id,conda_id,labels,open_issue_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-07-28 18:08:17.000,2022-07-28 18:08:16,147.0,23.0,124.0,47.0,95.0,2.0,1607.0,2022-07-28 18:08:22.000,2022.07.28,49.0,8.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2022-07-29 11:20:32.000,2022-07-29 11:20:32,102.0,45.0,,2.0,32.0,,30.0,2022-08-01 10:06:53.000,2022.07.28,19.0,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2022-08-03 22:35:39.000,2022-07-31 13:50:44,14599.0,137.0,2055.0,193.0,4697.0,4250.0,9061.0,2022-04-23 14:36:35.000,7.1.2,154.0,807.0,47,True,pytest,conda-forge/pytest,['pytest'],773.0,628934.0,545911.0,https://pypi.org/project/pytest,2022-04-23 14:35:55.000,83023.0,43300588.0,43499973.0,https://anaconda.org/conda-forge/pytest,2022-04-23 18:57:49.689,14555150.0,1.0,,,,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2022-08-04 09:28:35.000,2022-08-04 08:24:30,13216.0,272.0,2671.0,299.0,4943.0,5470.0,8149.0,2022-07-27 17:30:11.390,22.2.1,124.0,686.0,47,True,pip,conda-forge/pip,,987.0,102458.0,91776.0,https://pypi.org/project/pip,2022-05-31 11:19:58.000,10682.0,115277778.0,115914042.0,https://anaconda.org/conda-forge/pip,2022-08-04 01:13:49.047,46447322.0,1.0,,,,,,,,,,,,,,,,,,,,
6,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2022-08-04 12:06:13.000,2022-08-04 08:37:05,12765.0,416.0,916.0,85.0,1231.0,1606.0,1747.0,2022-08-03 16:24:38.185,63.4.1,503.0,520.0,45,True,setuptools,conda-forge/setuptools,,517.0,221289.0,184718.0,https://pypi.org/project/setuptools,2022-07-04 02:25:55.000,36571.0,206416363.0,207088324.0,https://anaconda.org/conda-forge/setuptools,2022-08-01 06:41:36.942,49053184.0,1.0,,,,,,,,,,,,,,,,,,,,
7,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2022-08-04 12:12:59.000,2022-08-02 21:22:04,1383.0,53.0,1797.0,220.0,1169.0,1677.0,28747.0,2022-06-28 00:39:54.000,22.6.0,40.0,331.0,44,True,black,conda-forge/black,,366.0,179963.0,172111.0,https://pypi.org/project/black,2022-06-28 00:39:54.000,7852.0,14786392.0,14875708.0,https://anaconda.org/conda-forge/black,2022-06-28 13:49:25.625,4525818.0,1.0,23584.0,,,,,,,,,,,,,,,,,,,
8,mypy,python/mypy,linters,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2022-08-04 14:05:50.000,2022-08-04 01:32:25,10430.0,202.0,2177.0,218.0,5306.0,5830.0,13559.0,,,94.0,594.0,44,True,mypy,conda-forge/mypy,,2160.0,91517.0,85232.0,https://pypi.org/project/mypy,2022-06-06 16:09:21.000,6285.0,14230788.0,14266582.0,https://anaconda.org/conda-forge/mypy,2022-07-29 23:31:12.535,2040270.0,1.0,,,,,,,,,,,,,,,,,,,,
9,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2022-08-02 18:04:57.000,2022-07-31 05:21:07,5795.0,25.0,1245.0,233.0,572.0,1334.0,8576.0,2022-05-20 20:09:47.000,5.9.1,85.0,181.0,44,True,psutil,conda-forge/psutil,,246.0,204530.0,188573.0,https://pypi.org/project/psutil,2022-05-20 20:09:47.000,15957.0,55507983.0,55687948.0,https://anaconda.org/conda-forge/psutil,2022-05-20 23:41:36.748,13677369.0,1.0,,,,,,,,,,,,,,,,,,,,
