,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
13,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2023-12-28 10:40:19.000,2023-12-28 10:40:11,14496.0,300.0,2210.0,477.0,695.0,4076.0,8606.0,2023-07-28 19:29:00.000,6.1.1,124.0,192.0,43,True,,244.0,robotframework,conda-forge/robotframework,,10716.0,9587.0,https://pypi.org/project/robotframework,1855370.0,1860439.0,https://anaconda.org/conda-forge/robotframework,2023-10-10 22:35:13.903,167140.0,1.0,554.0,2023-12-21 19:52:42.000,1129.0,,,,,,,,,,,,,,,,
14,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2023-12-25 19:12:41.000,2023-08-10 10:52:15,1964.0,,1273.0,207.0,539.0,577.0,26686.0,2023-08-10 11:59:02.000,4.66.1,108.0,112.0,42,True,,375.0,tqdm,conda-forge/tqdm,,617277.0,617277.0,https://pypi.org/project/tqdm,81707944.0,82287061.0,https://anaconda.org/conda-forge/tqdm,2023-08-10 12:44:00.709,24315352.0,1.0,11706.0,,,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2023-08-26 01:32:37.879259,2.0,4131.0,,,,,,,,,,,
15,ruff,charliermarsh/ruff,linters,"An extremely fast Python linter and code formatter, written in Rust.",,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44.000,2023-12-28 14:09:59.000,2023-12-28 01:06:58,5949.0,773.0,710.0,69.0,5540.0,2952.0,21693.0,2023-12-21 18:46:59.000,0.1.9,276.0,331.0,42,True,astral-sh/ruff,616.0,ruff,conda-forge/ruff,,29093.0,27224.0,https://pypi.org/project/ruff,7980715.0,8026586.0,https://anaconda.org/conda-forge/ruff,2023-12-22 05:45:46.082,457702.0,1.0,127969.0,2023-12-21 18:41:51.000,1869.0,,,,,,,,,,,,,,,,
16,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2023-12-23 12:59:57.000,2023-12-23 12:59:57,2032.0,69.0,2311.0,230.0,1238.0,1790.0,17632.0,2023-09-18 21:27:59.000,1.5.3,60.0,246.0,42,True,,129.0,mkdocs,conda-forge/mkdocs,['mkdocs'],58873.0,54159.0,https://pypi.org/project/mkdocs,2418378.0,2428746.0,https://anaconda.org/conda-forge/mkdocs,2023-09-19 01:25:40.888,311069.0,1.0,,2023-09-18 21:26:09.000,4714.0,,,,,,,,,,,,,,,,
17,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2023-12-24 15:21:52.000,2023-12-20 10:29:05,9088.0,99.0,1800.0,231.0,2305.0,4860.0,10911.0,2023-12-10 23:44:46.000,6.3.0,60.0,461.0,42,True,,267.0,pyinstaller,conda-forge/pyinstaller,,52420.0,52420.0,https://pypi.org/project/pyinstaller,1806387.0,1827120.0,https://anaconda.org/conda-forge/pyinstaller,2023-12-11 12:02:08.120,514185.0,1.0,743182.0,,,,,,,,,,,,,,,,,,
18,hypothesis,HypothesisWorks/hypothesis,testing,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000,2023-12-28 09:10:35.000,2023-12-27 01:25:09,13527.0,237.0,589.0,72.0,2353.0,1425.0,7076.0,2023-12-27 01:25:12.000,6.92.2,1106.0,320.0,42,True,,48.0,hypothesis,conda-forge/hypothesis,,26516.0,24144.0,https://pypi.org/project/hypothesis,4912725.0,5106506.0,https://anaconda.org/conda-forge/hypothesis,2023-12-27 03:06:56.909,8332615.0,1.0,,2023-12-27 01:25:12.000,2372.0,,,,,,,,,,,,,,,,
19,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2023-12-14 01:51:17.173,2023-12-13 20:34:58,4158.0,46.0,533.0,48.0,964.0,1074.0,6179.0,2023-12-13 20:37:31.000,5.13.2,100.0,294.0,42,True,,166.0,isort,conda-forge/isort,,437254.0,437254.0,https://pypi.org/project/isort,28627932.0,28763484.0,https://anaconda.org/conda-forge/isort,2023-12-14 01:51:17.173,5557658.0,2.0,,,,,,,,,,,,,,,,,,,
20,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2023-12-28 10:20:12.000,2023-12-28 10:20:12,8404.0,5.0,502.0,114.0,593.0,1325.0,5577.0,2023-10-02 09:20:35.000,0.19.1,34.0,166.0,42,True,,52.0,jedi,conda-forge/jedi,,388258.0,379738.0,https://pypi.org/project/jedi,28984619.0,29466080.0,https://anaconda.org/conda-forge/jedi,2023-10-03 09:44:27.309,20221385.0,1.0,,2023-10-02 09:20:35.000,8520.0,,,,,,,,,,,,,,,,
21,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/pylint-dev/pylint,https://github.com/pylint-dev/pylint,GPL-2.0,2015-12-09 05:40:02.000,2023-12-28 12:12:35.000,2023-12-28 12:12:34,9039.0,109.0,1057.0,77.0,4052.0,4423.0,4978.0,2023-12-11 13:20:16.000,3.0.3,183.0,551.0,42,True,pylint-dev/pylint,847.0,pylint,conda-forge/pylint,,422124.0,398958.0,https://pypi.org/project/pylint,17341329.0,17453832.0,https://anaconda.org/conda-forge/pylint,2023-12-11 15:36:48.979,4725158.0,1.0,,2023-12-11 13:20:16.000,23166.0,,,,,,,,,,,,,,,,
22,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,,2012-12-07 13:30:23.000,2023-12-28 11:27:31.000,2023-12-28 11:27:30,11674.0,149.0,2599.0,235.0,6770.0,7456.0,16957.0,,,58.0,686.0,41,False,,2392.0,mypy,conda-forge/mypy,,219333.0,219333.0,https://pypi.org/project/mypy,18815005.0,18901754.0,https://anaconda.org/conda-forge/mypy,2023-12-21 19:13:37.556,3643468.0,1.0,,,,,,,,,,,,,,,,,,,
23,yapf,google/yapf,formatters,A formatter for Python files.,,https://github.com/google/yapf,https://github.com/google/yapf,Apache-2.0,2015-03-18 18:22:31.000,2023-12-15 16:01:27.000,2023-11-08 21:44:38,1336.0,17.0,933.0,214.0,360.0,462.0,13529.0,2023-09-22 18:40:43.000,0.40.2,74.0,151.0,41,True,,365.0,yapf,conda-forge/yapf,,90549.0,88210.0,https://pypi.org/project/yapf,4676998.0,4729768.0,https://anaconda.org/conda-forge/yapf,2023-07-26 16:15:22.726,1688652.0,2.0,,2023-09-22 18:40:43.000,2339.0,,,,,,,,,,,,,,,,
24,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2023-12-26 18:50:46.000,2023-12-26 18:50:45,2624.0,30.0,701.0,86.0,1153.0,1896.0,11361.0,2023-12-09 21:29:42.000,3.6.0,100.0,155.0,41,True,,18.0,pre-commit,conda-forge/pre-commit,,165539.0,165539.0,https://pypi.org/project/pre-commit,14990059.0,15112363.0,https://anaconda.org/conda-forge/pre-commit,2023-12-10 03:04:10.677,3998586.0,1.0,842505.0,,,,,,,,,,,,,,,,,,
25,conda,conda/conda,dependency-managers,"A system-level, binary package and environment manager running on all major operating systems and platforms.",,https://github.com/conda/conda,https://github.com/conda/conda,,2012-10-15 22:08:03.000,2023-12-28 11:09:46.000,2023-12-26 15:19:32,16660.0,125.0,1384.0,197.0,4020.0,8715.0,5896.0,2023-12-01 04:46:19.000,23.11.0,100.0,447.0,41,False,,658.0,conda,conda-forge/conda,,44881.0,44881.0,https://pypi.org/project/conda,110105.0,1238772.0,https://anaconda.org/conda-forge/conda,2023-12-04 23:31:22.998,48532716.0,1.0,,,,,,,,,,,,,,,,,,,
26,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2023-12-25 18:33:07.000,2023-12-18 22:30:12,756.0,23.0,954.0,171.0,1336.0,1287.0,4607.0,2023-12-01 16:24:25.000,20.25.0,66.0,113.0,41,True,,21.0,virtualenv,conda-forge/virtualenv,,347941.0,347941.0,https://pypi.org/project/virtualenv,102886176.0,103039587.0,https://anaconda.org/conda-forge/virtualenv,2023-12-01 19:29:52.700,5829620.0,2.0,,,,,,,,,,,,,,,,,,,
27,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000,2023-12-26 01:52:33.000,2023-12-26 01:52:32,2439.0,20.0,302.0,37.0,352.0,1526.0,3135.0,2023-07-29 19:05:02.000,6.1.0,88.0,173.0,41,True,,22.0,flake8,conda-forge/flake8,,561382.0,515293.0,https://pypi.org/project/flake8,23296093.0,23458732.0,https://anaconda.org/conda-forge/flake8,2023-07-31 20:03:25.549,6993478.0,1.0,,2023-07-29 19:05:02.000,46089.0,,,,,,,,,,,,,,,,
28,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2023-12-25 16:51:47.000,2023-12-18 22:29:07,680.0,19.0,500.0,42.0,1377.0,1591.0,3413.0,2023-11-28 04:14:11.000,4.11.4,209.0,292.0,39,True,,77.0,tox,conda-forge/tox,['pytest'],131138.0,108599.0,https://pypi.org/project/tox,12055046.0,12074672.0,https://anaconda.org/conda-forge/tox,2023-11-28 16:27:31.374,843918.0,1.0,,2023-11-28 04:14:11.000,22539.0,,,,,,,,,,,,,,,,
29,pyright,Microsoft/pyright,type-checkers,Static Type Checker for Python.,,https://github.com/microsoft/pyright,https://github.com/microsoft/pyright,MIT,2019-03-12 03:38:46.000,2023-12-28 07:57:57.000,2023-12-28 07:57:52,6979.0,363.0,1156.0,112.0,1069.0,4967.0,11399.0,2023-12-26 04:25:27.000,1.1.343,100.0,102.0,38,True,,10.0,,,,690.0,690.0,,,800375.0,,,,2.0,1376.0,,,,,,,,pyright,https://www.npmjs.com/package/pyright,800303.0,,,,,,,,
30,pip-tools,jazzband/pip-tools,dependency-managers,A set of tools to keep your pinned Python dependencies fresh.,,https://github.com/jazzband/pip-tools,https://github.com/jazzband/pip-tools,BSD-3-Clause,2012-09-10 08:50:26.000,2023-12-25 17:36:55.000,2023-11-29 04:14:40,2069.0,23.0,605.0,103.0,982.0,876.0,7246.0,2023-08-08 23:42:23.000,7.3.0,119.0,204.0,38,True,,163.0,pip-tools,conda-forge/pip-tools,,27411.0,24805.0,https://pypi.org/project/pip-tools,9947080.0,9950184.0,https://anaconda.org/conda-forge/pip-tools,2023-08-09 01:51:06.267,133498.0,2.0,,2023-08-08 23:42:23.000,2606.0,,,,,,,,,,,,,,,,
31,bandit,PyCQA/bandit,security,Bandit is a tool designed to find common security issues in Python code.,,https://github.com/PyCQA/bandit,https://github.com/PyCQA/bandit,Apache-2.0,2018-04-26 09:08:12.000,2023-12-21 17:48:00.000,2023-12-21 17:47:33,1333.0,10.0,548.0,66.0,410.0,461.0,5698.0,2023-12-09 02:50:36.000,1.7.6,13.0,175.0,38,True,,167.0,bandit,conda-forge/bandit,,46151.0,46151.0,https://pypi.org/project/bandit,3352893.0,3360247.0,https://anaconda.org/conda-forge/bandit,2023-09-25 08:07:42.894,279046.0,1.0,756.0,,,,,,,,,,,,,,,,,,
32,autopep8,hhatto/autopep8,formatters,A tool that automatically formats Python code to conform to the PEP 8 style guide.,,https://github.com/hhatto/autopep8,https://github.com/hhatto/autopep8,MIT,2010-12-29 20:08:51.000,2023-12-18 05:09:58.000,2023-10-27 07:04:25,2846.0,13.0,298.0,73.0,235.0,362.0,4467.0,2023-08-26 13:59:08.000,2.0.4,75.0,60.0,38,True,,123.0,autopep8,conda-forge/autopep8,,204296.0,198341.0,https://pypi.org/project/autopep8,3795963.0,3828976.0,https://anaconda.org/conda-forge/autopep8,2023-08-26 14:51:03.645,1386573.0,3.0,,2023-08-26 13:49:56.000,5955.0,,,,,,,,,,,,,,,,
33,poetry,python-poetry/poetry,dependency-managers,Python packaging and dependency management made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2023-12-27 12:59:28.000,2023-12-27 11:51:52,3036.0,69.0,2055.0,185.0,2609.0,4830.0,27857.0,2023-11-16 19:09:01.000,1.7.1,100.0,514.0,37,True,,613.0,poetry,conda-forge/poetry,,,,https://pypi.org/project/poetry,25214951.0,25477149.0,https://anaconda.org/conda-forge/poetry,2023-11-17 02:06:37.060,1090070.0,2.0,15355896.0,,,,,,,,,,,,,,,,,,
34,loguru,Delgan/loguru,logging,Python logging made (stupidly) simple.,,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32.000,2023-12-16 15:04:52.000,2023-12-16 15:04:52,780.0,17.0,645.0,132.0,154.0,759.0,16987.0,2023-09-11 15:25:24.000,0.7.2,21.0,52.0,37,True,,137.0,loguru,conda-forge/loguru,,71110.0,71110.0,https://pypi.org/project/loguru,15347336.0,15391930.0,https://anaconda.org/conda-forge/loguru,2023-09-24 09:55:27.841,1917563.0,1.0,,,,,,,,,,,,,,,,,,,
35,Nuitka,Nuitka/Nuitka,packaging,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4, 3.5, 3.6, 3.7, 3.8,..",,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,Apache-2.0,2013-04-23 15:40:33.000,2023-12-27 15:48:22.000,2023-12-27 07:50:33,11762.0,329.0,547.0,134.0,349.0,1927.0,10193.0,,,191.0,165.0,37,True,,153.0,nuitka,conda-forge/nuitka,,1696.0,1696.0,https://pypi.org/project/nuitka,93659.0,107756.0,https://anaconda.org/conda-forge/nuitka,2023-12-15 05:25:17.123,606187.0,1.0,,,,,,,,,,,,,,,,,,,
36,pycodestyle,PyCQA/pycodestyle,linters,Simple Python style checker in one Python file.,,https://github.com/PyCQA/pycodestyle,https://github.com/PyCQA/pycodestyle,MIT,2009-10-02 00:43:37.000,2023-12-27 05:14:52.000,2023-12-27 05:14:51,1444.0,11.0,801.0,117.0,497.0,630.0,4936.0,2023-10-12 23:39:38.000,2.11.1,19.0,133.0,37,True,,109.0,pycodestyle,conda-forge/pycodestyle,,11691.0,20.0,https://pypi.org/project/pycodestyle,32225248.0,32445627.0,https://anaconda.org/conda-forge/pycodestyle,2023-10-13 13:17:36.027,7272507.0,1.0,,2023-10-12 23:39:38.000,11671.0,,,,,,,,,7.0,,,,,,,
37,sphinx_rtd_theme,readthedocs/sphinx_rtd_theme,documentation,Sphinx theme for readthedocs.org.,,https://github.com/readthedocs/sphinx_rtd_theme,https://github.com/readthedocs/sphinx_rtd_theme,MIT,2013-10-17 17:10:49.000,2023-11-30 15:46:03.000,2023-11-28 18:00:56,1478.0,8.0,1783.0,165.0,710.0,620.0,4521.0,2023-11-28 04:13:59.000,2.0.0,52.0,115.0,37,True,,246.0,sphinx_rtd_theme,conda-forge/sphinx_rtd_theme,['sphinx'],8006.0,16.0,https://pypi.org/project/sphinx_rtd_theme,3884174.0,3971678.0,https://anaconda.org/conda-forge/sphinx_rtd_theme,2023-11-28 15:01:30.175,3675193.0,2.0,,2023-11-28 04:13:59.000,7990.0,,,,,,,,,,,,,,,,
38,twine,pypa/twine,build-tools,Utilities for interacting with PyPI.,,https://github.com/pypa/twine,https://github.com/pypa/twine,Apache-2.0,2013-08-13 15:39:39.000,2023-12-26 00:07:04.000,2023-12-23 18:34:11,1099.0,18.0,289.0,39.0,547.0,427.0,1494.0,2022-12-01 01:51:31.000,4.0.2,25.0,118.0,37,True,,51.0,twine,conda-forge/twine,,98691.0,98691.0,https://pypi.org/project/twine,3611788.0,3622047.0,https://anaconda.org/conda-forge/twine,2023-06-16 13:23:13.063,902829.0,1.0,,,,,,,,,,,,,,,,,,,
39,wheel,pypa/wheel,build-tools,The official binary distribution format for Python.,,https://github.com/pypa/wheel,https://github.com/pypa/wheel,MIT,2017-07-25 20:24:25.000,2023-12-26 15:16:00.000,2023-12-26 15:15:59,919.0,20.0,143.0,34.0,213.0,342.0,464.0,2023-11-26 14:37:13.000,0.42.0,77.0,78.0,37,True,,43.0,wheel,conda-forge/wheel,,281241.0,243899.0,https://pypi.org/project/wheel,272864513.0,274940641.0,https://anaconda.org/conda-forge/wheel,2023-11-26 15:42:45.198,83045144.0,1.0,,2023-11-26 14:37:10.000,37342.0,,,,,,,,,,,,,,,,
40,pyautogui,asweigart/pyautogui,testing,A cross-platform GUI automation Python module for human beings. Used to programmatically control the mouse & keyboard.,,https://github.com/asweigart/pyautogui,https://github.com/asweigart/pyautogui,BSD-3-Clause,2014-07-17 23:30:38.000,2023-10-16 16:49:29.444,2023-06-07 11:16:23,408.0,,1120.0,186.0,157.0,228.0,9040.0,2023-05-24 20:13:07.561,0.9.54,51.0,52.0,36,True,,455.0,pyautogui,conda-forge/pyautogui,,30620.0,29761.0,https://pypi.org/project/pyautogui,716679.0,722321.0,https://anaconda.org/conda-forge/pyautogui,2023-10-16 16:49:29.444,214402.0,1.0,,2023-05-24 20:13:07.561,859.0,,,,,,,,,,,,,,,,
41,PDM,pdm-project/pdm,dependency-managers,A modern Python package and dependency manager supporting the latest PEP standards.,,https://github.com/pdm-project/pdm,https://github.com/pdm-project/pdm,MIT,2019-12-27 03:50:57.000,2023-12-28 13:59:42.000,2023-12-28 01:29:07,2560.0,114.0,287.0,31.0,873.0,1331.0,5779.0,2023-12-14 11:07:52.000,2.11.1,183.0,158.0,36,True,,46.0,pdm,conda-forge/pdm,,267.0,212.0,https://pypi.org/project/pdm,559104.0,567320.0,https://anaconda.org/conda-forge/pdm,2023-12-15 03:39:26.360,221851.0,2.0,4.0,2023-12-14 11:07:45.000,55.0,,,,,,,,,,,,,,,,
