,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-12-21 16:58:32.000,2023-12-21 16:58:31,293.0,24.0,155.0,51.0,175.0,3.0,2090.0,2023-12-21 16:58:37.000,2023.12.21,100.0,14.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2023-12-27 17:59:07.000,2023-12-21 18:41:23,242.0,33.0,35.0,12.0,160.0,13.0,609.0,2023-06-29 18:48:34.000,2023.06.29,68.0,22.0,0,True,mkdocs/catalog,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2023-12-26 10:57:50.000,2023-12-23 08:12:13,15474.0,126.0,2392.0,192.0,5400.0,4706.0,10943.0,2023-10-24 19:37:45.000,7.4.3,111.0,927.0,47,True,,814.0,pytest,conda-forge/pytest,['pytest'],1114907.0,1114907.0,https://pypi.org/project/pytest,84965661.0,85592800.0,https://anaconda.org/conda-forge/pytest,2023-10-25 11:38:48.696,23831282.0,1.0,,,,,,,,,,,,,,,,,,,
5,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2023-12-28 07:05:39.000,2023-12-28 06:59:30,1769.0,107.0,2357.0,227.0,1626.0,2111.0,35723.0,2023-12-22 23:06:14.000,23.12.1,55.0,429.0,46,True,,386.0,black,conda-forge/black,,463545.0,449711.0,https://pypi.org/project/black,28500560.0,28721649.0,https://anaconda.org/conda-forge/black,2023-12-23 07:58:09.823,9026698.0,1.0,52822.0,2023-12-22 23:06:14.000,13834.0,,,,,,,,,,,,,,,,
6,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2023-12-23 09:13:18.000,2023-12-23 09:13:18,6006.0,44.0,1408.0,235.0,664.0,1415.0,9703.0,2023-12-17 11:25:25.000,5.9.7,92.0,201.0,46,True,,291.0,psutil,conda-forge/psutil,,431919.0,414088.0,https://pypi.org/project/psutil,79066366.0,79742686.0,https://anaconda.org/conda-forge/psutil,2023-12-17 17:25:17.736,27729130.0,1.0,,2023-12-17 11:25:25.000,17831.0,,,,,,,,,,,,,,,,
7,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2023-12-23 11:20:19.000,2023-12-15 23:43:03,8699.0,114.0,1797.0,358.0,1846.0,3919.0,24341.0,2023-11-15 23:32:06.000,2023.11.15,97.0,494.0,45,True,,197.0,pipenv,conda-forge/pipenv,,126012.0,126012.0,https://pypi.org/project/pipenv,11071021.0,11074240.0,https://anaconda.org/conda-forge/pipenv,2023-11-16 13:48:37.531,138439.0,1.0,,,,,,,,,,,,,,,,,,,
8,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2023-12-23 21:07:51.000,2023-12-20 15:59:07,14226.0,89.0,2825.0,316.0,5350.0,6075.0,9073.0,,,68.0,758.0,45,True,,962.0,pip,conda-forge/pip,,165778.0,165778.0,https://pypi.org/project/pip,194112917.0,196406994.0,https://anaconda.org/conda-forge/pip,2023-12-17 14:07:53.848,98645324.0,1.0,,,,,,,,,,,,,,,,,,,
9,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2023-12-26 15:01:42.000,2023-12-26 15:01:38,14320.0,163.0,991.0,93.0,1478.0,1826.0,2208.0,2023-12-23 15:09:27.000,69.0.3,199.0,586.0,45,True,,571.0,setuptools,conda-forge/setuptools,,443195.0,443195.0,https://pypi.org/project/setuptools,326816109.0,329122822.0,https://anaconda.org/conda-forge/setuptools,2023-09-12 19:55:09.802,99188701.0,1.0,,,,,,,,,,,,,,,,,,,
10,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2023-12-28 07:34:56.000,2023-12-28 07:34:52,20471.0,47.0,1977.0,148.0,5085.0,5533.0,5837.0,2023-09-13 23:13:23.000,7.2.6,198.0,793.0,44,True,,1207.0,sphinx,conda-forge/sphinx,['sphinx'],413255.0,349524.0,https://pypi.org/project/sphinx,12884463.0,13084750.0,https://anaconda.org/conda-forge/sphinx,2023-09-13 23:26:46.261,8612342.0,1.0,,2023-09-13 23:13:23.000,63731.0,,,,,,,,,,,,,,,,
11,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2023-12-25 20:25:21.000,2023-11-15 16:31:56,3870.0,26.0,1675.0,543.0,1056.0,1058.0,45906.0,2023-11-15 16:33:44.000,13.7.0,190.0,235.0,43,True,,197.0,rich,conda-forge/rich,,158680.0,152954.0,https://pypi.org/project/rich,36730775.0,36874003.0,https://anaconda.org/conda-forge/rich,2023-11-16 18:47:06.251,5872386.0,1.0,,2023-11-15 16:32:11.000,5726.0,,,,,,,,,,,,,,,,
12,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2023-12-27 11:19:45.000,2023-12-27 11:19:38,5967.0,236.0,3223.0,122.0,2711.0,2128.0,16733.0,2023-12-23 20:33:57.000,9.5.3,363.0,245.0,43,True,,37.0,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],42233.0,41108.0,https://pypi.org/project/mkdocs-material,3324428.0,3332365.0,https://anaconda.org/conda-forge/mkdocs-material,2023-12-24 02:12:37.374,341299.0,1.0,,2023-12-23 20:33:57.000,1125.0,,,,,,,,,,,,,,,,
