,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
211,xar,facebookincubator/xar,packaging,executable archive format.,,https://github.com/facebookincubator/xar,https://github.com/facebookincubator/xar,BSD-3-Clause,2017-06-29 18:15:26.000,2022-07-26 22:32:51.000,2022-07-26 22:30:35,95.0,8.0,50.0,36.0,21.0,25.0,1500.0,2020-12-02 20:41:20.000,20.12.2,3.0,37.0,8.0,20,True,xar,,,21.0,21.0,https://pypi.org/project/xar,2020-12-02 20:41:20.000,,122.0,122.0,,,,3.0,,,,,,,-2.0,,,,,,,,,,,,,
212,Birdseye,alexmojaki/birdseye,debugging,Graphical Python debugger which lets you easily view the values of all evaluated expressions.,,https://github.com/alexmojaki/birdseye,https://github.com/alexmojaki/birdseye,MIT,2017-07-22 18:49:20.000,2022-05-18 12:08:29.000,2022-05-18 12:07:17,415.0,2.0,74.0,41.0,48.0,33.0,1487.0,2021-11-11 16:04:25.000,0.9.3,39.0,10.0,20.0,20,True,birdseye,,,4.0,,https://pypi.org/project/birdseye,2022-05-18 12:08:29.000,4.0,1188.0,1188.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
213,portray,timothycrosley/portray,documentation,Your Project with Great Documentation.,,https://github.com/timothycrosley/portray,https://github.com/timothycrosley/portray,MIT,2019-08-21 05:14:04.000,2022-07-26 15:35:02.000,2021-06-13 07:59:39,244.0,,67.0,15.0,40.0,31.0,790.0,2021-06-13 08:00:00.000,1.7.0,28.0,16.0,27.0,20,False,portray,,,17.0,,https://pypi.org/project/portray,2021-06-13 08:00:00.000,17.0,5483.0,5483.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
214,Fixit,Instagram/Fixit,linters,"Fixit is a Python Lint Framework based on LibCST. It comes with useful default lint rules for coding convention,..",,https://github.com/Instagram/Fixit,https://github.com/Instagram/Fixit,MIT,2020-02-20 19:09:01.000,2022-07-28 15:13:48.000,2022-06-20 20:24:03,167.0,1.0,44.0,15.0,168.0,25.0,315.0,2021-07-31 16:17:24.000,0.1.4,6.0,30.0,32.0,20,True,fixit,,,24.0,22.0,https://pypi.org/project/fixit,2021-07-30 20:35:02.000,2.0,7878.0,7878.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
215,nitpick,andreoliwa/nitpick,linters,Enforce the same settings on multiple projects.,,https://github.com/andreoliwa/nitpick,https://github.com/andreoliwa/nitpick,MIT,2018-03-23 14:25:24.000,2022-07-25 20:42:17.000,2022-07-14 00:14:46,693.0,3.0,16.0,3.0,380.0,74.0,268.0,2022-03-27 17:47:46.000,0.32.0,48.0,15.0,41.0,20,True,nitpick,,['flake8'],4.0,,https://pypi.org/project/nitpick,2022-03-27 17:47:42.000,4.0,10849.0,10849.0,,,,3.0,4.0,,,,,,,,,,,,,,,,,,,
216,pytest-lazy-fixture,tvorog/pytest-lazy-fixture,testing,It helps to use fixtures in pytest.mark.parametrize.,,https://github.com/TvoroG/pytest-lazy-fixture,https://github.com/TvoroG/pytest-lazy-fixture,MIT,2016-09-29 23:52:48.000,2022-01-27 10:32:34.000,2022-01-27 10:32:34,98.0,,18.0,9.0,21.0,20.0,266.0,2020-02-01 18:04:00.000,0.6.3,12.0,9.0,15.0,20,True,pytest-lazy-fixture,conda-forge/pytest-lazy-fixture,['pytest'],847.0,793.0,https://pypi.org/project/pytest-lazy-fixture,2020-02-01 18:04:00.000,54.0,359837.0,365495.0,https://anaconda.org/conda-forge/pytest-lazy-fixture,2020-02-01 18:49:47.818,356462.0,3.0,,,,,,,,,,,,,,,,,,,,
217,pytest-datadir,gabrielcnr/pytest-datadir,testing,pytest plugin for manipulating test data directories and files.,,https://github.com/gabrielcnr/pytest-datadir,https://github.com/gabrielcnr/pytest-datadir,MIT,2015-07-02 21:41:44.000,2022-07-27 14:08:09.000,2022-07-27 14:08:09,80.0,1.0,17.0,4.0,24.0,11.0,168.0,2019-10-22 13:04:22.000,1.3.1,9.0,7.0,5.0,20,True,pytest-datadir,conda-forge/pytest-datadir,['pytest'],718.0,647.0,https://pypi.org/project/pytest-datadir,2019-10-22 13:04:22.000,71.0,131124.0,132934.0,https://anaconda.org/conda-forge/pytest-datadir,2019-10-23 16:32:51.374,124898.0,3.0,,,,,,,,,,,,,,,,,,,,
218,dodgy,landscapeio/dodgy,security,Looks at Python code to search for things which look dodgy such as passwords or diffs.,,https://github.com/landscapeio/dodgy,https://github.com/landscapeio/dodgy,MIT,2013-12-25 12:22:20.000,2021-08-29 14:44:21.000,2021-03-21 11:36:52,70.0,,19.0,4.0,14.0,3.0,106.0,2019-12-31 16:44:58.000,0.2.1,10.0,14.0,9.0,20,False,dodgy,conda-forge/dodgy,,2123.0,1840.0,https://pypi.org/project/dodgy,2019-12-31 16:44:58.000,283.0,206350.0,206760.0,https://anaconda.org/conda-forge/dodgy,2020-06-10 17:10:06.579,29117.0,3.0,,,,,,,,,,,,,,,,,,,,
219,unify,myint/unify,refactoring,Modifies strings to all use the same quote where possible.,,https://github.com/myint/unify,https://github.com/myint/unify,MIT,2013-03-24 18:02:19.000,2022-07-04 21:06:04.000,2019-08-07 13:44:00,69.0,,14.0,7.0,10.0,3.0,71.0,2013-06-22 15:34:37.000,0.1.5,10.0,5.0,10.0,20,False,unify,conda-forge/unify,,579.0,543.0,https://pypi.org/project/unify,2019-08-07 13:46:09.000,36.0,92275.0,92318.0,https://anaconda.org/conda-forge/unify,2021-06-29 19:32:02.475,568.0,3.0,,,,,,,,,,,,,,,,,,,,
220,pytkdocs,mkdocstrings/pytkdocs,documentation,Load Python objects documentation.,,https://github.com/mkdocstrings/pytkdocs,https://github.com/mkdocstrings/pytkdocs,ISC,2020-02-04 21:18:34.000,2022-03-30 17:22:48.000,2022-03-07 18:48:36,240.0,,34.0,2.0,45.0,80.0,48.0,2022-03-07 18:48:43.000,0.16.1,26.0,23.0,16.0,20,False,pytkdocs,conda-forge/pytkdocs,,8.0,,https://pypi.org/project/pytkdocs,2022-03-07 18:48:43.000,8.0,122931.0,125211.0,https://anaconda.org/conda-forge/pytkdocs,2022-03-08 15:08:30.099,47895.0,3.0,,,,,,,,,,,,,,,,,,,,
