,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,conda_id,labels,pypi_id,fork_count,open_issue_count,closed_issue_count,commit_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,licnese
90,green,https://github.com/CleanCut/green,,"Green is a clean, colorful, fast python test runner.",testing,26,True,CleanCut/green,https://github.com/CleanCut/green,MIT,2014-04-01 20:08:18.000,2020-12-14 17:20:18.000,2020-12-14 17:20:18.000,680.0,2020-11-23 18:43:18.000,3.2.5,139.0,conda-forge/green,,green,73.0,12.0,158.0,1036.0,903.0,545.0,37.0,https://pypi.org/project/green,2020-11-23 18:43:18.000,358.0,9739.0,11316.0,https://anaconda.org/conda-forge/green,2020-11-12 18:09:27.157,63104.0,3.0,,,,,,,,
91,pytest-sugar,https://github.com/Teemu/pytest-sugar,,"a plugin for py.test that changes the default look and feel of py.test (e.g. progressbar, show tests that fail..",testing,26,True,Teemu/pytest-sugar,https://github.com/Teemu/pytest-sugar,BSD-3-Clause,2013-06-25 21:09:27.000,2020-10-24 19:01:48.000,2020-10-24 18:04:51.000,658.0,2020-04-26 13:34:09.000,0.9.3,24.0,conda-forge/pytest-sugar,['pytest'],pytest-sugar,48.0,35.0,68.0,344.0,11129.0,6549.0,38.0,https://pypi.org/project/pytest-sugar,2020-04-26 13:34:09.000,4580.0,225159.0,227256.0,https://anaconda.org/conda-forge/pytest-sugar,2020-09-18 13:41:24.029,86012.0,3.0,,,,,,,,
92,pdbpp,https://github.com/pdbpp/pdbpp,,"pdb++, a drop-in replacement for pdb (the Python debugger).",debugging,26,True,pdbpp/pdbpp,https://github.com/pdbpp/pdbpp,BSD-3-Clause,2017-06-11 13:42:16.000,2020-12-30 21:40:44.000,2020-11-22 13:22:19.000,648.0,2019-04-18 20:10:18.000,0.10.2,25.0,conda-forge/pdbpp,,pdbpp,35.0,50.0,105.0,682.0,2787.0,1831.0,39.0,https://pypi.org/project/pdbpp,2019-10-04 12:04:09.000,956.0,71746.0,72937.0,https://anaconda.org/conda-forge/pdbpp,2019-05-07 20:32:36.208,48846.0,2.0,,,,,,,,
93,PyHamcrest,https://github.com/hamcrest/PyHamcrest,,Hamcrest matchers for Python.,testing,26,True,hamcrest/PyHamcrest,https://github.com/hamcrest/PyHamcrest,BSD-3-Clause,2010-12-24 02:55:56.000,2020-10-30 10:46:27.000,2020-10-23 23:38:43.000,515.0,2020-03-02 14:42:32.000,2.0.2,22.0,conda-forge/pyhamcrest,,pyhamcrest,79.0,10.0,40.0,531.0,3392.0,,34.0,https://pypi.org/project/pyhamcrest,2020-03-02 14:42:32.000,3392.0,1503588.0,1509137.0,https://anaconda.org/conda-forge/pyhamcrest,2020-03-02 15:36:14.195,310794.0,3.0,,,,,,,,
94,buildout,https://github.com/buildout/buildout,,Buildout is a deployment automation tool written in and extended with Python.,build-tools,26,False,buildout/buildout,https://github.com/buildout/buildout,ZPL-2.1,2012-03-25 21:47:18.000,2020-10-13 15:54:16.000,2020-10-13 15:54:13.000,500.0,2020-02-11 15:14:12.000,2.13.3,100.0,,,zc.buildout,170.0,138.0,184.0,1574.0,1974.0,,87.0,https://pypi.org/project/zc.buildout,2020-05-25 08:46:02.000,1974.0,93384.0,93384.0,,,,3.0,,,,,,,,
95,nox,https://github.com/theacodes/nox,,Flexible test automation for Python.,testing,26,True,theacodes/nox,https://github.com/theacodes/nox,Apache-2.0,2016-02-24 04:02:58.000,2021-01-06 20:13:32.270,2021-01-01 01:11:36.000,469.0,2021-01-01 01:16:23.000,2020.12.31,18.0,conda-forge/nox,['pytest'],nox,80.0,50.0,139.0,340.0,467.0,411.0,47.0,https://pypi.org/project/nox,2021-01-01 01:16:23.000,56.0,261928.0,262499.0,https://anaconda.org/conda-forge/nox,2021-01-06 20:13:32.270,15434.0,3.0,,,,,,,,
96,sphinx-autodoc-typehints,https://github.com/agronholm/sphinx-autodoc-typehints,,Type hints support for the Sphinx autodoc extension.,documentation,26,True,agronholm/sphinx-autodoc-typehints,https://github.com/agronholm/sphinx-autodoc-typehints,MIT,2015-09-21 20:41:41.000,2020-12-21 10:53:12.000,2020-10-12 20:32:13.000,298.0,2020-06-21 06:33:28.000,1.11.1,28.0,conda-forge/sphinx-autodoc-typehints,['sphinx'],sphinx-autodoc-typehints,60.0,39.0,66.0,157.0,1380.0,,27.0,https://pypi.org/project/sphinx-autodoc-typehints,2020-10-12 20:37:53.000,1380.0,87235.0,90289.0,https://anaconda.org/conda-forge/sphinx-autodoc-typehints,2020-10-12 21:34:27.077,116072.0,2.0,,,,,,,,
97,sphinx-autobuild,https://github.com/executablebooks/sphinx-autobuild,,Watch a Sphinx directory and rebuild the documentation when a change is detected. Also includes a livereload enabled..,documentation,26,True,executablebooks/sphinx-autobuild,https://github.com/executablebooks/sphinx-autobuild,MIT,2013-12-25 17:09:56.000,2020-12-18 12:21:01.000,2020-11-05 11:21:34.000,297.0,2017-07-05 10:52:34.000,0.7.1,13.0,conda-forge/sphinx-autobuild,['sphinx'],sphinx-autobuild,49.0,10.0,44.0,276.0,4682.0,,17.0,https://pypi.org/project/sphinx-autobuild,2017-07-05 10:52:34.000,4682.0,125916.0,126711.0,https://anaconda.org/conda-forge/sphinx-autobuild,2020-12-16 17:57:16.464,35799.0,2.0,,,,,,,,
98,pep8-naming,https://github.com/PyCQA/pep8-naming,,Naming Convention checker for Python.,linters,26,False,PyCQA/pep8-naming,https://github.com/PyCQA/pep8-naming,Saxpath,2013-02-09 18:32:52.000,2021-01-05 20:59:00.000,2021-01-05 19:26:21.000,267.0,2020-06-16 23:48:52.000,0.11.1,21.0,conda-forge/pep8-naming,,pep8-naming,44.0,9.0,61.0,210.0,8505.0,5477.0,26.0,https://pypi.org/project/pep8-naming,2020-06-16 23:48:52.000,3028.0,269426.0,272374.0,https://anaconda.org/conda-forge/pep8-naming,2020-07-01 03:49:33.929,173952.0,2.0,,,,,,,,
99,pytest-mypy,https://github.com/dbader/pytest-mypy,,Mypy static type checker plugin for Pytest.,testing,26,True,dbader/pytest-mypy,https://github.com/dbader/pytest-mypy,MIT,2016-09-29 14:39:23.000,2020-11-24 14:50:18.057,2020-11-13 23:44:03.000,185.0,2020-11-14 01:36:41.000,0.8.0,16.0,conda-forge/pytest-mypy,['pytest'],pytest-mypy,30.0,8.0,32.0,202.0,1110.0,844.0,15.0,https://pypi.org/project/pytest-mypy,2020-11-14 01:36:41.000,266.0,100298.0,100875.0,https://anaconda.org/conda-forge/pytest-mypy,2020-11-24 14:50:18.057,6349.0,3.0,,,,,,,,
100,sqlmap,https://github.com/sqlmapproject/sqlmap,,Automatic SQL injection and database takeover tool.,security,25,True,sqlmapproject/sqlmap,https://github.com/sqlmapproject/sqlmap,GPL-3.0,2012-06-26 09:52:15.000,2021-01-07 13:20:11.000,2021-01-07 13:20:03.000,19093.0,2021-01-03 14:27:24.000,1.5,63.0,,,sqlmap,4096.0,44.0,4134.0,9661.0,8.0,,102.0,https://pypi.org/project/sqlmap,2021-01-03 14:25:31.000,8.0,5752.0,5752.0,,,,2.0,,,,,,,,
101,line_profiler,https://github.com/pyutils/line_profiler,,Line-by-line profiling for Python.,profiling,25,True,pyutils/line_profiler,https://github.com/pyutils/line_profiler,BSD-3-Clause,2016-05-26 17:37:38.151,2020-11-25 23:27:25.000,2020-11-19 15:52:01.000,3490.0,2020-01-12 22:11:51.000,3.0.2,8.0,conda-forge/line_profiler,,line_profiler,245.0,21.0,7.0,139.0,692.0,,20.0,https://pypi.org/project/line_profiler,2017-12-20 02:30:37.000,692.0,202141.0,204744.0,https://anaconda.org/conda-forge/line_profiler,2020-11-21 01:07:52.592,145810.0,3.0,,,,,,,,
