,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,conda_id,labels,pypi_id,fork_count,open_issue_count,closed_issue_count,commit_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,licnese
123,flake8-comprehensions,https://github.com/adamchainz/flake8-comprehensions,,A flake8 plugin to help you write better list/set/dict comprehensions.,linters,24,True,adamchainz/flake8-comprehensions,https://github.com/adamchainz/flake8-comprehensions,MIT,2016-04-05 12:15:56.000,2021-01-04 16:44:40.000,2021-01-04 16:44:38.000,245.0,2020-12-19 10:49:01.000,3.3.1,25.0,conda-forge/flake8-comprehensions,['flake8'],flake8-comprehensions,12.0,10.0,28.0,306.0,714.0,,9.0,https://pypi.org/project/flake8-comprehensions,2020-12-19 10:49:01.000,714.0,188933.0,193716.0,https://anaconda.org/conda-forge/flake8-comprehensions,2020-12-20 00:33:24.687,239181.0,3.0,,,,,,,,
124,flake8-import-order,https://github.com/PyCQA/flake8-import-order,,Flake8 plugin that checks import order against various Python Style Guides.,linters,24,True,PyCQA/flake8-import-order,https://github.com/PyCQA/flake8-import-order,LGPL-3.0,2014-03-16 12:46:09.000,2020-10-20 13:40:35.000,2020-08-04 12:21:12.000,230.0,2019-03-04 08:39:11.000,0.18.1,34.0,conda-forge/flake8-import-order,['flake8'],flake8-import-order,58.0,8.0,83.0,274.0,1892.0,,40.0,https://pypi.org/project/flake8-import-order,2019-03-04 08:39:11.000,1892.0,174256.0,177840.0,https://anaconda.org/conda-forge/flake8-import-order,2019-03-06 03:48:48.199,179242.0,3.0,,,,,,,,
125,flake8-quotes,https://github.com/zheller/flake8-quotes,,Flake8 extension for checking quotes in python.,linters,24,True,zheller/flake8-quotes,https://github.com/zheller/flake8-quotes,MIT,2014-03-10 00:05:08.000,2020-06-06 07:55:44.000,2020-05-12 23:46:18.000,120.0,2020-05-12 23:12:42.000,3.2.0,37.0,conda-forge/flake8-quotes,['flake8'],flake8-quotes,32.0,3.0,39.0,99.0,4079.0,2675.0,28.0,https://pypi.org/project/flake8-quotes,2020-05-12 23:46:28.000,1404.0,193916.0,196557.0,https://anaconda.org/conda-forge/flake8-quotes,2020-05-13 00:39:59.431,137365.0,3.0,,,,,,,,
126,py2app,https://github.com/ronaldoussoren/py2app,,py2app is a Python setuptools command which will allow you to make standalone Mac OS X application bundles and plugins..,packaging,24,True,ronaldoussoren/py2app,https://github.com/ronaldoussoren/py2app,MIT,2020-01-14 11:27:41.000,2021-01-02 09:31:59.000,2020-12-26 12:32:49.000,96.0,2020-09-16 09:18:09.000,0.22,38.0,,,py2app,6.0,131.0,192.0,594.0,5100.0,3458.0,24.0,https://pypi.org/project/py2app,2021-01-02 09:31:59.000,1642.0,8793.0,8793.0,,,,2.0,,,,,,,,
127,vprof,https://github.com/nvdv/vprof,,Visual profiler for Python.,profiling,23,True,nvdv/vprof,https://github.com/nvdv/vprof,BSD-2-Clause,2015-06-29 03:59:39.000,2020-11-08 14:27:24.000,2020-11-08 14:27:12.000,3706.0,2018-06-24 14:16:36.000,0.37.6,24.0,,,vprof,165.0,22.0,56.0,618.0,78.0,69.0,17.0,https://pypi.org/project/vprof,2020-02-29 13:31:59.000,9.0,1738.0,1738.0,,,,3.0,,,,,,,,
128,MonkeyType,https://github.com/Instagram/MonkeyType,,A system for Python that generates static type annotations by collecting runtime types.,refactoring,23,True,Instagram/MonkeyType,https://github.com/Instagram/MonkeyType,BSD-3-Clause,2017-07-11 00:19:00.000,2021-01-04 20:33:05.000,2021-01-04 20:33:03.000,3215.0,2020-04-04 04:48:23.000,20.5.0,20.0,conda-forge/monkeytype,,monkeytype,118.0,29.0,100.0,261.0,147.0,113.0,35.0,https://pypi.org/project/monkeytype,2020-05-18 19:40:30.000,34.0,6434.0,7193.0,https://anaconda.org/conda-forge/monkeytype,2020-05-19 00:57:07.937,27346.0,2.0,,,,,,,,
129,pyt,https://github.com/python-security/pyt,,A Static Analysis Tool for Detecting Security Vulnerabilities in Python Web Applications.,security,23,True,python-security/pyt,https://github.com/python-security/pyt,GPL-2.0,2016-10-26 15:34:48.000,2020-12-25 03:47:37.000,2020-03-08 21:43:06.000,2005.0,2018-11-01 16:02:57.000,0.42,15.0,,,python-taint,224.0,18.0,75.0,1576.0,46.0,35.0,22.0,https://pypi.org/project/python-taint,2018-11-01 16:02:04.000,11.0,1097.0,1099.0,,,,3.0,52.0,,,,,,,
130,pytest-testinfra,https://github.com/pytest-dev/pytest-testinfra,,Testinfra test your infrastructures.,testing,23,True,pytest-dev/pytest-testinfra,https://github.com/pytest-dev/pytest-testinfra,Apache-2.0,2015-03-15 20:49:52.000,2021-01-03 00:53:53.000,2021-01-03 00:53:52.000,1820.0,2020-11-12 20:35:38.000,6.1.0,3.0,,['pytest'],pytest-testinfra,263.0,107.0,192.0,631.0,,,101.0,https://pypi.org/project/pytest-testinfra,2020-11-12 20:35:38.000,,42073.0,42073.0,,,,3.0,,,,,,,,
131,shiv,https://github.com/linkedin/shiv,,"shiv is a command line utility for building fully self contained Python zipapps as outlined in PEP 441, but with all..",packaging,23,True,linkedin/shiv,https://github.com/linkedin/shiv,BSD-2-Clause,2018-03-13 18:46:23.000,2020-12-14 23:37:39.000,2020-12-14 23:37:34.000,1105.0,2020-10-19 03:49:16.000,0.4.0,53.0,,,shiv,62.0,26.0,54.0,177.0,10.0,,29.0,https://pypi.org/project/shiv,2020-10-19 03:49:16.000,10.0,3780.0,3786.0,,,,2.0,112.0,,,,,,,
132,pyarmor,https://github.com/dashingsoft/pyarmor,,"A tool used to obfuscate python scripts, bind obfuscated scripts to fixed machine or expire obfuscated scripts.",security,23,False,dashingsoft/pyarmor,https://github.com/dashingsoft/pyarmor,SGI-B-2.0,2017-08-26 04:11:53.000,2021-01-09 00:57:50.000,2021-01-09 00:57:42.000,808.0,2021-01-04 01:02:33.000,6.6.0,217.0,,,pyarmor,110.0,11.0,402.0,2948.0,149.0,139.0,13.0,https://pypi.org/project/pyarmor,2021-01-04 01:02:33.000,10.0,19151.0,19151.0,,,,3.0,18.0,,,,,,,
133,pylama,https://github.com/klen/pylama,,Code audit tool for python.,linters,23,False,klen/pylama,https://github.com/klen/pylama,LGPL-3.0,2012-08-17 10:10:10.000,2020-08-02 16:32:20.000,2019-04-10 18:20:19.000,751.0,2018-11-02 11:01:56.000,7.6.6,97.0,,,pylama,70.0,60.0,53.0,689.0,2555.0,2152.0,38.0,https://pypi.org/project/pylama,2018-11-02 11:01:56.000,403.0,49646.0,49646.0,,,,3.0,,,,,,,,
134,redbaron,https://github.com/PyCQA/redbaron,,Bottom-up approach to refactoring in python.,refactoring,23,False,pycqa/redbaron,https://github.com/PyCQA/redbaron,LGPL-3.0+,2014-03-23 05:34:39.000,2020-12-13 18:51:56.000,2019-08-11 17:42:44.000,506.0,2019-03-17 19:03:54.000,0.9.2,15.0,,,redbaron,64.0,59.0,46.0,1669.0,361.0,233.0,34.0,https://pypi.org/project/redbaron,2019-03-17 18:59:01.000,128.0,6419.0,6419.0,,,,2.0,,,,,,,,
135,docformatter,https://github.com/myint/docformatter,,Formats docstrings to follow PEP 257.,formatters,23,True,myint/docformatter,https://github.com/myint/docformatter,MIT,2012-05-26 21:40:48.000,2020-12-28 10:17:29.000,2020-12-27 18:10:35.000,192.0,2019-11-10 16:23:03.000,1.3.1,48.0,,,docformatter,26.0,18.0,22.0,441.0,579.0,469.0,15.0,https://pypi.org/project/docformatter,2020-12-27 18:11:12.000,110.0,24070.0,24070.0,,,,3.0,,,,,,,,
136,flake8-eradicate,https://github.com/wemake-services/flake8-eradicate,,Flake8 plugin to find commented out or dead code.,linters,23,True,wemake-services/flake8-eradicate,https://github.com/wemake-services/flake8-eradicate,MIT,2018-09-21 06:58:51.000,2021-01-05 10:10:49.000,2021-01-05 10:10:43.000,175.0,2020-10-12 08:27:22.000,1.0.0,10.0,,['flake8'],flake8-eradicate,6.0,2.0,23.0,265.0,72.0,,9.0,https://pypi.org/project/flake8-eradicate,2020-10-12 08:26:40.000,72.0,63321.0,63321.0,,,,3.0,,,,,,,,
137,data-science-types,https://github.com/predictive-analytics-lab/data-science-types,,"Mypy stubs, i.e., type information, for numpy, pandas and matplotlib.",linters,23,True,predictive-analytics-lab/data-science-types,https://github.com/predictive-analytics-lab/data-science-types,Apache-2.0,2019-09-20 11:45:49.000,2021-01-08 16:52:52.000,2021-01-08 12:12:59.000,156.0,2020-12-15 14:14:56.000,0.2.22,25.0,,,data-science-types,50.0,29.0,21.0,435.0,44.0,44.0,41.0,https://pypi.org/project/data-science-types,2020-12-15 12:21:44.000,0.0,5350.0,5350.0,,,,3.0,,,,,,,,
138,py2exe,https://github.com/py2exe/py2exe,,A distutils extension to create standalone windows programs from python scripts.,packaging,23,True,py2exe/py2exe,https://github.com/py2exe/py2exe,MIT,2019-03-11 13:16:35.000,2021-01-06 18:26:43.000,2020-11-07 23:23:29.000,140.0,2020-11-08 11:19:26.000,0.10.1.0,5.0,,,py2exe,22.0,6.0,45.0,885.0,1147.0,974.0,12.0,https://pypi.org/project/py2exe,2020-11-08 11:19:44.000,173.0,17311.0,17624.0,,,,2.0,6892.0,,,,,,,
139,flake8-commas,https://github.com/PyCQA/flake8-commas,,Flake8 extension for enforcing trailing commas in python.,linters,23,False,PyCQA/flake8-commas,https://github.com/PyCQA/flake8-commas,MIT,2015-12-16 09:25:13.000,2020-12-09 08:41:47.000,2019-06-17 12:14:38.000,120.0,2018-03-19 16:49:31.000,2.0.0,19.0,,['flake8'],flake8-commas,18.0,4.0,25.0,165.0,1338.0,1191.0,9.0,https://pypi.org/project/flake8-commas,2018-03-19 16:49:31.000,147.0,157387.0,157387.0,,,,3.0,,,,,,,,
140,asteval,https://github.com/newville/asteval,,minimalistic evaluator of python expression using ast module.,ast,23,True,newville/asteval,https://github.com/newville/asteval,MIT,2012-03-31 22:10:33.000,2020-12-10 03:10:39.000,2020-11-21 19:17:17.000,112.0,2020-11-15 20:07:00.000,0.9.21,21.0,conda-forge/asteval,,asteval,26.0,3.0,39.0,359.0,701.0,463.0,15.0,https://pypi.org/project/asteval,2020-11-15 20:07:00.000,238.0,42427.0,44493.0,https://anaconda.org/conda-forge/asteval,2019-10-23 14:59:12.733,105385.0,3.0,,,,,,,,
141,flake8-isort,https://github.com/gforcada/flake8-isort,,flake8 plugin that integrates isort.,linters,23,True,gforcada/flake8-isort,https://github.com/gforcada/flake8-isort,GPL-2.0,2015-09-12 19:25:34.000,2020-08-11 09:43:27.627,2020-08-11 08:04:26.000,97.0,2020-07-08 08:06:12.000,4.0.0,31.0,conda-forge/flake8-isort,['flake8'],flake8-isort,33.0,7.0,37.0,257.0,3292.0,2364.0,28.0,https://pypi.org/project/flake8-isort,2020-08-11 08:04:21.000,928.0,140388.0,141027.0,https://anaconda.org/conda-forge/flake8-isort,2020-08-11 09:43:27.627,9589.0,3.0,,,,,,,,
142,Scalene,https://github.com/emeryberger/scalene,,"Scalene: a high-performance, high-precision CPU and memory profiler for Python.",profiling,22,True,emeryberger/scalene,https://github.com/emeryberger/scalene,Apache-2.0,2019-12-17 20:56:28.000,2021-01-02 20:20:05.000,2021-01-02 20:20:04.000,3378.0,2020-12-09 19:58:56.000,1.1.12,85.0,,,scalene,120.0,20.0,53.0,803.0,19.0,19.0,16.0,https://pypi.org/project/scalene,2020-12-09 23:42:11.000,0.0,1692.0,1692.0,,,,3.0,,,,,,,,
143,dephell,https://github.com/dephell/dephell,,"Python project management. Manage packages: convert between formats, lock, install, resolve, isolate, test, build..",dependency-managers,22,True,dephell/dephell,https://github.com/dephell/dephell,MIT,2018-08-31 17:39:18.000,2020-10-27 21:26:16.000,2020-08-24 15:36:25.000,1667.0,2020-04-28 06:31:17.000,.0.8.3,30.0,,,dephell,92.0,100.0,161.0,2144.0,93.0,85.0,37.0,https://pypi.org/project/dephell,2020-04-28 06:29:24.000,8.0,2758.0,2763.0,,,,3.0,108.0,,,,,,,
144,sixpack,https://github.com/sixpack/sixpack,,Sixpack is a language-agnostic a/b-testing framework.,testing,22,True,sixpack/sixpack,https://github.com/sixpack/sixpack,BSD-2-Clause,2012-11-15 00:01:06.000,2021-01-06 06:35:15.000,2020-08-26 00:32:16.000,1664.0,2017-11-22 14:27:35.000,2.7.0,37.0,,,sixpack,181.0,73.0,125.0,828.0,11.0,8.0,55.0,https://pypi.org/project/sixpack,2017-11-22 14:27:35.000,3.0,156.0,156.0,,,,3.0,,,,,,,,
145,pyupgrade,https://github.com/asottile/pyupgrade,,A tool (and pre-commit hook) to automatically upgrade syntax for newer versions of the language.,refactoring,22,True,asottile/pyupgrade,https://github.com/asottile/pyupgrade,MIT,2017-02-28 17:50:31.000,2021-01-06 18:11:49.000,2021-01-04 17:13:58.000,736.0,2020-11-11 00:07:02.000,2.7.4,82.0,conda-forge/pyupgrade,,pyupgrade,48.0,22.0,129.0,541.0,10.0,,11.0,https://pypi.org/project/pyupgrade,2020-11-11 00:07:02.000,10.0,35093.0,40975.0,https://anaconda.org/conda-forge/pyupgrade,2020-11-11 12:49:43.382,141181.0,3.0,,,,,,,,
146,pdoc,https://github.com/mitmproxy/pdoc,,A simple command line tool and library to auto generate API documentation for Python libraries.,documentation,22,True,mitmproxy/pdoc,https://github.com/mitmproxy/pdoc,Unlicense,2013-08-04 21:12:50.000,2020-05-05 22:00:00.000,2020-04-12 21:22:02.000,695.0,2016-03-23 17:58:45.000,0.3.2,36.0,,,pdoc,97.0,60.0,73.0,287.0,565.0,277.0,23.0,https://pypi.org/project/pdoc,2016-03-23 17:58:45.000,288.0,3439.0,3439.0,,,,3.0,,,,,,,,
147,pynsist,https://github.com/takluyver/pynsist,,Build Windows installers for Python applications.,packaging,22,True,takluyver/pynsist,https://github.com/takluyver/pynsist,MIT,2014-03-30 19:11:21.000,2020-12-11 22:56:39.000,2020-12-11 22:53:20.000,663.0,2020-07-03 08:11:24.000,2.5.1,20.0,,,pynsist,95.0,23.0,123.0,532.0,88.0,,26.0,https://pypi.org/project/pynsist,2020-11-05 21:10:48.000,88.0,1217.0,1217.0,,,,3.0,,,,,,,,
148,cx_Freeze,https://github.com/marcelotduarte/cx_Freeze,,"Create standalone executables from Python scripts, with the same performance and is cross-platform.",packaging,22,False,marcelotduarte/cx_Freeze,https://github.com/marcelotduarte/cx_Freeze,PSF-2.0,2017-01-22 04:25:52.000,2021-01-07 04:56:24.000,2021-01-03 20:23:17.000,628.0,2021-01-03 20:04:09.000,6.5,12.0,conda-forge/cx_freeze,,cx_freeze,141.0,71.0,522.0,925.0,153.0,,86.0,https://pypi.org/project/cx_freeze,2017-12-16 18:09:35.000,153.0,18319.0,20086.0,https://anaconda.org/conda-forge/cx_freeze,2021-01-05 08:47:35.640,42412.0,3.0,,,,,,,,
149,python-hunter,https://github.com/ionelmc/python-hunter,,Hunter is a flexible code tracing toolkit.,debugging,22,True,ionelmc/python-hunter,https://github.com/ionelmc/python-hunter,BSD-2-Clause,2015-03-16 18:03:16.000,2020-11-01 12:46:34.000,2020-10-24 10:26:58.000,578.0,2020-10-24 15:25:27.000,3.3.1,41.0,,,hunter,25.0,33.0,44.0,900.0,87.0,53.0,6.0,https://pypi.org/project/hunter,2020-10-24 15:25:27.000,34.0,5861.0,5861.0,,,,3.0,,,,,,,,
150,pytest-testmon,https://github.com/tarpas/pytest-testmon,,Selects tests affected by changed files. Continous test runner when used with pytest-watch.,testing,22,True,tarpas/pytest-testmon,https://github.com/tarpas/pytest-testmon,AGPL-3.0,2015-02-02 14:21:10.000,2020-08-05 15:07:23.000,2020-08-05 15:07:10.000,460.0,2020-08-05 15:08:20.000,1.0.3,31.0,conda-forge/pytest-testmon,['pytest'],pytest-testmon,25.0,36.0,71.0,271.0,296.0,247.0,16.0,https://pypi.org/project/pytest-testmon,2019-11-27 13:50:53.000,49.0,26656.0,27410.0,https://anaconda.org/conda-forge/pytest-testmon,2019-08-03 00:17:17.063,26394.0,3.0,,,,,,,,
151,interrogate,https://github.com/econchick/interrogate,,Explain yourself! Interrogate a codebase for docstring coverage.,documentation,22,True,econchick/interrogate,https://github.com/econchick/interrogate,MIT,2020-04-24 02:33:25.000,2021-01-04 07:20:57.000,2020-11-03 22:08:37.000,233.0,2020-11-03 22:11:18.000,1.3.2,12.0,,,interrogate,17.0,11.0,16.0,122.0,307.0,307.0,8.0,https://pypi.org/project/interrogate,2020-11-03 22:11:18.000,,18668.0,18668.0,,,,3.0,,,,,,,,
152,memory_profiler,https://github.com/fabianp/memory_profiler,,Monitor Memory usage of Python code.,profiling,22,False,fabianp/memory_profiler,https://github.com/fabianp/memory_profiler,BSD-3-Clause,2016-05-26 17:45:08.632,2020-10-20 18:00:58.207,2018-06-28 13:35:12.000,59.0,2018-08-16 03:16:49.000,0.54.0,52.0,conda-forge/memory_profiler,,memory_profiler,11.0,,,500.0,534.0,,61.0,https://pypi.org/project/memory_profiler,2018-08-16 03:16:49.000,534.0,116227.0,118024.0,https://anaconda.org/conda-forge/memory_profiler,2020-10-20 18:00:58.207,100637.0,3.0,,,,,,,,
153,pipx,https://github.com/pipxproject/pipx,,Install and Run Python Applications in Isolated Environments.,dependency-managers,21,True,pipxproject/pipx,https://github.com/pipxproject/pipx,MIT,2018-10-06 18:47:46.000,2021-01-05 04:42:04.000,2020-12-15 08:18:04.000,3053.0,2020-10-17 22:50:20.000,0.15.6.0,40.0,,,pipx,140.0,75.0,274.0,397.0,2.0,,53.0,https://pypi.org/project/pipx,2020-10-17 22:48:10.000,2.0,21655.0,21655.0,,,,3.0,,,,,,,,
154,pyrasite,https://github.com/lmacken/pyrasite,,Inject code into running Python processes.,debugging,21,False,lmacken/pyrasite,https://github.com/lmacken/pyrasite,GPL-3.0,2011-09-10 06:01:20.000,2020-12-24 21:02:34.000,2017-03-13 17:42:17.000,2508.0,,,13.0,,,pyrasite,185.0,36.0,14.0,274.0,31.0,26.0,20.0,https://pypi.org/project/pyrasite,2012-05-09 19:11:33.000,5.0,8156.0,8156.0,,,,3.0,,,,,,,,
155,xar,https://github.com/facebookincubator/xar,,executable archive format.,packaging,21,True,facebookincubator/xar,https://github.com/facebookincubator/xar,BSD-3-Clause,2017-06-29 18:15:26.000,2020-12-04 19:43:52.000,2020-12-04 19:43:26.000,1420.0,2020-12-02 20:41:20.000,20.12.2,3.0,,,xar,45.0,8.0,21.0,53.0,12.0,12.0,21.0,https://pypi.org/project/xar,2020-12-02 20:41:20.000,,170.0,170.0,,,,3.0,,,,,,,,
156,pycco,https://github.com/pycco-docs/pycco,,Literate-style documentation generator.,documentation,21,False,pycco-docs/pycco,https://github.com/pycco-docs/pycco,MIT,2010-06-29 07:02:31.000,2019-12-20 19:59:53.000,2019-12-20 19:59:49.000,733.0,2018-07-25 01:42:48.000,0.6.0,11.0,,,pycco,126.0,26.0,28.0,222.0,305.0,199.0,36.0,https://pypi.org/project/pycco,2018-07-25 01:42:48.000,106.0,1019.0,1019.0,,,,3.0,,,,,,,,
157,baron,https://github.com/PyCQA/baron,,"IDE allow you to refactor code, Baron allows you to write refactoring code.",refactoring,21,True,PyCQA/baron,https://github.com/PyCQA/baron,LGPL-3.0,2013-03-21 12:19:00.000,2020-03-15 09:15:49.000,2020-02-10 02:47:14.000,252.0,2019-02-25 23:55:38.000,0.8,18.0,,,baron,48.0,41.0,29.0,1489.0,222.0,130.0,31.0,https://pypi.org/project/baron,2018-10-29 00:43:39.000,92.0,6656.0,6656.0,,,,3.0,,,,,,,,
158,pytest-docker,https://github.com/avast/pytest-docker,,Docker-based integration tests.,testing,21,True,avast/pytest-docker,https://github.com/avast/pytest-docker,MIT,2017-03-07 04:51:13.000,2020-11-12 15:11:07.000,2020-09-22 09:13:51.000,184.0,2020-09-22 09:28:03.000,0.10.1,13.0,,['pytest'],pytest-docker,32.0,16.0,13.0,56.0,14.0,,9.0,https://pypi.org/project/pytest-docker,2020-09-22 09:28:03.000,14.0,12836.0,12841.0,,,,3.0,66.0,,,,,,,
159,releases,https://github.com/bitprophet/releases,,A powerful Sphinx changelog-generating extension.,documentation,21,True,bitprophet/releases,https://github.com/bitprophet/releases,BSD-2-Clause,2013-09-16 03:56:37.000,2020-01-30 01:07:19.000,2020-01-26 03:27:03.000,148.0,2020-01-11 00:04:02.000,1.6.2,31.0,,['sphinx'],releases,36.0,28.0,42.0,520.0,1010.0,304.0,10.0,https://pypi.org/project/releases,2020-01-11 00:04:02.000,706.0,4928.0,4928.0,,,,3.0,,,,,,,,
160,dodgy,https://github.com/landscapeio/dodgy,,Looks at Python code to search for things which look dodgy such as passwords or diffs.,security,21,False,landscapeio/dodgy,https://github.com/landscapeio/dodgy,MIT,2013-12-25 12:22:20.000,2020-09-30 08:09:38.000,2019-12-31 16:45:20.000,88.0,2019-12-31 13:24:21.000,0.2.1,10.0,conda-forge/dodgy,,dodgy,15.0,8.0,2.0,64.0,1704.0,1180.0,11.0,https://pypi.org/project/dodgy,2019-12-31 16:44:58.000,524.0,73458.0,73853.0,https://anaconda.org/conda-forge/dodgy,2020-06-10 17:10:06.579,20957.0,3.0,,,,,,,,
161,flake8-builtins,https://github.com/gforcada/flake8-builtins,,Check for python builtins being used as variables or parameters.,linters,21,True,gforcada/flake8-builtins,https://github.com/gforcada/flake8-builtins,GPL-2.0,2016-03-02 00:26:51.000,2020-10-26 15:39:53.000,2020-08-11 08:34:28.000,58.0,2020-05-14 10:45:01.000,1.5.3,23.0,conda-forge/flake8-builtins,['flake8'],flake8-builtins,15.0,2.0,30.0,209.0,2016.0,1504.0,13.0,https://pypi.org/project/flake8-builtins,2020-05-14 10:45:01.000,512.0,144408.0,146449.0,https://anaconda.org/conda-forge/flake8-builtins,2020-05-18 15:22:26.836,102055.0,3.0,,,,,,,,
162,pylint-flask,https://github.com/jschaf/pylint-flask,,A Pylint plugin to analyze Flask applications.,linters,21,True,jschaf/pylint-flask,https://github.com/jschaf/pylint-flask,GPL-2.0,2015-06-27 20:11:12.000,2021-01-07 06:30:51.000,2021-01-07 06:30:50.000,55.0,,,4.0,conda-forge/pylint-flask,['pylint'],pylint-flask,7.0,3.0,5.0,39.0,4333.0,4233.0,6.0,https://pypi.org/project/pylint-flask,2016-08-27 23:02:08.000,100.0,87501.0,88318.0,https://anaconda.org/conda-forge/pylint-flask,2019-02-02 18:28:49.934,43306.0,3.0,,,,,,,,
163,Profiling,https://github.com/what-studio/profiling,,Was an interactive continuous Python profiler.,profiling,20,True,what-studio/profiling,https://github.com/what-studio/profiling,BSD-3-Clause,2014-09-03 10:35:57.000,2020-08-24 01:31:58.000,2020-08-24 01:31:58.000,3001.0,2017-06-28 06:10:16.000,0.1.3,3.0,,,profiling,113.0,15.0,20.0,433.0,34.0,29.0,18.0,https://pypi.org/project/profiling,2017-06-28 06:10:16.000,5.0,3912.0,3912.0,,,,3.0,,,,,,,,
164,pyannotate,https://github.com/dropbox/pyannotate,,Auto-generate PEP-484 annotations.,refactoring,20,True,dropbox/pyannotate,https://github.com/dropbox/pyannotate,Apache-2.0,2017-11-13 20:18:08.000,2020-11-24 21:06:25.000,2020-11-10 12:27:42.000,1161.0,2019-09-16 15:37:03.000,1.2.0,9.0,,,pyannotate,40.0,24.0,33.0,93.0,78.0,56.0,15.0,https://pypi.org/project/pyannotate,2019-09-16 15:37:03.000,22.0,936.0,936.0,,,,3.0,,,,,,,,
165,dlint,https://github.com/dlint-py/dlint,,Dlint is a tool for encouraging best coding practices and helping ensure Python code is secure.,security,20,True,dlint-py/dlint,https://github.com/dlint-py/dlint,BSD-3-Clause,2020-01-08 15:53:36.000,2020-12-08 17:21:33.000,2020-12-08 17:21:32.000,315.0,2020-03-09 15:14:43.000,0.11.0,13.0,,,dlint,13.0,20.0,12.0,201.0,18.0,,7.0,https://pypi.org/project/dlint,2020-10-30 20:40:39.000,18.0,10777.0,10777.0,,,,3.0,,,,,,,,
166,mkdocstrings,https://github.com/pawamoy/mkdocstrings,,"Automatic documentation from sources, for MkDocs.",documentation,20,True,pawamoy/mkdocstrings,https://github.com/pawamoy/mkdocstrings,ISC,2019-12-09 18:09:09.000,2021-01-06 21:44:06.000,2021-01-06 21:43:45.000,267.0,2021-01-06 21:43:56.000,0.14.0,34.0,,['mkdocs'],mkdocstrings,29.0,43.0,100.0,338.0,0.0,,18.0,https://pypi.org/project/mkdocstrings,2021-01-06 21:43:56.000,0.0,10738.0,10738.0,,,,3.0,,,,,,,,
167,assertpy,https://github.com/ActivisionGameScience/assertpy,,Simple assertion library for unit testing in python with a fluent API.,testing,20,False,ActivisionGameScience/assertpy,https://github.com/ActivisionGameScience/assertpy,BSD-3-Clause,2017-11-21 01:38:07.332,2020-07-19 15:23:26.710,2019-10-30 17:50:10.000,248.0,,,13.0,conda-forge/assertpy,,assertpy,47.0,,,279.0,124.0,,10.0,https://pypi.org/project/assertpy,2020-07-19 14:39:02.000,124.0,43476.0,43736.0,https://anaconda.org/conda-forge/assertpy,2020-07-19 15:23:26.710,9888.0,3.0,,,,,,,,
168,flakehell,https://github.com/life4/flakehell,,"Flake8 wrapper to make it nice, legacy-friendly, configurable.",linters,20,True,life4/flakehell,https://github.com/life4/flakehell,MIT,2019-08-06 11:37:21.000,2020-12-29 21:22:51.000,2020-12-03 15:58:12.000,198.0,2020-12-03 15:58:27.000,0.7.1,26.0,,['flake8'],flakehell,23.0,4.0,,359.0,,,14.0,https://pypi.org/project/flakehell,2020-12-03 15:58:27.000,,10209.0,10212.0,,,,3.0,50.0,,,,,,,
169,xenon,https://github.com/rubik/xenon,,Monitoring tool based on radon.,code-metrics,20,True,rubik/xenon,https://github.com/rubik/xenon,MIT,2014-02-14 14:19:20.000,2020-09-16 11:20:09.000,2020-09-16 11:20:01.000,178.0,2019-10-08 16:24:35.000,0.7.1,17.0,conda-forge/xenon,,xenon,15.0,6.0,23.0,100.0,235.0,173.0,7.0,https://pypi.org/project/xenon,2020-09-16 09:47:41.000,62.0,12284.0,12528.0,https://anaconda.org/conda-forge/xenon,2019-10-12 20:39:43.883,9523.0,3.0,,,,,,,,
170,pytest-lazy-fixture,https://github.com/TvoroG/pytest-lazy-fixture,,It helps to use fixtures in pytest.mark.parametrize.,testing,20,True,tvorog/pytest-lazy-fixture,https://github.com/TvoroG/pytest-lazy-fixture,MIT,2016-09-29 23:52:48.000,2020-02-01 18:49:47.818,2020-02-01 17:56:35.000,161.0,2019-11-20 10:54:24.000,0.6.3,12.0,conda-forge/pytest-lazy-fixture,['pytest'],pytest-lazy-fixture,11.0,12.0,19.0,92.0,264.0,233.0,7.0,https://pypi.org/project/pytest-lazy-fixture,2020-02-01 18:04:00.000,31.0,45621.0,50377.0,https://anaconda.org/conda-forge/pytest-lazy-fixture,2020-02-01 18:49:47.818,214039.0,3.0,,,,,,,,
171,mkdocs-pdf-export-plugin,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,,An MkDocs plugin to export content pages as PDF files.,documentation,20,True,zhaoterryy/mkdocs-pdf-export-plugin,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,MIT,2018-02-20 15:06:51.000,2021-01-06 17:14:12.000,2020-07-23 01:35:13.000,161.0,2020-07-23 01:35:39.000,0.5.8,22.0,,['mkdocs'],mkdocs-pdf-export-plugin,25.0,29.0,41.0,68.0,106.0,102.0,9.0,https://pypi.org/project/mkdocs-pdf-export-plugin,2020-07-23 01:35:04.000,4.0,4697.0,4697.0,,,,3.0,,,,,,,,
