,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,labels,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2025-09-11 17:30:34.000,2025-09-11 17:30:32,365.0,19.0,186.0,57.0,214.0,4.0,2598.0,2025-09-11 17:30:40.000,2025.09.11,100.0,16.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2025-09-11 19:43:26.000,2025-09-11 19:43:24,411.0,19.0,105.0,16.0,321.0,34.0,1515.0,2023-06-29 18:48:34.000,2023.06.29,68.0,62.0,0,True,mkdocs/catalog,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2025-09-17 18:28:44.000,2025-09-17 18:28:44,12876.0,246.0,3001.0,240.0,8303.0,8807.0,19791.0,2025-09-11 22:58:55.000,1.18.1,130.0,811.0,49,True,,2990.0,mypy,conda-forge/mypy,352692.0,322960.0,https://pypi.org/project/mypy,2025-09-11 22:58:55.000,29732.0,69011411.0,69105550.0,https://anaconda.org/conda-forge/mypy,2025-09-12 12:00:00.763,5930788.0,1.0,,,,,,,,,,,,,,,,,,,,
5,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2025-09-16 13:26:23.000,2025-09-16 12:10:39,16780.0,86.0,2865.0,191.0,6505.0,5290.0,13086.0,2025-09-04 14:35:52.000,8.4.2,186.0,1052.0,49,True,,939.0,pytest,conda-forge/pytest,1749123.0,1660513.0,https://pypi.org/project/pytest,2025-09-04 14:34:20.000,88610.0,242172430.0,242850302.0,https://anaconda.org/conda-forge/pytest,2025-09-04 18:51:59.658,39974938.0,1.0,['pytest'],24201.0,,,,,,,,,,,,,,,,,,
6,ruff,charliermarsh/ruff,linters,"An extremely fast Python linter and code formatter, written in Rust.",,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44.000,2025-09-18 14:17:54.000,2025-09-18 14:17:54,12205.0,1098.0,1529.0,94.0,12605.0,5692.0,42513.0,2025-09-10 16:31:51.000,0.13.0,374.0,717.0,47,True,astral-sh/ruff,1530.0,ruff,conda-forge/ruff,143900.0,124746.0,https://pypi.org/project/ruff,2025-09-10 16:24:39.000,19154.0,85524074.0,85892043.0,https://anaconda.org/conda-forge/ruff,2025-09-11 02:37:57.505,4645003.0,1.0,,4858401.0,,,,,,,,,,,,,,,,,,
7,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2025-09-18 04:31:25.649,2025-09-17 20:06:05,6319.0,86.0,1419.0,230.0,791.0,1513.0,10815.0,2025-09-17 20:14:56.000,7.1.0,98.0,223.0,47,True,,353.0,psutil,conda-forge/psutil,769008.0,752204.0,https://pypi.org/project/psutil,2025-09-17 20:14:56.000,16804.0,206530185.0,207347740.0,https://anaconda.org/conda-forge/psutil,2025-09-18 04:31:25.649,50688458.0,1.0,,,1.0,,,,,,,,,,,,,,,,,
8,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2025-09-11 04:14:32.000,2025-09-11 04:14:30,15411.0,121.0,3136.0,321.0,5902.0,6638.0,9942.0,2025-05-02 15:13:59.000,25.1.1,151.0,842.0,47,True,,1083.0,pip,conda-forge/pip,248572.0,243289.0,https://pypi.org/project/pip,2025-07-30 21:50:13.000,5283.0,397809407.0,400484589.0,https://anaconda.org/conda-forge/pip,2025-07-31 01:24:05.568,171211649.0,1.0,,,,,,,,,,,,,,,,,,,,
9,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2025-08-13 10:52:09.000,2025-08-13 10:52:09,4284.0,31.0,1867.0,535.0,1289.0,1226.0,53743.0,2025-07-25 07:35:18.000,14.1.0,200.0,276.0,46,True,,280.0,rich,conda-forge/rich,497369.0,475259.0,https://pypi.org/project/rich,2025-07-25 07:32:56.000,22110.0,200223972.0,200464975.0,https://anaconda.org/conda-forge/rich,2025-07-25 09:53:40.750,14942237.0,1.0,,,-1.0,,,,,,,,,,,,,,,,,
