,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,pypi_id,conda_id,dockerhub_id,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,labels,trending,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge,updated_github_id
109,notifiers,https://github.com/liiight/notifiers,,The easy way to send notifications.,logging,25,True,liiight/notifiers,https://github.com/liiight/notifiers,MIT,2017-06-01 10:20:18.000000,2021-10-11 17:00:40.000000,2021-09-22 08:42:01.000000,77.0,54.0,2000.0,2021-08-23 20:42:56.000000,1.3.0,26.0,16.0,38.0,notifiers,,,426.0,,276599.0,184.0,178.0,https://pypi.org/project/notifiers,2019-10-05 13:00:41.000000,6.0,276599.0,,,,,,,,3.0,,,,,,,,,,
110,wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide,,The strictest and most opinionated python linter ever!.,linters,25,True,wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide,MIT,2018-03-09 21:04:25.000000,2021-10-14 14:12:29.000000,2021-10-14 07:17:12.000000,295.0,895.0,1649.0,2021-06-21 19:33:18.000000,0.15.3,52.0,154.0,96.0,wemake-python-styleguide,,,1898.0,,,728.0,714.0,https://pypi.org/project/wemake-python-styleguide,2021-06-21 16:28:55.000000,14.0,,,,,,,,,2.0,,,,,,,,,,
111,prospector,https://github.com/PyCQA/prospector,,"Inspects Python source files and provides information about type and location of classes, methods etc.",code-metrics,25,True,PyCQA/prospector,https://github.com/PyCQA/prospector,GPL-2.0,2013-08-05 07:26:30.000000,2021-10-12 05:33:01.000000,2021-10-12 05:33:01.000000,140.0,228.0,1503.0,2021-09-17 10:01:35.000000,1.5.1,100.0,76.0,49.0,prospector,conda-forge/prospector,,1108.0,,430.0,1138.0,,https://pypi.org/project/prospector,2021-09-17 10:01:35.000000,1138.0,,https://anaconda.org/conda-forge/prospector,2020-11-18 00:26:14.628000,26671.0,,,,,2.0,,,,,,,,,,
112,pyupgrade,https://github.com/asottile/pyupgrade,,A tool (and pre-commit hook) to automatically upgrade syntax for newer versions of the language.,refactoring,25,True,asottile/pyupgrade,https://github.com/asottile/pyupgrade,MIT,2017-02-28 17:50:31.000000,2021-10-12 02:10:37.000000,2021-10-11 20:40:24.000000,80.0,231.0,1211.0,2021-09-28 15:15:43.000000,2.29.0,120.0,21.0,7.0,pyupgrade,conda-forge/pyupgrade,,783.0,,140180.0,10.0,,https://pypi.org/project/pyupgrade,2021-09-28 15:15:43.000000,10.0,132155.0,https://anaconda.org/conda-forge/pyupgrade,2021-09-30 09:06:52.898000,264857.0,,,,,2.0,,,,,,,,,,
113,pylama,https://github.com/klen/pylama,,Code audit tool for python.,linters,25,False,klen/pylama,https://github.com/klen/pylama,LGPL-3.0,2012-08-17 10:10:10.000000,2021-08-25 23:21:58.000000,2019-04-10 18:20:19.000000,78.0,53.0,817.0,2019-04-10 18:20:47.000000,7.7.1,99.0,41.0,72.0,pylama,,,689.0,,89534.0,3737.0,2733.0,https://pypi.org/project/pylama,2019-04-10 18:20:47.000000,1004.0,89534.0,,,,,,,,2.0,,,,,,,,,,
114,Yappi,https://github.com/sumerc/yappi,,"Yet Another Python Profiler, but this time thread&coroutine&greenlet aware.",profiling,25,True,sumerc/yappi,https://github.com/sumerc/yappi,MIT,2009-10-07 20:46:30.000000,2021-10-05 19:28:48.196000,2021-10-05 12:57:13.000000,49.0,35.0,725.0,2021-10-05 13:05:13.000000,1.3.3,18.0,26.0,16.0,yappi,conda-forge/yappi,,647.0,,1746.0,1123.0,483.0,https://pypi.org/project/yappi,2021-10-05 13:05:13.000000,640.0,,https://anaconda.org/conda-forge/yappi,2021-10-05 19:28:48.196000,90813.0,,,,,2.0,,,,,,,,,,
115,asv,https://github.com/airspeed-velocity/asv,,Airspeed Velocity: A simple Python benchmarking tool with web-based reporting.,testing,25,True,airspeed-velocity/asv,https://github.com/airspeed-velocity/asv,BSD-3-Clause,2013-11-07 20:43:31.000000,2021-08-15 10:06:12.000000,2021-08-15 10:06:12.000000,129.0,301.0,616.0,2020-05-16 12:35:26.000000,0.4.2,16.0,55.0,111.0,asv,conda-forge/asv,,1894.0,,9376.0,282.0,194.0,https://pypi.org/project/asv,2020-05-16 12:33:41.000000,88.0,,https://anaconda.org/conda-forge/asv,2021-08-07 18:07:49.271000,534446.0,,,,,3.0,,,,,,,,,,
116,pytest-watch,https://github.com/joeyespo/pytest-watch,,Local continuous test runner with pytest and watchdog.,testing,25,False,joeyespo/pytest-watch,https://github.com/joeyespo/pytest-watch,MIT,2015-01-12 02:08:20.000000,2021-08-21 18:28:52.305000,2019-06-15 20:36:43.000000,48.0,41.0,596.0,2018-05-20 19:52:16.000000,4.2.0,17.0,16.0,39.0,pytest-watch,conda-forge/pytest-watch,,183.0,,254728.0,3755.0,2973.0,https://pypi.org/project/pytest-watch,2018-05-20 19:52:16.000000,782.0,253610.0,https://anaconda.org/conda-forge/pytest-watch,2021-08-21 18:28:52.305000,50314.0,,,,,3.0,['pytest'],,,,,,,,,
117,pylint-django,https://github.com/PyCQA/pylint-django,,Pylint plugin for improving code analysis for when using Django.,linters,25,True,PyCQA/pylint-django,https://github.com/PyCQA/pylint-django,GPL-2.0,2013-10-01 06:35:15.000000,2021-09-27 16:49:16.482000,2021-04-26 10:09:38.000000,101.0,150.0,483.0,2021-04-09 06:40:49.000000,2.4.3,49.0,58.0,34.0,pylint-django,conda-forge/pylint-django,,547.0,203.0,1398.0,17366.0,15120.0,https://pypi.org/project/pylint-django,2021-04-09 06:39:56.000000,2246.0,,https://anaconda.org/conda-forge/pylint-django,2021-09-27 16:49:16.482000,86227.0,,,,,2.0,['pylint'],,,,,,,,,
118,mccabe,https://github.com/PyCQA/mccabe,,McCabe complexity checker for Python.,code-metrics,25,True,PyCQA/mccabe,https://github.com/PyCQA/mccabe,Saxpath,2013-02-20 22:19:04.000000,2021-04-02 23:49:37.000000,2021-04-02 23:49:37.000000,41.0,34.0,437.0,2017-01-26 22:13:14.000000,0.6.1,11.0,21.0,6.0,mccabe,conda-forge/mccabe,,142.0,,52312.0,250302.0,219292.0,https://pypi.org/project/mccabe,2017-01-26 22:13:14.000000,31010.0,,https://anaconda.org/conda-forge/mccabe,2018-07-08 18:43:04.536000,3348023.0,,,,,2.0,,,,,,,,,,
119,pep8-naming,https://github.com/PyCQA/pep8-naming,,Naming Convention checker for Python.,linters,25,False,PyCQA/pep8-naming,https://github.com/PyCQA/pep8-naming,Saxpath,2013-02-09 18:32:52.000000,2021-10-08 12:40:51.000000,2021-10-08 12:40:51.000000,53.0,68.0,336.0,2021-08-08 02:45:08.000000,0.12.1,23.0,30.0,12.0,pep8-naming,conda-forge/pep8-naming,,231.0,,2974.0,10764.0,7736.0,https://pypi.org/project/pep8-naming,2021-08-08 02:45:08.000000,3028.0,,https://anaconda.org/conda-forge/pep8-naming,2021-08-08 04:41:02.577000,202272.0,,,,,2.0,,,,,,,,,,
120,pytest-testinfra,https://github.com/pytest-dev/pytest-testinfra,,Testinfra test your infrastructures.,testing,24,True,pytest-dev/pytest-testinfra,https://github.com/pytest-dev/pytest-testinfra,Apache-2.0,2015-03-15 20:49:52.000000,2021-10-14 08:54:57.000000,2021-09-29 17:18:58.000000,281.0,199.0,1948.0,2021-06-20 21:23:39.000000,6.4.0,5.0,105.0,114.0,pytest-testinfra,,,675.0,,112700.0,0.0,,https://pypi.org/project/pytest-testinfra,2021-06-20 21:23:39.000000,0.0,112700.0,,,,,,,,3.0,['pytest'],,,,,,,,,
121,dephell,https://github.com/dephell/dephell,,"Python project management. Manage packages: convert between formats, lock, install, resolve, isolate, test, build..",dependency-managers,24,True,dephell/dephell,https://github.com/dephell/dephell,MIT,2018-08-31 17:39:18.000000,2021-01-11 21:31:40.000000,2021-01-11 21:31:39.000000,100.0,161.0,1726.0,2020-04-28 06:31:17.000000,.0.8.3,30.0,37.0,108.0,dephell,,,2145.0,162.0,16129.0,318.0,310.0,https://pypi.org/project/dephell,2020-04-28 06:29:24.000000,8.0,16124.0,,,,,,,,3.0,,,,,,,,,,
122,briefcase,https://github.com/beeware/briefcase,,Tools to support converting a Python project into a standalone native application.,packaging,24,True,beeware/briefcase,https://github.com/beeware/briefcase,BSD-3-Clause,2015-07-28 15:20:03.000000,2021-10-12 19:19:45.000000,2021-09-26 23:53:33.000000,205.0,251.0,1236.0,2021-03-06 05:36:18.000000,0.3.5,35.0,85.0,99.0,briefcase,,,1208.0,,2671.0,24.0,,https://pypi.org/project/briefcase,2021-03-06 05:37:12.000000,24.0,2671.0,,,,,,,,2.0,,,,,,,,,,
