,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,labels,conda_id,pypi_id,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge,updated_github_id
177,data-science-types,https://github.com/predictive-analytics-lab/data-science-types,,"Mypy stubs, i.e., type information, for numpy, pandas and matplotlib.",linters,22,True,predictive-analytics-lab/data-science-types,https://github.com/predictive-analytics-lab/data-science-types,Apache-2.0,2019-09-20 11:45:49.000000,2021-02-16 17:29:01.000000,2021-02-16 17:29:00.000000,57.0,23.0,186.0,2021-02-16 16:47:31.000000,0.2.23,26.0,44.0,39.0,,,data-science-types,446.0,129.0,129.0,https://pypi.org/project/data-science-types,2021-02-16 16:45:03.000000,0.0,36868.0,36868.0,,,,3.0,,,,,,,,,,,,,,,
178,flake8-builtins,https://github.com/gforcada/flake8-builtins,,Check for python builtins being used as variables or parameters.,linters,22,True,gforcada/flake8-builtins,https://github.com/gforcada/flake8-builtins,GPL-2.0,2016-03-02 00:26:51.000000,2021-09-21 08:08:53.000000,2021-09-20 15:48:57.000000,17.0,32.0,69.0,2020-05-14 10:45:01.000000,1.5.3,23.0,15.0,2.0,['flake8'],conda-forge/flake8-builtins,flake8-builtins,221.0,3172.0,2660.0,https://pypi.org/project/flake8-builtins,2020-05-14 10:45:01.000000,512.0,410604.0,412769.0,https://anaconda.org/conda-forge/flake8-builtins,2020-05-18 15:22:26.836000,125581.0,3.0,,,,,,,,,,,,,,,
179,memory-profiler,https://github.com/pythonprofilers/memory_profiler,,Monitor Memory usage of Python code.,profiling,21,True,pythonprofilers/memory_profiler,https://github.com/pythonprofilers/memory_profiler,BSD-3-Clause,2011-10-14 11:56:14.000000,2021-06-12 20:24:38.000000,2021-06-12 20:24:38.000000,309.0,100.0,3074.0,2018-08-16 03:16:49.000000,0.54.0,52.0,88.0,94.0,,,memory_profiler,638.0,534.0,,https://pypi.org/project/memory_profiler,2018-08-16 03:16:49.000000,534.0,,,,,,3.0,,,,,,,-6.0,,,,,,,,
180,Bowler,https://github.com/facebookincubator/Bowler,,Safe code refactoring for modern Python.,refactoring,21,True,facebookincubator/Bowler,https://github.com/facebookincubator/Bowler,MIT,2018-06-07 21:44:17.000000,2021-09-01 18:41:17.000000,2021-09-01 18:41:12.000000,85.0,34.0,1318.0,2020-09-17 01:55:39.000000,0.9.0,8.0,26.0,46.0,,conda-forge/bowler,bowler,,10.0,,https://pypi.org/project/bowler,2020-09-17 01:55:39.000000,10.0,35250.0,35562.0,https://anaconda.org/conda-forge/bowler,2019-06-12 18:37:14.246000,10639.0,3.0,,,,,,,,,,,,,,,
181,shiv,https://github.com/linkedin/shiv,,"shiv is a command line utility for building fully self contained Python zipapps as outlined in PEP 441, but with all..",packaging,21,True,linkedin/shiv,https://github.com/linkedin/shiv,BSD-2-Clause,2018-03-13 18:46:23.000000,2021-09-13 14:40:15.000000,2021-09-13 14:40:15.000000,69.0,62.0,1248.0,2021-04-27 16:06:42.000000,0.5.1,56.0,33.0,27.0,,,shiv,,10.0,,https://pypi.org/project/shiv,2021-04-30 16:25:28.000000,10.0,7089.0,7094.0,,,,3.0,143.0,,,,,,,,,,,,,,
182,pyannotate,https://github.com/dropbox/pyannotate,,Auto-generate PEP-484 annotations.,refactoring,21,True,dropbox/pyannotate,https://github.com/dropbox/pyannotate,Apache-2.0,2017-11-13 20:18:08.000000,2021-07-30 02:31:09.000000,2021-03-19 18:13:03.000000,52.0,33.0,1230.0,2019-09-16 15:37:03.000000,1.2.0,9.0,16.0,26.0,,,pyannotate,94.0,91.0,65.0,https://pypi.org/project/pyannotate,2019-09-16 15:37:03.000000,26.0,3448.0,3448.0,,,,3.0,,,,,,,,,,,,,,,
183,wily,https://github.com/tonybaloney/wily,,"A Python application for tracking, reporting on timing and complexity in Python code.",code-metrics,21,True,tonybaloney/wily,https://github.com/tonybaloney/wily,Apache-2.0,2018-10-11 22:12:25.000000,2021-07-01 09:03:50.000000,2021-07-01 09:03:43.000000,45.0,52.0,805.0,2020-09-02 06:33:11.000000,1.19.0,46.0,16.0,28.0,,,wily,703.0,16.0,,https://pypi.org/project/wily,2021-07-01 08:25:50.000000,16.0,10217.0,10217.0,,,,3.0,,,,,,,,,,,,,,,
184,cx_Freeze,https://github.com/marcelotduarte/cx_Freeze,,"Create standalone executables from Python scripts, with the same performance and is cross-platform.",packaging,21,True,marcelotduarte/cx_Freeze,https://github.com/marcelotduarte/cx_Freeze,PSF-2.0,2017-01-22 04:25:52.000000,2021-09-21 16:01:16.000000,2021-09-13 15:32:38.000000,164.0,632.0,791.0,2021-09-07 06:19:08.000000,6.8,31.0,90.0,68.0,,conda-forge/cx_freeze,cx_freeze,,153.0,,https://pypi.org/project/cx_freeze,2017-12-16 18:09:35.000000,153.0,,2907.0,https://anaconda.org/conda-forge/cx_freeze,2021-07-15 06:40:42.917000,93034.0,3.0,,,,,,,,,,,,,,,
185,pynsist,https://github.com/takluyver/pynsist,,Build Windows installers for Python applications.,packaging,21,True,takluyver/pynsist,https://github.com/takluyver/pynsist,MIT,2014-03-30 19:11:21.000000,2021-06-21 13:21:11.000000,2021-06-21 13:21:11.000000,101.0,130.0,724.0,2020-07-03 08:11:24.000000,2.5.1,21.0,28.0,25.0,,,pynsist,543.0,88.0,,https://pypi.org/project/pynsist,2021-03-28 16:28:58.000000,88.0,2360.0,2360.0,,,,3.0,,,,,,,,,,,,,,,
186,mypy-protobuf,https://github.com/dropbox/mypy-protobuf,,open source tools to generate mypy stubs from protobufs.,linters,21,True,dropbox/mypy-protobuf,https://github.com/dropbox/mypy-protobuf,Apache-2.0,2017-12-11 21:55:05.000000,2021-09-17 23:12:13.000000,2021-09-17 23:12:13.000000,61.0,86.0,386.0,,,35.0,27.0,6.0,,,mypy-protobuf,,24.0,,https://pypi.org/project/mypy-protobuf,2021-09-16 18:40:07.000000,24.0,869076.0,869076.0,,,,3.0,,,,,,,,,,,,,,,
