,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,conda_url,conda_latest_release_published_at,conda_total_downloads,monthly_downloads,projectrank_placing,trending,labels,github_release_downloads,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
137,pdbpp,pdbpp/pdbpp,debugging,"pdb++, a drop-in replacement for pdb (the Python debugger).",,https://github.com/pdbpp/pdbpp,https://github.com/pdbpp/pdbpp,BSD-3-Clause,2017-06-11 13:42:16.000,2025-07-18 23:31:22.750,2022-07-14 18:31:38,706.0,,70.0,17.0,324.0,104.0,127.0,1416.0,2025-07-18 09:36:01.000,0.11.7,29.0,41.0,25,False,,pdbpp,conda-forge/pdbpp,592.0,,https://pypi.org/project/pdbpp,2025-07-18 09:36:01.000,592.0,https://anaconda.org/conda-forge/pdbpp,2025-07-18 23:31:22.750,191927.0,3916.0,3.0,,,,,,,,,,,,,,,,,,,,
138,pdoc3,pdoc3/pdoc,documentation,Auto-generate API documentation for Python projects.,,https://github.com/pdoc3/pdoc,https://github.com/pdoc3/pdoc,AGPL-3.0,2019-01-02 02:32:40.000,2025-08-05 07:10:32.309,2025-07-12 01:03:05,644.0,8.0,144.0,8.0,130.0,106.0,235.0,1180.0,2025-03-20 22:53:51.000,0.11.6,41.0,68.0,25,True,,pdoc3,anaconda/pdoc3,5414.0,4925.0,https://pypi.org/project/pdoc3,2025-03-20 22:53:51.000,489.0,https://anaconda.org/anaconda/pdoc3,2025-08-05 07:10:32.309,2141.0,31.0,3.0,,,,,,,,,,,,,,,,,,,,
139,autoflake,myint/autoflake,refactoring,Removes unused imports and unused variables as reported by pyflakes.,,https://github.com/PyCQA/autoflake,https://github.com/PyCQA/autoflake,MIT,2012-12-27 03:40:17.000,2025-08-12 13:13:10.000,2025-05-08 17:34:22,668.0,,82.0,15.0,207.0,42.0,80.0,939.0,2024-03-13 03:42:45.000,2.3.1,61.0,39.0,25,True,PyCQA/autoflake,autoflake,conda-forge/autoflake,1003.0,,https://pypi.org/project/autoflake,2024-03-13 03:41:26.000,1003.0,https://anaconda.org/conda-forge/autoflake,2025-07-28 21:36:26.374,619497.0,12147.0,2.0,,,,,,,,,,,,,,,,,,,,
140,astor,berkerpeksag/astor,ast,Python AST read/write.,,https://github.com/berkerpeksag/astor,https://github.com/berkerpeksag/astor,BSD-3-Clause,2012-09-19 23:02:51.000,2025-04-22 14:56:33.663,2024-03-30 08:11:44,267.0,,103.0,24.0,116.0,45.0,89.0,851.0,2019-12-10 01:50:33.000,0.8.1,14.0,35.0,25,False,,astor,conda-forge/astor,618.0,,https://pypi.org/project/astor,2019-12-10 01:50:33.000,618.0,https://anaconda.org/conda-forge/astor,2025-04-22 14:56:33.663,2631953.0,328994.0,2.0,,,,,,,,,,,,,,,,,,,,
141,pytest-randomly,pytest-dev/pytest-randomly,testing,Pytest plugin to randomly order tests and control random.seed.,,https://github.com/pytest-dev/pytest-randomly,https://github.com/pytest-dev/pytest-randomly,MIT,2016-04-08 15:48:10.000,2025-08-11 11:07:12.000,2025-08-11 11:07:11,702.0,10.0,33.0,4.0,613.0,13.0,58.0,673.0,2024-10-25 15:45:32.000,3.16.0,34.0,20.0,25,True,,pytest-randomly,conda-forge/pytest-randomly,11266.0,10722.0,https://pypi.org/project/pytest-randomly,2024-10-25 15:45:32.000,544.0,https://anaconda.org/conda-forge/pytest-randomly,2025-04-22 14:58:02.951,331484.0,7206.0,3.0,,,,,,,,,,,,,,,,,,,,
142,pylint-django,PyCQA/pylint-django,linters,Pylint plugin for improving code analysis for when using Django.,,https://github.com/pylint-dev/pylint-django,https://github.com/pylint-dev/pylint-django,GPL-3.0,2013-10-01 06:35:15.000,2025-08-11 21:43:16.000,2025-06-24 06:36:11,694.0,2.0,117.0,14.0,224.0,67.0,173.0,614.0,2024-10-10 14:46:36.000,2.6.1,57.0,71.0,25,True,pylint-dev/pylint-django,pylint-django,conda-forge/pylint-django,32036.0,31911.0,https://pypi.org/project/pylint-django,2024-10-10 14:46:36.000,125.0,https://anaconda.org/conda-forge/pylint-django,2025-04-22 14:56:27.135,272797.0,4790.0,2.0,,['pylint'],419.0,,,,,,,,,,,,,,,,,
143,darglint,terrencepreilly/darglint,linters,A python documentation linter which checks that the docstring description matches the definition.,,https://github.com/terrencepreilly/darglint,https://github.com/terrencepreilly/darglint,MIT,2017-09-25 14:11:21.000,2025-04-22 14:57:12.196,2021-10-18 03:34:23,504.0,,42.0,6.0,61.0,71.0,95.0,484.0,2021-10-18 03:40:35.000,1.8.1,49.0,22.0,25,False,,darglint,conda-forge/darglint,22685.0,22395.0,https://pypi.org/project/darglint,2021-10-18 03:40:35.000,290.0,https://anaconda.org/conda-forge/darglint,2025-04-22 14:57:12.196,110039.0,1774.0,2.0,,,,,,,,,,,,,,,,,,,,
144,flake8-import-order,PyCQA/flake8-import-order,linters,Flake8 plugin that checks import order against various Python Style Guides.,,https://github.com/PyCQA/flake8-import-order,https://github.com/PyCQA/flake8-import-order,LGPL-3.0,2014-03-16 12:46:09.000,2025-08-12 10:46:24.000,2025-08-12 10:46:22,316.0,23.0,74.0,9.0,120.0,8.0,98.0,278.0,2025-06-24 12:47:38.000,0.19.2,38.0,50.0,25,True,,flake8-import-order,conda-forge/flake8-import-order,654.0,,https://pypi.org/project/flake8-import-order,2025-06-24 12:47:38.000,654.0,https://anaconda.org/conda-forge/flake8-import-order,2025-06-26 20:28:26.571,311136.0,9432.0,2.0,,['flake8'],9.0,,,,,,,,,,,,,,,,,
145,pytest-datadir,gabrielcnr/pytest-datadir,testing,pytest plugin for manipulating test data directories and files.,,https://github.com/gabrielcnr/pytest-datadir,https://github.com/gabrielcnr/pytest-datadir,MIT,2015-07-02 21:41:44.000,2025-08-11 18:49:00.000,2025-08-05 11:46:24,181.0,20.0,25.0,7.0,87.0,3.0,20.0,265.0,2025-07-30 13:52:14.000,1.8.0,17.0,14.0,25,True,,pytest-datadir,conda-forge/pytest-datadir,2266.0,1993.0,https://pypi.org/project/pytest-datadir,2025-07-30 13:52:11.000,273.0,https://anaconda.org/conda-forge/pytest-datadir,2025-07-30 22:39:32.200,330235.0,9715.0,3.0,,['pytest'],69.0,,,,,,,,,,,,,,,,,
146,astunparse,simonpercivall/astunparse,ast,An AST unparser for Python.,,https://github.com/simonpercivall/astunparse,https://github.com/simonpercivall/astunparse,BSD-3-Clause,2014-03-31 15:34:54.000,2025-04-22 14:56:37.697,2019-12-22 18:11:19,86.0,,53.0,9.0,37.0,25.0,22.0,228.0,2019-12-22 18:12:11.000,1.6.3,11.0,11.0,25,False,,astunparse,conda-forge/astunparse,167393.0,166710.0,https://pypi.org/project/astunparse,2019-12-22 18:12:11.000,683.0,https://anaconda.org/conda-forge/astunparse,2025-04-22 14:56:37.697,3033013.0,55145.0,2.0,,,,,,,,,,,,,,,,,,,,
