,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_latest_release_published_at,pypi_dependent_project_count,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-06-15 18:34:59.000,2023-06-15 18:34:57,241.0,26.0,147.0,53.0,146.0,1.0,2.0,1934.0,2023-06-15 18:35:07.000,2023.06.15,94.0,12.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2023-06-15 18:22:41.000,2023-06-15 18:22:40,177.0,30.0,11.0,10.0,94.0,2.0,5.0,298.0,2023-06-15 18:22:58.000,2023.06.15,66.0,6.0,0,True,mkdocs/catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2023-06-22 13:03:48.000,2023-06-21 18:04:10,15074.0,154.0,2293.0,194.0,5106.0,785.0,4526.0,10332.0,2023-06-10 19:29:39.000,7.3.2,107.0,878.0,47,True,,pytest,conda-forge/pytest,['pytest'],945262.0,945262.0,https://pypi.org/project/pytest,61430612.0,62084076.0,https://anaconda.org/conda-forge/pytest,2023-06-16 14:14:49.298,20910851.0,1.0,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2023-06-22 04:05:25.000,2023-06-16 09:03:40,13847.0,199.0,2956.0,312.0,5225.0,1032.0,5907.0,8804.0,2023-04-26 09:25:19.729,23.1.2,132.0,734.0,47,True,,pip,conda-forge/pip,,152732.0,141792.0,https://pypi.org/project/pip,142504246.0,143479328.0,https://anaconda.org/conda-forge/pip,2023-06-16 13:25:27.518,80931821.0,1.0,2023-02-17 18:32:12.376,10940.0,,,,,,,,,,,,,,,
6,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2023-06-16 13:17:58.536,2023-06-09 13:37:14,5941.0,64.0,1334.0,239.0,631.0,273.0,1391.0,9371.0,2023-04-17 18:27:02.245,5.9.5,89.0,195.0,46,True,,psutil,conda-forge/psutil,,344636.0,327874.0,https://pypi.org/project/psutil,64959281.0,65226822.0,https://anaconda.org/conda-forge/psutil,2023-06-16 13:17:58.536,23008544.0,1.0,2017-10-12 07:26:59.000,16762.0,,,,,,,,,,,,,,,
7,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2023-06-19 12:35:45.000,2023-06-18 20:49:50,8355.0,88.0,1845.0,364.0,1715.0,201.0,3770.0,23904.0,2023-06-18 20:51:01.838,2023.6.18,359.0,467.0,45,True,,pipenv,conda-forge/pipenv,,90737.0,89486.0,https://pypi.org/project/pipenv,6791801.0,6794804.0,https://anaconda.org/conda-forge/pipenv,2023-06-18 22:14:08.861,111112.0,1.0,2022-07-04 21:30:18.000,1251.0,,,,,,,,,,,,,,,
8,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2023-06-22 09:45:39.000,2023-06-21 23:21:32,13931.0,148.0,941.0,91.0,1402.0,539.0,1771.0,2060.0,2023-06-19 15:53:10.000,68.0.0,196.0,573.0,45,True,,setuptools,conda-forge/setuptools,,344984.0,344984.0,https://pypi.org/project/setuptools,248964469.0,249969977.0,https://anaconda.org/conda-forge/setuptools,2023-06-16 13:23:36.285,83457181.0,1.0,,,,,,,,,,,,,,,,,
9,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2023-06-22 06:50:11.000,2023-06-20 14:06:03,1570.0,36.0,2105.0,228.0,1404.0,407.0,1918.0,32701.0,2023-03-29 01:06:04.625,23.3.0,46.0,375.0,44,True,,black,conda-forge/black,,396395.0,386004.0,https://pypi.org/project/black,20813011.0,20935362.0,https://anaconda.org/conda-forge/black,2023-06-16 16:08:49.401,7416479.0,1.0,2018-09-26 20:08:48.000,10391.0,39285.0,,,,,,,,,,,,,,
