,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,trending,conda_forge
40,scons,SCons/scons,build-tools,SCons - a software construction tool.,,https://github.com/SCons/scons,https://github.com/SCons/scons,MIT,2017-03-23 22:12:34.579,2023-04-22 14:29:54.000,2023-04-21 16:51:48,8598.0,78.0,285.0,61.0,967.0,658.0,2717.0,1675.0,2023-03-21 16:25:11.000,4.5.2,32.0,148.0,35,True,scons,conda-forge/scons,,59.0,,https://pypi.org/project/scons,2022-07-30 21:23:00.222,59.0,1528416.0,1534303.0,https://anaconda.org/conda-forge/scons,2023-03-22 07:57:20.421,427952.0,2.0,1263.0,,,,,,,,,,,,,,,,,
41,rope,python-rope/rope,refactoring,a python refactoring library.,,https://github.com/python-rope/rope,https://github.com/python-rope/rope,LGPL-3.0,2013-11-30 15:30:20.000,2023-04-18 05:10:40.000,2023-04-18 04:56:27,3136.0,25.0,165.0,26.0,344.0,71.0,224.0,1592.0,2023-01-17 02:39:01.107,1.7.0,81.0,77.0,35,True,rope,conda-forge/rope,,63858.0,62215.0,https://pypi.org/project/rope,2023-01-17 02:39:01.107,1643.0,646695.0,662136.0,https://anaconda.org/conda-forge/rope,2023-01-29 10:36:21.444,1111796.0,1.0,,,,,,,,,,,,,,,,,,
42,python-json-logger,madzak/python-json-logger,logging,Json Formatter for the standard python logger.,,https://github.com/madzak/python-json-logger,https://github.com/madzak/python-json-logger,BSD-2-Clause,2011-12-27 05:12:26.000,2023-04-26 12:28:32.000,2023-02-28 17:40:55,262.0,21.0,202.0,26.0,82.0,5.0,89.0,1482.0,2023-02-21 17:40:52.893,2.0.7,27.0,63.0,35,True,python-json-logger,conda-forge/python-json-logger,,47719.0,46914.0,https://pypi.org/project/python-json-logger,2022-07-11 14:10:01.875,805.0,14949883.0,14996120.0,https://anaconda.org/conda-forge/python-json-logger,2023-02-22 15:29:12.361,3329121.0,2.0,,,,,,,,,,,,,,,,,,
43,pytest-xdist,pytest-dev/pytest-xdist,testing,pytest plugin for distributed testing and loop-on-failures testing modes.,,https://github.com/pytest-dev/pytest-xdist,https://github.com/pytest-dev/pytest-xdist,MIT,2015-09-01 18:51:45.000,2023-04-25 17:03:29.000,2023-04-25 10:37:20,1078.0,18.0,193.0,48.0,354.0,219.0,315.0,1136.0,2023-03-12 15:10:53.764,3.2.1,63.0,90.0,35,True,pytest-xdist,conda-forge/pytest-xdist,['pytest'],5241.0,,https://pypi.org/project/pytest-xdist,2022-12-03 14:34:08.213,5241.0,8174024.0,8230717.0,https://anaconda.org/conda-forge/pytest-xdist,2023-03-13 11:04:35.514,4592207.0,1.0,,,,,,,,,,,,,,,,,,
44,alabaster,bitprophet/alabaster,documentation,"Lightweight, configurable Sphinx theme.",,https://github.com/sphinx-doc/alabaster,https://github.com/sphinx-doc/alabaster,BSD-3-Clause,2013-12-07 00:03:15.000,2023-04-21 00:13:17.000,2023-04-21 00:12:44,383.0,10.0,182.0,31.0,87.0,62.0,55.0,690.0,2023-01-13 06:44:02.021,0.7.13,26.0,29.0,35,True,alabaster,conda-forge/alabaster,['sphinx'],102322.0,94600.0,https://pypi.org/project/alabaster,2023-01-13 06:44:02.021,7722.0,6392153.0,6464835.0,https://anaconda.org/conda-forge/alabaster,2023-01-13 21:36:23.432,5887292.0,2.0,,,,,,,sphinx-doc/alabaster,,,,,,,,,,,
45,pyre-check,facebook/pyre-check,linters,Performant type-checking for python.,,https://github.com/facebook/pyre-check,https://github.com/facebook/pyre-check,MIT,2017-11-10 17:31:36.000,2023-04-27 09:19:20.000,2023-04-27 09:15:15,14087.0,598.0,412.0,112.0,354.0,137.0,235.0,6321.0,2023-02-14 01:01:23.450,0.9.18,76.0,240.0,34,True,pyre-check,,,47.0,,https://pypi.org/project/pyre-check,2022-11-08 21:43:56.374,47.0,59504.0,59504.0,,,,1.0,,,,,,,,,,,,,,,,,,
46,pipreqs,bndr/pipreqs,dependency-managers,pipreqs - Generate pip requirements.txt file based on imports of any project. Looking for maintainers to move this..,,https://github.com/bndr/pipreqs,https://github.com/bndr/pipreqs,Apache-2.0,2015-04-22 16:38:14.000,2023-04-18 11:41:01.000,2023-04-14 07:08:49,336.0,17.0,337.0,61.0,143.0,129.0,97.0,5077.0,2023-04-14 07:11:09.000,0.4.13,6.0,59.0,34,True,pipreqs,conda-forge/pipreqs,,18299.0,18299.0,https://pypi.org/project/pipreqs,,,2321413.0,2321856.0,https://anaconda.org/conda-forge/pipreqs,2023-04-14 08:24:42.847,35061.0,2.0,,,,,,,,,,,,,,,,,,
47,pycodestyle,PyCQA/pycodestyle,linters,Simple Python style checker in one Python file.,,https://github.com/PyCQA/pycodestyle,https://github.com/PyCQA/pycodestyle,,2009-10-02 00:43:37.000,2023-04-25 10:55:18.000,2023-04-25 10:55:17,1355.0,2.0,654.0,120.0,452.0,90.0,594.0,4823.0,2017-10-25 15:35:12.000,1.7.1,11.0,131.0,34,True,pycodestyle,conda-forge/pycodestyle,,329593.0,329593.0,https://pypi.org/project/pycodestyle,,,29239017.0,29315098.0,https://anaconda.org/conda-forge/pycodestyle,2022-11-24 16:23:10.571,6238682.0,1.0,,,,,,,,,,,,,,,,,,
48,mimesis,lk-geimfari/mimesis,testing,"Mimesis is a robust data generator for Python, capable of rapidly producing large volumes of synthetic data for..",,https://github.com/lk-geimfari/mimesis,https://github.com/lk-geimfari/mimesis,MIT,2016-09-09 21:41:22.000,2023-04-27 10:56:51.000,2023-04-25 08:32:48,2438.0,107.0,305.0,63.0,1006.0,5.0,309.0,3956.0,2023-04-16 14:18:08.000,8.0.0,44.0,115.0,34,True,mimesis,conda-forge/mimesis,,1307.0,1307.0,https://pypi.org/project/mimesis,,,119399.0,122629.0,https://anaconda.org/conda-forge/mimesis,2023-04-16 17:06:18.281,106426.0,2.0,395.0,,,,,,,,,,,,,,,,,
49,structlog,hynek/structlog,logging,"Simple, powerful, and fast logging for Python.",,https://github.com/hynek/structlog,https://github.com/hynek/structlog,,2013-08-13 15:55:58.000,2023-04-24 21:16:06.000,2023-04-24 21:15:27,1332.0,39.0,177.0,33.0,236.0,28.0,241.0,2525.0,2023-04-06 12:17:40.000,23.1.0,12.0,97.0,34,False,structlog,conda-forge/structlog,,8134.0,8134.0,https://pypi.org/project/structlog,,,7541100.0,7544733.0,https://anaconda.org/conda-forge/structlog,2022-07-28 13:23:10.469,294350.0,2.0,,,,,,,,,,,,,,,,,,
50,wemake-python-styleguide,wemake-services/wemake-python-styleguide,linters,The strictest and most opinionated python linter ever!.,,https://github.com/wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide,MIT,2018-03-09 21:04:25.000,2023-04-27 07:58:11.000,2023-04-27 07:58:08,2186.0,36.0,368.0,26.0,1583.0,113.0,958.0,2202.0,2022-09-27 22:22:25.120,0.17.0,55.0,180.0,34,True,wemake-python-styleguide,,,14481.0,14430.0,https://pypi.org/project/wemake-python-styleguide,2022-09-27 22:22:25.120,51.0,306909.0,306909.0,,,,1.0,,,,,,,,,,,,,,,,,,
51,prospector,PyCQA/prospector,code-metrics,"Inspects Python source files and provides information about type and location of classes, methods etc.",,https://github.com/PyCQA/prospector,https://github.com/PyCQA/prospector,GPL-2.0,2013-08-05 07:26:30.000,2023-04-25 08:38:46.000,2023-04-25 08:38:42,1360.0,20.0,161.0,35.0,252.0,52.0,305.0,1793.0,2023-02-15 20:46:15.689,1.9.0,121.0,87.0,34,True,prospector,conda-forge/prospector,,4955.0,4190.0,https://pypi.org/project/prospector,2023-01-10 19:32:09.781,765.0,764030.0,764871.0,https://anaconda.org/conda-forge/prospector,2022-03-10 06:36:03.674,67355.0,1.0,,,,,,,,,,,,,,,,,,
52,tabulate,astanin/python-tabulate,logging,"Pretty-print tabular data in Python, a library and a command-line utility. Repository migrated from..",,https://github.com/astanin/python-tabulate,https://github.com/astanin/python-tabulate,MIT,2016-05-01 20:47:06.376,2023-04-17 15:20:31.000,2022-11-08 14:21:19,598.0,,128.0,22.0,86.0,72.0,117.0,1632.0,2022-10-06 17:23:25.701,0.9.0,27.0,83.0,34,True,tabulate,conda-forge/tabulate,,122887.0,115487.0,https://pypi.org/project/tabulate,2022-10-06 17:23:25.701,7400.0,45901457.0,45958326.0,https://anaconda.org/conda-forge/tabulate,2022-10-07 10:29:50.640,4720152.0,2.0,,,,,,,,,,,,,,,,,,
53,wheel,pypa/wheel,build-tools,The official binary distribution format for Python.,,https://github.com/pypa/wheel,https://github.com/pypa/wheel,MIT,2016-07-16 23:19:28.580,2023-04-24 23:09:23.000,2023-04-24 23:09:21,860.0,30.0,116.0,28.0,165.0,31.0,333.0,407.0,,,29.0,71.0,34,True,wheel,conda-forge/wheel,,204340.0,204340.0,https://pypi.org/project/wheel,,,171087718.0,171854300.0,https://anaconda.org/conda-forge/wheel,2023-03-14 16:43:24.949,62093193.0,2.0,,,,,,,,,,,,,,,,,,
54,pyenv,pyenv/pyenv,virtual-envs,Simple Python version management.,,https://github.com/pyenv/pyenv,https://github.com/pyenv/pyenv,MIT,2012-08-31 06:57:52.000,2023-04-25 04:39:39.000,2023-04-25 04:39:39,3089.0,61.0,2770.0,381.0,946.0,32.0,1566.0,31639.0,2023-04-06 03:59:00.000,2.3.17,73.0,417.0,33,True,pyenv,,,1.0,,https://pypi.org/project/pyenv,2019-01-12 14:49:22.000,1.0,9858.0,9858.0,,,,2.0,,,,,,,,,,,,,,,,,,
55,pyautogui,asweigart/pyautogui,testing,A cross-platform GUI automation Python module for human beings. Used to programmatically control the mouse & keyboard.,,https://github.com/asweigart/pyautogui,https://github.com/asweigart/pyautogui,BSD-3-Clause,2014-07-17 23:30:38.000,2023-03-23 07:22:18.000,2021-09-14 17:41:07,402.0,,1030.0,181.0,147.0,402.0,221.0,8012.0,,,11.0,51.0,33,False,pyautogui,conda-forge/pyautogui,,22738.0,22738.0,https://pypi.org/project/pyautogui,,,545443.0,548349.0,https://anaconda.org/conda-forge/pyautogui,2022-09-10 02:31:57.039,188932.0,2.0,,,,,,,,,,,,,,,,,,
56,pipx,pypa/pipx,dependency-managers,Install and Run Python Applications in Isolated Environments.,,https://github.com/pypa/pipx,https://github.com/pypa/pipx,MIT,2018-10-06 18:47:46.000,2023-04-27 13:52:57.000,2023-04-22 12:17:10,558.0,24.0,262.0,72.0,427.0,107.0,427.0,6331.0,2023-03-12 06:08:11.000,1.2.0,24.0,91.0,33,True,pipx,conda-forge/pipx,,1167.0,1167.0,https://pypi.org/project/pipx,,,596064.0,597521.0,https://anaconda.org/conda-forge/pipx,2023-03-13 16:16:53.369,23169.0,2.0,429.0,,,,,,,,,,,,,,,,,
57,pudb,inducer/pudb,debugging,Full-screen console debugger for Python.,,https://github.com/inducer/pudb,https://github.com/inducer/pudb,MIT,2011-05-13 23:44:30.000,2023-04-26 18:56:14.000,2023-04-26 14:17:15,1200.0,3.0,216.0,48.0,265.0,157.0,167.0,2650.0,2022-11-03 17:20:34.545,2022.1.3,76.0,91.0,33,True,pudb,conda-forge/pudb,,5463.0,4707.0,https://pypi.org/project/pudb,2022-11-03 17:20:34.545,756.0,215291.0,217871.0,https://anaconda.org/conda-forge/pudb,2022-11-04 08:31:30.859,209051.0,1.0,,,,,,,,,,,,,,,,,,
58,pytest-mock,pytest-dev/pytest-mock,testing,Thin-wrapper around the mock package for easier use with pytest.,,https://github.com/pytest-dev/pytest-mock,https://github.com/pytest-dev/pytest-mock,MIT,2014-07-17 00:40:32.000,2023-04-26 22:10:10.000,2023-04-26 22:10:10,549.0,16.0,121.0,35.0,222.0,12.0,124.0,1576.0,2022-10-05 18:53:03.000,3.10.0,37.0,64.0,33,True,pytest-mock,conda-forge/pytest-mock,['pytest'],61463.0,61463.0,https://pypi.org/project/pytest-mock,,,9995065.0,10020010.0,https://anaconda.org/conda-forge/pytest-mock,2022-10-06 14:14:09.423,2020554.0,2.0,,,,,,,,,,,,,,,,,,
59,nodeenv,ekalinin/nodeenv,virtual-envs,Virtual environment for Node.js & integrator with virtualenv.,,https://github.com/ekalinin/nodeenv,https://github.com/ekalinin/nodeenv,BSD-3-Clause,2011-03-29 15:28:56.000,2023-04-18 19:04:31.000,2023-03-19 13:02:50,678.0,6.0,173.0,34.0,154.0,49.0,134.0,1564.0,2022-06-25 15:42:15.000,1.7.0,70.0,89.0,33,True,nodeenv,conda-forge/nodeenv,,45117.0,44194.0,https://pypi.org/project/nodeenv,2022-06-25 15:38:17.000,923.0,10133179.0,10169365.0,https://anaconda.org/conda-forge/nodeenv,2022-06-25 20:07:06.831,2424519.0,2.0,,,,,,,,,,,,,,,,,,
60,pytest-cov,pytest-dev/pytest-cov,testing,Coverage plugin for pytest.,,https://github.com/pytest-dev/pytest-cov,https://github.com/pytest-dev/pytest-cov,MIT,2014-04-17 20:01:12.000,2023-03-27 18:03:33.000,2023-02-28 12:05:33,910.0,2.0,192.0,36.0,235.0,119.0,236.0,1424.0,,,19.0,82.0,33,True,pytest-cov,conda-forge/pytest-cov,['pytest'],247769.0,247769.0,https://pypi.org/project/pytest-cov,,,21885151.0,21981953.0,https://anaconda.org/conda-forge/pytest-cov,2022-09-29 00:56:23.882,8228199.0,2.0,,,,,,,,,,,,,,,,,,
61,pyflakes,PyCQA/pyflakes,linters,A simple program which checks Python source files for errors.,,https://github.com/PyCQA/pyflakes,https://github.com/PyCQA/pyflakes,MIT,2014-04-07 06:19:46.000,2023-04-25 23:37:23.000,2023-04-25 23:37:22,556.0,2.0,160.0,27.0,289.0,37.0,446.0,1259.0,,,15.0,84.0,33,True,pyflakes,conda-forge/pyflakes,,218652.0,218652.0,https://pypi.org/project/pyflakes,,,21033279.0,21106636.0,https://anaconda.org/conda-forge/pyflakes,2022-11-24 20:00:59.834,6015345.0,2.0,,,,,,,,,,,,,,,,,,
62,pytest-bdd,pytest-dev/pytest-bdd,testing,BDD library for the py.test runner.,,https://github.com/pytest-dev/pytest-bdd,https://github.com/pytest-dev/pytest-bdd,MIT,2013-03-29 07:27:43.000,2023-04-25 04:29:26.000,2023-04-04 06:58:55,1023.0,15.0,184.0,55.0,317.0,103.0,190.0,1155.0,2022-11-09 16:51:21.000,6.1.1,4.0,54.0,33,True,pytest-bdd,conda-forge/pytest-bdd,['pytest'],2778.0,2778.0,https://pypi.org/project/pytest-bdd,,,724720.0,725842.0,https://anaconda.org/conda-forge/pytest-bdd,2020-02-03 16:53:59.114,52758.0,2.0,,,,,,,,,,,,,,,,,,
63,pytest-html,pytest-dev/pytest-html,testing,Plugin for generating HTML reports for pytest results.,,https://github.com/pytest-dev/pytest-html,https://github.com/pytest-dev/pytest-html,,2015-04-14 19:22:42.000,2023-04-25 04:30:55.000,2023-04-15 10:21:52,459.0,46.0,200.0,23.0,315.0,117.0,207.0,581.0,2022-11-11 08:16:56.000,3.2.0,20.0,48.0,33,False,pytest-html,conda-forge/pytest-html,['pytest'],32372.0,32372.0,https://pypi.org/project/pytest-html,,,3166249.0,3171968.0,https://anaconda.org/conda-forge/pytest-html,2022-10-25 19:38:16.703,406106.0,2.0,,,,,,,,,,,,,,,,,,
64,py-spy,benfred/py-spy,profiling,Sampling profiler for Python programs.,,https://github.com/benfred/py-spy,https://github.com/benfred/py-spy,MIT,2018-08-01 02:22:15.000,2023-04-07 01:29:58.000,2022-12-09 01:08:31,462.0,,336.0,115.0,278.0,106.0,182.0,10157.0,2022-09-07 21:58:56.000,0.3.14,20.0,31.0,32,True,py-spy,conda-forge/py-spy,,2530.0,2530.0,https://pypi.org/project/py-spy,,,2862032.0,2873410.0,https://anaconda.org/conda-forge/py-spy,2022-09-09 07:18:41.721,432420.0,2.0,11981.0,,,,,,,,,,,,py-spy,https://crates.io/crates/py-spy,817.0,405407.0,,
65,PDM,pdm-project/pdm,dependency-managers,A modern Python package and dependency manager supporting the latest PEP standards.,,https://github.com/pdm-project/pdm,https://github.com/pdm-project/pdm,MIT,2019-12-27 03:50:57.000,2023-04-27 13:15:31.000,2023-04-27 11:15:20,2238.0,128.0,210.0,31.0,655.0,24.0,1000.0,4411.0,2023-04-19 09:22:41.000,2.5.3,100.0,107.0,32,True,pdm,conda-forge/pdm,,122.0,122.0,https://pypi.org/project/pdm,,,152368.0,158226.0,https://anaconda.org/conda-forge/pdm,2023-04-26 07:37:42.637,111305.0,3.0,3.0,,,,,,,,,,,,,,,,,
66,pytype,google/pytype,linters,A static type analyzer for Python code.,,https://github.com/google/pytype,https://github.com/google/pytype,Apache-2.0,2015-03-18 20:52:08.000,2023-04-25 22:42:20.000,2023-04-25 22:42:17,5957.0,167.0,272.0,56.0,809.0,117.0,490.0,4191.0,2023-04-18 21:08:02.107,2023.4.18,170.0,92.0,32,True,pytype,conda-forge/pytype,,131.0,,https://pypi.org/project/pytype,2023-01-31 21:44:41.768,131.0,251588.0,256032.0,https://anaconda.org/conda-forge/pytype,2023-04-19 15:10:23.411,155556.0,2.0,,,,,,,,,,,,,,,,,,
67,pex,pantsbuild/pex,packaging,A library and tool for generating .pex (Python EXecutable) files.,,https://github.com/pantsbuild/pex,https://github.com/pantsbuild/pex,Apache-2.0,2014-07-21 17:06:12.000,2023-04-26 21:29:55.000,2023-04-26 21:29:54,1324.0,40.0,238.0,55.0,1097.0,154.0,873.0,2319.0,2023-04-22 08:12:08.855,2.1.134,223.0,113.0,32,True,pex,,,141.0,,https://pypi.org/project/pex,2023-03-04 15:05:49.926,141.0,831553.0,946154.0,,,,2.0,2865042.0,,,,,,,,,,,,,,,,,
68,pyarmor,dashingsoft/pyarmor,security,"A tool used to obfuscate python scripts, bind obfuscated scripts to fixed machine or expire obfuscated scripts.",,https://github.com/dashingsoft/pyarmor,https://github.com/dashingsoft/pyarmor,,2017-08-26 04:11:53.000,2023-04-27 12:39:21.000,2023-04-27 12:33:58,3896.0,349.0,223.0,44.0,38.0,10.0,1061.0,2174.0,2023-04-01 12:06:24.000,8.1.0,100.0,29.0,32,False,pyarmor,,,796.0,796.0,https://pypi.org/project/pyarmor,,,154256.0,154256.0,,,,2.0,,,,,,,,,,,,,,,,,,
69,pdoc,mitmproxy/pdoc,documentation,API Documentation for Python Projects.,,https://github.com/mitmproxy/pdoc,https://github.com/mitmproxy/pdoc,Unlicense,2013-08-04 21:12:50.000,2023-04-24 11:20:17.000,2023-04-24 11:20:14,904.0,37.0,172.0,27.0,216.0,15.0,303.0,1514.0,2023-04-24 11:29:01.634,13.1.1,98.0,52.0,32,True,pdoc,,,2005.0,1730.0,https://pypi.org/project/pdoc,2023-01-06 22:04:00.729,275.0,102332.0,102332.0,,,,2.0,,,,,,,,,,,,,,,,,,
70,radon,rubik/radon,code-metrics,Various code metrics for Python code.,,https://github.com/rubik/radon,https://github.com/rubik/radon,MIT,2012-09-20 18:58:58.000,2023-03-26 13:44:46.000,2023-03-26 13:44:46,538.0,11.0,101.0,31.0,80.0,20.0,145.0,1443.0,2023-03-26 06:25:00.948,6.0.1,56.0,56.0,32,True,radon,conda-forge/radon,,4531.0,3897.0,https://pypi.org/project/radon,2021-08-08 13:25:20.000,634.0,466037.0,466902.0,https://anaconda.org/conda-forge/radon,2021-09-07 09:02:03.415,57109.0,2.0,,,,,,,,,,,,,,,,,,
71,pydocstyle,PyCQA/pydocstyle,linters,docstring style checker.,,https://github.com/PyCQA/pydocstyle,https://github.com/PyCQA/pydocstyle,MIT,2012-01-31 17:18:23.000,2023-02-10 09:37:04.000,2023-01-17 20:27:44,742.0,,188.0,20.0,313.0,111.0,222.0,1034.0,2023-01-17 20:31:11.783,6.3.0,22.0,89.0,32,True,pydocstyle,conda-forge/pydocstyle,,56898.0,54112.0,https://pypi.org/project/pydocstyle,2023-01-17 20:31:11.783,2786.0,3129581.0,3146042.0,https://anaconda.org/conda-forge/pydocstyle,2023-01-17 23:20:42.339,1333420.0,2.0,60.0,,,,,,,,,,,,,,,,,
72,progressbar2,WoLpH/python-progressbar,logging,Progressbar 2 - A progress bar for Python 2 and Python 3 - pip install progressbar2.,,https://github.com/wolph/python-progressbar,https://github.com/wolph/python-progressbar,BSD-3-Clause,2012-02-20 06:19:21.000,2023-04-25 20:45:24.000,2023-03-18 11:25:49,975.0,8.0,96.0,21.0,66.0,10.0,200.0,812.0,2022-10-26 13:47:55.000,4.2.0,44.0,42.0,32,True,progressbar2,conda-forge/progressbar2,,27609.0,27609.0,https://pypi.org/project/progressbar2,,,16633527.0,16644485.0,https://anaconda.org/conda-forge/progressbar2,2022-10-27 07:36:32.452,852653.0,2.0,1855.0,,,,,,,,,,,,,,,,,
73,memray,bloomberg/memray,profiling,Memray is a memory profiler for Python.,,https://github.com/bloomberg/memray,https://github.com/bloomberg/memray,Apache-2.0,2022-04-08 18:04:11.000,2023-04-27 02:43:07.000,2023-04-26 13:08:12,997.0,84.0,300.0,55.0,230.0,26.0,84.0,10448.0,2023-02-21 20:39:02.812,1.7.0,13.0,29.0,31,True,memray,conda-forge/memray,,151.0,139.0,https://pypi.org/project/memray,2023-01-17 23:09:01.475,12.0,83822.0,86561.0,https://anaconda.org/conda-forge/memray,2023-02-22 05:53:10.527,32874.0,2.0,,,,,,,,,,,,,,,,,,
74,xonsh,xonsh/xonsh,shell,"Python-powered, cross-platform, Unix-gazing shell.",,https://github.com/xonsh/xonsh,https://github.com/xonsh/xonsh,BSD-1-Clause,2015-01-21 22:05:27.000,2023-04-26 11:03:06.000,2023-04-19 12:59:32,10423.0,30.0,593.0,100.0,2549.0,263.0,2173.0,6992.0,2022-12-08 14:51:59.948,0.13.4,121.0,313.0,31,False,xonsh,,,98.0,,https://pypi.org/project/xonsh,2022-12-08 14:51:59.948,98.0,6674.0,6761.0,,,,1.0,8503.0,,,,,,,,,,,,,,,,,
75,pip-tools,jazzband/pip-tools,dependency-managers,A set of tools to keep your pinned Python dependencies fresh.,,https://github.com/jazzband/pip-tools,https://github.com/jazzband/pip-tools,BSD-3-Clause,2012-09-10 08:50:26.000,2023-04-24 19:45:25.000,2023-04-09 22:03:56,1877.0,19.0,501.0,104.0,894.0,123.0,804.0,6798.0,2023-04-07 16:47:19.000,6.13.0,62.0,185.0,31,True,pip-tools,conda-forge/pip-tools,,,,https://pypi.org/project/pip-tools,,,9061039.0,9063376.0,https://anaconda.org/conda-forge/pip-tools,2023-04-07 19:35:02.377,84158.0,3.0,,,,,,,,,,,,,,,,,,
76,pyinstrument,joerick/pyinstrument,profiling,Call stack profiler for Python. Shows you why your code is slow!.,,https://github.com/joerick/pyinstrument,https://github.com/joerick/pyinstrument,BSD-3-Clause,2014-03-13 17:53:13.000,2023-04-27 11:57:28.000,2023-04-25 08:13:00,819.0,10.0,219.0,56.0,125.0,17.0,97.0,5276.0,2022-11-05 12:02:04.078,4.4.0,39.0,47.0,31,True,pyinstrument,conda-forge/pyinstrument,,1552.0,1435.0,https://pypi.org/project/pyinstrument,2022-11-05 12:02:04.078,117.0,429717.0,432117.0,https://anaconda.org/conda-forge/pyinstrument,2022-11-05 17:20:23.957,189619.0,2.0,,,,,,,,,,,,,,,,,4.0,
77,sphinx_rtd_theme,readthedocs/sphinx_rtd_theme,documentation,Sphinx theme for readthedocs.org.,,https://github.com/readthedocs/sphinx_rtd_theme,https://github.com/readthedocs/sphinx_rtd_theme,MIT,2013-10-17 17:10:49.000,2023-04-22 18:58:10.000,2023-04-22 18:58:10,1447.0,5.0,1550.0,164.0,667.0,164.0,595.0,4353.0,,,18.0,114.0,31,True,sphinx_rtd_theme,conda-forge/sphinx_rtd_theme,['sphinx'],16.0,16.0,https://pypi.org/project/sphinx_rtd_theme,,,3242901.0,3283960.0,https://anaconda.org/conda-forge/sphinx_rtd_theme,2023-02-12 11:49:57.271,3284755.0,2.0,,,,,,,,,,,,,,,,,-6.0,
78,flit,pypa/flit,build-tools,Simplified packaging of Python modules.,,https://github.com/pypa/flit,https://github.com/pypa/flit,BSD-3-Clause,2015-03-13 21:22:27.000,2023-04-26 18:02:53.000,2023-04-26 18:02:47,1151.0,9.0,112.0,33.0,261.0,131.0,265.0,1937.0,2022-11-05 13:10:04.066,3.8.0,48.0,65.0,31,True,flit,conda-forge/flit,,1789.0,1372.0,https://pypi.org/project/flit,2022-11-05 13:10:04.066,417.0,168672.0,170748.0,https://anaconda.org/conda-forge/flit,2022-11-06 11:38:49.501,153655.0,3.0,,,,,,,,,,,,,,,,,,
79,doit,pydoit/doit,build-tools,task management & automation tool.,,https://github.com/pydoit/doit,https://github.com/pydoit/doit,MIT,2014-02-14 22:21:23.000,2023-03-18 18:37:44.000,2023-01-16 03:40:03,1483.0,,165.0,52.0,161.0,80.0,215.0,1580.0,2022-04-22 15:33:23.000,0.36.0,48.0,65.0,31,True,doit,conda-forge/doit,,1770.0,1479.0,https://pypi.org/project/doit,2022-04-22 15:33:23.000,291.0,397575.0,400509.0,https://anaconda.org/conda-forge/doit,2022-04-22 16:36:58.774,187836.0,3.0,,,,,,,,,,,,,,,,,,
80,logbook,getlogbook/logbook,logging,A cool logging replacement for Python.,,https://github.com/getlogbook/logbook,https://github.com/getlogbook/logbook,BSD-3-Clause,2010-07-22 10:13:12.000,2022-10-28 10:53:26.838,2019-10-16 17:48:40,1195.0,,158.0,35.0,151.0,64.0,126.0,1435.0,2019-10-16 18:14:55.000,1.5.3,41.0,76.0,31,False,logbook,conda-forge/logbook,,5552.0,4360.0,https://pypi.org/project/logbook,2019-10-16 18:14:55.000,1192.0,2473662.0,2476220.0,https://anaconda.org/conda-forge/logbook,2022-10-28 10:53:26.838,125212.0,2.0,292.0,,,,,,,,,,,,,,,,,
81,mkdocstrings,mkdocstrings/mkdocstrings,documentation,"Automatic documentation from sources, for MkDocs.",,https://github.com/mkdocstrings/mkdocstrings,https://github.com/mkdocstrings/mkdocstrings,ISC,2019-12-09 18:09:09.000,2023-04-07 10:32:53.843,2023-04-06 14:06:29,559.0,11.0,92.0,11.0,155.0,54.0,285.0,1200.0,2023-04-06 14:07:03.047,0.21.2,49.0,36.0,31,True,mkdocstrings,conda-forge/mkdocstrings,['mkdocs'],8118.0,7497.0,https://pypi.org/project/mkdocstrings,2023-01-19 22:59:01.803,621.0,369844.0,371804.0,https://anaconda.org/conda-forge/mkdocstrings,2023-04-07 10:32:53.843,58812.0,2.0,,,,,,,,,,,,,,,,,,
82,cx_Freeze,marcelotduarte/cx_Freeze,packaging,"Create standalone executables from Python scripts, with the same performance and is cross-platform.",,https://github.com/marcelotduarte/cx_Freeze,https://github.com/marcelotduarte/cx_Freeze,PSF-2.0,2017-01-22 04:25:52.000,2023-04-25 18:04:11.000,2023-04-20 00:16:43,1577.0,69.0,199.0,29.0,927.0,68.0,779.0,1058.0,2023-04-08 19:43:00.944,6.14.9,62.0,103.0,31,True,cx_freeze,conda-forge/cx_freeze,,43.0,,https://pypi.org/project/cx_freeze,2023-01-30 09:51:27.855,43.0,89548.0,93787.0,https://anaconda.org/conda-forge/cx_freeze,2023-04-09 01:25:04.667,216233.0,2.0,,,,,,,,,,,,,,,,,,
