,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,trending,conda_forge
10,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2023-04-23 02:29:47.000,2023-03-03 21:07:28,1940.0,12.0,1207.0,210.0,512.0,343.0,569.0,24614.0,2023-03-03 21:28:29.000,4.65.0,104.0,112.0,43,True,tqdm,conda-forge/tqdm,,449992.0,449992.0,https://pypi.org/project/tqdm,,,56794798.0,57032012.0,https://anaconda.org/conda-forge/tqdm,2023-03-04 16:57:20.216,19436856.0,1.0,10978.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2023-03-18 01:39:51.172447,2.0,4088.0,,,,,,,,,,,,
11,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2023-04-24 10:22:59.000,2023-04-24 10:22:58,5930.0,58.0,1282.0,239.0,625.0,225.0,1387.0,9267.0,,,37.0,195.0,43,True,psutil,conda-forge/psutil,,298637.0,298637.0,https://pypi.org/project/psutil,,,64580038.0,64834554.0,https://anaconda.org/conda-forge/psutil,2023-04-17 23:58:50.059,21379348.0,1.0,,,,,,,,,,,,,,,,,,
12,conda,conda/conda,dependency-managers,"A system-level, binary package and environment manager running on all major operating systems and platforms.",,https://github.com/conda/conda,https://github.com/conda/conda,BSD-3-Clause,2012-10-15 22:08:03.000,2023-04-27 14:11:12.000,2023-04-26 05:03:11,16293.0,114.0,1367.0,201.0,3576.0,766.0,8290.0,5390.0,2023-03-30 03:29:50.000,23.3.1,100.0,423.0,43,True,conda,conda-forge/conda,,40538.0,39444.0,https://pypi.org/project/conda,2016-09-16 15:07:21.000,1094.0,251878.0,771443.0,https://anaconda.org/conda-forge/conda,2023-03-30 15:12:14.391,41565231.0,1.0,,,,,,,,,,,,,,,,,,
13,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/pylint-dev/pylint,https://github.com/pylint-dev/pylint,GPL-2.0,2015-12-09 05:40:02.000,2023-04-27 11:33:57.000,2023-04-26 19:43:13,8595.0,343.0,967.0,75.0,3708.0,711.0,4204.0,4646.0,2023-04-24 18:25:38.000,2.17.3,73.0,522.0,43,True,pylint,conda-forge/pylint,,356637.0,356637.0,https://pypi.org/project/pylint,,,13485107.0,13535144.0,https://anaconda.org/conda-forge/pylint,2023-04-24 23:11:58.211,4002980.0,1.0,,,,,,,pylint-dev/pylint,,,,,,,,,,,
14,mypy,python/mypy,linters,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,,2012-12-07 13:30:23.000,2023-04-27 10:08:53.000,2023-04-27 07:18:32,11148.0,224.0,2416.0,231.0,6142.0,2389.0,6544.0,15246.0,,,48.0,646.0,42,False,mypy,conda-forge/mypy,,182296.0,182296.0,https://pypi.org/project/mypy,,,13395058.0,13439975.0,https://anaconda.org/conda-forge/mypy,2023-04-06 20:15:11.302,2919640.0,1.0,,,,,,,,,,,,,,,,,,
15,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2023-04-27 09:15:49.000,2023-04-25 07:41:40,5191.0,287.0,2830.0,112.0,2322.0,20.0,1825.0,13594.0,2023-04-24 17:54:40.000,9.1.8,152.0,207.0,42,True,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],31353.0,31353.0,https://pypi.org/project/mkdocs-material,,,2264507.0,2269508.0,https://anaconda.org/conda-forge/mkdocs-material,2023-04-24 22:39:40.757,235082.0,1.0,,,,,,,,,,,,,,,,,,
16,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2023-04-25 04:53:46.000,2023-04-25 04:53:45,2505.0,101.0,720.0,89.0,1072.0,22.0,1727.0,10247.0,2023-04-03 20:33:16.838,3.2.2,181.0,149.0,42,True,pre-commit,conda-forge/pre-commit,,129792.0,124512.0,https://pypi.org/project/pre-commit,2023-01-29 23:39:18.572,5280.0,10142652.0,10214930.0,https://anaconda.org/conda-forge/pre-commit,2023-04-05 11:14:12.921,2915830.0,1.0,402702.0,,,,,,,,,,,,,,,,,
17,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2023-04-26 20:59:25.000,2023-04-26 20:59:24,8719.0,71.0,1876.0,232.0,2143.0,282.0,4576.0,10223.0,2023-04-14 22:23:12.000,5.10.1,51.0,449.0,42,True,pyinstaller,conda-forge/pyinstaller,,42581.0,42287.0,https://pypi.org/project/pyinstaller,2022-12-04 15:03:02.559,294.0,1110801.0,1122507.0,https://anaconda.org/conda-forge/pyinstaller,2023-04-15 00:11:39.283,428778.0,1.0,737597.0,,,,,,,,,,,,,,,,,
18,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,,2015-01-02 10:53:28.000,2023-04-27 14:11:18.000,2023-04-27 13:53:51,20084.0,197.0,1802.0,144.0,4889.0,1136.0,5303.0,5373.0,2023-04-25 11:04:54.000,6.2.1,97.0,780.0,42,False,sphinx,conda-forge/sphinx,['sphinx'],297924.0,297924.0,https://pypi.org/project/sphinx,,,8513425.0,8606314.0,https://anaconda.org/conda-forge/sphinx,2023-04-25 11:21:37.448,7431137.0,1.0,,,,,,,,,,,,,,,,,,
19,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2023-04-25 11:16:44.000,2023-04-24 09:44:49,1838.0,17.0,2162.0,232.0,1119.0,123.0,1676.0,16311.0,2022-11-01 18:34:14.000,1.4.2,24.0,234.0,41,True,mkdocs,conda-forge/mkdocs,['mkdocs'],42721.0,42721.0,https://pypi.org/project/mkdocs,,,1475525.0,1478450.0,https://anaconda.org/conda-forge/mkdocs,2022-11-12 09:58:55.579,245723.0,1.0,,,,,,,,,,,,,,,,,,
