,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
175,flake8-commas,PyCQA/flake8-commas,linters,Flake8 extension for enforcing trailing commas in python.,,https://github.com/PyCQA/flake8-commas,https://github.com/PyCQA/flake8-commas,MIT,2015-12-16 09:25:13.000,2026-01-05 17:48:01.000,2026-01-05 17:47:43,223.0,5.0,30.0,3.0,40.0,28.0,134.0,2024-05-16 20:07:44.000,4.0.0,22.0,15.0,3.0,26,True,,flake8-commas,,['flake8'],,199740.0,19280.0,19064.0,https://pypi.org/project/flake8-commas,2024-05-16 20:07:44.000,216.0,199740.0,,,,3.0,,,,,,,,,,,,,,,,,,
176,flake8-builtins,gforcada/flake8-builtins,linters,Check for python builtins being used as variables or parameters.,,https://github.com/gforcada/flake8-builtins,https://github.com/gforcada/flake8-builtins,GPL-2.0,2016-03-02 00:26:51.000,2025-10-27 19:47:11.685,2025-10-25 13:46:02,372.0,8.0,25.0,3.0,81.0,49.0,118.0,2025-10-25 13:45:56.000,3.1.0,33.0,21.0,3.0,26,True,,flake8-builtins,conda-forge/flake8-builtins,['flake8'],,652720.0,12185.0,11599.0,https://pypi.org/project/flake8-builtins,2025-10-25 13:45:56.000,586.0,641655.0,https://anaconda.org/conda-forge/flake8-builtins,2025-10-27 19:47:11.685,431550.0,3.0,,,,,,,,,,,,,,,,,,
177,rebound,shobrook/rebound,logging,Instant Stack Overflow results whenever an exception is thrown.,,https://github.com/shobrook/rebound,https://github.com/shobrook/rebound,GPL-2.0+,2018-02-28 04:47:03.000,2026-01-04 16:08:23.664,2022-02-16 05:16:40,168.0,,380.0,75.0,41.0,38.0,4135.0,2026-01-02 22:29:09.000,4.5.0,230.0,16.0,24.0,25,False,,rebound,conda-forge/rebound,,274.0,33264.0,49.0,,https://pypi.org/project/rebound,2026-01-02 22:29:09.000,49.0,17316.0,https://anaconda.org/conda-forge/rebound,2026-01-04 16:08:23.664,1084390.0,3.0,,,,,,,,,,,,,,,,,,
178,dephell,dephell/dephell,dependency-managers,"Python project management. Manage packages: convert between formats, lock, install, resolve, isolate, test, build..",,https://github.com/dephell/dephell,https://github.com/dephell/dephell,MIT,2018-08-31 17:39:18.000,2021-01-11 21:31:40.000,2021-01-11 21:31:39,2145.0,,118.0,25.0,221.0,161.0,1786.0,2020-04-28 06:31:17.000,.0.8.3,30.0,37.0,107.0,25,False,,dephell,,,352.0,817.0,867.0,847.0,https://pypi.org/project/dephell,2020-04-28 06:31:03.273,20.0,813.0,,,,3.0,,,,,,,,,,,,,,,,,,
179,stackprinter,cknd/stackprinter,logging,Debugging-friendly exceptions for Python.,,https://github.com/cknd/stackprinter,https://github.com/cknd/stackprinter,MIT,2018-09-05 10:58:47.000,2026-01-08 14:21:03.315,2025-10-30 16:16:04,218.0,3.0,40.0,7.0,39.0,25.0,1300.0,2024-03-13 19:36:07.000,0.2.12,21.0,8.0,11.0,25,True,,stackprinter,conda-forge/stackprinter,,,410095.0,487.0,439.0,https://pypi.org/project/stackprinter,2024-03-13 19:36:07.000,48.0,409845.0,https://anaconda.org/conda-forge/stackprinter,2026-01-08 14:21:03.315,15779.0,3.0,,,,,,,,,,,,,,,,,,
180,python-hunter,ionelmc/python-hunter,debugging,Hunter is a flexible code tracing toolkit.,,https://github.com/ionelmc/python-hunter,https://github.com/ionelmc/python-hunter,BSD-2-Clause,2015-03-16 18:03:16.000,2025-11-03 14:44:40.719,2025-08-22 21:11:31,1154.0,,51.0,11.0,23.0,55.0,865.0,2025-08-22 22:11:39.000,3.9.0,56.0,10.0,47.0,25,True,,hunter,conda-forge/hunter,,,551062.0,17.0,,https://pypi.org/project/hunter,2025-08-22 22:11:39.000,17.0,547349.0,https://anaconda.org/conda-forge/hunter,2025-11-03 14:44:40.719,200542.0,3.0,,,,,,,,,,,,,,,,,,
181,Fixit,Instagram/Fixit,linters,Advanced Python linting framework with auto-fixes and hierarchical configuration that makes it easy to write custom..,,https://github.com/Instagram/Fixit,https://github.com/Instagram/Fixit,,2020-02-20 19:09:01.000,2026-01-17 19:53:41.000,2026-01-17 19:53:41,416.0,14.0,68.0,22.0,423.0,91.0,697.0,2025-11-12 22:19:10.000,2.2.1,13.0,50.0,44.0,25,False,,fixit,,,,87747.0,121.0,105.0,https://pypi.org/project/fixit,2025-11-12 22:19:10.000,16.0,87747.0,,,,3.0,,,,,,,,,,,,,,,,,,
182,Mamba Test Runner,nestorsalceda/mamba,testing,The definitive testing tool for Python. Born under the banner of Behavior Driven Development (BDD).,,https://github.com/nestorsalceda/mamba,https://github.com/nestorsalceda/mamba,MIT,2013-03-12 18:53:42.000,2023-11-09 15:34:22.000,2023-11-09 15:30:55,473.0,,65.0,22.0,87.0,52.0,539.0,2023-11-09 15:34:22.000,0.11.3,22.0,23.0,53.0,25,False,,mamba,,,,11397.0,1397.0,1368.0,https://pypi.org/project/mamba,2023-11-09 15:34:22.000,29.0,11397.0,,,,3.0,,,,,,,,,,,,,,,,,,
183,flake8-eradicate,wemake-services/flake8-eradicate,linters,Flake8 plugin to find commented out or dead code.,,https://github.com/wemake-services/flake8-eradicate,https://github.com/wemake-services/flake8-eradicate,MIT,2018-09-21 06:58:51.000,2025-04-22 14:57:50.454,2024-12-31 07:51:55,440.0,,13.0,2.0,332.0,32.0,316.0,2023-05-31 09:59:03.360,1.5.0,16.0,17.0,8.0,25,False,,flake8-eradicate,conda-forge/flake8-eradicate,['flake8'],,516437.0,20394.0,20221.0,https://pypi.org/project/flake8-eradicate,2023-05-31 09:59:03.360,173.0,515966.0,https://anaconda.org/conda-forge/flake8-eradicate,2025-04-22 14:57:50.454,26889.0,3.0,,,,,,,,,,,,,,,,,,
184,pytest-mypy,dbader/pytest-mypy,testing,Mypy static type checker plugin for Pytest.,,https://github.com/realpython/pytest-mypy,https://github.com/realpython/pytest-mypy,MIT,2016-09-29 14:39:23.000,2025-04-22 14:57:21.503,2025-04-02 15:52:31,354.0,,33.0,7.0,125.0,65.0,257.0,2025-04-02 19:31:14.000,1.0.1,25.0,16.0,7.0,25,True,realpython/pytest-mypy,pytest-mypy,conda-forge/pytest-mypy,['pytest'],,379276.0,5437.0,4654.0,https://pypi.org/project/pytest-mypy,2025-04-02 19:31:14.000,783.0,377379.0,https://anaconda.org/conda-forge/pytest-mypy,2025-04-22 14:57:21.503,123324.0,3.0,,,,,,,,,,,,,,,,,,
