,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,trending,conda_forge
10,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2024-01-13 14:09:49.000,2024-01-13 14:09:26,6021.0,43.0,1319.0,236.0,665.0,1417.0,9751.0,,,38.0,202.0,44,True,,257.0,psutil,conda-forge/psutil,,423326.0,423326.0,https://pypi.org/project/psutil,,,75532114.0,76197719.0,https://anaconda.org/conda-forge/psutil,2023-12-17 17:25:17.736,27955424.0,1.0,,,,,,,,,,,,,,,,,
11,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2024-01-16 10:50:00.000,2023-11-15 16:31:56,3870.0,21.0,1675.0,543.0,1063.0,1062.0,46077.0,2023-11-15 16:33:44.000,13.7.0,190.0,235.0,43,True,,197.0,rich,conda-forge/rich,,165231.0,159140.0,https://pypi.org/project/rich,2023-11-15 16:32:11.000,6091.0,33476243.0,33618295.0,https://anaconda.org/conda-forge/rich,2023-11-16 18:47:06.251,5966224.0,1.0,,,,,,,,,,,,,,,,,
12,conda,conda/conda,dependency-managers,"A system-level, binary package and environment manager running on all major operating systems and platforms.",,https://github.com/conda/conda,https://github.com/conda/conda,BSD-3-Clause,2012-10-15 22:08:03.000,2024-01-18 13:23:11.000,2024-01-17 22:37:55,16682.0,130.0,1432.0,197.0,4041.0,8731.0,5930.0,2023-12-01 04:46:19.000,23.11.0,100.0,448.0,43,True,,736.0,conda,conda-forge/conda,,46285.0,45189.0,https://pypi.org/project/conda,2017-04-22 23:43:59.218,1096.0,105984.0,1214013.0,https://anaconda.org/conda-forge/conda,2023-12-04 23:31:22.998,48753279.0,1.0,,,,,,,,,,,,,,,,,
13,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,,2015-01-02 10:53:28.000,2024-01-18 12:36:36.000,2024-01-18 01:26:17,20578.0,131.0,1907.0,151.0,5132.0,5630.0,5867.0,2023-09-13 23:13:00.000,7.2.6,108.0,798.0,43,False,,1083.0,sphinx,conda-forge/sphinx,['sphinx'],353470.0,353470.0,https://pypi.org/project/sphinx,,,9738236.0,9934826.0,https://anaconda.org/conda-forge/sphinx,2023-09-13 23:26:46.261,8649990.0,1.0,,,,,,,,,,,,,,,,,
14,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2023-12-28 20:38:16.000,2023-08-10 10:52:15,1964.0,,1377.0,207.0,540.0,577.0,26854.0,2023-08-10 11:59:02.000,4.66.1,135.0,112.0,42,True,,491.0,tqdm,conda-forge/tqdm,,658809.0,629772.0,https://pypi.org/project/tqdm,2023-08-10 11:38:57.000,29037.0,75617477.0,76186316.0,https://anaconda.org/conda-forge/tqdm,2023-08-10 12:44:00.709,24452312.0,1.0,11885.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2023-08-26 01:32:37.879259,2.0,4199.0,,,,,,,,,,,
15,ruff,charliermarsh/ruff,linters,"An extremely fast Python linter and code formatter, written in Rust.",,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44.000,2024-01-18 13:48:10.000,2024-01-18 10:01:21,6107.0,736.0,727.0,69.0,5710.0,3056.0,22211.0,2024-01-12 15:52:51.000,0.1.13,280.0,346.0,42,True,astral-sh/ruff,610.0,ruff,conda-forge/ruff,,31643.0,29630.0,https://pypi.org/project/ruff,2024-01-12 15:03:14.000,2013.0,7514613.0,7561048.0,https://anaconda.org/conda-forge/ruff,2024-01-16 20:05:40.221,480911.0,1.0,145025.0,,,,,,,,,,,,,,,,
16,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2024-01-16 16:02:26.000,2023-12-23 12:59:57,2032.0,56.0,2272.0,232.0,1244.0,1794.0,17750.0,2023-09-18 21:27:59.000,1.5.3,29.0,246.0,42,True,,114.0,mkdocs,conda-forge/mkdocs,['mkdocs'],55318.0,55318.0,https://pypi.org/project/mkdocs,,,2264555.0,2274668.0,https://anaconda.org/conda-forge/mkdocs,2023-09-19 01:25:40.888,313526.0,1.0,,,,,,,,,,,,,,,,,
17,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2024-01-18 11:11:47.000,2024-01-15 10:36:27,5999.0,208.0,3102.0,123.0,2736.0,2146.0,17019.0,2024-01-15 10:39:07.000,9.5.4,192.0,249.0,42,True,,33.0,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],42166.0,42166.0,https://pypi.org/project/mkdocs-material,,,3005989.0,3013841.0,https://anaconda.org/conda-forge/mkdocs-material,2024-01-15 13:34:28.397,345507.0,1.0,,,,,,,,,,,,,,,,,
18,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2024-01-17 03:51:02.000,2024-01-15 21:51:50,9120.0,102.0,1965.0,233.0,2317.0,4889.0,10979.0,2023-12-10 23:44:46.000,6.3.0,60.0,461.0,42,True,,279.0,pyinstaller,conda-forge/pyinstaller,,53610.0,53195.0,https://pypi.org/project/pyinstaller,2023-12-10 23:42:31.000,415.0,1676908.0,1697313.0,https://anaconda.org/conda-forge/pyinstaller,2024-01-09 20:51:23.693,518791.0,1.0,743500.0,,,,,,,,,,,,,,,,
19,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2024-01-15 21:50:00.000,2024-01-11 21:48:10,14532.0,263.0,2214.0,475.0,700.0,4088.0,8650.0,2024-01-11 16:01:12.000,7.0,127.0,193.0,42,True,,249.0,robotframework,conda-forge/robotframework,,10824.0,9689.0,https://pypi.org/project/robotframework,2024-01-11 16:17:42.000,1135.0,1740213.0,1745170.0,https://anaconda.org/conda-forge/robotframework,2024-01-11 22:50:41.389,168402.0,1.0,554.0,,,,,,,,,,,,,,,,
