,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,conda_id,pypi_id,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,labels,trending,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge,updated_github_id
158,vprof,https://github.com/nvdv/vprof,,Visual profiler for Python.,profiling,22,True,nvdv/vprof,https://github.com/nvdv/vprof,BSD-2-Clause,2015-06-29 03:59:39.000000,2021-02-20 07:50:28.000000,2021-02-20 07:47:40.000000,167.0,56.0,3781.0,2018-06-24 14:16:36.000000,0.37.6,24.0,17.0,25.0,,vprof,619.0,102.0,84.0,https://pypi.org/project/vprof,2020-02-29 13:31:59.000000,18.0,2963.0,2963.0,,,,3.0,,,,,,,,,,,,,,,,
159,memory-profiler,https://github.com/pythonprofilers/memory_profiler,,Monitor Memory usage of Python code.,profiling,22,True,pythonprofilers/memory_profiler,https://github.com/pythonprofilers/memory_profiler,BSD-3-Clause,2011-10-14 11:56:14.000000,2021-10-12 21:50:21.000000,2021-10-12 21:50:21.000000,321.0,100.0,3118.0,2018-08-16 03:16:49.000000,0.54.0,52.0,89.0,105.0,,memory_profiler,641.0,534.0,,https://pypi.org/project/memory_profiler,2018-08-16 03:16:49.000000,534.0,,,,,,3.0,,,,,,,,-5.0,,,,,,,,
160,alive-progress,https://github.com/rsalmei/alive-progress,,"A new kind of Progress Bar, with real time throughput, ETA and very cool animations!.",logging,22,True,rsalmei/alive-progress,https://github.com/rsalmei/alive-progress,MIT,2019-08-05 05:54:30.000000,2021-10-19 11:48:23.000000,2021-10-19 01:26:52.000000,112.0,64.0,2772.0,2021-10-19 01:28:57.000000,2.1.0,21.0,1.0,25.0,conda-forge/alive-progress,alive-progress,,440.0,440.0,https://pypi.org/project/alive-progress,2021-10-19 01:28:57.000000,0.0,18306.0,18830.0,https://anaconda.org/conda-forge/alive-progress,2021-01-08 03:33:35.990000,10492.0,3.0,,,,,,,,,,,,,,,,
161,pyt,https://github.com/python-security/pyt,,A Static Analysis Tool for Detecting Security Vulnerabilities in Python Web Applications.,security,22,False,python-security/pyt,https://github.com/python-security/pyt,GPL-2.0,2016-10-26 15:34:48.000000,2020-12-25 03:47:37.000000,2020-03-08 21:43:06.000000,224.0,76.0,2056.0,2018-11-01 16:02:57.000000,0.42,15.0,22.0,21.0,,python-taint,1576.0,76.0,54.0,https://pypi.org/project/python-taint,2018-11-01 16:02:04.000000,22.0,2403.0,2404.0,,,,3.0,,66.0,,,,,,,,,,,,,,
162,sixpack,https://github.com/sixpack/sixpack,,Sixpack is a language-agnostic a/b-testing framework.,testing,22,False,sixpack/sixpack,https://github.com/sixpack/sixpack,BSD-2-Clause,2012-11-15 00:01:06.000000,2021-08-03 05:52:12.000000,2020-08-26 00:32:16.000000,185.0,125.0,1710.0,2017-11-22 14:27:35.000000,2.7.0,37.0,56.0,88.0,,sixpack,828.0,12.0,8.0,https://pypi.org/project/sixpack,2017-11-22 14:27:35.000000,4.0,219.0,219.0,,,,3.0,,,,,,,,,,,,,,,,
163,stackprinter,https://github.com/cknd/stackprinter,,Debugging-friendly exceptions for Python.,logging,22,True,cknd/stackprinter,https://github.com/cknd/stackprinter,MIT,2018-09-05 10:58:47.000000,2021-03-18 20:44:50.000000,2021-01-01 18:48:26.000000,33.0,15.0,1145.0,2020-10-31 13:10:42.000000,0.2.5,14.0,6.0,11.0,,stackprinter,159.0,82.0,78.0,https://pypi.org/project/stackprinter,2020-10-31 13:06:59.000000,4.0,56581.0,56581.0,,,,3.0,,,,,,,,,,,,,,,,
164,typeguard,https://github.com/agronholm/typeguard,,Run-time type checker for Python.,debugging,22,True,agronholm/typeguard,https://github.com/agronholm/typeguard,MIT,2015-12-27 23:15:37.000000,2021-10-15 22:06:18.000000,2021-10-11 21:20:03.000000,64.0,135.0,740.0,2021-10-10 23:43:14.000000,2.13.0,42.0,18.0,32.0,conda-forge/typeguard,typeguard,257.0,158.0,,https://pypi.org/project/typeguard,2021-10-10 23:43:14.000000,158.0,,1747.0,https://anaconda.org/conda-forge/typeguard,2021-10-11 07:35:51.312000,57676.0,3.0,,,,,,,,,,,,,,,,
165,pynsist,https://github.com/takluyver/pynsist,,Build Windows installers for Python applications.,packaging,22,True,takluyver/pynsist,https://github.com/takluyver/pynsist,MIT,2014-03-30 19:11:21.000000,2021-10-10 14:32:02.000000,2021-10-10 14:31:59.000000,101.0,132.0,726.0,2020-07-03 08:11:24.000000,2.5.1,21.0,28.0,25.0,,pynsist,547.0,88.0,,https://pypi.org/project/pynsist,2021-03-28 16:28:58.000000,88.0,2327.0,2327.0,,,,3.0,,,,,,,,,,,,,,,,
166,python-hunter,https://github.com/ionelmc/python-hunter,,Hunter is a flexible code tracing toolkit.,debugging,22,True,ionelmc/python-hunter,https://github.com/ionelmc/python-hunter,BSD-2-Clause,2015-03-16 18:03:16.000000,2021-10-13 15:22:29.000000,2021-10-13 15:22:29.000000,35.0,50.0,644.0,2021-06-23 20:47:14.000000,3.3.8,45.0,9.0,37.0,,hunter,959.0,102.0,68.0,https://pypi.org/project/hunter,2021-06-23 20:47:14.000000,34.0,6033.0,6033.0,,,,3.0,,,,,,,,,,,,,,,,
167,PyHamcrest,https://github.com/hamcrest/PyHamcrest,,Hamcrest matchers for Python.,testing,22,True,hamcrest/PyHamcrest,https://github.com/hamcrest/PyHamcrest,BSD-3-Clause,2010-12-24 02:55:56.000000,2021-10-10 15:26:11.000000,2021-10-10 15:26:11.000000,87.0,49.0,580.0,2020-03-02 14:42:32.000000,2.0.2,22.0,35.0,15.0,conda-forge/pyhamcrest,pyhamcrest,,3392.0,,https://pypi.org/project/pyhamcrest,2020-03-02 14:42:32.000000,3392.0,,5842.0,https://anaconda.org/conda-forge/pyhamcrest,2020-03-02 15:36:14.195000,379779.0,3.0,,,,,,,,,,,,,,,,
168,mkdocstrings,https://github.com/mkdocstrings/mkdocstrings,,"Automatic documentation from sources, for MkDocs.",documentation,22,True,mkdocstrings/mkdocstrings,https://github.com/mkdocstrings/mkdocstrings,ISC,2019-12-09 18:09:09.000000,2021-10-10 14:12:38.000000,2021-10-10 11:07:30.000000,51.0,154.0,507.0,2021-10-04 10:44:56.000000,0.16.2,40.0,24.0,47.0,conda-forge/mkdocstrings,mkdocstrings,463.0,0.0,,https://pypi.org/project/mkdocstrings,2021-10-04 10:44:56.000000,0.0,98122.0,98887.0,https://anaconda.org/conda-forge/mkdocstrings,2021-10-04 21:04:52.323000,9184.0,3.0,,,,,,,['mkdocs'],,,,,,,,,
169,flake8-import-order,https://github.com/PyCQA/flake8-import-order,,Flake8 plugin that checks import order against various Python Style Guides.,linters,22,False,PyCQA/flake8-import-order,https://github.com/PyCQA/flake8-import-order,LGPL-3.0,2014-03-16 12:46:09.000000,2021-03-12 04:22:24.000000,2020-08-04 12:21:12.000000,61.0,85.0,245.0,2019-03-04 08:39:11.000000,0.18.1,34.0,40.0,13.0,conda-forge/flake8-import-order,flake8-import-order,274.0,1892.0,,https://pypi.org/project/flake8-import-order,2019-03-04 08:39:11.000000,1892.0,,3374.0,https://anaconda.org/conda-forge/flake8-import-order,2019-03-06 03:48:48.199000,199067.0,3.0,,,,,,,['flake8'],,,,,,,,,
170,mkdocs-pdf-export-plugin,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,,An MkDocs plugin to export content pages as PDF files.,documentation,22,True,zhaoterryy/mkdocs-pdf-export-plugin,https://github.com/zhaoterryy/mkdocs-pdf-export-plugin,MIT,2018-02-20 15:06:51.000000,2021-10-05 01:44:06.000000,2021-10-05 01:31:10.000000,34.0,44.0,216.0,2021-10-05 01:33:27.000000,0.5.10,24.0,11.0,41.0,,mkdocs-pdf-export-plugin,72.0,169.0,165.0,https://pypi.org/project/mkdocs-pdf-export-plugin,2021-10-05 01:33:27.000000,4.0,13401.0,13401.0,,,,3.0,,,,,,,['mkdocs'],,,,,,,,,
171,mkdocs-awesome-pages-plugin,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,,An MkDocs plugin that simplifies configuring page titles and their order.,documentation,22,True,lukasgeiter/mkdocs-awesome-pages-plugin,https://github.com/lukasgeiter/mkdocs-awesome-pages-plugin,MIT,2018-02-06 21:09:24.000000,2021-10-19 18:23:27.000000,2021-10-19 18:12:13.000000,20.0,36.0,182.0,2021-10-19 18:17:32.000000,2.6.0,18.0,3.0,11.0,,mkdocs-awesome-pages-plugin,58.0,607.0,517.0,https://pypi.org/project/mkdocs-awesome-pages-plugin,2021-10-19 18:15:43.000000,90.0,45806.0,45806.0,,,,3.0,,,,,,,['mkdocs'],3.0,,,,,,,,
172,xdoctest,https://github.com/Erotemic/xdoctest,,A rewrite of Python's builtin doctest module (with pytest plugin integration) with AST instead of REGEX.,testing,22,True,Erotemic/xdoctest,https://github.com/Erotemic/xdoctest,Apache-2.0,2017-09-24 01:59:02.000000,2021-10-07 17:48:21.000000,2021-10-06 11:53:11.000000,6.0,20.0,122.0,2021-10-06 11:58:58.000000,0.15.10,62.0,6.0,17.0,,xdoctest,,1622.0,1570.0,https://pypi.org/project/xdoctest,2021-10-06 11:58:58.000000,52.0,97781.0,97781.0,,,,3.0,,,,,,,,,,,,,,,conda-forge/xdoctest,
173,dodgy,https://github.com/landscapeio/dodgy,,Looks at Python code to search for things which look dodgy such as passwords or diffs.,security,22,True,landscapeio/dodgy,https://github.com/landscapeio/dodgy,MIT,2013-12-25 12:22:20.000000,2021-08-29 14:44:21.000000,2021-03-21 11:36:52.000000,18.0,3.0,94.0,2019-12-31 16:44:58.000000,0.2.1,10.0,14.0,9.0,conda-forge/dodgy,dodgy,70.0,1935.0,1411.0,https://pypi.org/project/dodgy,2019-12-31 16:44:58.000000,524.0,184773.0,185192.0,https://anaconda.org/conda-forge/dodgy,2020-06-10 17:10:06.579000,26010.0,3.0,,,,,,,,,,,,,,,,
174,pyre-check,https://github.com/facebook/pyre-check,,Performant type-checking for python.,linters,21,True,facebook/pyre-check,https://github.com/facebook/pyre-check,MIT,2017-11-10 17:31:36.000000,2021-10-21 14:09:48.000000,2021-10-21 14:09:46.000000,351.0,204.0,5599.0,2021-09-16 19:49:13.000000,0.9.6,64.0,177.0,75.0,,pyre-check,,46.0,,https://pypi.org/project/pyre-check,2021-09-16 19:49:13.000000,46.0,,,,,,3.0,,,,,,,,,,,,,,,,
