,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
171,check-manifest,mgedmin/check-manifest,linters,Tool to check the completeness of MANIFEST.in for Python packages.,,https://github.com/mgedmin/check-manifest,https://github.com/mgedmin/check-manifest,MIT,2013-03-05 15:27:20.000,2024-05-03 08:51:35.000,2024-05-03 08:50:51,573.0,3.0,37.0,7.0,71.0,77.0,285.0,,,43.0,22.0,26,True,,21.0,check-manifest,conda-forge/check-manifest,,,352716.0,15102.0,10738.0,https://pypi.org/project/check-manifest,2022-12-05 08:17:08.785,4364.0,350943.0,https://anaconda.org/conda-forge/check-manifest,2023-06-16 16:12:23.756,117027.0,3.0,,,,,,,,,,,,,,,,,,
172,typed_ast,python/typed_ast,ast,Modified fork of CPythons ast module that parses `# type:` comments.,,https://github.com/python/typed_ast,https://github.com/python/typed_ast,Apache-2.0,2016-02-16 22:40:09.000,2023-09-22 19:48:21.052,2023-07-03 22:55:34,205.0,,53.0,20.0,109.0,86.0,227.0,2023-07-04 18:38:08.820,1.5.5,35.0,26.0,26,True,,1.0,typed_ast,conda-forge/typed-ast,,,7452512.0,615.0,,https://pypi.org/project/typed_ast,2023-07-04 18:38:08.820,615.0,7308532.0,https://anaconda.org/conda-forge/typed-ast,2023-09-22 19:48:21.052,6335148.0,3.0,,,,,,,,,,,,,,,,,,
173,flake8-black,peterjc/flake8-black,linters,flake8 plugin to run black for checking Python coding style.,,https://github.com/peterjc/flake8-black,https://github.com/peterjc/flake8-black,MIT,2019-01-10 14:40:26.000,2024-06-06 08:38:32.000,2024-06-06 08:38:31,180.0,6.0,10.0,3.0,58.0,26.0,164.0,2022-12-20 09:31:01.407,0.3.6,20.0,10.0,26,True,,3.0,flake8-black,conda-forge/flake8-black,['flake8'],,857637.0,8286.0,7810.0,https://pypi.org/project/flake8-black,2022-12-20 09:31:01.407,476.0,849887.0,https://anaconda.org/conda-forge/flake8-black,2023-06-16 16:15:31.454,465012.0,3.0,,,,,,,,,,,,,,,,,,
174,xxh,xxh/xxh,shell,"Bring your favorite shell wherever you go through the ssh. Xonsh shell, fish, zsh, osquery and so on.",,https://github.com/xxh/xxh,https://github.com/xxh/xxh,BSD-2-Clause,2019-11-03 12:04:13.000,2024-04-06 23:52:28.000,2024-04-06 23:33:25,790.0,16.0,103.0,42.0,65.0,63.0,5037.0,2024-04-06 23:52:28.000,0.8.14,90.0,27.0,25,True,,24.0,xxh-xxh,,,2481.0,752.0,87.0,87.0,https://pypi.org/project/xxh-xxh,2024-04-06 23:52:28.000,,705.0,,,,3.0,,,,,,,,,,,,,,,,,,
175,rebound,shobrook/rebound,logging,Command-line tool that instantly fetches Stack Overflow results when an exception is thrown.,,https://github.com/shobrook/rebound,https://github.com/shobrook/rebound,GPL-2.0+,2018-02-28 04:47:03.000,2024-05-08 12:11:08.411,2022-02-16 05:16:40,168.0,,380.0,77.0,41.0,38.0,4083.0,2024-05-07 19:55:18.000,4.4.1,221.0,16.0,25,False,,24.0,rebound,conda-forge/rebound,,239.0,21215.0,62.0,25.0,https://pypi.org/project/rebound,2024-05-07 19:55:18.000,37.0,13269.0,https://anaconda.org/conda-forge/rebound,2024-05-08 12:11:08.411,389235.0,3.0,,,,,,,,,,,,,,,,,,
176,dephell,dephell/dephell,dependency-managers,"Python project management. Manage packages: convert between formats, lock, install, resolve, isolate, test, build..",,https://github.com/dephell/dephell,https://github.com/dephell/dephell,MIT,2018-08-31 17:39:18.000,2021-01-11 21:31:40.000,2021-01-11 21:31:39,2145.0,,118.0,26.0,221.0,161.0,1766.0,2020-04-28 06:31:17.000,.0.8.3,30.0,37.0,25,False,,107.0,dephell,,,258.0,2946.0,845.0,828.0,https://pypi.org/project/dephell,2020-04-28 06:31:03.273,17.0,2942.0,,,,3.0,,,,,,,,,,,,,,,,,,
177,shiv,linkedin/shiv,packaging,"shiv is a command line utility for building fully self contained Python zipapps as outlined in PEP 441, but with all..",,https://github.com/linkedin/shiv,https://github.com/linkedin/shiv,BSD-2-Clause,2018-03-13 18:46:23.000,2024-05-09 22:11:12.000,2024-05-09 22:11:12,214.0,3.0,92.0,26.0,124.0,78.0,1702.0,2024-05-09 22:10:44.000,1.0.6,63.0,42.0,25,True,,51.0,shiv,,,777.0,29741.0,14.0,,https://pypi.org/project/shiv,2024-05-09 22:10:44.000,14.0,29728.0,,,,3.0,,,,,,,,,,,,,,,,,,
178,stackprinter,cknd/stackprinter,logging,Debugging-friendly exceptions for Python.,,https://github.com/cknd/stackprinter,https://github.com/cknd/stackprinter,MIT,2018-09-05 10:58:47.000,2024-03-13 20:07:59.000,2024-03-13 19:34:35,215.0,5.0,38.0,8.0,38.0,25.0,1271.0,2024-03-13 19:36:07.000,0.2.12,21.0,7.0,25,True,,11.0,stackprinter,conda-forge/stackprinter,,,316822.0,396.0,348.0,https://pypi.org/project/stackprinter,2024-03-13 19:36:07.000,48.0,316650.0,https://anaconda.org/conda-forge/stackprinter,2023-06-16 16:15:48.838,10367.0,3.0,,,,,,,,,,,,,,,,,,
179,Mamba Test Runner,nestorsalceda/mamba,testing,The definitive testing tool for Python. Born under the banner of Behavior Driven Development (BDD).,,https://github.com/nestorsalceda/mamba,https://github.com/nestorsalceda/mamba,MIT,2013-03-12 18:53:42.000,2023-11-09 15:34:22.000,2023-11-09 15:30:55,473.0,,65.0,23.0,86.0,52.0,518.0,2023-11-09 15:34:22.000,0.11.3,22.0,23.0,25,True,,53.0,mamba,,,,10115.0,1012.0,983.0,https://pypi.org/project/mamba,2023-11-09 15:34:22.000,29.0,10115.0,,,,3.0,,,,,,,,,,,,,,,,,,
180,constructor,conda/constructor,packaging,tool for creating installers from conda packages.,,https://github.com/conda/constructor,https://github.com/conda/constructor,BSD-3-Clause,2016-02-12 06:52:50.000,2024-05-28 18:52:01.000,2024-05-28 18:52:00,1178.0,21.0,166.0,33.0,445.0,329.0,445.0,2024-05-14 15:23:00.000,3.8.0,30.0,71.0,25,True,,28.0,,constructor,,276.0,103.0,19.0,19.0,,,,,https://anaconda.org/anaconda/constructor,2024-05-16 08:00:53.347,9933.0,3.0,,,,,,,,,,,,,,,,,,
