,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_monthly_downloads,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,conda_forge
92,sqlmap,sqlmapproject/sqlmap,security,Automatic SQL injection and database takeover tool.,,https://github.com/sqlmapproject/sqlmap,https://github.com/sqlmapproject/sqlmap,,2012-06-26 09:52:15.000,2024-03-04 14:40:02.000,2024-03-04 14:39:58,10156.0,37.0,5354.0,1090.0,377.0,5071.0,30107.0,2024-01-03 22:20:06.000,1.8,9.0,135.0,31,False,,50.0,sqlmap,,,,9579.0,21.0,21.0,https://pypi.org/project/sqlmap,,,9579.0,,,,2.0,,,,,,,,,,,,,,
93,pyinstrument,joerick/pyinstrument,profiling,Call stack profiler for Python. Shows you why your code is slow!.,,https://github.com/joerick/pyinstrument,https://github.com/joerick/pyinstrument,BSD-3-Clause,2014-03-13 17:53:13.000,2024-03-05 13:55:42.000,2024-02-06 09:57:53,950.0,8.0,217.0,53.0,157.0,115.0,6008.0,2023-10-12 08:46:13.000,4.6.0,32.0,55.0,31,True,,22.0,pyinstrument,conda-forge/pyinstrument,,,806651.0,2084.0,2084.0,https://pypi.org/project/pyinstrument,,,799905.0,https://anaconda.org/conda-forge/pyinstrument,2024-01-26 23:44:31.158,290115.0,2.0,,,,,,,,,,,,,,
94,bandit,PyCQA/bandit,security,Bandit is a tool designed to find common security issues in Python code.,,https://github.com/PyCQA/bandit,https://github.com/PyCQA/bandit,Apache-2.0,2018-04-26 09:08:12.000,2024-03-07 02:42:37.000,2024-03-04 11:09:29,1350.0,23.0,558.0,66.0,433.0,477.0,5865.0,2024-01-23 21:10:23.000,1.7.7,14.0,176.0,31,True,,158.0,bandit,conda-forge/bandit,,763.0,4559764.0,,,https://pypi.org/project/bandit,,,4552716.0,https://anaconda.org/conda-forge/bandit,2024-01-26 11:30:27.704,288554.0,2.0,,,,,,-7.0,,,,,,,,
95,alive-progress,rsalmei/alive-progress,logging,"A new kind of Progress Bar, with real-time throughput, ETA, and very cool animations!.",,https://github.com/rsalmei/alive-progress,https://github.com/rsalmei/alive-progress,MIT,2019-08-05 05:54:30.000,2024-03-07 05:14:36.000,2023-12-02 19:40:58,685.0,,191.0,49.0,50.0,199.0,4962.0,2023-11-08 23:23:51.000,3.1.5,34.0,7.0,31,True,,20.0,alive-progress,conda-forge/alive-progress,,,665737.0,3030.0,2810.0,https://pypi.org/project/alive-progress,2023-11-08 23:23:51.000,220.0,664611.0,https://anaconda.org/conda-forge/alive-progress,2023-11-09 06:24:38.416,49572.0,3.0,,,,,,,,,,,,,,
96,sphinx_rtd_theme,readthedocs/sphinx_rtd_theme,documentation,Sphinx theme for readthedocs.org.,,https://github.com/readthedocs/sphinx_rtd_theme,https://github.com/readthedocs/sphinx_rtd_theme,MIT,2013-10-17 17:10:49.000,2024-03-06 22:42:12.000,2024-01-25 20:03:15,1481.0,3.0,1583.0,166.0,711.0,623.0,4571.0,,,22.0,116.0,31,True,,178.0,sphinx_rtd_theme,conda-forge/sphinx_rtd_theme,['sphinx'],,4245838.0,16.0,16.0,https://pypi.org/project/sphinx_rtd_theme,,,4163150.0,https://anaconda.org/conda-forge/sphinx_rtd_theme,2023-11-28 15:01:30.175,3720998.0,2.0,,,,,,,,,,,,,,
97,pytype,google/pytype,type-checkers,A static type analyzer for Python code.,,https://github.com/google/pytype,https://github.com/google/pytype,,2015-03-18 20:52:08.000,2024-03-04 23:38:40.000,2024-03-04 23:38:37,6538.0,138.0,261.0,55.0,907.0,535.0,4503.0,,,82.0,100.0,31,False,,152.0,pytype,conda-forge/pytype,,,479018.0,3479.0,3479.0,https://pypi.org/project/pytype,,,474744.0,https://anaconda.org/conda-forge/pytype,2024-02-10 17:48:30.581,192346.0,3.0,,,,,,,,,,,,,,
98,doit,pydoit/doit,build-tools,task management & automation tool.,,https://github.com/pydoit/doit,https://github.com/pydoit/doit,MIT,2014-02-14 22:21:23.000,2023-10-21 22:19:38.000,2023-01-16 03:40:03,1483.0,,170.0,48.0,163.0,218.0,1761.0,2022-04-22 15:33:23.000,0.36.0,48.0,65.0,31,False,,85.0,doit,conda-forge/doit,,,628829.0,2049.0,1751.0,https://pypi.org/project/doit,2022-04-22 15:33:23.000,298.0,625468.0,https://anaconda.org/conda-forge/doit,2023-06-16 13:22:52.551,252117.0,3.0,,,,,,,,,,,,,,
99,logbook,getlogbook/logbook,logging,A cool logging replacement for Python.,,https://github.com/getlogbook/logbook,https://github.com/getlogbook/logbook,,2010-07-22 10:13:12.000,2024-02-27 13:03:55.000,2024-02-10 00:53:11,1352.0,9.0,157.0,36.0,201.0,137.0,1455.0,2023-11-10 23:35:23.000,1.7.0.post0,6.0,79.0,31,False,,42.0,logbook,conda-forge/logbook,,333.0,3908354.0,5600.0,5600.0,https://pypi.org/project/logbook,,,3904589.0,https://anaconda.org/conda-forge/logbook,2023-11-11 10:50:13.350,169324.0,3.0,,,,,,,,,,,,,,
100,colorlog,borntyping/python-colorlog,logging,A colored formatter for the python logging module.,,https://github.com/borntyping/python-colorlog,https://github.com/borntyping/python-colorlog,MIT,2012-09-05 17:57:21.000,2024-01-26 16:23:52.610,2024-01-26 14:06:47,244.0,7.0,123.0,13.0,48.0,76.0,845.0,2024-01-26 13:59:27.000,6.8.2,68.0,33.0,31,True,,,colorlog,conda-forge/colorlog,,,11492644.0,37752.0,34928.0,https://pypi.org/project/colorlog,2024-01-26 13:59:27.000,2824.0,11447524.0,https://anaconda.org/conda-forge/colorlog,2024-01-26 16:23:52.610,1985288.0,3.0,,,,,,,,,,,,,,
101,setuptools_scm,pypa/setuptools_scm,build-tools,the blessed package to manage your versions by scm tags.,,https://github.com/pypa/setuptools_scm,https://github.com/pypa/setuptools_scm,MIT,2015-07-01 17:57:56.000,2024-03-05 10:36:10.000,2024-03-05 10:36:09,1716.0,50.0,202.0,25.0,464.0,479.0,804.0,2023-10-02 15:08:38.000,8.0.4,55.0,134.0,31,True,,77.0,setuptools_scm,conda-forge/setuptools_scm,,,28722776.0,,,https://pypi.org/project/setuptools_scm,,,28675926.0,https://anaconda.org/conda-forge/setuptools_scm,2023-10-04 14:19:42.239,2155113.0,3.0,,,,,,,,,,,,,,
