,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-06-25 16:13:37.000,2023-06-25 16:13:35,243.0,26.0,147.0,53.0,147.0,1.0,2.0,1938.0,2023-06-25 16:13:41.000,2023.06.22,95.0,12.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2023-06-24 13:30:52.000,2023-06-24 13:30:51,179.0,31.0,12.0,10.0,96.0,2.0,5.0,305.0,2023-06-22 19:52:11.000,2023.06.22,67.0,7.0,0,True,mkdocs/catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2023-06-29 12:16:23.000,2023-06-28 06:28:46,15109.0,170.0,2358.0,194.0,5115.0,836.0,4534.0,10354.0,2023-06-23 11:19:30.453,7.4.0,162.0,879.0,47,True,,pytest,conda-forge/pytest,['pytest'],962784.0,951593.0,https://pypi.org/project/pytest,2017-12-06 00:19:53.000,11191.0,61074394.0,61732399.0,https://anaconda.org/conda-forge/pytest,2023-06-25 11:25:20.181,21056167.0,1.0,,,,,,,,,,,,,,,,,,,
5,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2023-06-29 10:31:53.000,2023-06-29 07:40:24,11307.0,213.0,2558.0,232.0,6332.0,2620.0,6687.0,15590.0,2023-06-25 23:22:28.077,1.4.1,105.0,660.0,46,True,,mypy,conda-forge/mypy,,201292.0,193403.0,https://pypi.org/project/mypy,2022-06-06 16:09:21.000,7889.0,14541474.0,14628852.0,https://anaconda.org/conda-forge/mypy,2023-06-26 23:33:15.146,3145628.0,1.0,12.0,,,,,,,,,,,,,,,,,,
6,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2023-06-28 23:23:50.000,2023-06-26 22:29:07,8359.0,88.0,1851.0,365.0,1720.0,197.0,3773.0,23915.0,2023-06-26 22:30:27.477,2023.6.26,360.0,468.0,45,True,,pipenv,conda-forge/pipenv,,92489.0,91238.0,https://pypi.org/project/pipenv,2022-07-04 21:30:18.000,1251.0,6888753.0,6891795.0,https://anaconda.org/conda-forge/pipenv,2023-06-26 23:52:13.576,112576.0,1.0,,,,,,,,,,,,,,,,,,,
7,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2023-06-27 15:45:48.000,2023-06-26 11:33:04,13938.0,148.0,941.0,91.0,1404.0,540.0,1773.0,2064.0,2023-06-19 15:53:10.000,68.0.0,197.0,573.0,45,True,,setuptools,conda-forge/setuptools,,348855.0,348855.0,https://pypi.org/project/setuptools,,,251338670.0,253614204.0,https://anaconda.org/conda-forge/setuptools,2023-06-23 13:47:19.359,84194759.0,1.0,,,,,,,,,,,,,,,,,,,
8,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2023-06-28 20:45:57.000,2023-06-28 20:45:56,1578.0,39.0,2116.0,228.0,1411.0,399.0,1935.0,32763.0,2023-03-29 01:06:04.625,23.3.0,46.0,377.0,44,True,,black,conda-forge/black,,399061.0,388397.0,https://pypi.org/project/black,2018-09-26 20:08:48.000,10664.0,21262878.0,21386118.0,https://anaconda.org/conda-forge/black,2023-06-16 16:08:49.401,7466325.0,1.0,,42953.0,,,,,,,,,,,,,,,,,
9,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2023-06-29 09:28:17.000,2023-06-27 20:50:53,13866.0,162.0,2753.0,312.0,5229.0,912.0,5916.0,8817.0,,,63.0,734.0,44,True,,pip,conda-forge/pip,,142694.0,142694.0,https://pypi.org/project/pip,,,141491111.0,142474672.0,https://anaconda.org/conda-forge/pip,2023-06-16 13:25:27.518,81635632.0,1.0,,,,,,,,,,,,,,,,,,,
