,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-11-16 18:15:11.000,2023-11-16 18:15:10,284.0,23.0,153.0,52.0,170.0,1.0,2.0,2065.0,2023-11-16 18:15:16.000,2023.11.16,100.0,13.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2023-11-18 14:47:39.000,2023-11-18 14:47:38,231.0,33.0,31.0,11.0,145.0,4.0,11.0,545.0,2023-06-29 18:48:34.000,2023.06.29,68.0,19.0,0,True,mkdocs/catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2023-11-22 20:25:30.000,2023-11-22 20:05:00,15414.0,141.0,2442.0,190.0,5343.0,859.0,4680.0,10797.0,2023-10-24 19:37:45.000,7.4.3,165.0,922.0,47,True,,pytest,conda-forge/pytest,['pytest'],1107367.0,1087249.0,https://pypi.org/project/pytest,2023-10-24 19:23:14.000,20118.0,94312376.0,94950783.0,https://anaconda.org/conda-forge/pytest,2023-10-25 11:38:48.696,23621067.0,1.0,,,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2023-11-21 11:57:33.000,2023-11-07 09:39:01,14197.0,135.0,3042.0,314.0,5338.0,1072.0,6052.0,9021.0,2023-10-21 11:10:25.000,23.3.1,136.0,755.0,47,True,,pip,conda-forge/pip,,171917.0,160729.0,https://pypi.org/project/pip,2023-10-21 11:10:25.000,11188.0,214957518.0,217264302.0,https://anaconda.org/conda-forge/pip,2023-10-21 14:02:44.666,96884929.0,1.0,,,,,,,,,,,,,,,,,,,
6,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2023-11-23 03:11:49.000,2023-11-23 03:11:49,1744.0,118.0,2141.0,230.0,1597.0,372.0,2085.0,35500.0,2023-11-08 05:41:28.000,23.11.0,52.0,423.0,46,True,,black,conda-forge/black,,451624.0,438360.0,https://pypi.org/project/black,2023-11-08 05:41:28.000,13264.0,31141802.0,31364885.0,https://anaconda.org/conda-forge/black,2023-10-26 18:11:19.703,8886461.0,1.0,51687.0,,,,,,,,,,,,,,,,,,
7,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2023-11-22 20:28:39.000,2023-11-22 11:12:57,11638.0,191.0,2723.0,234.0,6721.0,2500.0,7411.0,16790.0,2023-11-10 14:32:21.000,1.7.0,111.0,678.0,46,True,,mypy,conda-forge/mypy,,224179.0,214561.0,https://pypi.org/project/mypy,2023-11-10 14:32:21.000,9618.0,20384421.0,20472254.0,https://anaconda.org/conda-forge/mypy,2023-11-10 18:07:51.486,3601190.0,1.0,,,,,,,,,,,,,,,,,,,
8,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2023-11-22 18:25:04.000,2023-11-22 18:24:59,14291.0,191.0,1044.0,92.0,1467.0,570.0,1819.0,2184.0,2023-11-21 19:01:21.000,69.0.2,555.0,586.0,46,True,,setuptools,conda-forge/setuptools,,467067.0,427934.0,https://pypi.org/project/setuptools,2023-11-21 19:00:58.000,39133.0,317769141.0,320099007.0,https://anaconda.org/conda-forge/setuptools,2023-09-12 19:55:09.802,97854401.0,1.0,,,,,,,,,,,,,,,,,,,
9,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2023-11-22 17:19:32.000,2023-11-15 23:33:07,8684.0,170.0,1928.0,359.0,1840.0,198.0,3905.0,24273.0,2023-11-15 23:32:56.000,2023.11.15,383.0,490.0,45,True,,pipenv,conda-forge/pipenv,,124970.0,123713.0,https://pypi.org/project/pipenv,2023-11-15 23:32:56.000,1257.0,11475771.0,11479011.0,https://anaconda.org/conda-forge/pipenv,2023-11-16 13:48:37.531,136087.0,1.0,,-1.0,,,,,,,,,,,,,,,,,
10,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2023-11-09 22:34:22.000,2023-11-09 22:34:11,5983.0,21.0,1401.0,235.0,657.0,287.0,1410.0,9654.0,2023-10-15 09:08:50.000,5.9.6,91.0,198.0,45,True,,psutil,conda-forge/psutil,,414379.0,396710.0,https://pypi.org/project/psutil,2023-10-15 09:08:50.000,17669.0,93222865.0,93906190.0,https://anaconda.org/conda-forge/psutil,2023-09-22 07:35:14.305,27333016.0,1.0,,,,,,,,,,,,,,,,,,,
11,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2023-11-20 04:29:29.000,2023-11-15 22:14:14,20450.0,77.0,1977.0,148.0,5055.0,1207.0,5510.0,5768.0,2023-09-13 23:13:23.000,7.2.6,198.0,790.0,44,True,,sphinx,conda-forge/sphinx,['sphinx'],405919.0,342499.0,https://pypi.org/project/sphinx,2023-09-13 23:13:23.000,63420.0,12105555.0,12308965.0,https://anaconda.org/conda-forge/sphinx,2023-09-13 23:26:46.261,8543252.0,1.0,,,,,,,,,,,,,,,,,,,
12,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2023-11-20 05:43:58.000,2023-11-15 16:31:56,3870.0,37.0,1675.0,550.0,1046.0,197.0,1054.0,45521.0,2023-11-15 16:33:44.000,13.7.0,190.0,235.0,43,True,,rich,conda-forge/rich,,147503.0,141910.0,https://pypi.org/project/rich,2023-11-15 16:32:11.000,5593.0,37084091.0,37226503.0,https://anaconda.org/conda-forge/rich,2023-11-16 18:47:06.251,5696502.0,1.0,,,,,,,,,,,,,,,,,,,
13,ruff,charliermarsh/ruff,linters,"An extremely fast Python linter and code formatter, written in Rust.",,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44.000,2023-11-23 13:40:59.000,2023-11-23 13:40:57,5713.0,962.0,670.0,70.0,5273.0,588.0,2787.0,20453.0,2023-11-17 18:52:35.000,0.1.6,273.0,322.0,43,True,astral-sh/ruff,ruff,conda-forge/ruff,,25133.0,23501.0,https://pypi.org/project/ruff,2023-11-17 18:45:25.000,1632.0,7587570.0,7631650.0,https://anaconda.org/conda-forge/ruff,2023-11-17 22:00:45.100,425339.0,1.0,95006.0,,,,,,,,,,,,,,,,,,
