,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-02-10 21:30:10.000,2022-02-10 21:30:10,114.0,28.0,95.0,49.0,71.0,2.0,1433.0,2022-02-10 21:30:25.000,2022.02.10,33.0,8.0,4.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2022-02-15 13:00:51.000,2022-02-15 13:00:50,14350.0,257.0,1958.0,194.0,4477.0,4124.0,8397.0,2022-02-11 18:49:52.000,7.0.1,151.0,769.0,743.0,48,True,pytest,conda-forge/pytest,['pytest'],525248.0,444440.0,https://pypi.org/project/pytest,2022-02-11 18:47:56.000,80808.0,37452506.0,37623376.0,https://anaconda.org/conda-forge/pytest,2022-02-11 22:07:39.180,11448339.0,1.0,,,,,,,,,,,,,,,,,,,
4,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2022-02-17 14:20:49.000,2022-02-03 12:37:38,12725.0,194.0,2518.0,300.0,4759.0,5213.0,7769.0,2022-02-03 08:44:11.000,22.0.3,117.0,656.0,988.0,46,True,pip,conda-forge/pip,,82919.0,72415.0,https://pypi.org/project/pip,2022-02-03 08:44:11.000,10504.0,104556747.0,105018308.0,https://anaconda.org/conda-forge/pip,2022-02-03 10:50:56.891,30924650.0,1.0,,,,,,,,,,,,,,,,,,,
5,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2022-02-17 13:19:37.000,2022-02-17 13:19:36,11786.0,471.0,824.0,80.0,1062.0,1499.0,1554.0,2022-02-16 13:58:00.000,60.9.2,478.0,485.0,476.0,45,True,setuptools,conda-forge/setuptools,,178777.0,143001.0,https://pypi.org/project/setuptools,2022-02-15 11:21:01.000,35776.0,192928530.0,193424083.0,https://anaconda.org/conda-forge/setuptools,2022-02-16 18:15:46.185,33202016.0,1.0,116.0,,,,,,,,,,,,,,,,,,
6,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2022-02-17 12:25:20.000,2022-02-11 01:32:55,1269.0,121.0,1574.0,209.0,1027.0,1543.0,25613.0,2022-01-29 20:39:31.000,22.1.0,38.0,307.0,306.0,44,True,black,conda-forge/black,,125964.0,119229.0,https://pypi.org/project/black,2022-01-29 20:39:31.000,6735.0,14710295.0,14779668.0,https://anaconda.org/conda-forge/black,2022-01-31 13:41:24.552,3095601.0,1.0,20378.0,,,,,,,,,,,,,,,,,,
7,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2022-02-02 23:13:40.000,2022-02-01 21:25:52,5757.0,31.0,1188.0,231.0,551.0,1324.0,8118.0,2021-12-29 21:26:19.000,5.9.0,84.0,173.0,210.0,44,True,psutil,conda-forge/psutil,,152588.0,137189.0,https://pypi.org/project/psutil,2021-12-29 21:26:19.000,15399.0,39428064.0,39570737.0,https://anaconda.org/conda-forge/psutil,2021-12-30 18:15:13.024,9987123.0,1.0,,1.0,,,,,,,,,,,,,,,,,
8,sphinx,sphinx-doc/sphinx,documentation,Main repository for the Sphinx documentation builder.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2022-02-16 22:53:07.000,2022-02-15 09:31:29,18755.0,358.0,1626.0,132.0,4355.0,4929.0,4434.0,2022-01-16 15:20:56.000,4.4.0,162.0,712.0,960.0,44,True,sphinx,conda-forge/sphinx,['sphinx'],240979.0,182154.0,https://pypi.org/project/sphinx,2022-01-16 15:18:30.000,58825.0,5172603.0,5244273.0,https://anaconda.org/conda-forge/sphinx,2022-01-20 19:43:31.997,4730244.0,1.0,,,,,,,,,,,,,,,,,,,
9,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2022-02-16 08:21:52.000,2022-02-16 08:21:51,7297.0,75.0,1700.0,366.0,1361.0,3065.0,22688.0,2022-01-08 15:34:11.000,2022.1.8,304.0,410.0,559.0,43,True,pipenv,conda-forge/pipenv,,26188.0,24951.0,https://pypi.org/project/pipenv,2022-01-08 15:34:11.000,1237.0,4448906.0,4450575.0,https://anaconda.org/conda-forge/pipenv,2022-01-08 20:44:18.377,46749.0,1.0,,,,,,,,,,,,,,,,,,,
