,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2025-07-12 17:51:43.000,2025-07-12 17:51:43,347.0,1.0,186.0,57.0,205.0,3.0,2550.0,2024-06-06 19:06:38.000,2024.06.06,100.0,16.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2025-07-10 23:13:20.000,2025-07-10 23:13:18,397.0,20.0,92.0,16.0,303.0,31.0,1423.0,2023-06-29 18:48:34.000,2023.06.29,68.0,58.0,0,True,mkdocs/catalog,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2025-07-15 16:15:24.000,2025-07-15 16:15:22,16715.0,116.0,2828.0,192.0,6430.0,5267.0,12884.0,2025-06-18 05:48:45.000,8.4.1,185.0,1045.0,49,True,,924.0,pytest,conda-forge/pytest,['pytest'],20360.0,248492498.0,1718730.0,1642903.0,https://pypi.org/project/pytest,2025-06-18 05:48:03.000,75827.0,247828279.0,https://anaconda.org/conda-forge/pytest,2025-06-18 09:43:54.192,37844185.0,1.0,,,,,,,,,,,,,,,,,,
5,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2025-07-17 09:14:50.000,2025-07-17 09:14:48,12705.0,220.0,2969.0,237.0,8066.0,8672.0,19515.0,2025-07-14 20:33:24.000,1.17.0,128.0,805.0,48,True,,2925.0,mypy,conda-forge/mypy,,,64524677.0,340433.0,315737.0,https://pypi.org/project/mypy,2025-07-14 20:33:24.000,24696.0,64431866.0,https://anaconda.org/conda-forge/mypy,2025-07-14 23:28:14.703,5661484.0,1.0,,,,,,,,,,,,,,,,,,
6,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2025-07-12 20:25:46.000,2025-07-12 20:25:45,15328.0,150.0,3107.0,319.0,5839.0,6610.0,9859.0,2025-05-02 15:13:59.000,25.1.1,150.0,837.0,47,True,,1082.0,pip,conda-forge/pip,,,374439408.0,247089.0,241966.0,https://pypi.org/project/pip,2025-05-02 15:13:59.000,5123.0,371857300.0,https://anaconda.org/conda-forge/pip,2025-05-03 05:27:45.627,160090751.0,1.0,,,,,,,,,,,,,,,,,,
7,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2025-06-18 09:36:59.000,2025-06-18 09:36:58,16476.0,205.0,1289.0,100.0,1936.0,2133.0,2717.0,2025-05-27 00:56:55.000,80.9.0,624.0,631.0,47,True,,640.0,setuptools,conda-forge/setuptools,,,790783067.0,839413.0,811209.0,https://pypi.org/project/setuptools,2025-05-27 00:56:49.000,28204.0,788327614.0,https://anaconda.org/conda-forge/setuptools,2025-06-01 19:09:46.361,152238121.0,1.0,,,,,,,,,,,,,,,,,,
8,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2025-06-24 13:02:12.000,2025-06-24 13:02:10,4279.0,75.0,1842.0,537.0,1273.0,1215.0,52880.0,2025-03-30 14:18:31.000,14.0.0,199.0,276.0,46,True,,266.0,rich,conda-forge/rich,,,163256904.0,485489.0,468024.0,https://pypi.org/project/rich,2025-03-30 14:15:12.000,17465.0,163028826.0,https://anaconda.org/conda-forge/rich,2025-04-22 14:57:29.581,13684724.0,1.0,3.0,,,,,,,,,,,,,,,,,
9,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2025-07-08 19:36:14.983,2025-07-07 21:44:30,9196.0,97.0,1875.0,360.0,2013.0,4088.0,25081.0,2025-07-07 21:45:44.000,2025.0.4,401.0,529.0,46,True,,233.0,pipenv,conda-forge/pipenv,,,24316810.0,174148.0,173904.0,https://pypi.org/project/pipenv,2025-07-07 21:45:44.000,244.0,24312372.0,https://anaconda.org/conda-forge/pipenv,2025-07-08 19:36:14.983,275213.0,1.0,,,,,,,,,,,,,,,,,,
