,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,labels,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2025-09-28 18:43:42.000,2025-09-28 18:43:41,369.0,23.0,188.0,57.0,216.0,4.0,2611.0,2025-09-28 18:52:23.000,2025.09.25,100.0,16.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2025-09-25 18:43:03.000,2025-09-25 18:43:01,413.0,17.0,106.0,16.0,323.0,34.0,1534.0,2023-06-29 18:48:34.000,2023.06.29,68.0,62.0,0,True,mkdocs/catalog,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2025-10-02 13:43:04.000,2025-10-02 13:43:04,12904.0,250.0,3009.0,239.0,8371.0,8824.0,19843.0,2025-09-19 00:09:39.000,1.18.2,131.0,811.0,49,True,,3013.0,mypy,conda-forge/mypy,354928.0,324640.0,https://pypi.org/project/mypy,2025-09-19 00:09:39.000,30288.0,73161025.0,73255096.0,https://anaconda.org/conda-forge/mypy,2025-09-19 11:11:52.790,6020574.0,1.0,,,,,,,,,,,,,,,,,,,,
5,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2025-10-02 12:44:16.000,2025-10-02 12:41:08,16815.0,107.0,2876.0,191.0,6530.0,5292.0,13129.0,2025-09-04 14:35:52.000,8.4.2,186.0,1056.0,49,True,,959.0,pytest,conda-forge/pytest,1753244.0,1664634.0,https://pypi.org/project/pytest,2025-09-04 14:34:20.000,88610.0,250687968.0,251362336.0,https://anaconda.org/conda-forge/pytest,2025-09-04 18:51:59.658,40442063.0,1.0,['pytest'],24766.0,,,,,,,,,,,,,,,,,,
6,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2025-09-20 20:07:22.000,2025-09-20 20:07:20,6324.0,84.0,1422.0,231.0,796.0,1519.0,10837.0,2025-09-17 20:14:56.000,7.1.0,98.0,223.0,47,True,,348.0,psutil,conda-forge/psutil,770740.0,753701.0,https://pypi.org/project/psutil,2025-09-17 20:14:56.000,17039.0,214434249.0,215249011.0,https://anaconda.org/conda-forge/psutil,2025-09-18 04:31:25.649,51330042.0,1.0,,,,,,,,,,,,,,,,,,,,
7,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2025-10-02 13:51:07.000,2025-10-02 13:51:06,15443.0,132.0,3145.0,322.0,5915.0,6648.0,9955.0,2025-05-02 15:13:59.000,25.1.1,151.0,845.0,47,True,,1087.0,pip,conda-forge/pip,248965.0,243574.0,https://pypi.org/project/pip,2025-07-30 21:50:13.000,5391.0,390366984.0,393038392.0,https://anaconda.org/conda-forge/pip,2025-07-31 01:24:05.568,173641550.0,1.0,,,,,,,,,,,,,,,,,,,,
8,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2025-08-13 10:52:09.000,2025-08-13 10:52:09,4284.0,5.0,1881.0,535.0,1294.0,1226.0,53927.0,2025-07-25 07:35:18.000,14.1.0,200.0,276.0,45,True,,280.0,rich,conda-forge/rich,499074.0,476964.0,https://pypi.org/project/rich,2025-07-25 07:32:56.000,22110.0,210085913.0,210327916.0,https://anaconda.org/conda-forge/rich,2025-07-25 09:53:40.750,15246238.0,1.0,,,,,,,,,,,,,,,,,,,,
9,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2025-09-29 07:12:46.000,2025-09-25 23:04:30,2033.0,33.0,2626.0,234.0,1975.0,2410.0,40994.0,2025-09-19 00:27:35.000,25.9.0,66.0,473.0,45,True,,355.0,black,conda-forge/black,683835.0,643391.0,https://pypi.org/project/black,2025-09-19 00:27:35.000,40444.0,80408351.0,80679416.0,https://anaconda.org/conda-forge/black,2025-04-22 14:56:50.293,16973492.0,1.0,,130008.0,,,,,,,,,,,,,,,,,,
10,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2025-09-30 12:04:17.000,2025-09-30 12:04:16,9843.0,87.0,2003.0,230.0,2614.0,5285.0,12641.0,2025-09-13 20:08:08.000,6.16.0,76.0,481.0,44,True,,286.0,pyinstaller,conda-forge/pyinstaller,85795.0,84505.0,https://pypi.org/project/pyinstaller,2025-09-13 20:05:59.000,1290.0,4765255.0,4794577.0,https://anaconda.org/conda-forge/pyinstaller,2025-09-18 11:56:25.637,1375895.0,1.0,,751744.0,,,,,,,,,,,,,,,,,,
11,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/pylint-dev/pylint,https://github.com/pylint-dev/pylint,GPL-2.0,2015-12-09 05:40:02.000,2025-10-01 05:11:31.000,2025-10-01 05:11:30,9769.0,110.0,1177.0,77.0,4766.0,4811.0,5571.0,2025-08-09 09:12:54.000,3.3.8,204.0,616.0,44,True,pylint-dev/pylint,1010.0,pylint,conda-forge/pylint,492317.0,481521.0,https://pypi.org/project/pylint,2025-08-09 09:12:54.000,10796.0,33857794.0,33963486.0,https://anaconda.org/conda-forge/pylint,2025-08-09 15:03:11.912,6763977.0,1.0,,298.0,,,,,,,,,,,,,,,,,,
12,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2025-09-29 18:23:27.000,2025-09-15 23:17:40,1002.0,67.0,1062.0,169.0,1542.0,1363.0,4969.0,2025-08-13 14:24:40.000,20.34.0,241.0,295.0,44,True,,19.0,virtualenv,conda-forge/virtualenv,489604.0,487646.0,https://pypi.org/project/virtualenv,2025-08-13 14:24:05.000,1958.0,248129580.0,248402557.0,https://anaconda.org/conda-forge/virtualenv,2025-08-13 19:05:39.101,16378636.0,1.0,,,,,,,,,,,,,,,,,,,,
13,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2025-10-02 10:05:02.000,2025-10-02 10:04:58,6657.0,59.0,3909.0,145.0,3296.0,2634.0,24685.0,2025-09-30 19:11:24.000,9.6.21,432.0,325.0,43,True,,6.0,mkdocs-material,conda-forge/mkdocs-material,79596.0,73797.0,https://pypi.org/project/mkdocs-material,2025-09-30 19:11:24.000,5799.0,10075685.0,10087766.0,https://anaconda.org/conda-forge/mkdocs-material,2025-10-01 13:00:59.191,785272.0,1.0,['mkdocs'],,,,,,,,,,,,,,,,,,,
14,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2025-10-02 09:45:15.000,2025-10-02 09:36:20,15163.0,66.0,2466.0,479.0,821.0,4452.0,11113.0,2025-07-04 14:43:52.000,7.3.2,145.0,220.0,43,True,,280.0,robotframework,conda-forge/robotframework,14661.0,13710.0,https://pypi.org/project/robotframework,2025-07-04 14:35:54.000,951.0,3822253.0,3826560.0,https://anaconda.org/conda-forge/robotframework,2025-07-07 01:12:14.679,236715.0,1.0,,576.0,,,,,,,,,,,,,,,,,,
15,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,,2015-01-02 10:53:28.000,2025-10-02 14:49:02.000,2025-10-02 14:37:03,22189.0,83.0,2246.0,166.0,6370.0,6111.0,7411.0,2025-03-02 22:31:56.000,8.2.3,229.0,887.0,43,False,,1238.0,sphinx,conda-forge/sphinx,490636.0,463280.0,https://pypi.org/project/sphinx,2025-03-02 22:31:56.000,27356.0,61436665.0,61626012.0,https://anaconda.org/conda-forge/sphinx,2025-09-17 17:21:40.903,12307587.0,1.0,['sphinx'],,,,,,,,,,,,,,,,,,,
16,conda,conda/conda,dependency-managers,"A system-level, binary package and environment manager running on all major operating systems and platforms.",,https://github.com/conda/conda,https://github.com/conda/conda,BSD-3-Clause,2012-10-15 22:08:03.000,2025-10-01 20:41:35.895,2025-10-01 17:17:28,17469.0,140.0,1957.0,185.0,5016.0,9621.0,7119.0,2025-09-30 07:44:31.000,25.9.0,105.0,473.0,43,True,,621.0,conda,conda-forge/conda,51819.0,51736.0,https://pypi.org/project/conda,2017-04-22 23:43:59.218,83.0,8097.0,1012689.0,https://anaconda.org/conda-forge/conda,2025-10-01 20:41:35.895,65276553.0,1.0,,30481.0,,,,,,,,,,,,,,,,,,
