,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,labels,conda_id,pypi_id,open_issue_count,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,updated_github_id,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge
0,Python.org Packaging,https://packaging.python.org/overview/,True,An Overview of Packaging for Python.,packaging,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Testing,https://github.com/ml-tooling/best-of-web-python,True,Testing libraries & tools for python web frameworks.,testing,0,True,ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2021-05-27 14:41:19.000,2021-05-14 08:30:59.000,81.0,2.0,1226.0,2021-05-14 08:31:08.000,2021.05.13,16.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,https://docs.python.org/3/library/unittest.html,True,Unittest is a test framework included in the Python standard library.,testing,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sphinx,https://github.com/sphinx-doc/sphinx,,Main repository for the Sphinx documentation builder.,documentation,38,True,sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2021-05-27 09:40:08.000,2021-05-23 16:24:23.000,1475.0,4631.0,3949.0,2021-05-20 12:58:02.000,4.0.2,151.0,642.0,['sphinx'],conda-forge/sphinx,sphinx,768.0,17610.0,247253.0,142717.0,https://pypi.org/project/sphinx,2021-05-20 12:58:02.000,104536.0,4464744.0,4522229.0,https://anaconda.org/conda-forge/sphinx,2021-05-25 19:47:42.185,3276669.0,1.0,,,,,,,,,,
4,tqdm,https://github.com/tqdm/tqdm,,"A Fast, Extensible Progress Bar for Python and CLI.",logging,36,True,tqdm/tqdm,https://github.com/tqdm/tqdm,MIT,2015-06-03 13:13:14.000,2021-05-24 21:12:31.593,2021-05-24 11:33:23.000,947.0,509.0,18411.0,2021-05-24 19:55:34.000,4.61.0,118.0,100.0,,conda-forge/tqdm,tqdm,282.0,1833.0,202317.0,176079.0,https://pypi.org/project/tqdm,2021-05-24 19:47:43.000,26238.0,19449547.0,19556823.0,https://anaconda.org/conda-forge/tqdm,2021-05-24 21:12:31.593,6321914.0,1.0,7900.0,,,,,,,,,
5,mypy,https://github.com/python/mypy,,Optional static typing for Python 3 and 2 (PEP 484).,linters,36,True,python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2021-05-27 10:47:22.000,2021-05-25 15:40:56.000,1730.0,4631.0,10740.0,,,79.0,465.0,,conda-forge/mypy,mypy,1715.0,9526.0,40744.0,34660.0,https://pypi.org/project/mypy,2021-02-19 17:28:31.000,6084.0,6576060.0,6598327.0,https://anaconda.org/conda-forge/mypy,2021-04-02 00:00:44.993,935226.0,1.0,,,,,,,,,,
6,pytest,https://github.com/pytest-dev/pytest,,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",testing,36,True,pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2021-05-27 13:10:24.043,2021-05-26 21:42:37.000,1726.0,3862.0,7374.0,2021-05-04 16:22:25.000,6.2.4,147.0,723.0,['pytest'],conda-forge/pytest,pytest,653.0,,452976.0,322392.0,https://pypi.org/project/pytest,2021-05-04 16:21:57.000,130584.0,27895127.0,28031211.0,https://anaconda.org/conda-forge/pytest,2021-05-27 13:10:24.043,7892903.0,1.0,,,,,,,,,,
7,psutil,https://github.com/giampaolo/psutil,,Cross-platform lib for process and system monitoring in Python.,profiling,36,True,giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2021-05-14 15:02:58.000,2021-05-14 15:02:54.000,1094.0,1287.0,7338.0,2020-12-19 01:19:27.000,5.8.0,83.0,159.0,,conda-forge/psutil,psutil,176.0,5683.0,111843.0,87177.0,https://pypi.org/project/psutil,2020-12-19 01:19:27.000,24666.0,22713253.0,22824751.0,https://anaconda.org/conda-forge/psutil,2021-04-19 20:30:13.823,6801409.0,1.0,,,,,,,,,,
8,jedi,https://github.com/davidhalter/jedi,,"Awesome autocompletion, static analysis and refactoring library for python.",refactoring,36,True,davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2021-05-26 14:15:06.000,2021-05-05 22:38:19.000,441.0,1209.0,4868.0,2020-12-25 10:34:25.000,0.18.0,30.0,144.0,,conda-forge/jedi,jedi,27.0,8204.0,148141.0,132235.0,https://pypi.org/project/jedi,2020-12-25 10:34:25.000,15906.0,13147790.0,13238486.0,https://anaconda.org/conda-forge/jedi,2021-01-14 15:48:43.942,4988304.0,1.0,,,,,,,,,,
9,tox,https://github.com/tox-dev/tox,,Command line driven CI frontend and development task automation tool.,testing,36,True,tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2021-05-27 05:55:46.000,2021-05-25 08:03:52.000,366.0,1056.0,2225.0,2021-05-10 12:09:53.000,3.23.1,116.0,242.0,['pytest'],conda-forge/tox,tox,138.0,1996.0,80852.0,44452.0,https://pypi.org/project/tox,2021-05-05 16:42:34.000,36400.0,4231754.0,4238171.0,https://anaconda.org/conda-forge/tox,2021-05-05 22:48:33.555,282385.0,1.0,,,,,,,,,,
