,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,labels,conda_id,pypi_id,open_issue_count,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge,updated_github_id
0,Python.org Packaging,https://packaging.python.org/overview/,True,An Overview of Packaging for Python.,packaging,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Testing,https://github.com/ml-tooling/best-of-web-python,True,Testing libraries & tools for python web frameworks.,testing,0,True,ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-07-22 14:18:05.000000,2021-07-16 21:43:54.000000,85.0,2.0,1285.0,2021-07-16 21:44:03.000000,2021.07.15,21.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,https://docs.python.org/3/library/unittest.html,True,Unittest is a test framework included in the Python standard library.,testing,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sphinx,https://github.com/sphinx-doc/sphinx,,Main repository for the Sphinx documentation builder.,documentation,38,True,sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000000,2021-07-22 14:25:42.000000,2021-07-19 16:14:12.000000,1525.0,4703.0,4040.0,2021-07-14 17:22:46.000000,4.1.1,154.0,665.0,['sphinx'],conda-forge/sphinx,sphinx,810.0,17936.0,254943.0,150407.0,https://pypi.org/project/sphinx,2021-07-14 17:22:46.000000,104536.0,3872866.0,3933808.0,https://anaconda.org/conda-forge/sphinx,2021-07-14 19:33:15.744000,3595627.0,1.0,,,,,,,,,,,,,,,
4,pipenv,https://github.com/pypa/pipenv,,Python Development Workflow for Humans.,virtual-envs,37,True,pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000000,2021-07-16 12:58:18.000000,2021-07-09 07:40:57.000000,1645.0,2887.0,22108.0,2021-05-29 03:10:16.000000,2021.5.29,298.0,384.0,,conda-forge/pipenv,pipenv,560.0,7060.0,22515.0,20241.0,https://pypi.org/project/pipenv,2021-05-29 03:10:16.000000,2274.0,3281776.0,3283731.0,https://anaconda.org/conda-forge/pipenv,2020-11-15 06:15:51.831000,41062.0,1.0,,,,,,,,,,,,,,,
5,tqdm,https://github.com/tqdm/tqdm,,"A Fast, Extensible Progress Bar for Python and CLI.",logging,37,True,tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000000,2021-07-18 22:10:45.000000,2021-07-06 06:42:12.000000,963.0,521.0,18866.0,2021-07-16 12:46:33.000000,4.61.2,120.0,104.0,,conda-forge/tqdm,tqdm,293.0,1851.0,217667.0,191429.0,https://pypi.org/project/tqdm,2021-07-06 06:51:33.000000,26238.0,29324411.0,29438429.0,https://anaconda.org/conda-forge/tqdm,2021-07-07 13:37:22.338000,6944254.0,1.0,tqdm/tqdm,8017.0,https://hub.docker.com/r/tqdm/tqdm,2021-07-17 10:42:26.503653,1.0,3745.0,,,,,,,,,
6,mkdocs,https://github.com/mkdocs/mkdocs,,Project documentation with Markdown.,documentation,36,True,mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000000,2021-07-21 19:55:43.000000,2021-07-18 19:17:36.000000,1784.0,1451.0,12504.0,2021-07-18 19:32:00.000000,1.2.2,47.0,195.0,['mkdocs'],conda-forge/mkdocs,mkdocs,99.0,1565.0,19478.0,13536.0,https://pypi.org/project/mkdocs,2021-07-18 19:20:49.000000,5942.0,636520.0,638771.0,https://anaconda.org/conda-forge/mkdocs,2021-07-18 21:27:59.884000,141823.0,1.0,,,,,,,1.0,,,,,,,,
7,mypy,https://github.com/python/mypy,,Optional static typing for Python 3 and 2 (PEP 484).,linters,36,True,python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000000,2021-07-22 13:27:09.000000,2021-07-22 00:38:16.000000,1822.0,4713.0,11046.0,,,83.0,481.0,,conda-forge/mypy,mypy,1843.0,9637.0,45335.0,39251.0,https://pypi.org/project/mypy,2021-06-22 18:39:23.000000,6084.0,6665422.0,6689734.0,https://anaconda.org/conda-forge/mypy,2021-06-23 17:56:50.288000,1069744.0,1.0,,,,,,,,,,,,,,,
8,pytest,https://github.com/pytest-dev/pytest,,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",testing,36,True,pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000000,2021-07-22 08:30:02.000000,2021-07-20 08:42:38.000000,1761.0,3915.0,7550.0,2021-05-04 16:22:25.000000,6.2.4,147.0,735.0,['pytest'],conda-forge/pytest,pytest,696.0,,477184.0,346600.0,https://pypi.org/project/pytest,2021-05-04 16:21:57.000000,130584.0,29736789.0,29880333.0,https://anaconda.org/conda-forge/pytest,2021-06-29 11:51:51.458000,8612646.0,1.0,,,,,,,,,,,,,,,
9,psutil,https://github.com/giampaolo/psutil,,Cross-platform lib for process and system monitoring in Python.,profiling,36,True,giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000000,2021-06-30 10:37:21.000000,2021-06-29 17:23:56.000000,1094.0,1290.0,7500.0,2020-12-19 01:19:27.000000,5.8.0,83.0,160.0,,conda-forge/psutil,psutil,176.0,5688.0,120463.0,95797.0,https://pypi.org/project/psutil,2020-12-19 01:19:27.000000,24666.0,24568705.0,24685921.0,https://anaconda.org/conda-forge/psutil,2021-06-29 02:45:06.508000,7384664.0,1.0,,,,,,,1.0,,,,,,,,
10,tox,https://github.com/tox-dev/tox,,Command line driven CI frontend and development task automation tool.,testing,36,True,tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000000,2021-07-22 11:09:47.000000,2021-07-22 11:09:47.000000,377.0,1066.0,2308.0,2021-07-14 12:22:30.000000,3.24.0,117.0,248.0,['pytest'],conda-forge/tox,tox,143.0,2018.0,82821.0,46421.0,https://pypi.org/project/tox,2021-07-14 12:22:30.000000,36400.0,4167382.0,4174315.0,https://anaconda.org/conda-forge/tox,2021-07-14 15:40:34.887000,318924.0,1.0,,,,,,,,,,,,,,,
11,flake8,https://github.com/PyCQA/flake8,,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelder's McCabe script.,linters,36,True,PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000000,2021-07-19 22:47:55.000000,2021-07-19 22:47:54.000000,183.0,1249.0,1379.0,2021-03-14 23:32:11.000000,3.9.0,79.0,155.0,,conda-forge/flake8,flake8,37.0,1977.0,252011.0,180721.0,https://pypi.org/project/flake8,2021-05-08 19:52:32.000000,71290.0,11869811.0,11914090.0,https://anaconda.org/conda-forge/flake8,2021-05-10 17:37:45.968000,2701063.0,1.0,,,,,,,,,,,,,,,
12,jedi,https://github.com/davidhalter/jedi,,"Awesome autocompletion, static analysis and refactoring library for python.",refactoring,35,True,davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000000,2021-07-04 19:41:15.000000,2021-05-05 22:38:19.000000,441.0,1216.0,4919.0,2020-12-25 10:34:25.000000,0.18.0,30.0,144.0,,conda-forge/jedi,jedi,29.0,8204.0,158037.0,142131.0,https://pypi.org/project/jedi,2020-12-25 10:34:25.000000,15906.0,14453524.0,14550331.0,https://anaconda.org/conda-forge/jedi,2021-06-29 02:44:18.629000,5518049.0,1.0,,,,,,,,,,,,,,,
13,pyinstaller,https://github.com/pyinstaller/pyinstaller,,Freeze (package) Python programs into stand-alone executables.,packaging,34,True,pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000000,2021-07-22 11:57:24.000000,2021-07-21 22:42:20.000000,1681.0,3886.0,8263.0,2021-07-13 13:24:23.000000,4.4,29.0,404.0,,conda-forge/pyinstaller,pyinstaller,333.0,7773.0,18961.0,18961.0,https://pypi.org/project/pyinstaller,2021-07-13 10:43:03.000000,0.0,550682.0,562357.0,https://anaconda.org/conda-forge/pyinstaller,2021-07-13 16:59:50.610000,246261.0,1.0,,711674.0,,,,,,,,,,,,,
