,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
10,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2023-10-04 12:46:13.000,2023-10-04 12:46:12,5970.0,29.0,1346.0,236.0,650.0,281.0,1406.0,9568.0,2023-07-20 15:38:39.940,0.1.0,90.0,198.0,45,True,,psutil,conda-forge/psutil,,390340.0,372911.0,https://pypi.org/project/psutil,2023-04-17 18:27:02.245,17429.0,111796584.0,112465836.0,https://anaconda.org/conda-forge/psutil,2023-09-22 07:35:14.305,26100843.0,1.0,,,,,,,,,,,,,,,,,,,
11,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2023-10-05 14:03:32.000,2023-10-05 14:03:32,20447.0,326.0,1977.0,147.0,5036.0,1207.0,5498.0,5666.0,2023-09-13 23:13:23.000,7.2.6,198.0,790.0,45,True,,sphinx,conda-forge/sphinx,['sphinx'],395090.0,332243.0,https://pypi.org/project/sphinx,2023-09-13 23:13:23.000,62847.0,11535371.0,11738293.0,https://anaconda.org/conda-forge/sphinx,2023-09-13 23:26:46.261,8319821.0,1.0,,,,,,,,,,,,,,,,,,,
12,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2023-10-03 09:49:01.000,2023-09-30 14:09:52,3849.0,61.0,1659.0,542.0,1026.0,190.0,1037.0,44944.0,2023-09-30 14:13:00.000,13.6.0,189.0,227.0,44,True,,rich,conda-forge/rich,,132542.0,127350.0,https://pypi.org/project/rich,2023-09-30 14:10:36.000,5192.0,32344975.0,32477617.0,https://anaconda.org/conda-forge/rich,2023-09-30 19:12:41.298,5173043.0,1.0,,,,,,,,,,,,,,,,,,,
13,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2023-10-04 17:08:10.000,2023-08-10 10:52:15,1964.0,22.0,1319.0,210.0,529.0,464.0,577.0,25908.0,2023-08-10 11:59:02.000,4.66.1,135.0,112.0,43,True,,tqdm,conda-forge/tqdm,,584897.0,557335.0,https://pypi.org/project/tqdm,2023-08-10 11:38:57.000,27562.0,75117730.0,75699973.0,https://anaconda.org/conda-forge/tqdm,2023-08-10 12:44:00.709,23282528.0,1.0,,11278.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2023-08-26 01:32:37.879259,2.0,4114.0,,,,,,,,,,,,
14,ruff,charliermarsh/ruff,linters,"An extremely fast Python linter, written in Rust.",,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44.000,2023-10-05 13:49:30.000,2023-10-05 12:16:14,5225.0,1222.0,569.0,70.0,4741.0,499.0,2446.0,18014.0,2023-10-02 17:15:00.000,0.0.292,266.0,267.0,43,True,astral-sh/ruff,ruff,conda-forge/ruff,,19467.0,18177.0,https://pypi.org/project/ruff,2023-10-02 16:44:32.000,1290.0,5859562.0,5899148.0,https://anaconda.org/conda-forge/ruff,2023-10-03 03:40:48.658,360596.0,1.0,,68059.0,,,,,,,,,,,,,,,,,
15,conda,conda/conda,dependency-managers,"A system-level, binary package and environment manager running on all major operating systems and platforms.",,https://github.com/conda/conda,https://github.com/conda/conda,BSD-3-Clause,2012-10-15 22:08:03.000,2023-10-05 13:14:34.000,2023-10-04 23:09:02,16540.0,152.0,1414.0,194.0,3864.0,722.0,8584.0,5732.0,2023-09-27 19:49:06.000,23.9.0,100.0,441.0,43,True,,conda,conda-forge/conda,,44339.0,43243.0,https://pypi.org/project/conda,2017-04-22 23:43:59.218,1096.0,52129.0,1197635.0,https://anaconda.org/conda-forge/conda,2023-10-02 06:07:43.585,46965755.0,1.0,,,,,,,,,,,,,,,,,,,
16,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2023-10-04 07:41:58.000,2023-10-04 07:41:55,8402.0,36.0,502.0,114.0,588.0,51.0,1320.0,5512.0,2023-10-02 09:20:35.000,0.19.1,34.0,165.0,43,True,,jedi,conda-forge/jedi,,358867.0,350394.0,https://pypi.org/project/jedi,2023-10-02 09:20:35.000,8473.0,32020167.0,32495904.0,https://anaconda.org/conda-forge/jedi,2023-10-03 09:44:27.309,19029508.0,1.0,,,,,,,,,,,,,,,,,,,
17,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/pylint-dev/pylint,https://github.com/pylint-dev/pylint,GPL-2.0,2015-12-09 05:40:02.000,2023-10-04 20:56:59.000,2023-10-04 12:27:40,8952.0,233.0,1037.0,76.0,3961.0,778.0,4371.0,4853.0,2023-10-02 17:22:47.000,3.0.0,180.0,543.0,43,True,pylint-dev/pylint,pylint,conda-forge/pylint,,408016.0,385246.0,https://pypi.org/project/pylint,2023-10-02 17:22:47.000,22770.0,18797309.0,18911162.0,https://anaconda.org/conda-forge/pylint,2023-10-03 00:50:35.926,4554152.0,1.0,,,,,,,,,,,,,,,,,,,
18,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2023-10-05 15:01:30.000,2023-10-05 14:45:36,5754.0,381.0,3078.0,124.0,2569.0,34.0,2012.0,15659.0,2023-10-02 09:20:46.000,9.4.3,348.0,232.0,42,True,,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],38522.0,37551.0,https://pypi.org/project/mkdocs-material,2023-10-02 09:20:46.000,971.0,3138968.0,3146659.0,https://anaconda.org/conda-forge/mkdocs-material,2023-10-02 10:38:28.691,315366.0,1.0,,,,,,,,,,,,,,,,,,,
19,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2023-10-05 11:25:28.000,2023-10-05 06:15:02,8998.0,155.0,1928.0,232.0,2257.0,263.0,4767.0,10639.0,2023-09-22 23:31:12.000,6.0.0,57.0,459.0,42,True,,pyinstaller,conda-forge/pyinstaller,,49331.0,48970.0,https://pypi.org/project/pyinstaller,2023-09-22 23:28:57.000,361.0,1660600.0,1681643.0,https://anaconda.org/conda-forge/pyinstaller,2023-09-25 11:19:40.117,492178.0,1.0,,741729.0,,,,,,,,,,,,,,,,,
