,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-12-19 23:35:03.000,2023-12-19 23:35:03,291.0,24.0,155.0,51.0,174.0,3.0,2084.0,2023-12-07 16:55:34.000,2023.12.07,100.0,14.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2023-12-17 21:46:00.000,2023-12-17 21:46:00,241.0,37.0,33.0,12.0,157.0,13.0,598.0,2023-06-29 18:48:34.000,2023.06.29,68.0,22.0,0,True,mkdocs/catalog,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2023-12-20 12:01:37.000,2023-12-18 21:43:27,15468.0,126.0,2464.0,191.0,5395.0,4702.0,10918.0,2023-10-24 19:37:45.000,7.4.3,165.0,927.0,47,True,,882.0,pytest,conda-forge/pytest,['pytest'],1131437.0,1110127.0,https://pypi.org/project/pytest,2023-10-24 19:23:14.000,21310.0,90842718.0,91469180.0,https://anaconda.org/conda-forge/pytest,2023-10-25 11:38:48.696,23805558.0,1.0,,,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2023-12-20 22:49:40.000,2023-12-20 15:59:07,14226.0,98.0,3078.0,315.0,5348.0,6073.0,9061.0,2023-12-17 13:05:02.000,23.3.2,137.0,758.0,47,True,,1102.0,pip,conda-forge/pip,,176221.0,164994.0,https://pypi.org/project/pip,2023-12-17 13:05:02.000,11227.0,193365862.0,195653087.0,https://anaconda.org/conda-forge/pip,2023-12-17 14:07:53.848,98350687.0,1.0,,,,,,,,,,,,,,,,,,,
6,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2023-12-19 16:47:28.000,2023-12-14 08:28:28,1763.0,105.0,2347.0,227.0,1622.0,2106.0,35699.0,2023-12-12 06:31:12.000,23.12.0,54.0,428.0,46,True,,376.0,black,conda-forge/black,,461371.0,447690.0,https://pypi.org/project/black,2023-12-12 06:31:12.000,13681.0,30347133.0,30567663.0,https://anaconda.org/conda-forge/black,2023-11-30 09:26:46.278,9003859.0,1.0,52696.0,,,,,,,,,,,,,,,,,,
7,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2023-12-15 23:43:03.000,2023-12-15 23:43:03,8699.0,121.0,1798.0,358.0,1844.0,3918.0,24327.0,2023-11-15 23:32:06.000,2023.11.15,97.0,494.0,45,True,,198.0,pipenv,conda-forge/pipenv,,125679.0,125679.0,https://pypi.org/project/pipenv,,,11630800.0,11634010.0,https://anaconda.org/conda-forge/pipenv,2023-11-16 13:48:37.531,138046.0,1.0,,,,,,,,,,,,,,,,,,,
8,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2023-12-21 13:09:52.000,2023-12-21 13:09:52,11669.0,152.0,2732.0,235.0,6764.0,7450.0,16934.0,2023-11-23 17:58:45.000,1.7.1,112.0,684.0,45,True,,2520.0,mypy,conda-forge/mypy,,228311.0,218428.0,https://pypi.org/project/mypy,2023-11-23 17:58:45.000,9883.0,20194220.0,20280833.0,https://anaconda.org/conda-forge/mypy,2023-12-11 12:31:59.477,3637754.0,1.0,,,,,,,,,,,,,,,,,,,
9,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2023-12-15 10:34:49.000,2023-12-14 15:46:47,14304.0,153.0,1044.0,93.0,1477.0,1825.0,2205.0,2023-11-21 19:01:21.000,69.0.2,555.0,586.0,45,True,,571.0,setuptools,conda-forge/setuptools,,480031.0,440631.0,https://pypi.org/project/setuptools,2023-11-21 19:00:58.000,39400.0,347885778.0,350187441.0,https://anaconda.org/conda-forge/setuptools,2023-09-12 19:55:09.802,98971546.0,1.0,,,,,,,,,,,,,,,,,,,
