,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,new_addition,conda_forge
139,memory_profiler,fabianp/memory_profiler,profiling,Monitor Memory usage of Python code.,,https://github.com/fabianp/memory_profiler,https://github.com/fabianp/memory_profiler,BSD-3-Clause,2016-05-26 17:45:08.632,2022-11-16 08:09:24.242,2018-06-28 13:35:12,500.0,,367.0,5.0,1.0,,,3801.0,2022-11-15 17:59:01.069,0.61.0,59.0,62.0,27,False,memory_profiler,conda-forge/memory_profiler,,212.0,,https://pypi.org/project/memory_profiler,2022-11-15 17:59:01.069,212.0,703000.0,706702.0,https://anaconda.org/conda-forge/memory_profiler,2022-11-16 08:09:24.242,303643.0,3.0,,,,,,,,,,,,,,,,,,,,,
140,notifiers,liiight/notifiers,logging,The easy way to send notifications.,,https://github.com/liiight/notifiers,https://github.com/liiight/notifiers,MIT,2017-06-01 10:20:18.000,2023-02-06 20:05:11.000,2022-07-14 07:40:12,517.0,,93.0,33.0,360.0,41.0,66.0,2405.0,2022-02-10 14:51:38.000,1.3.3,31.0,19.0,27,True,notifiers,conda-forge/notifiers,,552.0,530.0,https://pypi.org/project/notifiers,2022-02-10 14:51:38.000,22.0,490721.0,491842.0,https://anaconda.org/conda-forge/notifiers,2022-09-07 07:53:17.789,30283.0,3.0,,,,,,,,,,,,,,,,,,,,,
141,pytest-testinfra,pytest-dev/pytest-testinfra,testing,Testinfra test your infrastructures.,,https://github.com/pytest-dev/pytest-testinfra,https://github.com/pytest-dev/pytest-testinfra,Apache-2.0,2015-03-15 20:49:52.000,2023-03-08 07:10:33.000,2023-01-11 17:43:24,719.0,7.0,321.0,83.0,371.0,128.0,206.0,2181.0,2022-12-06 07:57:49.000,7.0.1,11.0,123.0,27,True,pytest-testinfra,conda-forge/pytest-testinfra,['pytest'],9.0,,https://pypi.org/project/pytest-testinfra,2022-12-01 20:31:08.422,9.0,219531.0,219883.0,https://anaconda.org/conda-forge/pytest-testinfra,2022-12-13 07:21:44.910,9164.0,3.0,,,,,,,,,,,,,,,,,,,,,
142,uiautomator,xiaocong/uiautomator,testing,Python wrapper of Android uiautomator test tool.,,https://github.com/xiaocong/uiautomator,https://github.com/xiaocong/uiautomator,MIT,2013-08-18 03:38:50.000,2023-02-28 00:25:02.000,2020-11-16 01:36:32,316.0,,610.0,155.0,35.0,171.0,119.0,1888.0,2020-11-16 03:43:07.000,1.0.2,41.0,13.0,27,False,uiautomator,,,307.0,240.0,https://pypi.org/project/uiautomator,2020-11-16 03:43:07.000,67.0,46591.0,46591.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,
143,beartype,beartype/beartype,linters,Unbearably fast near-real-time runtime type-checking in pure Python.,,https://github.com/beartype/beartype,https://github.com/beartype/beartype,MIT,2020-04-03 06:06:22.000,2023-03-22 08:11:30.000,2023-03-22 07:57:18,886.0,84.0,32.0,12.0,38.0,40.0,132.0,1617.0,2023-01-17 08:38:01.474,0.12.0,23.0,15.0,27,True,beartype,conda-forge/beartype,,86.0,,https://pypi.org/project/beartype,2023-01-17 08:38:01.474,86.0,143139.0,144326.0,https://anaconda.org/conda-forge/beartype,2023-01-31 22:20:27.420,39195.0,3.0,,,,,,,,,,,,,,,,,,,,,
144,pdbpp,pdbpp/pdbpp,debugging,"pdb++, a drop-in replacement for pdb (the Python debugger).",,https://github.com/pdbpp/pdbpp,https://github.com/pdbpp/pdbpp,BSD-3-Clause,2017-06-11 13:42:16.000,2023-02-08 01:23:10.000,2022-07-14 18:31:38,706.0,,58.0,19.0,316.0,91.0,125.0,1071.0,2021-07-09 22:22:20.000,0.10.3,26.0,41.0,27,True,pdbpp,conda-forge/pdbpp,,5164.0,4552.0,https://pypi.org/project/pdbpp,2021-07-09 22:22:20.000,612.0,261079.0,262456.0,https://anaconda.org/conda-forge/pdbpp,2021-07-11 15:21:48.419,92311.0,3.0,,,,,,,,,,,,,,,,,,,,,
145,pylama,klen/pylama,linters,Code audit tool for python.,,https://github.com/klen/pylama,https://github.com/klen/pylama,MIT,2012-08-17 10:10:10.000,2023-01-22 23:24:48.000,2022-08-08 11:25:05,700.0,,99.0,19.0,95.0,48.0,95.0,978.0,2022-08-08 11:29:01.059,8.4.1,116.0,48.0,27,True,pylama,,,6289.0,5681.0,https://pypi.org/project/pylama,2022-08-08 11:29:01.059,608.0,185007.0,185007.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,
146,astor,berkerpeksag/astor,ast,Python AST read/write.,,https://github.com/berkerpeksag/astor,https://github.com/berkerpeksag/astor,BSD-3-Clause,2012-09-19 23:02:51.000,2022-12-31 03:02:53.000,2022-12-31 03:02:53,264.0,1.0,94.0,25.0,109.0,38.0,77.0,710.0,2019-12-10 01:50:33.000,0.8.1,14.0,33.0,27,True,astor,conda-forge/astor,,2156.0,,https://pypi.org/project/astor,2019-12-10 01:50:33.000,2156.0,6630527.0,6657650.0,https://anaconda.org/conda-forge/astor,2020-07-01 13:36:26.971,1925744.0,3.0,,,,,,,,,,,,,,,,,,,,,
147,sphinx-autobuild,executablebooks/sphinx-autobuild,documentation,Watch a Sphinx directory and rebuild the documentation when a change is detected. Also includes a livereload enabled..,,https://github.com/executablebooks/sphinx-autobuild,https://github.com/executablebooks/sphinx-autobuild,MIT,2013-12-25 17:09:56.000,2023-02-09 10:55:49.000,2023-02-09 08:53:43,295.0,9.0,58.0,19.0,59.0,21.0,53.0,451.0,2022-04-20 19:59:44.000,2021.03.14,15.0,24.0,27,True,sphinx-autobuild,conda-forge/sphinx-autobuild,['sphinx'],19801.0,17134.0,https://pypi.org/project/sphinx-autobuild,2021-03-14 13:46:47.000,2667.0,401049.0,403350.0,https://anaconda.org/conda-forge/sphinx-autobuild,2021-03-14 17:15:24.297,163425.0,2.0,,,,,,,,,,,,,,,,,,,,,
148,ddt,datadriventests/ddt,testing,Data-Driven Tests for Python Unittest.,,https://github.com/datadriventests/ddt,https://github.com/datadriventests/ddt,MIT,2012-02-11 22:57:10.000,2022-11-16 17:18:02.000,2022-08-10 16:41:28,230.0,,107.0,21.0,61.0,12.0,41.0,427.0,2022-08-10 16:47:16.981,1.6.0,31.0,37.0,27,True,ddt,conda-forge/ddt,,6270.0,4947.0,https://pypi.org/project/ddt,2022-08-10 16:47:16.981,1323.0,381587.0,382710.0,https://anaconda.org/conda-forge/ddt,2022-09-22 12:35:17.572,80912.0,3.0,,,,,,,,,,,,,,,,,,,,,
