,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_dependent_project_count,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
186,Bowler,facebookincubator/Bowler,refactoring,Safe code refactoring for modern Python.,,https://github.com/facebookincubator/Bowler,https://github.com/facebookincubator/Bowler,MIT,2018-06-07 21:44:17.000,2022-03-04 23:53:49.000,2022-03-04 21:23:22,185.0,,89.0,31.0,74.0,34.0,1436.0,2020-09-17 01:55:39.000,0.9.0,8.0,27.0,23,True,46.0,bowler,conda-forge/bowler,,7.0,,https://pypi.org/project/bowler,2020-09-17 01:55:39.000,112863.0,113156.0,https://anaconda.org/conda-forge/bowler,2019-06-12 18:37:14.246,14372.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,
187,snoop,alexmojaki/snoop,debugging,"A powerful set of Python debugging tools, based on PySnooper.",,https://github.com/alexmojaki/snoop,https://github.com/alexmojaki/snoop,MIT,2019-05-13 18:45:35.000,2022-12-05 10:32:47.000,2022-12-05 10:32:47,428.0,8.0,28.0,16.0,15.0,25.0,848.0,2022-09-25 14:10:04.093,0.4.2,13.0,22.0,23,True,18.0,snoop,conda-forge/snoop,,13.0,,https://pypi.org/project/snoop,2021-11-11 16:57:18.000,39575.0,39724.0,https://anaconda.org/conda-forge/snoop,2022-09-26 16:30:02.319,2093.0,3.0,13.0,,,,,,,,,,,,,,,,,,,,
188,pytest-plugins,man-group/pytest-plugins,testing,A grab-bag of nifty pytest plugins.,,https://github.com/man-group/pytest-plugins,https://github.com/man-group/pytest-plugins,MIT,2015-08-14 07:52:32.000,2022-11-03 10:04:57.000,2022-11-03 10:04:57,807.0,2.0,65.0,22.0,111.0,59.0,490.0,2019-05-28 06:37:19.000,1.7.0,12.0,62.0,23,True,45.0,pytest-virtualenv,conda-forge/pytest-shutil,,63.0,,https://pypi.org/project/pytest-virtualenv,2019-05-28 06:37:19.000,33027.0,33602.0,https://anaconda.org/conda-forge/pytest-shutil,2021-10-18 17:46:27.844,30512.0,3.0,63.0,,,,,,,,,,,,,,,,,,,,
189,Fixit,Instagram/Fixit,linters,"Fixit is a Python Lint Framework based on LibCST. It comes with useful default lint rules for coding convention,..",,https://github.com/Instagram/Fixit,https://github.com/Instagram/Fixit,MIT,2020-02-20 19:09:01.000,2022-12-08 04:33:27.000,2022-12-07 18:05:56,210.0,17.0,44.0,19.0,193.0,32.0,360.0,2021-07-31 16:17:24.000,0.1.4,6.0,30.0,23,True,32.0,fixit,,,31.0,29.0,https://pypi.org/project/fixit,2021-07-30 20:35:02.000,10189.0,10189.0,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,
190,baron,PyCQA/baron,refactoring,"IDE allow you to refactor code, Baron allows you to write refactoring code.",,https://github.com/PyCQA/baron,https://github.com/PyCQA/baron,LGPL-3.0,2013-03-21 12:19:00.000,2021-12-09 03:34:37.000,2021-12-09 03:33:22,1505.0,,52.0,13.0,100.0,30.0,276.0,2021-12-09 03:33:32.000,0.10.1,21.0,33.0,23,True,46.0,baron,,,304.0,245.0,https://pypi.org/project/baron,2021-12-09 03:33:32.000,32734.0,32734.0,,,,2.0,59.0,,,,,,,,,,,,,,,,,,,,
191,data-science-types,predictive-analytics-lab/data-science-types,linters,"Mypy stubs, i.e., type information, for numpy, pandas and matplotlib.",,https://github.com/wearepal/data-science-types,https://github.com/wearepal/data-science-types,Apache-2.0,2019-09-20 11:45:49.000,2021-02-16 21:31:02.632,2021-02-16 17:29:00,446.0,,57.0,9.0,171.0,23.0,193.0,2021-02-16 16:47:31.000,0.2.23,26.0,44.0,23,False,39.0,data-science-types,conda-forge/data-science-types,,289.0,281.0,https://pypi.org/project/data-science-types,2021-02-16 16:45:03.000,51452.0,51707.0,https://anaconda.org/conda-forge/data-science-types,2021-02-16 21:31:02.632,6132.0,3.0,8.0,,,,,,,,,,,,,wearepal/data-science-types,,,,,,,
192,mkdocs-with-pdf,orzih/mkdocs-with-pdf,documentation,Generate a single PDF file from MkDocs repository.,,https://github.com/orzih/mkdocs-with-pdf,https://github.com/orzih/mkdocs-with-pdf,MIT,2020-02-23 16:34:46.000,2022-12-08 03:39:32.000,2021-10-14 20:29:54,188.0,,51.0,8.0,47.0,43.0,193.0,2021-07-03 02:09:02.000,0.9.3,28.0,6.0,23,False,52.0,mkdocs-with-pdf,,['mkdocs'],200.0,200.0,https://pypi.org/project/mkdocs-with-pdf,2021-07-03 02:04:39.000,21918.0,21918.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,
193,flake8-black,peterjc/flake8-black,linters,flake8 plugin to run black for checking Python coding style.,,https://github.com/peterjc/flake8-black,https://github.com/peterjc/flake8-black,MIT,2019-01-10 14:40:26.000,2022-12-05 20:41:35.000,2022-12-05 20:41:34,154.0,10.0,10.0,2.0,45.0,23.0,146.0,2022-11-21 09:15:05.260,0.3.5,19.0,9.0,23,True,6.0,flake8-black,conda-forge/flake8-black,['flake8'],186.0,,https://pypi.org/project/flake8-black,2022-05-16 09:20:23.000,705138.0,713806.0,https://anaconda.org/conda-forge/flake8-black,2022-11-21 11:35:51.188,364060.0,3.0,186.0,,,,,,,,,,,,,,,,,,,,
194,eradicate,myint/eradicate,refactoring,Removes commented-out code from Python files.,,https://github.com/myint/eradicate,https://github.com/myint/eradicate,Saxpath,2012-12-23 04:39:48.000,2022-04-13 14:13:20.049,2022-04-06 09:45:24,172.0,,23.0,4.0,17.0,15.0,144.0,2022-04-06 09:48:46.000,2.1.0,17.0,10.0,23,False,5.0,eradicate,conda-forge/eradicate,,9956.0,9865.0,https://pypi.org/project/eradicate,2022-04-06 09:47:11.000,464393.0,464547.0,https://anaconda.org/conda-forge/eradicate,2022-04-13 14:13:20.049,3081.0,2.0,91.0,,,,,,,,,,,,,,,,,,,,
195,PrettyErrors,onelivesleft/PrettyErrors,logging,Prettify Python exception output to make it legible.,,https://github.com/onelivesleft/PrettyErrors,https://github.com/onelivesleft/PrettyErrors,MIT,2018-11-15 16:02:27.000,2021-11-27 17:41:04.999,2021-11-24 14:32:14,130.0,,78.0,28.0,10.0,38.0,2601.0,2021-11-24 14:32:07.000,1.2.25,48.0,5.0,22,False,5.0,pretty_errors,conda-forge/pretty_errors,,45.0,,https://pypi.org/project/pretty_errors,2021-11-24 14:32:07.000,19865.0,20210.0,https://anaconda.org/conda-forge/pretty_errors,2021-11-27 17:41:04.999,8649.0,3.0,45.0,,,,,,,,,,,,,,,,,,,,
