,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,conda_id,pypi_id,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,labels,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,conda_forge
10,robotframework,https://github.com/robotframework/robotframework,,Generic automation framework for acceptance testing and RPA.,testing,35,True,robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000000,2021-12-09 05:40:23.000000,2021-12-07 13:52:19.000000,1797.0,3487.0,6509.0,2021-10-15 08:56:42.000000,4.1.2,69.0,153.0,227.0,conda-forge/robotframework,robotframework,13129.0,6085.0,4677.0,https://pypi.org/project/robotframework,2021-10-15 08:57:24.000000,1408.0,448789.0,450254.0,https://anaconda.org/conda-forge/robotframework,2021-10-15 13:26:14.612000,68640.0,1.0,,,514.0,,,,,,,,,,,,,
11,black,https://github.com/psf/black,,The uncompromising Python code formatter.,formatters,34,True,psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000000,2021-12-08 03:13:09.000000,2021-12-08 03:13:05.000000,1534.0,1410.0,23851.0,2021-12-05 22:41:43.000000,21.12b0,37.0,288.0,346.0,conda-forge/black,black,,106638.0,100410.0,https://pypi.org/project/black,2021-12-05 22:42:08.000000,6228.0,5315900.0,5376670.0,https://anaconda.org/conda-forge/black,2021-11-28 13:21:47.721000,2588697.0,1.0,,,18746.0,,,,,,,,,,,,,
12,pytest,https://github.com/pytest-dev/pytest,,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",testing,34,True,pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000000,2021-12-08 20:59:42.000000,2021-12-08 20:59:42.000000,1896.0,4057.0,8016.0,2021-12-07 08:35:24.000000,7.0.0rc1,149.0,759.0,711.0,conda-forge/pytest,pytest,,541603.0,411019.0,https://pypi.org/project/pytest,2021-12-07 08:34:56.000000,130584.0,17885073.0,18048778.0,https://anaconda.org/conda-forge/pytest,2021-11-02 14:19:16.940000,10640870.0,1.0,['pytest'],,,,,,,-2.0,,,,,,,,
13,autopep8,https://github.com/hhatto/autopep8,,A tool that automatically formats Python code to conform to the PEP 8 style guide.,formatters,34,True,hhatto/autopep8,https://github.com/hhatto/autopep8,MIT,2010-12-29 20:08:51.000000,2021-11-03 13:22:29.000000,2021-10-30 04:18:06.000000,253.0,340.0,3963.0,2021-10-24 07:01:21.000000,1.6.0,68.0,51.0,92.0,conda-forge/autopep8,autopep8,2730.0,109030.0,98846.0,https://pypi.org/project/autopep8,2021-10-24 06:47:35.000000,10184.0,1327115.0,1335846.0,https://anaconda.org/conda-forge/autopep8,2021-10-26 17:07:50.178000,576267.0,1.0,,,,,,,,,,,,,,,,
14,tox,https://github.com/tox-dev/tox,,Command line driven CI frontend and development task automation tool.,testing,34,True,tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000000,2021-12-06 16:45:24.000000,2021-12-03 18:30:47.000000,385.0,1140.0,2510.0,2021-10-07 07:28:06.000000,4.0.0a9,124.0,252.0,139.0,conda-forge/tox,tox,2053.0,87900.0,51500.0,https://pypi.org/project/tox,2021-09-16 09:44:58.000000,36400.0,1916711.0,1924331.0,https://anaconda.org/conda-forge/tox,2021-11-29 13:25:37.578000,388647.0,1.0,['pytest'],,,,,,,,,,,,,,,
15,setuptools,https://github.com/pypa/setuptools,,Official project repository for the Setuptools build system.,build-tools,34,True,pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000000,2021-12-07 01:27:12.000000,2021-12-05 16:35:21.000000,794.0,1346.0,1499.0,2021-12-05 17:28:50.000000,59.5.0,455.0,470.0,535.0,conda-forge/setuptools,setuptools,,186295.0,128365.0,https://pypi.org/project/setuptools,2021-12-05 17:28:43.000000,57930.0,113357598.0,113821261.0,https://anaconda.org/conda-forge/setuptools,2021-11-29 10:13:37.083000,30138065.0,1.0,,,113.0,,,,,,,,,,,,,
16,pytest-cov,https://github.com/pytest-dev/pytest-cov,,Coverage plugin for pytest.,testing,34,True,pytest-dev/pytest-cov,https://github.com/pytest-dev/pytest-cov,MIT,2014-04-17 20:01:12.000000,2021-12-06 17:27:51.000000,2021-10-10 09:31:18.000000,155.0,199.0,1152.0,2021-10-04 01:48:57.000000,3.0.0,43.0,72.0,106.0,conda-forge/pytest-cov,pytest-cov,860.0,150369.0,106975.0,https://pypi.org/project/pytest-cov,2021-10-04 01:48:57.000000,43394.0,5763261.0,5824101.0,https://anaconda.org/conda-forge/pytest-cov,2021-10-04 14:17:04.977000,4197990.0,1.0,['pytest'],,,,,,,,,,,,,,,
17,rich,https://github.com/willmcgugan/rich,,Rich is a Python library for rich text and beautiful formatting in the terminal.,logging,33,True,willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09.000000,2021-12-07 15:35:47.446000,2021-12-02 13:52:37.000000,1013.0,584.0,31385.0,2021-12-02 13:56:16.000000,10.15.2,144.0,138.0,30.0,conda-forge/rich,rich,2477.0,9180.0,9180.0,https://pypi.org/project/rich,2021-12-02 13:54:09.000000,0.0,1426224.0,1457155.0,https://anaconda.org/conda-forge/rich,2021-12-07 15:35:47.446000,525833.0,1.0,,,,,,,,,,,,,,,,
18,pipenv,https://github.com/pypa/pipenv,,Python Development Workflow for Humans.,virtual-envs,33,True,pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000000,2021-11-25 14:34:20.000000,2021-11-25 14:34:14.000000,1685.0,2963.0,22513.0,2021-11-23 15:27:39.000000,2021.11.23,303.0,396.0,583.0,conda-forge/pipenv,pipenv,,25802.0,23528.0,https://pypi.org/project/pipenv,2021-11-23 15:27:39.000000,2274.0,2211873.0,2213620.0,https://anaconda.org/conda-forge/pipenv,2021-11-24 15:21:31.977000,45424.0,1.0,,,,,,,,,,,,,,,,
19,mkdocs-material,https://github.com/squidfunk/mkdocs-material,,Technical documentation that just works.,documentation,33,True,squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000000,2021-12-08 20:54:52.000000,2021-12-08 20:53:52.000000,1900.0,1214.0,8194.0,2021-12-06 23:13:52.000000,8.0.5,229.0,139.0,6.0,conda-forge/mkdocs-material,mkdocs-material,3851.0,11542.0,10040.0,https://pypi.org/project/mkdocs-material,2021-12-06 23:13:52.000000,1502.0,390475.0,392890.0,https://anaconda.org/conda-forge/mkdocs-material,2021-12-07 01:58:45.392000,74885.0,1.0,['mkdocs'],,,,,,,-1.0,,,,,,,,
20,hypothesis,https://github.com/HypothesisWorks/hypothesis,,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",testing,33,True,HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000000,2021-12-09 14:25:30.000000,2021-12-09 13:30:58.000000,477.0,1134.0,5556.0,2021-12-09 13:31:19.000000,hypothesis-python-6.31.0,906.0,255.0,63.0,conda-forge/hypothesis,hypothesis,11220.0,13267.0,10651.0,https://pypi.org/project/hypothesis,2021-12-09 13:31:03.000000,2616.0,1260769.0,1338662.0,https://anaconda.org/conda-forge/hypothesis,2021-12-05 14:55:40.156000,5063109.0,1.0,,,,,,,,,,,,,,,,
21,conda,https://github.com/conda/conda,,"OS-agnostic, system-level binary package manager and ecosystem.",dependency-managers,33,True,conda/conda,https://github.com/conda/conda,BSD-3-Clause,2012-10-15 22:08:03.000000,2021-12-09 01:41:37.000000,2021-12-06 17:41:00.000000,1100.0,6409.0,4420.0,2021-11-22 18:47:32.000000,4.11.0,100.0,375.0,1847.0,conda-forge/conda,conda,15794.0,2104.0,,https://pypi.org/project/conda,2017-04-22 23:38:35.000000,2104.0,37978.0,405928.0,https://anaconda.org/conda-forge/conda,2021-11-23 11:16:29.692000,23548861.0,2.0,,,,,,,,,,,,,,,,
22,isort,https://github.com/PyCQA/isort,,A Python utility / library to sort imports.,formatters,33,True,PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000000,2021-12-06 05:59:25.000000,2021-12-06 05:59:24.000000,428.0,1000.0,4361.0,2021-11-09 05:43:22.000000,5.10.1,132.0,253.0,31.0,conda-forge/isort,isort,,232002.0,207784.0,https://pypi.org/project/isort,2021-11-09 05:42:44.000000,24218.0,8981374.0,9021939.0,https://anaconda.org/conda-forge/isort,2021-11-09 08:52:00.919000,2636762.0,2.0,,,,,,,,,,,,,,,,
