,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,conda_id,labels,pypi_id,open_issue_count,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,updated_github_id,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge
0,Python.org Packaging,https://packaging.python.org/overview/,True,An Overview of Packaging for Python.,packaging,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Testing,https://github.com/ml-tooling/best-of-web-python,True,Testing libraries & tools for python web frameworks.,testing,0,True,ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2021-02-18 14:20:48.000,2021-02-05 15:40:55.000,59.0,2.0,1028.0,2021-02-05 15:41:05.000,2021.02.04,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,https://docs.python.org/3/library/unittest.html,True,Unittest is a test framework included in the Python standard library.,testing,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,pytest,https://github.com/pytest-dev/pytest,,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",testing,39,True,pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2021-02-18 11:16:54.000,2021-02-18 11:16:54.000,1615.0,3773.0,7027.0,2021-01-25 14:52:06.000,6.2.2,145.0,697.0,conda-forge/pytest,['pytest'],pytest,615.0,13418.0,415878.0,285294.0,https://pypi.org/project/pytest,2021-01-25 14:51:38.000,130584.0,10015668.0,10135729.0,https://anaconda.org/conda-forge/pytest,2021-01-27 13:05:54.016,6603355.0,1.0,,,,,,,,,,
4,pip,https://github.com/pypa/pip,,The Python package installer.,dependency-managers,38,True,pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2021-02-18 13:39:07.000,2021-02-18 13:39:07.000,2179.0,4568.0,6916.0,2021-01-30 12:54:11.000,21.0.1,102.0,582.0,conda-forge/pip,,pip,984.0,11341.0,61665.0,42999.0,https://pypi.org/project/pip,2021-01-30 12:54:11.000,18666.0,41629746.0,41946362.0,https://anaconda.org/conda-forge/pip,2021-01-30 14:15:41.706,17413910.0,1.0,,,,,,,,,,
5,sphinx,https://github.com/sphinx-doc/sphinx,,Main repository for the Sphinx documentation builder.,documentation,37,True,sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2021-02-18 12:17:33.000,2021-02-17 13:18:20.000,1423.0,4479.0,3795.0,2021-02-14 07:57:29.000,3.5.0,142.0,617.0,conda-forge/sphinx,['sphinx'],sphinx,752.0,17068.0,233395.0,128859.0,https://pypi.org/project/sphinx,2021-02-14 07:57:29.000,104536.0,1666046.0,1716494.0,https://anaconda.org/conda-forge/sphinx,2021-02-16 16:10:15.633,2724217.0,1.0,,,,,,,,,,
6,pipenv,https://github.com/pypa/pipenv,,Python Development Workflow for Humans.,virtual-envs,36,True,pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2021-02-18 09:05:53.000,2021-02-04 14:18:14.000,1583.0,2855.0,21556.0,2020-11-15 04:19:27.000,2020.11.15,297.0,376.0,conda-forge/pipenv,,pipenv,484.0,7035.0,18878.0,16604.0,https://pypi.org/project/pipenv,2020-11-15 04:19:27.000,2274.0,1193817.0,1196085.0,https://anaconda.org/conda-forge/pipenv,2020-11-15 06:15:51.831,36298.0,1.0,,,,,,,,,,
7,tqdm,https://github.com/tqdm/tqdm,,"A Fast, Extensible Progress Bar for Python and CLI.",logging,36,True,tqdm/tqdm,https://github.com/tqdm/tqdm,MIT,2015-06-03 13:13:14.000,2021-02-18 06:06:46.782,2021-02-18 03:42:36.000,899.0,497.0,17465.0,2021-02-18 03:51:17.000,4.57.0,114.0,94.0,conda-forge/tqdm,,tqdm,273.0,1762.0,174879.0,148641.0,https://pypi.org/project/tqdm,2021-02-18 03:47:30.000,26238.0,7123483.0,7215569.0,https://anaconda.org/conda-forge/tqdm,2021-02-18 06:06:46.782,5150212.0,1.0,7344.0,,,,,,,,,
8,psutil,https://github.com/giampaolo/psutil,,Cross-platform lib for process and system monitoring in Python.,profiling,36,True,giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2021-02-18 12:18:22.000,2021-02-18 12:18:22.000,1091.0,1270.0,7065.0,2020-12-19 01:19:27.000,5.8.0,83.0,157.0,conda-forge/psutil,,psutil,169.0,5673.0,98977.0,74311.0,https://pypi.org/project/psutil,2020-12-19 01:19:27.000,24666.0,15538707.0,15638123.0,https://anaconda.org/conda-forge/psutil,2021-01-12 14:13:09.300,5766139.0,1.0,,,,,,,,,,
9,jedi,https://github.com/davidhalter/jedi,,"Awesome autocompletion, static analysis and refactoring library for python.",refactoring,36,True,davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2021-01-31 23:41:41.000,2021-01-31 23:41:40.000,424.0,1193.0,4769.0,2020-12-25 10:34:25.000,0.18.0,30.0,142.0,conda-forge/jedi,,jedi,20.0,8198.0,130983.0,115077.0,https://pypi.org/project/jedi,2020-12-25 10:34:25.000,15906.0,6471494.0,6549641.0,https://anaconda.org/conda-forge/jedi,2021-01-14 15:48:43.942,4063676.0,1.0,,,,,,,,,,
10,isort,https://github.com/PyCQA/isort,,A Python utility / library to sort imports.,formatters,36,True,PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2021-02-18 07:57:11.000,2021-02-18 07:56:32.000,377.0,885.0,3706.0,2020-12-31 01:16:34.000,5.7.0,126.0,225.0,conda-forge/isort,,isort,30.0,3449.0,179453.0,155235.0,https://pypi.org/project/isort,2020-12-31 01:15:41.000,24218.0,4919530.0,4948311.0,https://anaconda.org/conda-forge/isort,2020-12-31 02:59:49.605,1582973.0,1.0,,,,,,,,,,
11,mypy,https://github.com/python/mypy,,Optional static typing for Python 3 and 2 (PEP 484).,linters,35,True,python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2021-02-17 23:24:35.000,2021-02-16 18:31:49.000,1590.0,4509.0,9935.0,,,78.0,447.0,conda-forge/mypy,,mypy,1542.0,9379.0,34388.0,28304.0,https://pypi.org/project/mypy,2021-01-22 11:50:58.000,6084.0,2186438.0,2204225.0,https://anaconda.org/conda-forge/mypy,2021-01-22 16:55:44.796,693721.0,1.0,,,,,,,,,,
12,tox,https://github.com/tox-dev/tox,,Command line driven CI frontend and development task automation tool.,testing,35,True,tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2021-02-17 18:54:52.000,2021-02-16 15:59:24.000,350.0,982.0,2076.0,2021-02-16 08:44:01.000,3.22.0,114.0,234.0,conda-forge/tox,['pytest'],tox,143.0,1965.0,77484.0,41084.0,https://pypi.org/project/tox,2021-02-16 08:44:01.000,36400.0,1544693.0,1550067.0,https://anaconda.org/conda-forge/tox,2021-02-17 03:38:42.176,220351.0,1.0,,,,,,,,,,
13,pylint,https://github.com/PyCQA/pylint,,It's not just a linter that annoys you!.,linters,34,True,PyCQA/pylint,https://github.com/PyCQA/pylint,GPL-2.0,2015-12-09 05:40:02.000,2021-02-18 13:30:36.000,2021-02-16 08:47:54.000,672.0,2562.0,3213.0,2021-02-16 09:39:10.000,2.6.2,90.0,358.0,conda-forge/pylint,,pylint,669.0,5071.0,217334.0,179600.0,https://pypi.org/project/pylint,2021-02-16 09:39:10.000,37734.0,3057467.0,3086284.0,https://anaconda.org/conda-forge/pylint,2021-02-17 09:43:29.814,1556138.0,1.0,,1.0,,,,,,,,
14,setuptools,https://github.com/pypa/setuptools,,Official project repository for the Setuptools build system.,build-tools,34,True,pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2021-02-18 05:53:23.000,2021-02-01 15:11:49.000,701.0,1194.0,1294.0,2021-02-01 15:39:41.000,53.0.0,419.0,411.0,conda-forge/setuptools,,setuptools,532.0,,148274.0,90344.0,https://pypi.org/project/setuptools,2021-02-01 15:39:30.000,57930.0,42993066.0,43336815.0,https://anaconda.org/conda-forge/setuptools,2021-01-08 05:42:17.824,18906105.0,1.0,105.0,,,,,,,,,
15,flake8,https://github.com/PyCQA/flake8,,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelder's McCabe script.,linters,34,True,PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000,2021-01-07 23:32:13.000,2021-01-07 23:32:08.000,183.0,,1085.0,2020-10-02 23:34:01.000,3.8.4,76.0,148.0,conda-forge/flake8,,flake8,7.0,1876.0,220367.0,149077.0,https://pypi.org/project/flake8,2020-10-02 23:34:01.000,71290.0,3703454.0,3739317.0,https://anaconda.org/conda-forge/flake8,2020-10-05 05:07:54.333,2008331.0,1.0,,,,,,,,,,
16,black,https://github.com/psf/black,,The uncompromising Python code formatter.,formatters,33,True,psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2021-02-17 17:02:06.000,2021-02-16 21:10:23.000,1209.0,973.0,19593.0,2020-08-26 15:56:21.000,20.8b1,23.0,223.0,conda-forge/black,,black,385.0,882.0,52374.0,46146.0,https://pypi.org/project/black,2020-08-26 15:52:03.000,6228.0,2252263.0,2286554.0,https://anaconda.org/conda-forge/black,2020-09-07 11:42:46.809,1115551.0,2.0,11205.0,,,,,,,,,
17,mkdocs,https://github.com/mkdocs/mkdocs,,Project documentation with Markdown.,documentation,33,True,mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2021-02-16 20:16:23.000,2021-02-16 20:16:22.000,1668.0,1339.0,11605.0,2020-05-14 15:18:01.000,1.1.2,44.0,183.0,conda-forge/mkdocs,['mkdocs'],mkdocs,142.0,1496.0,16584.0,10642.0,https://pypi.org/project/mkdocs,2020-05-14 15:18:01.000,5942.0,180968.0,182995.0,https://anaconda.org/conda-forge/mkdocs,2020-06-01 13:16:37.068,117593.0,1.0,,,,,,,,,,
