,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,trending,conda_forge
18,hypothesis,HypothesisWorks/hypothesis,testing,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000,2023-04-30 21:53:24.955,2023-04-30 19:15:25,12934.0,235.0,551.0,69.0,2243.0,59.0,1340.0,6681.0,2023-04-30 06:39:11.055,6.75.0,1042.0,310.0,42,True,,hypothesis,conda-forge/hypothesis,,22665.0,20444.0,https://pypi.org/project/hypothesis,2023-01-27 10:10:58.628,2221.0,5479035.0,5570796.0,https://anaconda.org/conda-forge/hypothesis,2023-04-30 21:53:24.955,7524436.0,1.0,,,,,,,,,,,,,,,,,,,
19,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,,2015-01-02 10:53:28.000,2023-05-03 17:13:04.000,2023-04-29 21:44:55,20101.0,210.0,1804.0,145.0,4905.0,1138.0,5308.0,5391.0,2023-04-29 21:31:39.000,7.0.0,98.0,780.0,42,False,,sphinx,conda-forge/sphinx,['sphinx'],299589.0,299589.0,https://pypi.org/project/sphinx,,,8408030.0,8500280.0,https://anaconda.org/conda-forge/sphinx,2023-04-29 21:46:25.675,7472324.0,1.0,,,,,,,,,,,,,,,,,,,
20,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2023-05-03 16:41:13.115,2023-05-02 21:16:34,1845.0,24.0,2167.0,231.0,1126.0,119.0,1680.0,16343.0,2023-05-02 21:19:16.000,1.4.3,25.0,237.0,41,True,,mkdocs,conda-forge/mkdocs,['mkdocs'],43103.0,43103.0,https://pypi.org/project/mkdocs,,,1504725.0,1507639.0,https://anaconda.org/conda-forge/mkdocs,2023-05-03 16:41:13.115,247719.0,1.0,,,,,,,,,,,,,,,,,,,
21,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2023-05-04 11:47:36.000,2023-05-04 11:43:45,14016.0,177.0,2107.0,477.0,649.0,289.0,3848.0,7993.0,2023-01-09 21:14:31.299,6.0.2,98.0,181.0,41,True,,robotframework,conda-forge/robotframework,,8664.0,7566.0,https://pypi.org/project/robotframework,2023-01-09 21:14:31.299,1098.0,1500927.0,1502883.0,https://anaconda.org/conda-forge/robotframework,2023-01-12 19:48:17.751,124880.0,1.0,545.0,,,,,,,,,,,,,,,,,,
22,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2023-04-27 12:40:30.000,2023-04-01 17:51:24,4080.0,31.0,502.0,47.0,922.0,138.0,1061.0,5779.0,2023-01-30 09:41:30.000,5.11.5,100.0,283.0,41,True,,isort,conda-forge/isort,,380522.0,380522.0,https://pypi.org/project/isort,,,24674239.0,24731405.0,https://anaconda.org/conda-forge/isort,2023-02-01 23:25:16.111,4687617.0,2.0,,,,,,,,,,,,,,,,,,,
23,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2023-05-03 22:39:26.000,2023-05-03 22:39:25,679.0,48.0,920.0,163.0,1256.0,76.0,1201.0,4449.0,2023-04-27 23:37:32.000,20.23.0,57.0,98.0,41,True,,virtualenv,conda-forge/virtualenv,,257636.0,257636.0,https://pypi.org/project/virtualenv,,,51111078.0,51168590.0,https://anaconda.org/conda-forge/virtualenv,2023-04-28 09:34:05.273,4255925.0,2.0,,,,,,,,,,,,,,,,,,,
24,poetry,python-poetry/poetry,dependency-managers,Python packaging and dependency management made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2023-05-04 07:24:13.000,2023-04-30 12:41:37,2826.0,92.0,1962.0,184.0,2346.0,665.0,4355.0,24885.0,2023-04-02 16:03:01.413,1.4.2,160.0,452.0,40,True,,poetry,conda-forge/poetry,,253.0,,https://pypi.org/project/poetry,2023-01-10 18:28:25.700,253.0,11303559.0,11570556.0,https://anaconda.org/conda-forge/poetry,2023-04-05 19:52:39.807,850355.0,2.0,15075000.0,,,,,,,,,,,,,,,,,,
25,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2023-04-21 21:55:14.000,2023-04-21 21:55:14,8352.0,25.0,492.0,114.0,577.0,52.0,1298.0,5407.0,2022-11-21 22:34:01.796,0.18.2,32.0,163.0,40,True,,jedi,conda-forge/jedi,,305696.0,297288.0,https://pypi.org/project/jedi,2022-11-21 22:34:01.796,8408.0,18630806.0,18832533.0,https://anaconda.org/conda-forge/jedi,2022-11-22 16:27:48.875,15936477.0,1.0,,,,,,,,,,,,,,,,,,,
26,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2023-05-03 22:39:08.000,2023-05-03 22:39:07,588.0,42.0,473.0,41.0,1298.0,78.0,1515.0,3255.0,2023-04-26 16:35:23.126,4.5.1,193.0,277.0,39,True,,tox,conda-forge/tox,['pytest'],119655.0,97450.0,https://pypi.org/project/tox,2023-02-21 17:41:11.947,22205.0,17710372.0,17720338.0,https://anaconda.org/conda-forge/tox,2023-01-18 22:31:34.228,677723.0,1.0,,,,,,,,,,,,,,,,,,,
27,sentry-sdk,getsentry/sentry-python,logging,The official Python SDK for Sentry.io.,,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,MIT,2018-06-18 22:51:10.000,2023-05-04 14:17:57.000,2023-05-04 10:17:12,1722.0,91.0,356.0,66.0,1159.0,186.0,697.0,1511.0,2023-04-28 19:29:33.000,1.21.1,101.0,166.0,39,True,,sentry-sdk,conda-forge/sentry-sdk,,42436.0,42436.0,https://pypi.org/project/sentry-sdk,,,19484387.0,19492377.0,https://anaconda.org/conda-forge/sentry-sdk,2023-04-28 21:06:11.878,427003.0,1.0,3768.0,,,,,,,,,,,,,,,,,,
