,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_dependent_project_count,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-12-11 11:29:12.000,2022-12-11 11:29:11,186.0,25.0,132.0,52.0,115.0,2.0,1750.0,2022-12-11 11:29:20.000,2022.12.08,68.0,9.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2022-12-08 22:26:46.000,2022-12-08 22:26:46,132.0,14.0,4.0,4.0,53.0,2.0,100.0,2022-12-10 22:35:53.000,2022.12.08,38.0,4.0,0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2022-12-15 09:12:50.000,2022-12-14 11:57:07,14824.0,171.0,2214.0,195.0,4865.0,4353.0,9582.0,2022-10-25 07:58:53.000,7.2.0,156.0,841.0,47,True,806.0,pytest,conda-forge/pytest,['pytest'],643825.0,643825.0,https://pypi.org/project/pytest,2022-10-25 07:58:10.000,49729513.0,49954240.0,https://anaconda.org/conda-forge/pytest,2022-10-31 11:43:04.693,17303984.0,1.0,,,,,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2022-12-15 01:25:33.000,2022-12-14 02:10:15,13439.0,144.0,2779.0,307.0,5050.0,5670.0,8411.0,2022-11-05 15:58:21.647,22.3.1,126.0,703.0,46,True,996.0,pip,conda-forge/pip,,118623.0,107945.0,https://pypi.org/project/pip,2022-05-31 11:19:58.000,130076003.0,130860849.0,https://anaconda.org/conda-forge/pip,2022-11-05 19:03:00.168,60433194.0,1.0,10678.0,,,,,,,,,,,,,,,,,,,,
6,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2022-12-14 19:51:06.000,2022-12-14 19:51:06,8160.0,353.0,1807.0,364.0,1627.0,3638.0,23505.0,2022-11-30 16:09:02.507,2022.11.30,346.0,453.0,45,True,230.0,pipenv,conda-forge/pipenv,,52299.0,51058.0,https://pypi.org/project/pipenv,2022-09-08 15:02:03.491,6670143.0,6672296.0,https://anaconda.org/conda-forge/pipenv,2022-11-30 21:47:14.687,81842.0,1.0,1241.0,,,,,,,,,,,,,,,,,,,,
7,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2022-12-15 11:04:42.000,2022-11-14 11:18:35,5859.0,54.0,1289.0,238.0,593.0,1371.0,8922.0,2022-11-07 18:47:02.742,5.9.4,88.0,190.0,45,True,239.0,psutil,conda-forge/psutil,,249399.0,233451.0,https://pypi.org/project/psutil,2022-09-04 20:17:41.866,65569552.0,65789465.0,https://anaconda.org/conda-forge/psutil,2022-11-08 06:03:33.939,17593084.0,1.0,15948.0,,,,,,,,,,,,,,,,,,,,
8,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2022-12-15 07:27:48.000,2022-11-24 04:57:16,13445.0,225.0,962.0,88.0,1322.0,1679.0,1883.0,2022-11-24 06:09:37.000,65.6.3,524.0,549.0,45,True,540.0,setuptools,conda-forge/setuptools,,275333.0,238774.0,https://pypi.org/project/setuptools,2022-07-04 02:25:55.000,219274905.0,220095626.0,https://anaconda.org/conda-forge/setuptools,2022-11-22 16:31:54.783,63195539.0,1.0,36559.0,,,,,,,,,,,,,,,,,,,,
9,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2022-12-15 06:11:31.000,2022-12-15 01:56:14,1470.0,60.0,1945.0,227.0,1283.0,1783.0,30449.0,2022-12-09 15:59:15.665,22.12.0,43.0,350.0,44,True,368.0,black,conda-forge/black,,225197.0,217352.0,https://pypi.org/project/black,2022-06-28 00:39:54.000,16951729.0,17056013.0,https://anaconda.org/conda-forge/black,2022-10-27 20:13:05.568,5704070.0,1.0,7845.0,25845.0,2.0,,,,,,,,,,,,,,,,,,
10,mypy,python/mypy,linters,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2022-12-15 10:18:09.000,2022-12-15 10:18:08,10829.0,225.0,2380.0,223.0,5774.0,6253.0,14332.0,,,98.0,618.0,44,True,2339.0,mypy,conda-forge/mypy,,114669.0,108391.0,https://pypi.org/project/mypy,2022-10-03 14:22:39.864,12391126.0,12431847.0,https://anaconda.org/conda-forge/mypy,2022-11-15 04:12:17.621,2484022.0,1.0,6278.0,,,,,,,,,,,,,,,,,,,,
11,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2022-12-14 20:57:39.000,2022-12-04 04:17:42,3559.0,144.0,1433.0,541.0,861.0,916.0,41101.0,2022-10-02 16:29:13.235,12.6.0,170.0,203.0,42,True,87.0,rich,conda-forge/rich,,45417.0,43298.0,https://pypi.org/project/rich,2022-05-24 06:40:55.000,18181026.0,18268901.0,https://anaconda.org/conda-forge/rich,2022-10-02 23:18:27.050,2548376.0,1.0,2119.0,,,,,,,,,,,,,,,,,,,,
12,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2022-12-11 02:36:32.000,2022-09-03 10:56:22,1928.0,,1168.0,207.0,495.0,560.0,23556.0,2022-09-03 18:04:55.000,4.64.1,130.0,112.0,42,True,376.0,tqdm,conda-forge/tqdm,,382253.0,359824.0,https://pypi.org/project/tqdm,2022-04-04 01:48:46.000,46605223.0,46808196.0,https://anaconda.org/conda-forge/tqdm,2022-09-03 14:17:41.115,15817898.0,1.0,22429.0,10421.0,,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2022-11-12 01:50:51.768311,2.0,4058.0,,,,,,,,,,,,,
13,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2022-12-14 20:47:05.000,2022-11-06 23:57:33,1821.0,72.0,2126.0,232.0,1097.0,1639.0,15478.0,2022-11-01 18:34:14.000,1.4.2,55.0,225.0,42,True,121.0,mkdocs,conda-forge/mkdocs,['mkdocs'],32113.0,28364.0,https://pypi.org/project/mkdocs,2022-03-26 19:53:18.000,1177814.0,1180527.0,https://anaconda.org/conda-forge/mkdocs,2022-11-12 09:58:55.579,217104.0,1.0,3749.0,,,,,,,,,,,,,,,,,,,,
14,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2022-12-13 19:22:48.000,2022-12-13 19:22:47,8610.0,117.0,1852.0,233.0,2083.0,4464.0,9825.0,2022-12-04 15:08:42.000,5.7.0,47.0,443.0,42,True,270.0,pyinstaller,conda-forge/pyinstaller,,33239.0,33051.0,https://pypi.org/project/pyinstaller,2022-05-17 18:32:22.000,941992.0,953594.0,https://anaconda.org/conda-forge/pyinstaller,2022-12-13 12:32:51.658,384449.0,1.0,188.0,733760.0,,,,,,,,,,,,,,,,,,,
15,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2022-12-13 14:03:01.000,2022-12-07 12:53:44,19748.0,119.0,1780.0,140.0,4739.0,5214.0,5048.0,2022-10-17 21:45:48.000,6.0.0b2,175.0,758.0,42,True,1087.0,sphinx,conda-forge/sphinx,['sphinx'],297607.0,237646.0,https://pypi.org/project/sphinx,2022-06-02 18:12:32.000,8753218.0,8840644.0,https://anaconda.org/conda-forge/sphinx,2022-10-16 10:22:22.751,6644432.0,1.0,59961.0,,,,,,,,,,,,,,,,,,,,
16,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/PyCQA/pylint,https://github.com/PyCQA/pylint,GPL-2.0,2015-12-09 05:40:02.000,2022-12-15 13:11:03.000,2022-12-14 22:24:55,8140.0,321.0,942.0,72.0,3305.0,3998.0,4382.0,2022-12-05 12:58:02.793,2.15.8,158.0,503.0,42,True,680.0,pylint,conda-forge/pylint,,315665.0,294388.0,https://pypi.org/project/pylint,2022-06-29 13:48:28.000,13467355.0,13513285.0,https://anaconda.org/conda-forge/pylint,2022-12-05 18:58:55.315,3490707.0,1.0,21277.0,,,,,,,,,,,,,,,,,,,,
17,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000,2022-12-14 18:33:06.000,2022-12-14 18:33:05,2347.0,67.0,250.0,33.0,290.0,1452.0,2518.0,2022-11-23 19:29:25.198,6.0.0,87.0,172.0,42,True,24.0,flake8,conda-forge/flake8,,360559.0,318668.0,https://pypi.org/project/flake8,2021-10-11 12:42:47.000,19916818.0,19984439.0,https://anaconda.org/conda-forge/flake8,2022-11-25 17:20:29.044,5274469.0,1.0,41891.0,,,,,,,,,,,,,,,,,,,,
18,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2022-12-11 18:43:01.000,2022-12-11 18:42:51,13775.0,100.0,2048.0,484.0,608.0,3733.0,7627.0,2022-11-03 17:22:13.392,6.0.1,96.0,172.0,41,True,265.0,robotframework,conda-forge/robotframework,,7493.0,6445.0,https://pypi.org/project/robotframework,2022-05-16 07:56:15.000,1426390.0,1428155.0,https://anaconda.org/conda-forge/robotframework,2022-11-03 22:03:39.410,103860.0,1.0,1048.0,539.0,,,,,,,,,,,,,,,,,,,
