,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,new_addition,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
172,redbaron,pycqa/redbaron,refactoring,Bottom-up approach to refactoring in python.,,https://github.com/PyCQA/redbaron,https://github.com/PyCQA/redbaron,LGPL-3.0+,2014-03-23 05:34:39.000,2022-01-29 21:54:37.000,2021-12-09 03:12:36,1672.0,,73.0,26.0,106.0,46.0,639.0,2019-03-17 19:03:54.000,0.9.2,15.0,34.0,80.0,24,True,redbaron,,,509.0,393.0,https://pypi.org/project/redbaron,2019-03-17 18:59:01.000,116.0,35168.0,35168.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
173,Mamba Test Runner,nestorsalceda/mamba,testing,The definitive testing tool for Python. Born under the banner of Behavior Driven Development (BDD).,,https://github.com/nestorsalceda/mamba,https://github.com/nestorsalceda/mamba,MIT,2013-03-12 18:53:42.000,2021-12-09 22:04:56.000,2020-11-16 12:31:58,468.0,,63.0,22.0,84.0,52.0,490.0,2020-11-16 12:36:24.000,0.11.2,21.0,22.0,45.0,24,False,mamba,,,577.0,459.0,https://pypi.org/project/mamba,2020-11-16 12:35:41.000,118.0,18671.0,18671.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,
174,paver,paver/paver,build-tools,Python-based project scripting.,,https://github.com/paver/paver,https://github.com/paver/paver,BSD-3-Clause,2010-11-11 09:43:52.000,2021-06-21 14:55:20.000,2021-06-21 14:55:20,534.0,,78.0,14.0,84.0,93.0,449.0,2017-12-31 01:13:41.000,1.3.4,28.0,45.0,38.0,24,True,paver,conda-forge/paver,,961.0,,https://pypi.org/project/paver,2017-12-31 01:13:41.000,961.0,32819.0,33184.0,https://anaconda.org/conda-forge/paver,2018-07-24 12:48:36.122,24457.0,3.0,,,,,,,,,,,,,,,,,,,,,
175,py2exe,py2exe/py2exe,packaging,A distutils extension to create standalone Windows programs from Python code.,,https://github.com/py2exe/py2exe,https://github.com/py2exe/py2exe,MIT,2019-03-11 13:16:35.000,2022-05-28 13:34:32.000,2022-02-13 09:44:38,1013.0,,52.0,19.0,26.0,100.0,419.0,2022-02-13 10:35:33.000,0.11.1.0,20.0,14.0,9.0,24,True,py2exe,,,1658.0,1482.0,https://pypi.org/project/py2exe,2022-02-13 10:37:10.000,176.0,21931.0,22165.0,,,,3.0,9128.0,,,,,,,,,,,,,,,,,,,,
176,flake8-eradicate,wemake-services/flake8-eradicate,linters,Flake8 plugin to find commented out or dead code.,,https://github.com/wemake-services/flake8-eradicate,https://github.com/wemake-services/flake8-eradicate,MIT,2018-09-21 06:58:51.000,2022-06-11 06:44:32.000,2022-06-11 06:44:30,356.0,11.0,10.0,4.0,223.0,28.0,259.0,2022-04-26 07:35:19.000,1.2.1,13.0,14.0,2.0,24,True,flake8-eradicate,conda-forge/flake8-eradicate,['flake8'],88.0,,https://pypi.org/project/flake8-eradicate,2022-04-26 07:35:19.000,88.0,400678.0,400790.0,https://anaconda.org/conda-forge/flake8-eradicate,2021-10-19 16:48:36.521,1569.0,3.0,,,,,,,,,,,,,,,,,,,,,
177,better-exceptions,Qix-/better-exceptions,logging,"Pretty and useful exceptions in Python, automatically.",,https://github.com/Qix-/better-exceptions,https://github.com/Qix-/better-exceptions,MIT,2017-03-12 11:23:04.000,2021-10-19 01:43:50.000,2021-10-19 01:43:50,99.0,,195.0,74.0,53.0,45.0,4198.0,2021-01-29 16:48:55.000,0.3.3,16.0,15.0,29.0,23,True,better-exceptions,,,58.0,,https://pypi.org/project/better-exceptions,2021-01-29 16:48:55.000,58.0,38583.0,38583.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,
178,vprof,nvdv/vprof,profiling,Visual profiler for Python.,,https://github.com/nvdv/vprof,https://github.com/nvdv/vprof,BSD-2-Clause,2015-06-29 03:59:39.000,2021-02-20 07:50:28.000,2021-02-20 07:47:40,619.0,,167.0,73.0,31.0,56.0,3836.0,2018-06-24 14:16:36.000,0.37.6,24.0,17.0,26.0,23,False,vprof,,,112.0,96.0,https://pypi.org/project/vprof,2020-02-29 13:31:59.000,16.0,6420.0,6420.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,
179,pyt,python-security/pyt,security,A Static Analysis Tool for Detecting Security Vulnerabilities in Python Web Applications.,,https://github.com/python-security/pyt,https://github.com/python-security/pyt,GPL-2.0,2016-10-26 15:34:48.000,2020-12-25 03:47:37.000,2020-03-08 21:43:06,1576.0,,229.0,72.0,116.0,77.0,2082.0,2018-11-01 16:02:57.000,0.42,15.0,22.0,21.0,23,False,python-taint,,,81.0,69.0,https://pypi.org/project/python-taint,2018-11-01 16:02:04.000,12.0,3182.0,3183.0,,,,3.0,76.0,,,,,,,,,,,,,,,,,,,,
180,pytest-testmon,tarpas/pytest-testmon,testing,Selects tests affected by changed files. Executes the right tests first. Continuous test runner when used with pytest-..,,https://github.com/tarpas/pytest-testmon,https://github.com/tarpas/pytest-testmon,AGPL-3.0,2015-02-02 14:21:10.000,2022-06-07 17:48:00.000,2022-05-14 21:32:03,304.0,5.0,30.0,15.0,65.0,97.0,563.0,2022-06-01 14:25:49.000,1.3.3,46.0,16.0,28.0,23,True,pytest-testmon,conda-forge/pytest-testmon,['pytest'],54.0,,https://pypi.org/project/pytest-testmon,2022-06-01 14:25:49.000,54.0,110059.0,110721.0,https://anaconda.org/conda-forge/pytest-testmon,2019-08-03 00:17:17.063,34425.0,3.0,,,,,,,,,,,,,,,,,,,,,
181,blacken-docs,asottile/blacken-docs,documentation,Run `black` on python code blocks in documentation files.,,https://github.com/asottile/blacken-docs,https://github.com/asottile/blacken-docs,MIT,2018-06-03 02:48:01.000,2022-06-17 22:45:07.000,2022-06-14 00:12:50,253.0,18.0,28.0,7.0,122.0,46.0,398.0,2022-01-30 16:42:02.000,1.12.1,22.0,14.0,4.0,23,True,blacken-docs,conda-forge/blacken-docs,,17.0,,https://pypi.org/project/blacken-docs,2022-01-30 16:42:02.000,17.0,25403.0,26316.0,https://anaconda.org/conda-forge/blacken-docs,2022-01-30 18:29:51.381,21007.0,3.0,,,,,,,,,,,,,,,,,,,,,
